dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	A CARING DOCTOR WHO CARES ABOUT HIS PATIENTS. HE HAS GREAT CHRISTIAN MAN. BEST DOCTOR IN THIS WHOLE AREA. 	5	5	5	5 	Insurance:Unknown
1	1	We have used Dr. Carden all of his career and he is competant &amp; caring. I have read the other patient reviews and can only say ditto to all the excellent ratings. The fact we have been patients for over 30 years sums it up.  	5	5	5	5 	Insurance:Medicare
1	1	Very good doctor, caring.   I think he knows everything! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Carden is an outstanding physician. He spends time with his patients and actually listens as opposed to many MD's. He is a top rate diagnostician. I would reccommend him to anyone.  	4	4	5	5 	Insurance:United Healthcare
1	1	Dr.Carden Is a great doctor that listens to his patients and treats them with care and concern.He never rushes and has always provided excellent care. I have been a patient of his for many years. 	5	5	5	5 	Insurance:Unknown
1	1	I haved used Dr.Carden for a long time and I am very pleased with him. He is a very good doctor and person. I love his staff also. 	5	5	5	5 	Insurance:Unknown
2	1	He is a very busy doctor because he is a great doctor. He helped me a lot and always would listen when I had questions. He has gotten very busy and I wish he would slow down and take his time to be the doctor I saw at providence family physcians. He does care but now he is so busy if u didn't see him before hevwent to noth side clinic you don't understand how compassionate he is about his work. He is one of the best I know as far as family doctors.  	5	1	5	5 	Insurance:Medicare
2	-1	I have been to this doctor twice and both times I felt like it was a waste of time, he is to busy to take the time to really listen and try to figure out what is wrong 		2	1	1 	Insurance:Unknown
3	-1	I had the absolute worst experience with this md while admitted in the hospital. She was rude, unattentive, literally screamed at me, did not explain any forms of treatment and medication, and did not thoroughly complete medical procedures. I had other staff members who witnessed this and came in to apologize for Carcelen's behavior. I am currently looking for a new pulmonary md and hope to get better treatment in the future from a more professional and caring physician.  	3	1	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Chen is awesome and no matter what ill you he will always take the time to listen and hear you out.  	5	5	5	5 	Insurance:Medicare
4	1	Dr.Chen is very personable, listens intently and responds in a very undestanding way with his care. Seems always ready to treat accordingly.I have been well pleased to have him as my primary care doctor.  		4	5	5 	Insurance:Medicare
5	1	I have looked years for someone who would just listen to my symptoms.  Every doctor gave me a perscription and a slap on the back.  she listened, did tests and explained the cause and effect.  she will be my gyn and any other area she will serve me in.  I am so grateful for her.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Have worked with her professionally and know she is very compentent.  It is wonderful to have a doctor that is both caring and competent.   She is the real deal! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Very kind, really felt like she cared about my thoughts and did not dismiss my feelings like most M.D.'s.  Would recommend to anyone.  	5	5	5	5 	Insurance:CIGNA
5	1	. Excellent bedside manner ,very caring and compassionate I would recommend her to anyone!!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	. very caring, easy to talk with 		5	5	5 	Insurance:Medicare
7	1	My kids love this pediatrician. He is so friendly and caring and every visit has been pleasant. The staff is also great.  The wait time is much less than when we went to another pediatric office in Montgomery--but this pediatrician is WORTH waiting for. Hope this helps.  	 7/27/12	5	5	5	Insurance:Tricare
7	-1	He was horrible! I brought my daughter in with chicken pox and he said they were insect bites. That the spots were not in different stages when if you looked you could see the different stages of chicken pox (red spot, pus/liquid filled bump) I ended up taking her to another dr. who said it was chicken pox. He also diagnosed everything as dermatitis.  Horrible! Not only could he not diagnose anyone he was rude! 	5	3	1	1 	Insurance:Medicaid / Medi-Cal
8	1	Dr. Carter is wonderful! My husband,my four children and myself all use him. His concern and care inspires trust. My family will not use anyone else. He saved my husband's sight after another doctor damaged his cornea. WE are very grateful for his care.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
8	1	DR Carter is an outstanding doctor. It's straight forward, to the point and displays a genuine interest in the patient. Please judge his medical abilities when you rate him. Don't rate him based on how long he's with you...or doesn't have irrelevate &amp; time consuming conversations with you!! LoL He's an example of an utmost professional...doing his best to treat &amp; see as many patients as possible.  He doesn't manage a social club or a therapist/counselor!!! LoL 	5	4	5	5 	Insurance:Delta Dental
8	-1	He did surgery on my father after he started the surgery, he told my dad he had to have someone drive him into work he had an accident the day before and was having trouble seeing.  Now my Dad can not see at all in that eye!!!  RUN FAST!! You may have more damage after he is done with you!! 	3	1	1	1 	Insurance:Blue Cross / Blue Shield
8	1	Very good surgeon, but is not very patient. Would recommend for Cataract Surgery but that is his specialty.  	4	4	4	5 	Insurance:Blue Cross / Blue Shield
9	1	Dr. Carrell is now retried.  However, before the retired I was his patient.  He was very good, the best GP I ever saw.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
10	1	Absolutely the nicest doctor I have seen.  	5	5	5	5 	Insurance:Medicare
11	-1	When I was a child, he was able to correct my overbite, and recommended braces. I thank him for this, but my gratitude ends there. He said it would just take a few years to straighten my teeth. Well, a &quot;few&quot; became 5, which then became 9. I had braces for nearly a DECADE! Every time we would talk about pulling out, he would strongly advise &quot;Just a little longer...&quot; and shock us with a frightening scenario. In hindsight, I believe he was just milking us for money. He wasn't a 'bad' doctor, but definitely in it for profit, doing much more than was ever necessary. His wait times were obscenely long, often lasting 2 hours just to have him look at my teeth for mere minutes, and check the work of his assistants (who did nearly everything).  	 3/2/11	3	1	2	Insurance:Blue Cross / Blue Shield
12	1	Outstanding, friendly, very smart, personalbe and respected 	5	5	5	5 	Insurance:Unknown
12	1	The office staff and nurses are very cold and uncaring.  The wait time is very very long as well.  Also trying to find your way around the hospital to get to their new office is like a mouse in a maze. They are no longer at the St. Vincent's location.  They are part of Brooksile now. 	1	2	3	4 	Insurance:Unknown
