dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	 It is rare to find such a skilled surgeon who really still cares. Dr Echeverri does! There is no doubt he saved my mother's life. When I had to have sugery I asked everyone I knew who worked in surgery or at the hospital who to use and I was told Dr Echeverri over and over again. There is no one better.  	5	2	5	5	Insurance:Medicare
2	1	.  Great guy, just never on time!!!! 	2	1	5	5	Insurance:Blue Cross / Blue Shield
9	1	 Overall, if his patients are on time, he is on time! Dr. is so kind to see you in most cases if you are late that it can delay others. The treatment has been very effective compared to my past experience at the Pain Management Center. I was treated there for 24 months and my last treatment landed me in Crestwood. Dr.  Edwards methods has provided relief in a total of 3mos! 	5	4	5	5	Insurance:CIGNA
9	-1	 I will NOT recommend this doctor to any one - over charges the insurance and patient - ineffective treatemt - Knowledgable doctor but like to play the game and use the insurance company well which results in higher co-payment- Charges $700 for a Tens unit that costs $109.00.  	1	1	1	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$240
9	-1	 I would not recommend this doctor to anyone. Costly injections, ineffective treatment,  rude staff. If you have any kind of emergency and want to talk to him, most likely you will be told by his staff that neither does he answer phone calls nor he would call the patient back. He even charges a fee for sending you a bill.  	1	2	1	1	Insurance:Blue Cross / Blue Shield
9	1	 The staff and the Doctor are both very friendly. But he is never on time. The wait just to get in a room is over an hour and then another hour just to see. This happens every time I come in. I will not refer any of my family or friends because of this matter.  	4	1	4	4	Insurance:Blue Cross / Blue Shield
16	1	 My adult daughter and I have both seen Dr. Ekambaran for several years. He found that my daughter had a kidney problem and sent us for the necessary tests. He recently found that I had a heart problem. I now have a stent in my RCA. I appreciate his gift of medicine. When I first began at his clinic I had no insurance...his staff always worked with me. When I got insurance I was still a patient because I believe he knows what he is doing.  	4	5	5	5	Insurance:Blue Cross / Blue Shield
16	1	 Very intelligent Dr.  I used him a few years back a couple of times when I lived in Huntsville and I think he runs a great clinic.  He realized I had an infected cyst on my back and had me in surgery the next day with a surgeon he knew.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
23	1	 the only problem I have found is the phone system is insufficient for the amount of doctor's in the practice.  You get cut off quite a bit.  	5	3	5	5	Insurance:United Healthcare
29	-1	comments 	2	2	1	1	Insurance:Unknown
32	1	commentsbeen seeing dr bob for about 10 years.  i'm a 42 year old male, and have quite a bit of experience with various physicians over the years.  so far, dr eaton is my favorite of all. 	5	5	5	5	Insurance:Unknown
32	1	 Dr. Eaton is a very helpful and caring doctor.  He does not stop until he finds a cure! 	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$30
34	1	 I have seen Dr. Eaton on and off for over 3 years. He is always courteous, prompt, and shows genuine concern for his patients.  His gentle tone and bedside manner are what keep me going back when I need a GP 	5	5	5	5	Insurance:Blue Cross / Blue Shield
34	1	 Dr. Eaton is friendly, helpful, and took the time to explain my problem and how he would treat it.  He showed genuine compassion and was very caring. He also was EXACTLY correct with my diagnosis, which other doctors seemed to have trouble getting right.  I'll see Dr. Eaton any time.  	4	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$20
34	-1	 His nurse told me I was pregnant ... then exclaimed &quot;just kidding!&quot; Dr. EAton told me I probably had diabetes. I insisted it was a UTI, but he said no way. A week later, they still haven't called with the results, so I called THEM. Yup, they had the results, and yup, it was a UTI. They still owe me about $20, three years later. I got tired of leaving messages with the finance clerk. They never get returned. They can keep my $20 if it means I never have to see them again.  	1	1	1	1	Insurance:CIGNAPaid/Co-pay:$150
34	-1	.  rude and inconsiderate i will never waste my time with him again 	5	1	1	1	Insurance:CIGNAPaid/Co-pay:$20
34	1	 Dr. Eaton is a to the facts doctor. He is very helpful n shows true caring for your conditions n problems. Gives you a chance to explain all problems n looks in to all problems discussed. I have been seeing him for going on 5 yrs n do not have any problems with him or any of his staff. There are times they are busy n you have to wait but that happens..  	4	3	4	5	Insurance:Blue Cross / Blue Shield
