dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Hardy and his staff took on my full dental restoration.  Although it took several visits, I was never in any pain or shed any tears.  I have the best smile and dental health now and I owe it all to Dr. Hardy and his excellent staff. His knowledge is state-of-the-art and his staff are extremely well trained.  It was a wonderful experience.  Thank you to Dr. Hardy and his wonderful Dental Assistant, Rachel Jackson. 	5	5	5	5 	Insurance:Unknown
1	1	Dr.  Hardy and the girls at his office are so nice and funny! It was a great visit and I am going back:) 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	.  	3	2	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	.  	5	1	1	1 	Insurance:Blue Cross / Blue Shield
3	1	Dr.Harvey is best doctor I have ever known.  He is caring, great bedside manners.  Stays on top of the latest treatments out there.  Would recommend everyone to him.  His taff is wonderful and helpful.  Dr. Jimmy Harvey is the Best. 	5	5	5	5 	Insurance:Unknown
3	1	A true gift from God, I am so glad I met him early in my treatment.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Doctor Harvey is extremely knowledgeable about all sorts of cancer treatment. He is up to date on all the latest research.  His bedside manner is flawless.  Highly recommend.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Harvey is absolutely amazing! He has a special way of making you feel better even when things are tough. He has treated me and my family as though we are part of his own. His staff is equally wonderful. They call and check up on you when you are at home and do everything possible to make life as easy as they can. They all truly care about all of their patients. 	5	5	5	5 	Insurance:Unknown
3	1	Dr. Harvey has an great bedside manner. He is always willing to listen to your concerns. He is very much the optimist during difficult times. He will go way out of his way to research something for you and never hesitates to pick up the phone and call colleagues to find out answers for you. He never hesitates to answer and reanswer questions during difficult times. His office staff is wonderful. He is always willing to give reassurance and comfort when needed. He is the BEST! 		5	5	5 	Insurance:Unknown
4	-1	I had the same experience as this guy:  &quot;Honestly he scared me bad enough I had to see another doctor , then I was told by him I was being treated by him not as a neurologist but as Pain management , and I went to see him in the beginning as a neurologist,He is argumentative if you ask him questions about the meds he is giving you , I would NOT RECOMMEND THE DOCTOR TO ANY ONE , I am still thinking about reporting him to the medical board in Alabama , or who ever I need to , and making formal charges&quot;.  He also sold me a vitamin for Fibromyalgia with shark fin, and blue fish lips (I mean really, WTF!!)  This was to replace my Antioxidants, Like Vit. C, B-12, etc.  This guy can't practice in IL, and has sanctions against him.   STAY AWAY FROM THIS GUY FOR YOUR OWN SAFETY!!!! 	1	1	1	1 	Insurance:Medicare
4	0	At first I thought he was great but then he put me on disability and charged me outrageous fees for paperwork I had to have. Then his office lost my chart and he couldn't fill out my paperwork without it so my claim was denied due to lack of paperwork. I appealed the claim and had to pay more fees for more paperwork. now I just found out today my claim was denied again. Also every time I go in to see him he asks me about my bill. I have never had a doctor talk to me about a bill. If he worried half as much about his patients as he does his money I wouldn't be in the situation I am in. Plus half the time there is no where to sit cause there are so many people waiting and I have  never been there less then 2 1/2 hrs and only see him 10 min. max. He will stop seeing patients to meet with pharmacy reps and prescribes meds that he gets cutbacks for.  	 1/27/10	3	1	2	Insurance:Aetna
