dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I really don't like the receptionist every time I call she acts as if I am bothering her. If I wanna talk to the nurse I don't want to tell you what the problem is. I love the nurse there she is very sweet, kind and very understanding.  	5	5	4	5 	Insurance:Blue Cross / Blue Shield
1	-1	Dr. Lipperd seems very conservative.  I also asked to be referred for a test and he refused.  I got someone else to refer me and there was indeed a problem.  He's really nice but a little dismissive and rushed.  	4	4	2	2 	Insurance:United Healthcare
1	1	EXCELLENT CARE AND PERSONALITY. HE REALLY CARES ABOUT YOU.  		5	5	5 	Insurance:Blue Cross / Blue Shield
1	-1	I questioned his diagnosis & asked to be refered to a specialist and he refused saying there was no need and basically dismissed what I was saying. Instead gave me pills. I asked him if it was safe to take while pregnant and was told yes. When I read the warnings on the package, it said it was not safe for pregnancy. I didn't take them & I went to a specialist on my own and was told that Lipperd's diagnosis was wrong. Needless to say, I won't be going back to him. 		4	2	2 	Insurance:Unknown
2	-1	Dr. Lenahan nurses are awesome but he is not.  He does not care about his patients he leaves everything for his nurses to do. He is rude and uncaring. He is the only physician that I have ever been too that does not come back in and talk with you.  He sends his nurse in and she takes care of things.  He has NO bedside manner. Leaves you waiting forever and you can hear him in the halls talking about his patients.  He will even talk to his patients in the hall so everyone can hear him.  I heard him discussing a patient that has HPV and talking to her about treatment and treatment for her partner. His nurses are very nice they try to make up for the treatment he gives you.  He barely talked to me.  His nurse even told me to slide down into the stirrups it was like he didn't want to talk to me.  	5	1	1	2 	Insurance:Aetna
3	1	Superb service and help.  Won't go anywhere else.   Todd is Fantastic! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Litton is the kindest man I have ever known.  His loving approach has been a blessing to me and my children.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	Had a terrible experience in their office. One of the office workers called me to tell me my test results over the phone a few days after my initial appointment for a health issue, turns out she gave me the wrong patient's results who had a similar last name to mine I found out later. This doctor was rude, uncaring, unsympathetic, and treated me like he thought I was an idiot when I tried to ask questions. I left his office in tears, canceled my follow-up that was scheduled for 3 months later and will never go back there again! I ended up having to go to another doctor for a 2nd opinion and that doctor agreed that based on all the information it appears that this doctor had misdiagnosed my problem.  Truly, he does seem like a nice, polite person overall upon meeting him and making small talk with him and I think he probably is, but as a doctor he is not for me! 	4	4	2	2 	Insurance:Blue Cross / Blue Shield
5	1	Love, love, love Dr. Lazenby!!  He is great, and cares about your pregnancy and the baby.  He was cautious and put me on bedrest during my pregnancy and as a result of his attentiveness I was able to carry full term with little complications.  He and his staff are the best!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	i love dr. lazenby he is a wonderful doctor. i had him with my first pregnacy and i plan on having him as my doctor for all my others. he is very caring and wants to make sure u are comfortable with everything he does. he talks to you about evrything before he does something and explains it to where you understand. he is a wonderful doctor and someone i feel comfortable around. i couldnt have asked for a better doctor.  he is the BEST!!!!! 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
5	1	Love this GYN!  I finally found a great GYN that I am willing to drive 45 minutes to see!  He was very kind and caring, he wanted to make sure I understood what he was talking about.   He takes a while to get into see, but worth it! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	When he first came to practicee in Dothan, he not only hurt me, he scared me and when I heard another lady screaming down the hall as I was waiting for him at a follow-up appointment, I got up and left because nobody bothered to tell me that she had gone into labor during her exam! When I went to one of his partners, I found out that he had written in my file that I was uncooporative. Funny, I thought it was the other way around! HA! 	 10/7/08	1	1	1	Insurance:Unknown
5	1	He is a kind Christian doctor who cares about his patients. He made sure my pregnancy and delivery were as easy possible.He's a wonderful, knowledgeable doctor.  		4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	used with first pregnancy. good doctor, but just not my style. I like a dr that is a bit more laid back. He just seemed kind of uptight.  		4	3	4 	Insurance:Blue Cross / Blue Shield
5	1	Wonderful Doctor!!!! After suffering for years I found someone who cares! Never does anything you don't want to do, and asks your opinion of every option. Very caring and understanding person.  I would reccomend him whole heartedly! 		4	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	only thing he knows to tell you is take two asprin it will get better..  no matter what the problem is! 	2	3	1	1 	Insurance:Medicare
8	-1	I was misdiagnosed and treated with no repect. And, had to go to another dentist to be treated. There's a reason people say to get references.  		4	1	1 	Insurance:Blue Cross / Blue Shield
9	0	Nice man. Probably the hazards of going to see a doctor in a &quot;doctor-in-a-box&quot; clinic, but he sometimes just throws a z-pac at you without first checking out what is wrong. You don't have to wait very long in the waiting room, but you don't sit very long in the exam room, either. Go there if you want to have instant antibiotics and need a quick excuse to miss your classes or work. You'll probably get a z-pack and an excuse even if there's nothing wrong with you. Don't go there if you suspect something is really wrong. Make an appointment with a specialist. That's where you'll end up, anyhow.  		4	3	3 	Insurance:Blue Cross / Blue Shield
10	1	Very kind and caring doctor.  Takes the time to listen and is very helpful.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Dr. Lee and her staff has always been polite and friendly.  Even when we stopped going to the dentist for awhile, they never made me feel guilty.  Dr. Lee has always done a thorough and as painless as possible job. 	5	4	5	5 	Insurance:Unknown
11	0	Myself, wife, and children went to Dr. Lee for a short period of time.  Anna Marie is a somewhat odd lady - her affect is flat.  Though not unapproachable, she isn't particularly friendly either.  That wouldn't have bothered me if she had been a skilled dentist.  However, she did a filling on my wife that ended up abcessing while we were on vacation and had to be repaired by another dentist. 	 7/1/08	3	4	3	Insurance:Unknown
12	1	A really great family doctor. Cares about patients. Knows his stuff.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Dr. Lee is the BEST!  What a caring person he is. Very smart. Excellent bed side manner.  He will explain, in normal terms,  what is going on with my health issues.   I highly recommend him!Thanks Ben 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Dr. Lee is always very attentive to my needs. He makes you feel like he really cares about you. I changed doctors because the where I was going before I was having to wait up to 4 hours in the waiting room. Here I never have had to wait more than 15 minutes past my appointment time.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Very good listener and treats you with respect and concern. He is the best Doctor I have ever had and I am 50.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	He is very helpful and down to earth. Also a very compasionate doctor.  		5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Just a very knowledgeable man with a careing personality.Tells you straight up like it is,doesn't beat around the bush.Has very good bed side mannor as well. I trust him with my life and value my life VERY MUCH !!! Best Doc in the state & that comes from other doctors I know or well that treat me for other things.  		5	5	5 	Insurance:United Healthcare
12	1	By far the best doctor I have ever seen. He is extremely knowledgeable & if he does not like what he see,s in a patient he always looks up a Specialist for you to see. He wants you involved with your healthcare. Has a kind heart with tons of dedication behind it.  		5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Dr. Lee is an Exceptional Doctor, kind, compasionate, extremely knowledgeable. Leaves no stone unturned. Appreciate him in supporting a “Pancreatic Support Group” in the area, for his knowledge & expertise.  		5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	Good man Takes time with patient. Actually listens. Very down to earth.  		4	5	5 	Insurance:United Healthcare
13	-1	I do not recommend this Doctor! He has no bedside manners and does not care about his patients! If you are looking for pain meds and not the reason for your pain...then he is the doctor for you! He only fills prescriptions and could care less about correcting the problem.  	1	2	1	1 	Insurance:Blue Cross / Blue Shield
14	-1	Went to doc w varied symptoms &amp; eyes leaking yellow pus.Seen by Nurse NOT doc. $150 &amp; was not seen by a doctor&#63; Diagnosed w upper resp. infection &amp; azithromycin prescribed.5 days of this antibiotic,I am much worse now. Throat not swabbed no blood taken.Throat so bad now I can hardly swallow, barely talk &amp; pain is severe. Constant cough, which prohibits sleep. Tried contact w Dr. Lawrence, he would not speak to us TWICE via phone,was just told to go to ER. Wanted SOME TYPE OF ADVICE ON HOW TO GET COMFORTABLE. Clinic stated the doctor agreed w Nurse on my diagnosis. Without even looking at me&#63; If Dr. Lawrence SINCERELY cared about his patients,he would have taken OUR phone calls and/or offered any advice on what to do. If you want to pay $150.00 to see a NURSE,with no tests done at all, by all means, go &amp; waste your money.  Baffled at lack of interest this doctor has shown toward a patient who is in obvious distress.  Made an already tough situation that much more difficult. 	3	3	1	1 	Insurance:Unknown
