dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	great with my kids made them for get a about want he was doing and became a friend ....wonderful dentist....  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	can never see DR.TAYLOR.The person I see does not know what kind of treatment I have been getting. and they want to change it around. it is like a new ball game. last 3 times i was there, they were out of this shot I get.I am about ready to call it quits. So many do not work there any more. Lab lady, front desk lady, nurses, all replaced.  	2	1	2	2 	Insurance:Medicare
3	1	Dr. Lewis -Thomas is very thorough in her exams and diagnosis. Takes the time to listen to you.  	4	4	5	5 	Insurance:CIGNA
3	1	Dr. Lewis-Thomas' bedside manner is outstanding but more importantly, she actually listens to the patient. Not all physicians possess the ability to listen but by doing so, visits with Dr. Lewis-Thomas are enhanced and more productive in terms of the overall result that I and my children experience after seeing her. She is very thorough, takes the time necessary for diagnosis and her knowledge of medicine is exactly what I expect and hope to find in a physician. My impression from the beginning has been that this physician chose medicine for all the right reasons. She has returned calls on weekends, in the evenings, etc. whenever we have had a problem or needed help, even with relatively minor health concerns. ** I should note that Dr. Lewis-Thomas' staff typically does not contact patients if test results are normal. This is clearly posted on the wall in the waiting area at her office. In my experience, this is typical of most doctors.  		3	4	5 	Insurance:Blue Cross / Blue Shield
3	-1	She has good bedside manner. Too bad she can't apply that to her medical ability. She is a nice lady but ... some people just don't need to be doctors. She does NO follow up on tests. Not unless you call and ask for one.  		3	2	1 	Insurance:Blue Cross / Blue Shield
4	1	We have used Dr.Thorne since my children were babies; now they are adults and Dr. Thorne still see's my youngest who is 19 and he also now see's my grandchildren!  We love him and he is always there when we need him! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Thorne has been our pediatrician for years. He has wonderful bed side manners and really cares about his patients. I would recommend (and have) to anyone.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Having moved to this area from a much larger city, I was very nervous about the care my son would receive when we had to take him to the emergency room one night before having found a pediatrician here. We were so very fortunate that Dr. Thorne was the pediatrician who was on call and visited my son in his hosppital room the next morning. He quickly became our choice pediatrician. Not only was he thorough in checking out my son's symptoms and talking with the other doctors who had seen him the night before, but he actually sat and attentively listened while we described what we, as parents had seen my son going through. Much unlike another doctor in the emergency room the night before, who if we had heeded his advice, my son would no longer be with us, Dr. Thorne was sincerely concerned with making sure we had a proper diagnosis and (again, unlike the other doctor) did not proceed with anything without discussing and explaining, in detail to us first what he wanted to do.  A real GEM! 	4	5	5	5 	Insurance:CIGNA
4	1	Best pediatrician in town-no doubt the most knowledgeable.  Great with the kids, they ask to &quot;go see Dr. Thorne&quot;.  Makes going to the doctor so much easier.  Excellent nurse also:)  Always returns your calls, highly recommend! 	5	5	5	5 	Insurance:Unknown
4	1	Dr Thorne is wonderful.  He loves children and does a wonderful job.   I will use him until he thinks my children are too old to come to him!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	I was so concerned when Dr. Thorne went on leave, we need good caring doctors like him.  I was so thankful that he is back.  He is wonderful!  Not only does he return phone calls, you can call and ask for his nurse and he will pick up the phone.  He is a kind caring doctor and I tell everyone I know about him.  He and Suzanne have always been great with my kids.  We have been patients of his for about 7 years and will continue with him as long as he will have us.  He is very understanding and caring of all my children.  You can tell he loves his job and he loves kids.  There is no other doctor any better in my opinion. 	5	5	5	5 	Insurance:Unknown
4	1	Dr. Thorne is the best pediatrician you can have. He makes you feel comfortable and calm when things get scary. He is always available when i am concerned. He returns calls asap even when he is out of town or on a weekend. He has never been innappropriate with me or my many friends who bring their children to see him. We are blessed to have him back in our community.  	5	5	5	5 	Insurance:CIGNA
