dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Yerubandi is a no nonsense doctor - he was prompt, courteous and professional.  I would certainly recommend Dr. Yerubandi to friends or family.  I had a question come up after my surgery and called him at 9 pm on a friday night and got his service.  He called me back within 5 minutes and we chatted, and then called again about 90 minutes later to make sure that everything was ok.  I tried to apologize for calling him at home on the weekend, and he said &quot;Nonsense, you call me no matter the time if you need to&quot;, then he proceeded to give me his private number that he could be reached at the remainder of the weekend.  All this fuss over a 200 hundred dollar superficial &quot;surgery&quot;, which quite frankly had I been paying better attention when I left his office - would not have required me calling him at home in the first place.  I was impressed with  his response and his concern about MY concerns.  Hopefully I won't need to go, but if I do, I'd go back to him without hesitation. 	4	4	5	5 	Insurance:Unknown
1	-1	I didnt have a problem when he removed my gallbladder, the only problem I had was that when I was in the er, he give me pain medicine and I woke up to him hitting the bed telling me I need surgery and asking if I wanted it or not and I was under heavy duty pain medication that morning so I didnt exactly know what was going on. 	5	4	2	2 	Insurance:Unknown
1	-1	You do not want this doctor cutting you open!  I ended up with an infectious disease consultant because he did such a sloppy appendectomy.  I had many secondary infections afterwards.  Recovery was three times as long as it should have been.  In talking with other nurses, they all said he is a sloppy surgeon.  One even said that he's been known to drop instruments on the floor, pick them up, and continue to use them.  He's also known to remove gauze, put it down in a non-sterile environment, and then shove back in when done.  If you want to play Russian Roulette with your life, then keep your appointment with this surgeon.  Otherwise, continue checking out this website for a reputable surgeon. 	4	3	1	3 	Insurance:Unknown
2	1	Dr. Yates did a wonderful job on my upper eyelids. My family was concerned I wouldn't look like Mom afterwards but I do, just younger!  The office staff was great and appointments were on time. I would highly recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Fabulous doctor and his assistant/nurse, Beth,  is also wonderful!  I have trusted Dr. Yates with my cosmetic procedures (face lift,Juvederm fillers) and have been  very pleased with his and his staff's skill, kindness and professionalism.  I would not hesitate to recommend him to anyone who is seeking these type procedures. 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Yates performed Abdominoplasty surgery on me last summer.  Prior to the surgery he answered all my questions thoroughly and let me know exactly what to expect and exactly what I needed to do after the surgery to heal.  The surgery went very well; I healed quickly due to following the doctor’s orders.  No issues, no problems.  He is very caring and a very thoughtful doctor.  He never rushes you out and never makes you feel like any question is a dumb one.  I would and do refer him whenever I have the opportunity. 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Yates is not just an excellent surgeon, but he is a caring individual.  He performed surgey on my ten year old to remove a pre cancerous spot and also did blepharoplasty on me.  In both cases everything went perfectly.  He is precise, an artist in his work.  My surgery was almost 3 years ago, and I am as pleased today as I was a month afterwards.  My recommendation would be to say that he is the best plastic surgeon ... can't say more than that. 	5	5	5	5 	Insurance:Unknown
2	1	He removed a deep cancer from my scalp.  I had no complications or problems, and after a year I cannot see any sign of where he did the surgery nor has the cancer returned.  Dr. Yates has excellent skills. Based on my experience, I would recommend him to anyone needing a skilled plastic surgeon.  	5	4	5	5 	Insurance:Medicare
2	1	He treated my wife and he was the nicest and most likely the best plastic surgeion in alabama.He left hardly no scars that you can tell on my wife. Thanks dr. yates 	5	3	5	5 	Insurance:Blue Cross / Blue Shield
3	0	I had to wait over one hour befor she saw me. She has poor communication skills, arrogant and condescending with me.  Lack the ability to provide any form of customer service.  The doctor thought she was a gift to me.  	5	1	2	4 	Insurance:Blue Cross / Blue Shield
4	1	My last visit was not exactly professional. His staff dropped the ball on an issue and tried to blame me. I wonder what is going on - changes staff often. Dr.Yates still has not answered questions I had at first visit nor has he helped me totally. I like him but I am very disappointed with him right now. 	3	3	3	4 	Insurance:Unknown
4	1	I find Dr Yates to be very knowledgeable and up-to-date. He is genuinely interested in his patients and follows up on any problems they have. Always pleasant and helpful -- answers any questions you ask.  	3	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Very pleased with the care provided. Very thorough and knowledgeable and seems to genuinely care about his patients. Even overheard other patients in the waiting room bragging on his great care. 	5	5	5	5 	Insurance:Unknown
