dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Have seen Dr. Baker for several years, for asthma.  She is very thorough, knowledgeable, and professional.  She is always willing to answer questions and discuss any problem I might have.  I would recommend her to friends and relatives, without any reservations.  	5	4	5	5&nbsp;	Insurance:Medicare
2	-1	Nice guy but if it isn't a straight forward issue he is lost.  Doesn't listen to you or your family members and has terrible rude staff.  	1	1	1	1&nbsp;	Insurance:Blue Cross / Blue Shield
2	1	I use Ak. Care Wells Fargo. Never a question or problem with billing. Dr.Barnes has done more for me than any doctor. I was injured in 1998. I have been lots of places including being denied by Mayo clinic and Alaska Spine Institute, but guess what&#63; Dr. Barnes is fixing the pain. We are working one more problem, and I feel he can fix it too. I cannot say enough. I have been to hundreds of docs and clinics including all the pain clinics in Ak. except one. I only got temporary relief. What a guy and a great staff too. In clinic lab is a time saver and relief. Lab techs are impressive.Barnes office is not a pain clinic. they are just listeners and react to your needs.  I love that guy. Bill Zeddies, 907-892-8763 	5	5	5	5&nbsp;	Insurance:Unknown
2	1	Dr Barnes is a wonderful caring doctor, he takes time to answer your questions and concerns, He was wonderful when I lost my insurance coverage, He waived the cost of needed blood test, which he paid for himself. Alot of his labs are done in house to save his patients money. He adjusted his fees for visits to an amount that we could afford and accepted monthly payments, as my husband is now unemployed.(his job was eliminated) I have medical issues which prevent me from working. Because of the high cost of my needed medication, over $1,000 a month high co-pays when I had insurance, He provides me with samples, for all the meds he had available, and continues to do so. He is a wonderful caring person. I feel blessed to have found him. If you are in the Valley and are looking for a good caring Doctor consider Dr David Barnes he is in the AIC building 950 E Bogard Rd, Ph 376-2868 My husband and I will be forever grateful to this wonderful caring Doctor.  Thank you Dr Barnes, Debbie Chapman 	4	5	5	5&nbsp;	Insurance:Blue Cross / Blue Shield
2	1	Dr. Barnes is a consummate professional. He takes the time to listen to my concerns, and responds to each one individually. 		5	5	5&nbsp;	Insurance:Unknown
3	1	He is goofy but  upbeat.  His knowledge and understanding of my finger was great.  He had to amputate a portion of my finger  He was very positive and even called me personally to check up on me.  He understood my concerns of loosing a nail and portion of my finger and gave me many alternatives to think about.  It sounds silly to worry about losing a small portion of a finger but he really empathized with me and didn't make me feel stupid for the way I felt. 	4	3	5	5&nbsp;	Insurance:Unknown
4	1	This guy is great and really knows how to adjust. He has about 29 years experience in the field... Bob 	5	4	5	5&nbsp;	Insurance:Blue Cross / Blue Shield
5	1	Dr. Boston is a great doctor in my book.  Although I do not go to the doctor very often.  I find him to be helpful, supportive and in good humor all of the time.  I think perhaps there may be little tolerance for folks who frequent the doctor because something 'must' be wrong when perhaps nothing is.  I know as an educated person I may develop an intolerance for 'chronically' challenged people. For instance, if you smoke like crazy and have lung problems, quit smoking and if you don't plan to quit smoking then don't waste a doctor's time...  	5	4	5	5&nbsp;	Insurance:Blue Cross / Blue Shield
5	1	Great doctor, will spend time with you to make sure all questions are answered.  Very knowledgable, very thorough.  Staff is very helpful. 	5	5	5	5&nbsp;	Insurance:Unknown
5	1	He met all my needs and answered my many questions.  Not in a white coat or acted like he was better than me.  Seemed like a normal guy.   Staff was great 	5	4	5	5&nbsp;	Insurance:Medicare
5	-1	This DR. is being fined by the state medical board and is on probation.  Look him up on the state medical board for details.  He lets his staff sign his prescptions.  If you pay to see the Dr. he should dispence your medications not the staff. 	1	3	1	2&nbsp;	Insurance:Unknown
5	1	Dr. Boston has been my physician for several years and I have always been impressed by him. He has alway taken the time to learn about my health concerns and suggest appropriate course of action.  	5	5	5	5&nbsp;	Insurance:Blue Cross / Blue Shield
5	1	Dr. Boston is awesome.  My father was transported to me in Palmer in November, 2007 with multiple life-threatening disorders.  Dr. Boston was highly recommended locally and also recommended by Dad's attending physician in Petersburg, Alaska.  Within several months, with attentive and extremely detailed care, Dr. Boston has stabalized Dad's health and improved his quality of life.  Dr. Boston is knowledge, thorough, communicates well, his thorough care continues and he has made the ultimate difference in Dad's life.  Dr. Boston remains focused on thorough treatment of his patients.  I highly-highly recommend Dr. Boston. 	5	5	5	5&nbsp;	Insurance:Unknown
5	0	&quot; Better than other doctors in the area&quot; sound a Little arrogant.  There are many fine Doctors in the area. 	3	3	3	2&nbsp;	Insurance:Unknown
5	0	My husband was treated by Dr Boston and he has a blood disorder that has been looked into at the CDC and Hospitals in Maryland.  He also goes to the Tribal Health Center. Dr. Boston did not get as involved and try to help as much as We have needed.  I thought he should showed more intrest.  My husband is still looking for help. 	4	3	3	3&nbsp;	Insurance:Unknown
5	1	I'm very impressed with Dr. Boston's thoroughness and professional and pleasant demeanor.  I'm very surprised by the negative remarks I read here about Dr. Boston and his religion because I saw no such bias in him at all and in fact found him much better than most doctors I've seen in our area. 	5	4	5	5&nbsp;	Insurance:Unknown
5	-1	I had high hopes for my visit and I left with the same problem I came in for no answer was given. I feel I was not in his eyes worthy do to not being a Morman. And he judged me,  and I am a good person.  Now I am sick and have to start over with a new Dr.  He should be a healer and not bring his personal opinions of a persons worth to the office.  I have talked to 4 other people with the same experience.  And we are all decent,non drug using,people.  Also good paying pts.  Since he is so Pias he should remember &quot; Judge not least ye be Judged&quot;.  	3	1	1	2&nbsp;	Insurance:Blue Cross / Blue Shield
6	1	I have been a patient of Dr. Bell's for 25 years.  Dr. Bell is a really caring and kind doctor.  He listen's to you and has a great sense of humor.  I recommend him to anyone.  I have had a few surgeries by Dr. Bell, all which went according to his plan.   He wears pink and purple ties too :) 	4	5	5	5&nbsp;	Insurance:United Healthcare
6	1	Dr Bell was wonderful about listening to my concerns and did a marvelous job with surgery.  Two of the main office staff I had to encounter along the way, however, is the reason I won't go back unless I need another surgery and don't find a better option.  When hormones were making me feel crazy, I didn't need condescending office staff to add to my stress.  Two other staff I encountered, though were as wonderful at Dr. Bell.  I recommend Dr. Bell as a doctor, but don't recommend the office as a whole. 	2	5	4	5&nbsp;	Insurance:Unknown
