dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Crosby is very good but waiting for payment from the insurance companies is PAINFUL! He should have his office set up so that when you leave the office all of the bill is already taken care of (by 1 or both insurance companies that you use) and what you have left owing is what you alone are responsible for; otherwise it's back and forth, trying to get yur money back. Stephanie, his regular receptionist is great...but she's on maternity leave at the moment...the temps are dubious. They aren't totally helpful and I'm STILL waiting for a credit from his office. When the insurance companies pay YOUR dental bill to him and not you, there's not a fast enough turn around time to get it back to you. Apparently, according to his latest temp, is that this happens alot.  	3	4	4	5 	Insurance:CIGNA
2	1	Dr Lynn examined my wife's back after a serious fall. He eventually found she had a broken back. The hospital diagnoses was she would be OK in a few days. Dr. Carlson sent her to a specialist in Anchorage. He showed us the broken the vertebrae. We returned to Utah and went to a back surgeont here. He said her back was broken.  Dr Carlson's bill for his good help and extraordinary care was $00.00. I know of older people he treat in their home.for free.  Dr. Carlson is the most caring Dr. we have ever known. Dr. Carlson is GREAT and  very knowafeable 	5	5	5	5 	Insurance:Unknown
2	1	I have gone to this doctor all my life, and so have my children.  He not only treats current ailments, but gives excellent advice on long-term health, diet and exercise, and is familiar with many resources, which he takes time to share.  Very caring, with a heavy emphasis on healthy lifestyles.  Also this clinic is a great alternative to the E.R. when open; although they require appointments, they have always been able to squeeze us in for emergencies.  	3	3	5	3 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Carlson has taken care of my family and me for the last 19 years. There is a very good reason why he is still a very busy doctor. Put simply, he's the best in Kenai. He spends so much time with me and doesn't bill me for the extra time. When it comes to my family's health, I'll always go to Dr. Carlson. 	4	3	5	5 	Insurance:Unknown
2	-1	Had a seizure in his office and was called a couple of hours later to be told that I was fired as a patient. Apparently had cussed out a nurse and slammed a door.  What it amounted to is that he not only didn't know how to treat me but he didn't want to learn! 	1	1	1	1 	Insurance:Medicaid / Medi-Cal
2	1	Dr. Carlson is one of those rare doctors that has a genuine concern and care for his patients. He goes above and beyond. He does not take your concerns lightly and will not try to rush you out of the room. Undeniably the best doctor I have ever been to. 		2	5	5 	Insurance:Unknown
3	1	I'm very satisfied with Dr. Coulter's work, I had extremely bad nearsightedness (over -9 diopters)  and astigmatism, and now see at 20/15 (better than 20/20) the service wasn't covered by insurance, but i would pay for it again just to not have to deal with glasses or contacts. 	5	2	5	5 	Insurance:Unknown
3	1	Very thorough doctor.  Great results. 	4	2	5	5 	Insurance:Unknown
4	1	Answered questions thoroughly.  Good experience. 	3	4	5	5 	Insurance:Unknown
5	1	One word; AWESOME. You would have to look long and hard to better. Thanks Dr. Cynowa. 	5	5	5	5 	Insurance:Unknown
6	1	Great caring office,everyone very kind. From first telephone call when appt was made, staff very helpful on the phone,made me feel comfortable when I arrived until I left.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Chester has been my doctor for going on 7 years. She has been alot with me and has been very helpful. Even though she is VERY busy she is wonderful. She is one of the top doctors in Alaska after all. I would reccomend her to ALL my friends and family who i havent already. Her staff changes alot but the ones that have been there the who 7 years are great and I couldnt ask for a better staff.  	5	4	5	5 	Insurance:Medicaid / Medi-Cal
6	1	delightful office. Everyone is so helpful.The doctor really listened to me and answered my questions or helped me find the right place to look for answers,  I'm thrilled with my experience.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	0	Dr. Chester delivered my daughter last year. I think she has a lot of knowledge, but she was always busy. I always had a lot of question or concerns since it was our first baby, but she didn't listen to me so much. One time she got out the room before I finish my question. She was a nice person, but I would like to see a doctor who will make me feel comfortable. Especially when you are pregnant. 		4	2	4 	Insurance:Unknown
