dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I got my prenatal care here, and I felt that this doctor was very kind and patient, listened to questions, gave answers, spent as much time as needed.  Very kind to patients in pain.  However, he probably treats a lot of patients, so don't expect him to remember you from one visit to the next.  	5	2	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I think he's a good doctor. We switched from the other &quot;popular&quot; doctor in Soldotna who is terrible. Dr. Deede is a good listener and spends as much time as you need. All doctors offices seem to run behind- they have to schedule people tightly because there is a doctor shortage in Alaska. Doctors are people too.  	3	3	4	4 	Insurance:Blue Cross / Blue Shield
1	-1	Rushed through exam, treated me like a number instead of a person.  Not satisfied with the results of my visit.  Not sure if he knew what he was talking about in my case.  I don't think he listened to everything I said.  	 4/13/08	3	1	1	Insurance:Blue Cross / Blue Shield
1	-1	Doesn't respect confidentiality, poor supervision of his staff,  medical records are not maintained accurately.  	1	2	2	2 	Insurance:Medicare
1	-1	Records are incomplete and inaccurate. I didn't know my parents were dead! 		1	1	2 	Insurance:Unknown
1	0	Has what I like to call &quot;Dr's Ego&quot;, but does take time with each patient.  		2	3	3 	Insurance:Aetna
2	1	She is funny and personable, I had to repeat my visit and she did not charge me! I feel comfortable with her.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
2	-1	This doctor only prescribes drug nothing else.  She does not even refer you to a specialist to find out what's wrong with you. 	1	4	1	1 	Insurance:Unknown
3	-1	Dr. Craig Doser along with my exwife wrote papers up for a restraining order on me cause i was in a state of shock that my 13 yr old daughter tried to commite suicide. I should sue them both on the grounds of defamation of character , all because my exwife didnt want me there and told the staff that i had a angermanagment problem , which has never been legally proved. Todays date is july 7th , 2010 . 	1	1	1	1 	Insurance:Unknown
4	0	During my visit I felt that I was treated well.I would most likely recommend this doctor to my family and friends.  I felt this visit was some help.Overall I would rate this visit : good. 		4	3	3 	Insurance:Unknown
5	1	Friendly, knowledgeable, schedules follow up tests in problem areas and contracts patient with results. 	3	4	4	4 	Insurance:Unknown
5	-1	don't know if the doctor is competent or not. But the Tannana Valley Clinic he works at is a nightmare. I've waited 2 months for a referral to be sent out after having dropped off the details not once, but twice, seems they lost it, twice. Was suppose to have an appointment at 1140 was told by phone it was 140 so showed up at 140 and was told had missed appt didn't know when they could see me next. was suppose to have a blood sugar test for diabetes, so I fasted, showed up, took the test. The results: hey, my cholestral is ok. They never ran the glucose test. Needless to say I am no longer going there. Don't know if the problem is the doctor or the clinic, don't feel like sticking around to find out.  Can never reach a human being, though they have a front desk staff of 12 and The doctors are assigned way to many patients to keep on top of things, or something like that 		3	1	1 	Insurance:Blue Cross / Blue Shield
6	1	I am writing from when I used her as a doctor for my children about 4 years back. I cannot write on how she is doing currently as I use a different doctor now. However, back then .. the wait times were close to none. Both her and her staff members were always nice, and answered all of my questions.  	 3/4/09	5	5	5	Insurance:Aetna
7	-1	I had broken my finger while 7months pregnant. He put a blood pressure cuff on my arm so I would not have anastesia because of pregnancy,so I was fully awake. After putting a pin in my finger that was too large, he starts exclaiming...&quot;oh, Oh @$%&*!I put the wrong size in!!! I started panicking and fidgeting on the table due to his on going comments. After afterwards he orderd Physical therapy for my finger whick lead to Osteoarthritis. I can no longer bend my finger. When I went back to him for corrective surgery after bending my finger trying to get more motion, I inevitabley gave myself a mallet finger tip. He said it was caused by hitting the top of my finger...that does not make any sence! He refused to work on my finger again.  	3	3	1	1 	Insurance:Blue Cross / Blue Shield
8	1	I fell and broke my femur, ankle and messed up my knee.  It has been a very difficult 3 years, with 4 operations and a final one coming up.  Dr. Duddy is excellent and knowledable, but if you want to be coddled don't look here.  He is no nonsense and expects you to take the right steps.  Follow his directions and you will do well.  He does not over medicate which I like.  I am walking and that is pretty special due to how messed up my leg was.  Can't wait for the next month, Dr.  Duddy has done a great job for me! 	5	4	4	5 	Insurance:Workers Comp
8	-1	I was injured and taken to Providence by ambulance. Unfortunately for me he was the orthopedist on call. He operated on me but the outcome was less than successfull and I almost died on the operating table. What should have been a routine procedure turned into a nightmare for me and my family. I saw him for several followup visits but stopped seeing him because I felt he was incompetant. 	4	3	1	2 	Insurance:Unknown
8	-1	Dr Newman did my bilateral knee replacement. I had an absess form about 4 weeks after surgery. Dr. Newman was not available so I saw Dr. Duddy. He told me to wait and see. The next day it was alot worse. Dr. Newman told me to get in right now and he would see me on his lunch hour. After he lanced it it was almost 1/4 inch deep and put me on heavy duty antibiotics. I don't know how he ever partenered with Dr.&#63; Duddy. In my estimation this man should not be a doctor. Everyone I have spoken to patients, doctors and nurses roll their eyes when I ask what they think of him. 	4	3	1	1 	Insurance:Unknown
8	1	Dr. Duddy and his staff went above and beyond to get me an earlier surgery date. 	5	5	5	5 	Insurance:Unknown
8	-1	I was hurt on the job on 1/29/10 out of all days, i was referred to Dr. Dud by the ER, had a MRI taken and it showed a L5-S1 herniated disc. I had surgery a month later, the DUD told it would be a 6 week recovery at 2 weeks he told me i needed to return to work and stay of the pain meds. I explained to him that the pain has gotten worse and I had ED dysfunction due to the herniated disc protrusion, It went one ear out the other also the nurse case manager was present and she wasnt any help, matter of fact she was taking up space, the Dud didnt even listen to me. Then i went and got a 2nd MRI and the results were worst than before the surgery. I took the initiative and got a lawyer to look for possible malpractice. I wouldnt even let him do surgery on my worst enemy.Some of these DOCs need a reality check that they are not the one in pain the patient is.  	 5/7/10	1	1	1	Insurance:Workers Comp
8	1	Dr. Duddy took the time to listen to me and answer all my questions.  Friendly &amp; kind.  I would recommend him to friends/family.  	5	5	5	5 	Insurance:Providence
8	-1	Arrogant &amp; rude. Afraid Dr. Newman may have rubbed off on this M.D. 	1	2	1	3 	Insurance:Unknown
8	-1	I saw him for a torn meniscus. Hr assured me it would take about 20 minutes and I would be fine in 2 to 3 weeks. The operation took 2 hours and 15 minutes and he &quot;regret to inform I removed 80% &quot; you will need a new knee within 5 years.A month later I still could not lead with that leg to climb 2 steps to my doorway. When i returned for a checkup I told him my thigh was all bloodshot. he said i might give you a cortison shot. He would not look at my thigh. After some discussion he had a helper put a full lenght brace on my leg. His name says it all &quot;he's a DUD &quot; 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	I got MRSA and the hardware he put in my leg was rattling around unsecured. He repeatedly refused to take out hardware. Another surgeon opened my wound and said the hardware just fell out, that it should've been taken out much sooner. The intense pain was much more decreased after that. 	3	2	1	1 	Insurance:Unknown
9	1	Dr.Dingeman is very personable,especially if you have a dry since of humor.His nurse Kristi is very warm and caring.Dr. Dingeman will answer all questions you have and give you websites to visit if you care to.As far as him being on time,he is the best but,you better have a few extra minutes cause he wants to find out everything and he is very thorough.Dr.Dingeman also usually has a story or joke.I can not say enough good about this man. 	5	5	5	5 	Insurance:Unknown
9	1	Simply the best.  Takes the time to listen to his patients and really get to know them.  He relies on common sense and knowledge rather than prescriptions and surgery.  He will do surgery and order x-rays/MRIs if necessary, but not as a first step or a default option.  Him and his staff are courteous to their patients and seem to really enjoy their jobs.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	. He is a doctor you can count on to do the right thing, not what is going to make him the most money 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Doc is a great. Help me out and tells me averthing 		5	5	5 	Insurance:Unknown
10	1	FYI = Partner Mary Downs is his sister, not his wife. Wayne is a good doc. takes time with patient and admits when the brain stumps his brain. But he is always willing to try new things (or old in new ways,) and sometimes it works. 	5	4	5	5 	Insurance:Unknown
10	1	I have been a patient of Dr. Downs for many years.  He listens and takes my concerns under consideration when making suggestions for my treatment.  He is always responsive and prompt during any neurologic problems I might have in between appointments.  Overall a very honest and concerned physician.  	5	4	5	5 	Insurance:United Healthcare
10	-1	I accompanied my brother-in-law to every neurological visit he had (he also has Aspergers Syndrome and I'm a pre-med student, so I was the natural choice in the family). My BIL has had seizures since he was a child, and had recently moved from Florida. On the 1st visit, Dr. Downs completely changed the seizure meds. He did do it in the normal way, weaning off slowly while weaning on the new meds slowly. However, the drugs he switched my BIL to were the very old, tried-and-true seizure meds that hadn't worked for him in the past (we told him that and he had copies of his medical records). Long story short, the change in meds resulted in a manic attack that landed my BIL in the psychiatric hospital (API) for 2 months! The diagnosis when he got out: Manic attack due to the drastic change in meds and lack of sleep (also due to side effects of meds). The more research I did, the more I was questioning the though process of this doc. He wasn't BAD, but this makes me question his judgement! 	2	3	1	1 	Insurance:Unknown
10	-1	OMG I was sat in his room, him across on his stool reading my paperwork for 15 minutes, then proceeded to poke me up and down my leg with needles asking me if I feel it.. like duh, NO feeling, but thanks for drawing blood all over me with the needles.. HE  ordered tests UNRELATED to what chief complaint was for last 1 1/2yrs.. and now WONT answer questions or CALL me back.  I found him rude and not helpfull at all,  said to us.. I have NO clue why or what.. well duhhhhhhhhhhhh its written in front of you in my records..  his response to us &quot; well you dont check the radiator for a flat tire&quot; wtf 	3	2	1	1 	Insurance:Medicare
10	1	Good at involving me in decisions. Gives me choices in treatment instead of just telling me what meds he is putting me on. Listens to my concerns. Noticed some people find him rude. I think he also has neurological conditions that could be taken as rudeness, but think his eye rolling and fidgets are neurological. I try not to judge those traits as I am seeing him for similar issues. He is blunt and opinionated but not to a point that offends me as some other patients. Been seeing him for 8 years and will continue. He orders tests to make diagnosis and rule out other conditions. Does not hesitate if he thinks an issue is beyond him and you may need another specialist. 	5	1	5	5 	Insurance:Unknown
10	1	Dr Downs does a fine job. Certainly medicine can often be as much art as science. I have an undiagnosed challenge that has to do with migraine and he was familiar with ideas, theories and treatments other doctors were using successfully and made recommendations accordingly. For the most part, my treatment has worked for me and I'm grateful for it.  	3	4	4	4 	Insurance:Aetna
10	1	Very kind and patient.  Takes his time with you and explains things in terms you can understand. 	5	4	5	5 	Insurance:Unknown
10	1	Insurance billing great. Nicole, asst., is great at helping with any problem. Dr. Wayne is your typical Neurologist. He is a wonderful, caring man, but a bit odd. But arent we all. They say neurologists are odd. I dont know for sure. He is the best at spending time with patient, asking questions, etc. If doc does not know, he will find out. He brought up a doc from Seattle to help with cases he was puzzled about or felt needed more minds. Who does that&#63; Dr. Downs, that is who. Some folks complain about punctuality, but you know what, when your time comes, he will stay with you until you are satisfied. So what if he is running late. It is not like he is wasting time. Good man. 	5	4	4	4 	Insurance:Unknown
10	-1	A very strange man. Does not help you. Not knowledgeable. I have seen him twice. Not going back. We need better doctors in AK. 	1	3	1	1 	Insurance:Unknown
10	1	Dr. Downs suffers from migraines too. Over several years of treatment, it is easy to tell if he is having an bad day, medicated or having a difficult time concentrating. He is an excellent doctor as long as you understand his issues and work around them.  	5	5	4	5 	Insurance:Aetna
10	-1	This man is rude, disingenuous, not at all caring or knowledgeable, and a total waste of time and money. He bad-mouthed other physicians in the most unprofessional manner and tried to undermine the good judgement of another physician... He tried, with no sound backing whatsoever, to throw out the valid results of a test which, had I listened to him, could have cost me my vision. Wayne Downs is a ridiculous excuse for a physician. 	1	3	1	1 	Insurance:Unknown
10	1	I was very impressed with Dr. Downs.  He was careful, considerate, and thoughtful.  He explained why he was doing the examination and why he was ordering further testing.  I would recommend him without hesitation. 	5	5	5	5 	Insurance:Unknown
10	1	Although I still don't have any answers as to what is wrong with me, Dr. Downs is an extremely thorough and intelligent doctor. Yes, he is perhaps &quot;quirky&quot; compared to some doctors - but I guess I like quirky people. He spent plenty of time listening to my theories and answering my questions, and he didn't treat me like I am crazy or overreacting (which I have experienced with other doctors). He ordered every test under the sun to rule out any possible conditions. We are now taking a wait and see approach to things and I will definitely go back to him if I need to.  	5	5	4	5 	Insurance:Blue Cross / Blue Shield
10	1	Dr Downs is very professional and straight forward.  He is very blunt about what the prognosis is and what action is neccessary to control / solve the medical problem.  I noticed some folks who rated dr downs did not appreciate this but I for one do.  I do not want my doctors to blow smoke up my !@#.  Dr Downs gave me my options on medication and has been my doctor for 10 years now.  I am very pleased with his service and of his staff's service.  Unless Dr Downs moves or retires I will continue to use him as my physician.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	not much to say except very patient and thorough. He was late but realized it was do to the time that he spends with each patient. Everyone gets the time they need with him...great doc! 	5	4	5	5 	Insurance:Unknown
10	-1	Strange man....did a mass of tests on me to find out what is wrong but still dont have any answers, wants to treat the symptoms now and I just want to know whats wrong.  I didn't find him rude, just very, different.  He does slouch, yawns, rubs eyes alot.  I could take this (and the expense!) if he could only say what is wrong with me. 	4	2	2	2 	Insurance:Unknown
10	1	Dr. Downs is a great doctor. Staff is very helpfull. I would recommend him in a heartbeat to my family and friends. He seems to listen and diagnosed me properly. Great doc, great staff, great practice. Thank you Dr. Downs.  	5	3	5	5 	Insurance:Aetna
10	-1	Dr Downs&#63;&#63;&#63; Is he really a doctor&#63;&#63; He was very unprofessional, arrogant, uncaring, rude(told my elderly mother to &quot;SHUT UP&quot;), LOOKED LIKE HE HAD JUST GOT OUT OF BED. Can in and flopped on down pn the table & stool practily laying on the floor, legs sprawled over the floor. Acted weird like he was in another world flipping a pencil & chewing his gum. Noninformative.  He gave the impression I was wasting his time being there.  He was irritable.  He didn't examine me.  At one point I thought he was asleep.. I wouldn't recommend him to treat anyone, not even my dog.The office help doesn't help patients in wheelchairs with opening door or leaving.  The staff was rude.  He never did find out what the problem was with me. Nor did he care.   Very vague in diaignosis 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
10	-1	dr. downs was the referral neurologist for my migraines. he is a poor listener and does not appear to like people. actually told me that i was taking away his valuable time from the seriously injured. perhaps his wife, in joint practice is nicer&#63; obsessive compulsive&#63; probably good if you are uncounscious from a stroke or surgery. i left worried about him more than worried about myself. brusk, rude, etc.  	2	2	1	3 	Insurance:Blue Cross / Blue Shield
10	1	Dr. Downs is an excellent provider and I would recommend him to my family and friends in a heartbeat! He was able to figure out my medical diagnosis and I believe that he saved my life from further problems. He was very thorough and an overall excellent healthcare provider. Thank you Dr. Downs! 		5	5	5 	Insurance:Unknown
10	0	Dr. W. Downs office staff is helpful and responsive. I was disappointed with Dr. W. Downs in his lack of assisting patients direct and decide their own care. A little more education would be helpful to patients. 		4	2	3 	Insurance:Unknown
11	1	When I was misdiagnosed by several doctors and thousands of dollars sent by unnecessary treatments  it was Dr. Tom that went over and beyond to assure me that he will do anything possible to assist me. He and his staff are amazing. I had been going to a different Chiropractor for years however after meeting Dr. Tom and his staff I can't imagine going anywhere else.  	5	5	5	5 	Insurance:Aetna
11	1	It was a car accident, so I paid nothing.  Have been to many local Chiropractors- some have helped, others not at all.  I heard great things about Desalvo, and was very suprised at the top quality very effective care.  I could tell he cared and for once didn't feel like I was being crowded in with as may patients as he could fit in! 	5	5	5	5 	Insurance:Unknown
11	1	I always recomend him to everyone. He brought me back from a place of despair to where I have a pretty normal quality of life. I totally trust him with my well being. 	5	4	5	5 	Insurance:Unknown
