dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	My daughter has a cleft palate and Dr. Edwards has treated her for minor procedures, but also performed a major surgery on her to graft bone from her hip in her hard palate.  Not only is he an excellent surgeon, but he was tremendously compassionate and tender.  I highly recommend Dr. Edwards. 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Edwards has done two sets of dental implants for me over the past ten years and I highly recommend him. He is competent, knowledgeable and I like his straightforward manner, you get a complete briefing and know what you are up against before the procedure begins. I will go back to him again and again. He has also pulled our children's wisdom teeth with good results. 	4	5	5	5 	Insurance:Unknown
1	1	I had a Surgically Assisted Rapid Palate expansion under I.V sedation at Dr. Edwards office. I was out of the office in less then an hour. Surgery was flawless, no problems at all, no pain either, and we have had great results with my expansion. I highly recommend Dr Edwards, he is wonderful and will definitely be doing my jaw surgery later. 		5	5	5 	Insurance:Unknown
1	1	I had two wisdom teeth removed under IV sedation by Dr. Edwards. I have worried over having them out for years but he had me out of surgery in 30 minutes. Intructions for after surgery were clear. If I ever need oral surgery again I will call him. Thanks. 		5	5	5 	Insurance:Unknown
2	1	Doc Emili is the best doctor I've ever had. I've seen multiple doctors due to my chronic kidney failure and my wife's diabetes, but nobody spent the time with me like Dr. Emili. He knows exactly what hes talking about but puts it in clear language that I can clearly understand. He has motivated me to take better care of myself, if only because he asks me to.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Emili waited on me for one year free of charge because I had no insurance and I needed Medical care since I had a blood clot.I now have insurance and he is still my Doctor,he treated me like I was paying him a million dollars for his service. He set me down and explained my condition to me in plain English. I thank God for Dr. Emili every day he made me feel that I was just as important to him as his patients that had money and were paying him. Thank God for Dr. Emili. 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Emili is among the best physicians that I've seen over the years.  He has always taken his time to explain all of my options and go over Rx, treatments, and questions.  Based on my own research, he seems to be well versed in current kidney research and explains his opinion for or against any promising new approaches.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	 	5	4	5	5 	Insurance:Unknown
3	1	This Doctor has helped me in so many ways I could never say thank you enough. She is patient, thorough, understanding and wickedly intelligent. She has a wonderful bedside manner from babies through to Senior Citizens. She is always punctual and very, very kind. I trust her with my life and the life of my son who was 6 weeks premature, has Asthma, Eczema and Tourettes Syndrome. I wish all the Doctors I’ve dealt with were this remarkable! 		5	5	5 	Insurance:Unknown
3	1	Dr. Erickson is wonderful! She has great bedside manner, is a naturopathic doctor and is amazing with little ones. She has really helped us with our little one and food sensitivities and he has come a long way. I would very much recommend her! 		5	5	5 	Insurance:Unknown
4	1	Physician was very helpful and informed. Staff members were professional. Rates for services were reasonable. 	4	5	5	5 	Insurance:Unknown
4	1	Personable, friendly yet professional an knowledgeable--and fast!.   Great blend in a physician! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	0	Not impressed with skills. Bad nose job. Very disappointed. But a nice friendly person. 	2	4	3	3 	Insurance:Unknown
5	1	Wonderful, caring, understanding, listens to her patients, great bedside manner, friendly, very polite, a fantastic doctor. :) 	4	4	5	5 	Insurance:Unknown
6	1	Dr. Elam is AWESOME! I have 3 children, and she's been my OB for each, delivering 2 of the 3. She also helped me through a tough miscarriage. Her and her nurse (Vita-also amazing, by the way) are great, always updating me on tests in a timely manner, etc. She was also the physician who gave my mother the news that she had breast cancer (her usual physician was out of town when the results came in, and Dr. Elam knew she was my mother and had a repoire with her through that). I would (and frequently DO!) highly recommend her to anyone!!! 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Elam is great!  After I had 2 miscarriages, she immediately began testing me to try to figure out what was wrong & was kind & understanding.  She is professional & I'm happy to report I carried my next pregnancy to term (utilizing the progesterone she prescribed) and my son is now 4 yrs old.  	5	5	5	5 	Insurance:Aetna
6	1	I have been honored to have Dr Elam as my Obgyn for almost 3 years.  When I started having problems in my pregnancy she would call me herself with information.  When I was hopsitalized she was so kind, honest, and again would often come by and check on me even when it wasn't her weekend to be on call.  Also, her experiences not only as a dr but as a mother was comforting. I recommend her to every woman who asks and my husband has also recommended her to men for their wives when they first move to Ak! 	5	5	5	5 	Insurance:Unknown
7	1	I will never see another OBGYN! The office staff is so friendly they are like family by the end of your pregnancy. Dr. Elrod is always about patient choice and is so educated on all birthing methods! 	5	5	5	5 	Insurance:Unknown
7	1	Dr. Elrod and staff are the most compassionate, caring, and emotionally invested bunch of people you could ever meet.  They go above and beyond the call of &quot;good bedside manner&quot;.  I encourage any woman needing an OBGYN to call and schedule an appointment.  The normal cringing that generally accompanies the thought of a yearly exam is squelched after one appointment.  His use of humor, conversation and all around personality will put you at ease.   GUARANTEED! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	He and his staff are wonderful. His demeanor is more like a well educated friend and less like a &quot;I'm the dr so you have to listen to what I say.&quot; He helps you to make good choices about your health care by giving you options, educating you about the options and encouraging you along the way. He is professional but also personable. You will love him and his office staff like one of your own family. The only drawback is he is the only provider so it often takes a month to get an appointment unless it is on a very urgent basis. 	5	5	5	5 	Insurance:Unknown
7	1	This man is a genius! He helped me with all my concerns, and I got to see baby on ultrasound SEVERAL times throughout my pregnancy. I highly recommend him to all my friends and family. :) If/When I EVER have another baby, he is the Dr. I will choose.  	5	4	5	5 	Insurance:Medicaid / Medi-Cal
8	-1	I sent my previous surgical record to him with my referral to get an appointment for a consult.  He told he when i finally got in to see him he hadnt even bothered looking at it to see what my my condition / problems are.  He also had no interest in reviewing any of my mris or xrays.  He really couldnt have been more disinterested.  Very disapointed.   What was the point. I have only one guess to that 	3	3	1	1 	Insurance:Unknown
