dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Gaupp has a gentle and reassuring manner with the kids, her office staff is prompt, pleasant &amp; responsive, and she seems very knowledgeable. My boys feel very comfortable with her and I would recommend her to anyone. The primary nurse is also positive, kind &amp; thorough. The presence of the bunny &amp; rescued &quot;foster-dogs&quot; in a separate area that the kids can see post-visit (or not if they choose) is always a highlight.  	5	5	5	5 	Insurance:Aetna
1	-1	She overcharges insurance companies, does not relate well to children, many billing companies will not work with her because of her fabricated billing.  If you question her decisions she will &quot;fire&quot; you from being her patient. 	3	2	1	1 	Insurance:Unknown
1	1	Dr. Gaupp is an excellent pediatrician who listens carefully, is very knowledgeable, and has incredibly good bedside manner.  The kids always looked forward to going to her office, and we'd still be going to her if we hadn't moved out of state.  She was so good that we were willing to drive to Eagle River from Wasilla even though there were many doctors closer. She was always ontime, no long waits in the waiting room or exam room, thanks again.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Our insurance was billed over $4,000 for a single office visit during which Dr. Gaupp made a report of harm to OCS.  Our insurance denied $3,200 in claims as improperly billed and Dr. Gaupp is insisting that we owe the money and threatening to send us to collections, even though she billed for almost every minute we were in her office.  I would not recommend this doctor to anyone.  	1	4	4	4 	Insurance:Blue Cross / Blue Shield
1	1	During my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.  I felt this visit was a big help.Overall I would rate this visit : good. 		4	5	5 	Insurance:Unknown
2	1	Our 3 year old son woke up from his nap not able to walk.  After a long visit to the emergency room and a visit to another orthopedist, we were told that he had a &quot;tumor&quot;. Well, upon looking at his x-ray, Dr. Geitz diagnosed his very rare (and not cancerous) hip disorder.  Even better, he had successfully done several of these rare operations, so we were thrilled to be able to stay in town for our son's care.  We continue to follow up, even after 4+ years, and our son is doing well with no long term effects of his disorder (so far). We understood the risks of the surgery, but felt like our child was in very capable hands. I completely trust Dr. Geitz, and would not hesitate to recommend him.  He is straightforward, knowledgeable and caring.   My son loves him, and I feel blessed to have had him work with my family 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Geitz was wonderful to us. Our son had a broken wrist bone from a 4-wheeler racing injury. He was very thorough and patient with him, and was a skilled surgeon, putting him back together very well. He placed a screw in his wrist, and got him back in perfect working order. He is very intelligent, knowledgeable and a fantastic diagnostitian.  He is not the smily, joke around type, but who cares when it comes to needing a qualified and talented surgeon and physician.  Thank you Dr. Geitz for your care and dedication to your patients.   It does not go unnoticed! 	5	5	5	5 	Insurance:AHC
2	1	Dr.Geitz was wonderful, I had no idea what was wrong with me or  any other doctor. On my first visit he knew exactly what was wrong. I have a very rare condition &quot;blounts&quot; . He operated to the best of the ability for my age and got me on the right track to proper physicians more experienced in another state. Now Im in recovery doing great. Thank you Dr. Geitz and staff for all your help     --Kimberlyn 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
2	-1	dr. geitz is a horrible person. he put my daughter thru unessary pain for 5 months. Then we found out there was nothing wrong with her hips and he called us bad parents for getting a second opion. would never reccomond him. 	1	1	1	1 	Insurance:Unknown
3	1	I have a-fib and have been to the ER at FMH  to be cardio-verted and this doctor has impressed me with his knowledge and his caring attitude about patients. He is an asset to their ER.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	This doctor I felt knew me from the moment he walked in the room.  It was as if he could look at me with x-ray vision and knew precisely what was going on.  I have never felt so close to a physician before. He is uncannily good. 	5	5	5	5 	Insurance:Unknown
4	1	Dr. Gray was able to make me understand what was happening to my heart and what were the possible fixes.  After the stent was placed, she explained in detail what she found and how the blockage was removed.   She spent enough time to clearly explain the test results (blood, ultrasound, EKG) 	5	5	5	5 	Insurance:Tricare
4	1	 	5	5	5	5 	Insurance:Unknown
5	-1	 	2	1	2	1 	Insurance:Unknown
6	1	Dr. Garcia is very knowlegible and goes the extra mile to explain your condition and find out what is wrong.  She has an excellent bed side manner and actually cares about her patients.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Wonderful, thorough dentist and a kind, caring person. He's meticulous with his work, his staff is awesome, and he is funny and treats you like an equal. I would highly recommend him to anyone... my whole family, including my local extended family, has used him for everything from exams to tooth implants and we have never had a single issue with him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	This man is the preeminent physician in Fairbanks. I don't believe he is accepting new patients, and he is quite expensive if your insurance doesn't cover him, but he is worth every penny. His breadth and depth of knowledge is consummate -- there's simply no other physician matching him in town. 	5	5	5	5 	Insurance:Unknown
9	1	Awesome staff, beautiful office and painless dentistry 	5	4	5	5 	Insurance:Unknown
9	1	Dr. Gregorin II, did several crowns for that are me that are beautiful, my bite feels great and it's awesome to be able to chew on my back teeth again. I would reccomend him to anybody.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
10	1	. very helpful, sympathetic, knows her medication too 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	You have to send the bill to insurance. She is very sharp, smart and extremely helpful. She will work with any therapist you  have that you want to keep, and check all your meds for all docs to make sure you aren't taking wrong things. Also likes holistic medicine and is results oriented. 	5	5	5	5 	Insurance:Unknown
12	1	Compassionate, thorough care.  spends alot of time helping patients to understand difficult complex disease problems.  Staff is very helpful. Very supportive of coordinating care for multiple medical problems.  	5	4	5	5 	Insurance:Medicare
13	1	Dr. Gilson is a wonderful physician. He is kind, courteous, and has a great bedside manner. He's one of the best docs at Alaska Native. 	4	5	5	5 	Insurance:Unknown
14	1	I had a total mouth reconstruction with BioEsthetic Dentist Bill Gerace. Dr. Gerace is a supreme perfectionist, and that is just what you want when you have this much work done! According to their website, &lt;http://www.bioesthetics.com/home.html&gt;; “Bioesthetics is the study of the human chewing system in its natural form and function.” The work included moving my jaw slowly over a period of months back to where it should have been. Even though I took excellent care of my teeth, they were worn down, cracked, and there were numerous other problems with them. In short, they were not going to last my lifetime. I consider it to be a better investment than most I’ve made! And, after spending countless hours in Dr. Gerace's chair, I can state unequivocally that when I look in the mirror, I can see that it was well worth the effort.  When people say, &quot;Hey, you look great, what did you do, lose weight&#63;&quot; Sometimes I'm happy to share my experience, other times I just smile and say, &quot;Maybe!&quot; 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
15	-1	Dr. Godersky was not my primary surgeon but came to check on me after my spinal fusion of L1-L3 following a traumatic accident. I asked some basic questions about what had been done during surgery and he was arrogant, insulting and rudely uninformative. He left me in tears. I cannot imagine having him as my primary care physician, regardless of his skill level. I checked '3' on all the other questions as I cannot speak either positively or negatively about them but am required to provide a rating.  	3	3	1	3 	Insurance:Blue Cross / Blue Shield
16	-1	And Dr. Wayne Cissel.. stand up guy, unfriended me and blocked me from FB IMMEDIATELY when I told him I WILL not recommend him...  Oooh, and what did the question of me being single come from&#63; Once he found out the answer (not single) his attitude sure showed.... your practice shouldn't be associated with your dating...  No wonder you lost &quot;Chiropractic Licence&quot; in a few states now huh&#63; 	1	1	1	1 	Insurance:Medicare
17	1	Visit was very thorough and informative. He spoke in terms I could understand and explained my shoulder problem in detail. I had many questions, all were answered. His staff are outstanding and experts in insurance billing. As the only shoulder expert in our state, I was very happy with my visit with Dr. Gieringer and will be having surgery in the future. 	5	5	5	5 	Insurance:Unknown
17	1	Dr and staff was very competant and caring. They went out of their way to be helpful to their patient. Dr. was familiar with patient's chart when he walked in for the first appointment. Talked to other Dr.s about problems patient was having that were not his specialty. Tries to take care of the whole patient. 	5	5	5	5 	Insurance:Unknown
18	1	awesome caring doctor.  I have had 2 surgeries and he has been wonderful. Love his office staff too. 	5	5	5	5 	Insurance:Unknown
18	1	Best damn surgeon in Anchorage. My husband and I had four combined surgeries and each one was a resounding success.  Thank you, thank you.  	5	4	5	5 	Insurance:Aetna
19	1	Dr. Gitomer is the most knowledgeable doctor I have ever dealt with.  I would recommend him without reservation.  	5	5	5	5 	Insurance:Medicare
19	1	. Dude has been awesome over the years of my kidney failure! 	5	5	5	5 	Insurance:Medicare
