dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
7	1	commentsDr. Saprykina has been my Dr. for 5 years and delivered my 2 children. She is very knowledgeable and very friendly. I reccommendations her to everyone! 	5	4	5	5	Insurance:Unknown
8	1	commentsExcellent care.would visit office again. Problems solved. Great staff. 	5	5	5	5	Insurance:Unknown
8	1	commentsI don't get what the previous reviewers are writing about, because I found the staff to be incredibly helpful and kind. I have had several appointments there and my recent one was to remove the cast. The nurses are really silly, smart, and lighten the mood and Dr. Sedwick is a gentleman and engaging. While I was recovering I received several phone calls from his staff asking how I was feeling and if I had any questions, which I wasn't excepting. It was a happy surprise. I have recommended Dr. Sedwick to a few family members already! 	5	5	5	5	Insurance:Unknown
8	0	commentsAbsolutely RUDE nurse Gloria that works there. Condescending and dismissive. Always feel horrible every time I leave the office. The Doctor is kind and understanding but needs a new nurse pronto! Thinking about switching doctors just due to her constant attitude! 	1	4	3	3	Insurance:Unknown
8	-1	 Went in with an ear problem, left with an ear problem, told I gotta live with it!!! I know there's something wrong inside...  	4	2	1	1	Insurance:Veterans Administration
8	1	commentsVery happy with my care. Great office and staff. // 	5	5	5	5	Insurance:Unknown
8	-1	commentsI have never had a chance to see the doctor, because after waiting for 25 min I had left. Very rude, considering it was my very first appointment in response to his advertisement. I was also surprised when the nurse tried to take charge of my visit. I was not sick and the visit was for cosmetic reason. I guess they have not figured out yet that real patients(who need medical help) and visitors who want to &quot;to look as young as they feel&quot;(paying big bucks), require different treatment aka respect. 		1	1	3	Insurance:Unknown
10	-1	commentsHe is very rude. He talks to people as if they are beneath him. Very unfriendly doctor. 	3	3	1	1	Insurance:Unknown
10	1	 Dr. Schaab had a very nice bedside manner. He spent a lot of time explaining things. I did not need surgery, he sent me to physical therapy which really helped. I got his name from some hospital nurses who work with him in the operating room and say he is the most thorough and spends the most time with his hospital patients after surgery and has the best results. It is a small office and I did not feel like a chart number...they were both very personable. They filed my insurance and I just paid the co-pay. I would recommend to my friends and will go back if I have another problem. He won't do backs or necks though.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
10	-1	commentshe is the worst orthopedic doctor ive ever seen, he is a total tool who is a lackey for dr madeleine grant tap dancing to her bull. Total waste of money. What he said to me and what he put in his chart notes were two totally different things. 	1	1	1	1	Insurance:Unknown
10	1	 Fantastic surgeon! Listens carefully to the patient, evaluates the whole situation, and provides the best possible solution.  Can't say enough! 	5	5	5	5	Insurance:Assurant
16	1	commentsDr. Sahagun is a great doctor. Yes, he's busy. Yes, he has a lot of patients. But that's because he is very knowledgable and the best in the state. My OB wouldn't have sent me to someone that did not care about his patients. Any information you want, he'll give you. When you have your first appointment, he hands you numerous books and resources. Him and his staff want the best for their patients. Yes, they can be brash, but if you've ever stepped into that office, you'd understand. There are some very rude patients. People who are angry towards the people who are trying to help. If you can not be patient and grateful for the care they are providing, then by all means, move along. I have had nothing but a great experience with this office. Yes, treatment is going to suck, but if you are proactive in your health and staying ahead of the game, you will do well. That is what this staff wants from their patients; to be proactive in your care. 	4	4	5	5	Insurance:Unknown
16	-1	 Do not go to this doctor. He has too many patient due to his Hep C Studies. He gets paid from the government per patient. He put me in his study without my permission. When I questioned why he had done so, he dropped me as a patient in the middle of treatments with no ref feral. I have lost all trust in doctors due to him. It was devastating, I was so very sick on the interferon treatments. He was rude and cold and more worried that I could sue him then my health. I had been his patient for over 3 years, during that time he was late 100% of the time, Lots of hours in the waiting room. But mostly I wouldn't even see him he was too busy, just his nurse who was also very rude. As for his billing. My insurance company was double and triple billed for some of my treatments. Unless I really had 3 Liver biopsies in 1 day&#63; Or 2 office visits same day. So No I don't recommend Dr. Sahagun.  	2	1	1	3	Insurance:Blue Cross / Blue Shield
16	-1	 Blew through things. Did a couple of procedures and then was impossible to get a hold of for explanations.  Very disappointed and went somewhere else.  	3	3	1	1	Insurance:CIGNA
16	1	commentsA great doctor who has perhaps taken on too many patients due to his excellent knowledge and skills.  Appointments can be months out and punctuality is a problem. However, he is probably the best in Anchorage for anyone with hepatitis.  Good bedside manner and very knowledgeable about current research, medicines, etc.  Most of the staff is excellent with one or two exceptions on occasion.  He is very supportive to anyone undergoing treatment. 	4	3	5	5	Insurance:Unknown
16	-1	commentsSlick talker but really is not as smart as he seems. Wish I had known he was not board certified. 	3	3	1	1	Insurance:Unknown
16	1	commentsDr. Sahagun is the greatest.  Easy to relate to. 	4	4	5	5	Insurance:Unknown
16	1	.  very pleasant, kind & understanding, thorough, explains in easily understood details, blunt but respectfull, knowledgable, listens to and answers all questions, great office staff, friendly & kind personnel, always courteous on the phone, competent staff, very professional, great bedside manner, confident in his treatment and decision making skills 	5	3	5	5	Insurance:Blue Cross / Blue Shield
16	1	 Excellent manner, very through, very knowlegable, highly recommend. Excellent staff.  		5	5	5	Insurance:Blue Cross / Blue Shield
16	1	commentsDr. Sahagun has a lot of patients, he is the best Hep C doctor in the State of Alaska and I said he was on time but usually you have to wait because he does procedures in all hospitals in town, has emergencies and runs a little late. He is definitely worth the waiting time. No matter how busy he is, he greets you warmly and chats with you and answers your questions. Absolutely #1 doctor in his field. 		5	5	5	Insurance:Unknown
19	1	 This is the best doctor I ever had. Known for being a great surgeon, great bedside manner, really listens and cares. He is the standard by which I compare other doctors.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	-1	.  time i will never forget in my life and my son is now buried 	1	1	1	1	Insurance:Medicare
25	-1	comments 	1	2	1	3	Insurance:Unknown
29	-1	comments 		3	1	1	Insurance:Unknown
29	-1	comments 		3	1	1	Insurance:Unknown
33	1	commentsHe was extremely polite and went out his way to assist me.  He came in the middle of the night and assisted me the best he could. Great service especially considering the circumstances. 	5	5	5	5	Insurance:Unknown
33	-1	 He has a poor &quot;Bed-Side Manner&quot;.  Rushed me into surgery after demanding full payment up-front.  After Surgery, he announced he was going on vacation to Hawaii.  He left no one in charge, and when I had an infection in my incision, I was told to go to the emergency room.  I had to threaten him to get a copy of my pathology report.  My diagnosis was life threatening, and I was treated poorly by staff and Doctor.  He never looked at my incision afterwards.  Just wasn't interested enough.  I'll never go to him again.  	2	5	1	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$7000
39	1	 I love Dr. Schaefer! She is very caring, honest and knowledgable.  I have breast cancer and feel she helped save my life! 	5	4	5	5	Insurance:Medicaid / Medi-Cal
43	0	 Only talks rather than listening to patients. Very loud so you can hear him with every patient while you wait.  ONLY cares about the extensive labs he wants to do 4 times a year.  You can't get a word in with this arrogant Dr.  He will blow you off immediately. Never spends more than five minutes max. Absolutely skipped courses on bedside manner. His nurse and staff have been simply wonderful to me for years.  They get the gold star.  You better be well insured as Dr Sarrimanolis will vacuum your wallet and leave you intimidated if he can.  	4	3	2	3	Insurance:Aetna
43	-1	commentsDr. S was by far the worst doctor I have seen. He was always late, and would see patients out of order. After waiting 30 minutes past your exam time he will come in and see you. That would be ok with me if he would spend more than 2 minutes seeing you. He has horrible bedside manner and try'd to push unnecessary tests. I went elsewhere and got a second and third opinion, both of the other doctors couldn't understand why he was pursuing the test (a scope for me). They both mentioned it was probably because the scope pays a lot, but we're upset because of the unnecessary risks involved. I will certainly not recommend anyone to see this doctor. If you go expect to be treated like cattle instead of a sick patient. 	3	1	1	1	Insurance:Unknown
43	1	 Dr Sarrimanolis is a very knowledgable Dr, but orders a ton of bloodowork when a previous lab is slightly abnormal versus repeating the test.  He has a &quot;NURSE&quot; which is far from polite.  Chris nevers follows up on phone calls, never calls a presciption in on time and is just rude.   A nurse should care and she clearly doesnt!  His billing dept is clearly on the same page as his nurse, rude!  Lets not even talk about staff turnaround!  no wonder Sylvia McCormick left, and her patients followed, Dr Nick is going to run himself in the ground here in our small town of Fairbanks! 	3	3	4	5	Insurance:Banner Health
43	1	 Often hard to get a word in edgewise, but Nick really makes an effort, I've been pleased with his service.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
