dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	-1	commentsVery Rude Staff.  Once the Dr. asked me to her office, she spent 5 minutes going through her mail before she acknowledged me. Didn't have knowledge of my problem. Poor English. O wouldn't recommend her to anyone. 	2	3	2	2	Insurance:Unknown
4	1	 I like her front desk staff, and dr. caltaru has helped my migraines tremendously. She is very intelligent and very helpful.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
4	1	 She is very skilled at diagnosis.  Besides myself, she was able to diagnose an issue that other doctors couldn't.  	5	5	5	5	Insurance:United Healthcare
4	-1	commentsTHIS IS ONE OF THE WORST NEUROLOGISTS I HAVE EVER BEEN TOO. I DONT EVEN THINK SHE CAN SPEAK PROPER ENGLISH AND IT IS RIDICULOUS!! SHE WAS SO UNHELPFUL AND IT WAS JUST SO UNBELIEVABLE HOW RUDE AND CONDESCENDING SHE WAS TO ME AND MY MOM. I WOULD NOT RECOMMEND HER TO ANYONE!! 	2	3	1	1	Insurance:Unknown
4	-1	.  THIS DOCTOR IS UNBELIEVABLE, THE SERVICE OF HER STAFF IS BEYOND NEGATIVE AND THEY DO NOT KNOW HOW TO TREAT PEOPLE!  MY MOM HAS MS AND HAD TO HAVE PAPERWORK FILLED OUT AND THE DOCTOR SAID TO HER &quot;THIS BETTER BE THE LAST TIME I HAVE TO FILL THIS OUT FOR YOU!!&quot; VERY DISRESPECTIVELY! AVOID THIS DOCTOR LIKE THE PLAGUE! UNBELIEVEABLE! 	1	3	1	1	Insurance:Aetna
4	0	commentsI felt her staff is very unprofessional and unreliable. 		1	3	3	Insurance:Unknown
4	1	commentsVery attentive and listens to you. Very thourogh 		4	5	5	Insurance:Unknown
5	1	commentsDr. Cadoux is an excellent doctor. His staff is also amazing and I would highly recommend him to everyone who is needing a doctor. 	5	5	5	5	Insurance:Unknown
5	1	commentsDr. Cadoux is excellent at what he does.  I have gone to him for years for cosmetic injections and have always been 100% satisfied with his artistry and the prices. 	5	5	5	5	Insurance:Unknown
5	1	 I have been with this doctor for many years and he has been very good at keeping me well.  	4	5	4	5	Insurance:Medicare
5	-1	comments 	2	2	1	1	Insurance:Unknown
9	1	 Dr. Califano has helped my husband and I get through the most challenging year of our marriage together.  He is respectful and considerate of both of us.  He has taken the time to contact both of us outside of our sessions by phone, email, and snail mail to follow up on discussions or materials he has provided for us.  Dr. Califano has an outstanding sense of humor that he uses to share his own life experiences with us.  It would be wonderful to have other doctors as knowledgeable and passionate as Dr.  C! 	5	5	5	5	Insurance:CIGNA
16	1	 I have used both Dr.s for years and both are very good at what they do with my children's medical issues. I have not had any issues with either doctor and if I don't know something I make sure they explain in detail, so I do understand.  I mean we are paying for their time, are we not&#63; 	3	4	4	4	Insurance:Aetna
16	1	 Dr. Callie was at the hospital right after my son was born, and again at 6am the next morning. He's soft-spoken and can be a little tough to read, but is gentle with the kids and is compatible with a common-sense approach to parenting - e.g., great for a non-panicky parent who doesn't want to make a fuss over bumps and scrapes. Father and son (both Dr. Albert Callie) work as a team, so sometimes we see Sr and sometimes Jr, and they're both good with the kids. They're also very available - I have called in early morning to leave a message requesting a call back, and Dr. Callie has answered the phone (great surprise) and told me just to come in. Sat AM appts available. Office staff are neither super nice nor unhelpful - they're efficient and they get the job done well.  	3	4	4	4	Insurance:Tricare
