dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Found Dr. Darr to be one of the more competent family doctors in town.  	4	5	5	5 	Insurance:Tricare
1	1	Marc Darr has extraordinary listening skills.  Personable, level-headed, no BS, compassionate professional. 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Darr is a very nice and helpful doctor!  Highly recommend. 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Darr has been my physician for the past 2 years.  His exams are thorough and takes time to listen to all your concerns.  Always on time and it never takes more than a couple days to get an appointment... even for a yearly exam.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Extremely knowledgeable and gentle, unable to look me in the eye the entire visit.  Office staff is A++.  Made me feel uncomfortable, will not return for that reason only.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Great dentist, has helped my child & myself. Does not rush the treatment, staff is helpful too. I will return to him.  	5	5	5	5 	Insurance:Aetna
2	1	This dentist is a very low key, kind, gentle, smart (summa cume laude from Georgetown University)guy who is extremely honest. I would recommend him to anyone.  		5	5	5 	Insurance:Aetna
3	-1	I thought that I could trust this doctor with my care. I am a 20 year old college student and had abdominal pain. It turned out later I had a cysts and she seemed like the most uncaring doctor and she left a message stating that she wanted to put me on borth control I never came back and went to my family practioner to get birth control. She seemd like the most uncaring doctor ever I never felt ressured that everything is okay. Two months later I had to drop my summer class because of pain and had too fill up paperwork to get a prorated refund. I called recently to get medical records about my pain and they stated that I needed to see them in an appointment forget that I can get my records at my doctors office! I would never ever go see her again and will not reccomend her to anyone.  I have seen reviews of her poor job in delivering babies! 	4	1	1	1 	Insurance:United Healthcare
3	1	She has been my gynecologist for about 3 years and is now my obstetrician.  I usually only have to wait about 5 min.  She gives me time to ask questions and answers them as best she can.  Some things she has told me have turned out to be wrong when I ask other docs or research myself.  Other than that, it has been a good experience.  	4	5	4	3 	Insurance:Blue Cross / Blue Shield
3	1	Superb physician. Delivered my 2 children. Supported a natural (no epidural) labor & delivery. Implanted essure permanent sterilization. Abreast and educated in latest technologies, standards and practices. Premium women's healthcare provider.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	I had the worst experience with this OBGYN than I have ever had with a doctor's office.  I am not normally one to write reviews but I feel so strongly that I must share.  Desert Mountain OBGYN was an unpleasant experience from the  start.  The staff is very unfriendly, I did not receive so much as a smile or a hello, waited an hour to be seen, and the nurse practitioner was unfriendly as well.  A year later I decided to give them a second chance.  I had a last minute trip come up and I was unable to make my appointment.  It took me THREE days to reach someone to cancel it.  A few months later I receive a letter from a collections agency that I had a &quot;no show&quot; and they were charging me for it.  Unbelievable!  I tried to reason with the office, explaining that I did cancel it.  They basically called me a liar and that they would not remove the no show charge.  I was stuck paying this or else I would end up in collections.  I would not recommend this OBGYN to anyone. 	1	1	1	3 	Insurance:Unknown
3	1	Dr. Dairiki is extremely kind and helpful.  She takes her time to explain and answer questions.  She is a gentle person who is extremely approachable and empathetic.  I am a new patient so her knowledge is still somewhat unproven, but she is quietly confident and instills trust.  	5	5	5	4 	Insurance:Aetna
3	0	I trusted Dr. Dairiki for several years prior to my pregnancy which was a miracle after struggling with infertility for many years.  I had horrible morning sickness, pre-term labor and eventually severe preeclampsia, all of which she blew me off about.  If you find you are at high-risk then find someone else, because she won't acknowledge she's in over her head.  I ended up back in intensive care less than 24hrs after discharge because she continued to ignore my complaints from my blood pressure and coloring and extreme fatigue (I had turned yellow, later found out from severe anemia for which she blew off and the ICU had 4 units of blood waiting for me once my blood pressure would drop).  Not only did I miss out on the first week of my daughter's life, but I now have to see a cardiologist because she blew me off when I told her that the &quot;normal&quot; blood pressures I had, were high for me. I will never return to her nor recommend her.  I did however love her Nurse Practitioner.  	4	4	3	2 	Insurance:CIGNA
3	1	Dr Dairiki is very knowledgeable and has a quiet, calm, polite bedside manner. She delivered two of my children, identifying complications and getting me thorough a difficult birth. I trust her completely. Her staff has been helpful and I will continue to see her.  		5	5	5 	Insurance:CIGNA
3	1	Dr. Dairiki's bedside manner needs some work. She was very uncomfortable with some personal decisions I had made about my own treatment and was very upset when I missed an appointment due to illness. She did get better the longer I knew her. And I feel comfortable enough with her now. But at first it was very difficult. 		4	4	4 	Insurance:Unknown
3	0	Dr. Dairiki had me go on bcp for cramps and I did not test for several things. I had complications that lasted over a year even after going off the pill. She also did not do thorough exams. 		5	4	2 	Insurance:Unknown
