dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Very caring and concerned. Makes an extra effort to connect to patient's problems and personality. Very patient and tolerant.  Easy to talk to about anything ... anything!  Sorry he left the area where I am - hard to find a good replacement. 	4	4	5	5 	Insurance:Unknown
2	1	Skilled, helpful, empathetic, realistic, flexible. Dr. Gellerman provided quick relief and long lasting strategies to me and my family. Professional and warm in every way. 	5	5	5	5 	Insurance:Unknown
2	-1	This guy seems more like a burned out hippie than a therapist.  He didn't really seem to know what was going on, might have something to do with the pills he was taking during our session.  I will not go back. 	2	4	1	1 	Insurance:Unknown
2	1	Dr. Gellerman is extremely empathetic and trustworthy. Superior communication skills and asks the right questions. Seems well versed in the science behind the medicine.  	5	5	5	5 	Insurance:United Healthcare
2	1	Dr. Gellerman specializes in Ericksonian hypnotherapy.  He is very caring and sympathetic. 	5	5	5	5 	Insurance:Unknown
3	1	I love Dr. Askar.  We take both our children there.  Her staff is wonderful, with the exception of the front desk lady, she is not very personable.  Dr. Askar is great with the kids, and always takes the time to answer all our questions.  	5	5	5	5 	Insurance:Aetna
3	-1	 	2	4	1	1 	Insurance:Unknown
4	-1	Before you go here, you had better look him up on the web. Scarey stuff. 	2	3	1	1 	Insurance:Unknown
5	1	Dr Gecosala is a reality doctor.  If he gets in your face, there is good reason.  He does not tolerate those seeking drugs for illegal reasons.  He tells you like it is and what you need to do to get better.  If you ask, he will answer....honestly.  Great doctor, but you have to be real with yourself first.  	4	4	5	5 	Insurance:United Healthcare
5	-1	hes great on giving out pain meds BUT he doesnt give his time...he rushes you out of his office and is very prejudiced about problems he doesnt like such as transgender issues.  Actually yelled at the top of his lungs to my son...what ya wanna be a girl.. theres something wrong with you 	1	1	2	2 	Insurance:United Healthcare
5	1	On target diagnoses every time, after previous erroneous diagnosis from other doctors.  Appointment times very convenient and above average in keeping appointment times. Very accomodating and knowledgeable. Always takes the time to answer questions.  	4	4	5	5 	Insurance:United Healthcare
5	-1	This doctor does not care about his patients he cares about numbers, get in and get out brags about his harvard education and sharesn info on other patients problems, perhaps his gambling  habits, yes thats right Dr. g you gambling habits have corrupted you. 	1	1	1	1 	Insurance:Unknown
5	-1	Dr GECOSALA IS THE MOST UNPROFESSIONAL, RUDEST DOCTOR I HAVE EVER MET. I TOOK MY CLIENT WHO HAS ASPERGERS AND MMR INTO SEE HIM ( SHE HAS SEEN HIM BEFORE),. I ASKED HIM A QUESTION AND HE WAS SO SACRCASTIC AND RUDE, I WAS SO DUMBFOUNDED. I ASKED A QUESTION TO CLARIFY SOMETHING, AND HE RESPONDED... &quot;WHAT DO I HAVE TO SAY IT A 3RD TIME&#63;&quot; YOU LEFT THE PATIENT, STORMED OUT OF THE OFFICE SAYING, &quot;I NEVER WANT YOU IN MY OFFICE AGAIN.&quot; tHAT WILL BE THE LAST TIME MY PATIENT IS TRAETED SO BAD AS WELL AS I. 	1	2	1	1 	Insurance:Unknown
5	1	Dr Gecosala is a wonderful doctor who is very intelligent and gifted in his medical knowledge. My wife has MS and Dr Gecosala was the 3rd doctor she went to but the only one that could diagnose her problem. What the complimenting person says below is very accurate and I am very skeptical on the person who wrote bad things about him..... I highly doubt the doctor injected anything without permission or explaination, 2nd if you let anyone inject you with something and not worry about what it was until afterwards I'm thinking you are problem not the doctor.  		4	5	5 	Insurance:Blue Cross / Blue Shield
