dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	1	 Amazing abilities. Performed a 12+ hr Whipple surgery on75 yr old pt who was up and about within 3wks and on the golf course in 8 wks.  Over 2 yrs later, no complaints! 	5	5	5	5	Insurance:Tricare
4	1	 a knowledgeable doctor who will explain the diagnoses and treatment thoroughly.  He is a good listener and can make sense of what I try to explain.  He is easy to talk to and compassionate.  Dr. Nakazato also communicates well with other doctors in my treatment plan.  He has an office staff of one. She  is friendly, efficient and caring. She handles scheduling of tests, referrals and procedures in a very timely manner.  His hand picked surgical team is also first rate.  	5	4	5	5	Insurance:United Healthcare
7	1	 Absolutely one of the best doctors I've ever had.  He is very smart, extremely skillful and will keep you apprised of everything you need to know.   And he willingly and patiently answers all questions! 	5	5	5	5	Insurance:Medicare
7	1	comments 	4	4	4	4	Insurance:Unknown
9	-1	commentsVery disappointed with Dr. Nally. Appointments are scarce even for follow up for serious illness/disease. Does not care about his patients. 	1	1	1	2	Insurance:Unknown
9	-1	 This is one of the worst doctors my wife and I have ever worked with.  She was pregnant and her iron was low, this doctor made her take three consecutive blood iron tests (iron consecutively getting lower over three weeks). He was going to make her take a fourth test.  We lost the child after the third test.  We took the three results to her obgyn and she stated he was neglagent.  She sent us to a hemotologist, and that doctor also confirmed his negalgence.  If you like being herded like cattle, giving away your money, and treated like a 2nd class citizen, Dr. Nally is the Dr.  for you!!!! 	1	1	1	1	Insurance:United Healthcare
9	0	 Worst experience I have ever had. Appt was rushed. Wouldn't fill my pain med without an MRI, assumed I was a drug shopper.They called in 2 meds that weren't covered by insurance.Called back that day, left a message.It was the Wed before Thanksgiving. They called me back 1 week later. They said I had to come in to have my meds changed! I told them I never got meds, my information was exactly the same. I gave up, made an appt the following week. They forgot to schedule the MRI until I asked. I went back to meet with the PA Brad Hall and he was rude &amp; cold. I had bad back pain, MRI confirmed serious situation, gave me 1/2 the amount of pain pills and made me sign a form saying I wouldn't drink alcohol or sell the medicines! I realize that middle class women do that but I wasn't asking for extra, or more than prescribed originally. I left.  New to the area I forgot the address of the xray place &amp; they claimed I never had xray! Had to call insurance co for address - got copies for new Dr!! 	2	4	2	3	Insurance:Aetna
9	1	 Dr.Nally is I believe the most efficient and caring doctor that i have ever met. Not to mention he is extremely knowledgable. He actually listens patiently to all my concerns and problems in the most compassionate unrushed way. And being in the healthcare field and as a pharmacist dealing with many doctors and office staff everyday, I can honestly say that this doctor is brilliant and has an amazingly caring staff.  	5	5	5	5	Insurance:United Healthcare
9	0	 as a new patient i went for a wellnes physical. i felt very rushed and the doctor had 2 assistants with him ,both non-medical. when i asked questions he was willing to answer but seemed in a great hurry.  	3	4	2	3	Insurance:Humana
9	1	 Dependable and efficient office staff, Dr. Nally is very thorough and knowledgeable.  Great job! 	5	5	5	5	Insurance:Aetna
9	1	 Dr. Nally is very detailed and caring.  Takes as much time as neccessary for each patient which may cause him at times to run slightly behind.  I would reccomend Dr. Nally to anyone, any palce.  	5	5	5	5	Insurance:Medicare
9	1	.  Excellent, friendly, handsome and knowlegable and he speaks excellent English!!! 	5	4	4	5	Insurance:Medicare
9	1	comments 	5	5	5	5	Insurance:Unknown
13	1	commentsvery nice and knowledgeble. always returned my phonecalls and I wasn't an easy pateint.  all her pateints that I spoke to in the waiting room rave about her and being her pateint for two years I agree completeley.  I recommend her to all my family and freinds and they feel same. 	4	4	5	5	Insurance:Unknown
