dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I have been treated very poorly by Dr's office manager, front office personnel.  I spoke with three people about an RX, and finally gave up!  The office personnel need LOTS OF CUSTOMER SERVICE TRAINING.  Very sad, as it reflects on all the Dr's in the practice.  Too long waiting to see my doctor, then rushed in and out so fast you forgot why you came for the visit!  I'm moving on.  	3	2	2	2 	Insurance:Blue Cross / Blue Shield
1	-1	. i am not happy with this Doctor! It takes forever for test results! It seems like the staff do not care for people! Ya have to wait to see him for a visit and then he rushes you out with no clue of the results! 	2	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	I'm always seen quickly and have no problem making appointments when I want them.  Dr. always asks how I am and if I need anything.  Visits are not usually long, but do cover the issue at hand.  He has made referrals promptly when needed (ie, for carpal tunnel)and considers treatments that I mention.  Sometimes he agrees with me and sometimes not, but he explains why.  I am very happy with this physician and with his MA Michelle, who is also very pleasant and helpful.  	4	4	5	5 	Insurance:Tricare
1	-1	Apathetic staff, poor follow up.   Dr. Ong-Veloso is slow to treat, un-responsive to written requests, the time between getting test results and seeing the doctor is un-acceptable; I have waited up to 8 weeks to be treated for an ailment. Referrals take months to get processed, files lay on the medical assistant’s desk for weeks before they are processed. There is no follow up on important issues. Requests for treatment and denied by insurance companies due to poor documentation preparation by support staff. There is always a 10-20 minute wait to reach the doctors office by phone.  Overall this practice is overbooked and understaffed; the apathy is only surpassed by the lack of attention given to the patient. 	1	2	1	1 	Insurance:Unknown
1	-1	I was always kept waiting both in the lobby and once in the exam room.  He would come in for about 5 minutes and never seemed to know why I was there although his office scheduled the appt.  Ordered labs and they were wrong so he said &quot;oh wait another 3 months and we'll do them again&quot; and then charged my insurance company for a 3 minute visit.  I won't go back.  	2	1	2	2 	Insurance:Blue Cross / Blue Shield
1	-1	Dr. Ong-Veloso failed to report back to me on a crucial lab test, for which I needed the information within 24 hours to determine if the dose of blood thinner I was taking was adequate. It's three weeks later. Still nothing from his office. 		5	1	1 	Insurance:Unknown
1	1	Caring & Considerate, especially Michelle. 		4	5	5 	Insurance:Unknown
1	1	He cares about his patients.  		5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. O never makes me wait too long and always makes me feel comftorable. He always has a good detailed answer for my questions which i love because my ob before always ignored my questions and just acted like i was paranoid. He is always gentle and very considerate. overall great doctor.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	I had an opposite experiance with Dr O than the other reviews on here. I am pregnant with my first child and came in to an appointment with a list of questions. He took one look at my list and told me that I was a control freak and I needed to let things go. That did nothing for my confidence in him and in myself. I wanted to change Dr.s for the rest of my pregnancy but didn't want to go through the switch. My only hope is that he is unavailable for my delivery.  		4	2	5 	Insurance:United Healthcare
2	1	Very kind, gentle and caring. Listen's to your questions and answers them so that you can understand. 		5	5	5 	Insurance:Unknown
2	1	Very knowledgeable and kind. He makes you feel comfortable and not afraid to ask questions. Overall he is a very nice and caring person.  		5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	He is a great doctor and everyone in town (not just pts) loves him because he is gentle, intelligent, and a good guy. In my case, he identified a disease that is very rare, and many people suffer for decades before getting a good diagnosis. His handling from the first was first-rate and I am amazed (and pleased and grateful) at his competence, knowledge, and practicality. 		4	5	5 	Insurance:Unknown
3	1	I saw Dr. Ogesen for about 7 years.  He makes it quite clear that he is a Psychiatrist who is for med management only.  If you are looking for talk therapy, try a PsychOLOGIST.  I hear people complaining about his lack of talk therapy.  He actually would spend 1/2 hour doing more talking with me than he had to.  I don't know what II would have done without him.  I had my own therapist for talk therapy.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I saw Dr Ogesen because I wanted to be evaluated for medication that could help with my irritability on the job.  He listened and discussed a couple of medications with me(benifits/possible side effects) and allowed me to partner in the decision. I did not go to him for talk therapy as I'm aware he is the pro for medications.  I found him to be professional, caring and kind.  	3	3	5	5 	Insurance:CIGNA
3	-1	I had a very bad experience with Dr. Ogesen, who treated me for insomnia.  His office was difficult to reach; often no one picked up the phone when I called the office.  But the worst thing was the way his office would unilaterally cancel and make me reschedule appointments at short notice.  Eventually, he fired me as a patient after I made a complaint about his scheduling practices to my insurer.  But before firing me, he spent about 15 or 20 minutes angrily berating me in his office for making a complaint to my insurer.  It was the most unprofessional behavior by a doctor that I have ever seen! It was pretty scary too.  Some doctors can handle authority, and some just can't.  	1	2	1	3 	Insurance:Humana
3	-1	I felt like there was next to no treatment from this doctor. I was prescribed medication and that's pretty much it. I came in monthly, he wrote a script and I was on my way. I received no help other than that, which is, as mentioned by the other comment, bare minimum. 	4	4	1	1 	Insurance:Unknown
3	-1	I felt that Dr. Ogesen offered me the bare minimum treatment, leaving me with the feeling that I was a number, and not a person. I do not recommend him for other patients, because I believe his treatment methods simply &quot;bandage&quot; patient's issues with medication, though nothing further. I was left feeling that Dr. Ogesen simply relied on the medications to do their jobs; therefore, I was left wondering the true validity to his professional knowledge, expertise, and integrity. 		3	2	2 	Insurance:Unknown
4	0	This practice is not upfront with their fees.  I ended up paying more after the services than they said I would.  	4	5	3	3 	Insurance:Delta Dental
