dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	.  	1	1	1	1 	Insurance:Medicare
2	1	My wife and I have been to many doctors, and this man is far and away the best! With a difficult condition to treat, many docs are incapable of understanding my wife's suffering, let alone treating her successfully. Dr. Ratcliffe gets it. He understands pain, and pain relief. He is the only doctor my wife feels safe with, and truly trusts. He is patient, kind, understanding, and always respectful. I always accompany my wife, and many doctors ignore me. Dr. R. listens to us and sepaks to us as the team that we are. Many docs keep an invisible and unspoken barrier between themselves and the patient, but we never have felt that with Dr.R. So much of health care now is just a business, flipping patients in and out like McDonalds flips burgers. If more doctors were like Dr.R. there would be less suffering in the world! Very few people you can say that about, but for Dr.R. it's true! Outstanding doctor. If you are not getting the absolute best where you are, do yourself a favor; call Dr.R! 	5	5	5	5 	Insurance:Unknown
3	-1	 	4	4	1	1 	Insurance:Unknown
3	-1	Please anyone who is considering liposuction, please do your reasearch.  Ask for pictures and ask to speak with previous patients.  I truly regret having my liposuction with this doctor. 	4	4	1	1 	Insurance:Unknown
3	1	I couldn't be happier with my breast augmentation experience & GORGEOUS new boobies! I was referred to several plastic surgeons by girlfriends & went on several consultations before I found &quot;Dr. Heidi&quot;. After meeting Dr. Regenass, I knew my search for a skilled surgeon was over. For me, my relationship with my surgeon was an important factor in my decision to pursue breast augmentation. The doctor-patient partnership I formed with Dr. Regenass made the process so easy. Postoperatively, her and her staff continue to be incredibly warm, caring, knowledgeable, and supportive. Dr. Regenass truly is a gifted surgeon; she understood my goals for surgery, knew exactly the (natural) look I wanted, and she DELIVERED! If you don't believe me, ask my boyfriend. Signed, a NEW Friend & Loyal Customer 	5	5	5	5 	Insurance:Unknown
3	1	I had breast augmentation in July of 2007 with Dr. Regenass. I found her to be skilled and very helpful in deciding what size I should go and that under the muscle was the best option. It has been a year since my surgery and I'm very happy with my results. She was very caring after the surgery, she called my home several times following my procedure to be sure I was doing well. I definitely think if you are considering breast implants, you seek her, but be sure to ask a lot of questions. She is always more then willing to answer them and make sure you feel more confident in your decision. 	4	5	5	5 	Insurance:Unknown
3	1	I have had several procedures performed by Dr. Regenass.  She is an extremely knowledgeable and skilled surgeon.  I would highly recommend her. 	5	5	5	5 	Insurance:Unknown
3	0	Dr. Heidi Regenass performed an over the muscle breast augmentation on me in March of 07. First of all, that was a poor choice on her part as well as mine for not getting a second opinion. If you have done your research you will discover that very few if ANY board certified plastic surgeons perform this procedure. (AND for good reason) I feel in love with her sweet bed side manner. She is an intelligent, gorgeous woman, but NOT a talented plastic surgeon on the cutting edge of plastic surgery procedures as she portrays herself to be. I went to her seeking a breast lift. She assured me I was not a candidate for that procedure. She assured me I would get a &quot;lift&quot; by placing the implanst above the muscle. Her patient education skills are tremendously lacking. She never informed me of the complications of placing he implant above the muscle. She very confidently assured me dozens of time how &quot;gorgeous&quot; I'd look. Yet, 6 months post procedure I had 4 board certified plas 	4	5	5	1 	Insurance:Unknown
3	-1	 	1	1	1	1 	Insurance:Unknown
3	-1	I found out the hard way that Dr. Regenass does not stand behind any faults of her surgeries. In my case, she would not redo a six month old breast augmentation that turned out to be a disaster. She was trying very hard to convince me that she did nothing wrong; in reality choosing her as a surgeon is the worse mistake I made. Please do not allow a kind warm atmosphere and credentials fool you. Pray that if you do choose her, what happened to me will not happen to you. 	3	3	1	1 	Insurance:Unknown
