dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	1	 Doctor was quite helpful, showed empathy.  He spoke to my family and explained to them the concerns about my health and spoke to all of us in the simplest language possible to explain my condition rather than the jargon.  He also helped me find an outpatient oncologist who was just as nice.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
8	1	 My family has been seeing Dr. Tamburro for over 10 years.  I like his demeanor and he never rushes you.  He always asks about my family members, so that tells me how much he cares and is attentive.  I am usually always able to see him, but occassionally see a PA, which I have always found to be good.  	4	4	5	5	Insurance:CIGNA
8	1	 I've been going to Dr. Tamburro for almost 10 years.  I find him to be a good physician and a genuinely nice person.  I would recommend him to others.  That said though, I RARELY actually see him, I almost always see his PA or another assistant.  This usually is what occurs when I call in and I am sick and need to see someone soon, so maybe that is not unexpected.  	3	4	4	4	Insurance:Blue Cross / Blue Shield
8	1	 After giving up on another family doctor, I &quot;interviewed&quot; Dr. Tamburro.  I liked his demeanor and caring attitude from the get go.  He has been my doctor now for about 5 years.  The two times I needed to see him because I was actually sick I got an appointment with no problem.  I have found his assistants very helpful and responsive although, as their voice mail says, it sometimes take a day to get back to you.  	4	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$30
8	1	 I too have been going to this doctor for many years, and despite my lon drive, I keep going back. He is honest and I agree with most of these comments (no agenda, attentive) His assistants are not as great, slow to respond and sometimess it seems as if they arent so happy. I would highly reccomend him.  	2	4	5	5	Insurance:Aetna
8	1	 I have been seeing tamburro for over 10 years and found that he is a very open doctor who listens. He does not have an agenda or the typical arrogance that comes along with being in practice for many years. His assistants are often slow to respond.  	2	4	4	4	Insurance:Aetna
8	1	commentsI've been seeing Dr. Tamburro for over 10 yrs. My family & friends also go to him. He is very through. I never feel rushed, he always sits & listens to everything I have to say. I now drive 20 miles to see him. We have had problems with the staff (mostly front office, but occasionally back office)but he is such a great doctor I don't want to change. On occasion when they can't fit me in with him, I have felt comfortable & confident with the physician assistants there. 	3	5	5	5	Insurance:Unknown
8	-1	 Inexperienced, incompetent and disinterested. Relies on Medical Assistant to do his work.  	1	2	1	1	Insurance:Blue Cross / Blue Shield
8	1	 Dr. Tamburro has been our family doctor for about ten years. He's a very caring doctor and has a great manner. He has always taken care of us in a correct manner.  		5	4	5	Insurance:United HealthcarePaid/Co-pay:$3000
8	1	commentsDr tamburro has been my family doctor for my spouse and 4 sons for the last 10 years. I have refered many other friends and family. He is a wonderful doctor. He is alway willing to listen. There have been many times that he has seen myself or family during his lunch hour as well as fit me in when he alreay had a full day. I now travel over 25 miles round trip to see him. As long as he is in practice he will be our doctor. He staff is also wonderful. 		5	5	5	Insurance:Unknown
8	0	 Dr. Tamburro was ok, but he seemed to be very robotic and approaching my concerns as if reading from a manual rather than being an independent thinker and troubleshooter. He just seemed to want to delay help or resolution until I waited even longer to see if the things resolved themselves in several weeks.  		4	2	3	Insurance:United HealthcarePaid/Co-pay:$15
24	-1	commentsDawn Tames was one of the most difficult people I have ever met. She had a short fuse and would spew out with anger when asked any questions that questioned her treatment. She said she did not believe in asking her patients if they were feeling better. She had a way of blaming any problems on the patient. When I was not improving after 2 months of her treatment she insinuated that it was psychological. I eventually went to a specialist and found out I had a vestibular problem (inner ear imbalance). Eventually I couldn't take her bipolar behavior anymore and stopped her treatment (leaving her with $100 of unused treatment). 	4	4	1	1	Insurance:Unknown
28	-1	commentsI have had 3 surgeries from Tahir. 2 were emergency so i didnt have time to research him and he said i needed the 3rd so i was stuck going with him due to insurance BS. its been over a year and I have not been able to return to work because i cant lift anything and I am on heavy duty pain meds just to make it through the day.... the worst part is that he has such a bad reputation i cant find a surgeon to go in and fix his errors. They are afraid to touch me. I am a female with 1 child and in one of my charts it states i have a penis and testicals.... WOW now i'm trying to find an attorney to sue him but from what i've seen.... even tho patients have died from him not making sure thier blood type was available at the hospital to leaving equiptment inside even those families have lost so i'm not even sure if its worth it. IF YOU CARE ABOUT YOUR LIFE dont use him. 	5	1	1	1	Insurance:Unknown
28	1	commentsEveryone was awesome. Very friendly and made sure I was as comfortable as I could be.I was kept informed and healed from my surgery. 	5	3	5	5	Insurance:Unknown
28	1	 Dr. Tahir performed a minor surgery procedure on me in his office several years ago and I was extremely happy with him and his staff. I recently had to return and have another in office procedure done and again I was vert satisfied with Dr. Tahir. I had questions and he answered all of them. I've referred him to friends who were just as satisfied as I was.  	5	3	5	5	Insurance:Blue Cross / Blue Shield
28	-1	 Allegedly trained, but very poor patient interaction.  Wouldn't let him treat me after I read about his reprimands by Medical Board.  Went to another surgeon who wasn't questionable and wanted to help.  Actually didn't need surgery.  This guy is cut happy.  	1	2	1	1	Insurance:Blue Cross / Blue Shield
28	1	commentsThese rating people posted are crap. I have been to Dr. Tahir for a procedure and he was very helpful. Not only that but his staff is VERY nice. So the stuff people are posting is ridiculious.Just because he's talking in his dictation phone doesnt mean he is not listening to you. That phone is what makes your charts. Guess what and its from what happened in that room. I work for a doctor myself so i know how they are. I also know how patients are and how needy they are as well. YOU are not the only patient he sees and patients seem to think that. So half these posting are just people wanting to be rude. HE DID HIS JOB CORRECTLY! CORRECT&#63; so if he didnt then complain but to just complain saying he wasnt listening you and you paid for nothing...is crap. You paid for his time and knowledge. Some doctors dont have bed side manners who cares... they are there to do their jobs. I have refered plently of people there and not to mention my own dad. Dr Tahir is a good surgeon 	5	5	5	5	Insurance:Unknown
28	-1	commentsI was referred to Dr Tahir by the ER Dr at Gilbert hospital after being diagnosed with diverticulitis.  The ER dr told me I had to have a follow up appt before I could return to work.  Dr Tahir was very short with me, asked my why I was there even though his office had received my records from the hospital.  The whole time he was talking into his dictation machine not to me, like I wasn't even there. The only advice he could give me was take metamucil and don't eat white bread.  He also said I needed to schedule a colonoscopy. I paid $125.00 for him to tell me the same information that I had already gotten off of the internet.  What a rip off&#63;&#63;  I will find another Dr for any futher help with my condition. 	4	4	1	1	Insurance:Unknown
28	-1	 My father went there and had his appendix and gall bladder taken out. After all that he still has the stomach pain but its been even even worse then what he was in. He has since be in and out of the emergency rooms. We never saw the.Dr before or after the operation. I did a lot of research after all of this and he had many many claims against him. Please if you know anyone having surgery don't let them.  Please take them somewhere else!!! I'm sitting here now at the er with him as I type 	5	4	1	1	Insurance:Medicare
28	-1	commentsThis Dr. needs his license taken away! He did a simple gallbladder surgery on my young chilrens father and now he has been on life support in the ICU for a week fighting for his life! He cut his intestine during the surgery and he became septic after just a few hrs. He was transfered to another hospital where a new surgeon took out 1 gallon of infetion and eight inches of his intestine a few days later. I also know of two other people he has injured during simple operations. 	1	1	1	1	Insurance:Unknown
28	-1	commentsDr. Tahir cut my bladder open during a diuble hernia repair surgery. I am disfigured as a result and continue to suffer with incontenance and abdominal discomfort. Dr Tahir could careless about what he has done to me or any of his victims.  He has numerous complaints yet he is still able to go on hurting others. I have found so many malpractice suits and they all appera to have been settled out of court imagine that. 	4	2	1	1	Insurance:Unknown
28	-1	commentsi went to dr tahir after my dr refered me to him cuz i had a blood clot or at least that is what he told me. after six months of being in pain and on pain killers i went back and saw him again it had gone no where and not changed in size. he didnt seem to really care bout what questions me or my mother had, he also had no clue of why it hadnt gone away so he told me to just keep waiting for three more months. at that point i called my dr to get a second oppinion and its not even a blood clot its a tumor!!! now im going in for surgery on friday with a dr who knows what they are talking bout!!! i would not go back to him ever again!! 	3	3	1	1	Insurance:Unknown
28	1	commentsI recently had a large breast tumor removed by Dr. Tahir.  His staff was wonderful - Dr. Tahir didn't blow any smoke... he gave me my options, and we scheduled surgery.  He does have a great sense of humor, and was always very professional.  He actually came and saw me after the surgery and gave me a thumbs up and said everything looked good. I haven't seen him yet for the follow up- and was looking for his phone number to schedule the apt when I came across this.  I felt safe and trust Dr. Tahir.  I am even considering rescheduling a colonoscopy with him- instead of the Dr I used 10 years ago.  I have had surgery before- so I wasn't scared or confused about the process.  In my opinion he was awesome and I was fortunate to have had him as my surgeon.  I will see him for my follow up &amp; if my opinion changes- I will follow up here too.  But- I doubt my opinion will change.  Office staff was excellent and polite &amp; understanding with me. I would recommend this man to anyone. 	5	5	5	5	Insurance:Unknown
28	1	commentsI would have to disagree with a few of these ratings. I had a lap gallbladder and appendix done by Dr Tahir last month. Because of the sudden on set of symptoms which required me to be seen right away, Dr. Tahir came to his office in between his surgeries to make sure that I was seen. I have never been to a doctor who worked around my schedule. Not only was he kind enough to give me back my $100.00 when he realized I was a struggeling student but he and his office staff made sure they could get me the best cash amount for an outpatient surgery. Dr. Tahir explained all the risks and answered all of my concerns. Given the fact that I had never had surgery in my life he took the time and made me feel at ease. He has such an incredible sense of humor and made me feel as if I was his only patient. Since last month my dad has seen him for a breast lump and I will continue to recommend him to any family members or friends in the future. He truly is one of a kind 	5	5	5	5	Insurance:Unknown
