dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
10	1	 I LOVE Dr. Hannon. He is such a caring me. He really cares about you as a person, not just another patient. His bedside manner is warm, caring, and helpful. He is like a warm teddy bear. If he doesn't know the answer to something, he will get it. He is a true patient's advocate as well. One day when I have children I want him to be their doctor as well. Also, this page says he is in Hot Springs but now he is in Rogers at Tuscany square by Walmart, Starbucks, Mad Pizza, and Chick-Fil-A.  	5	2	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
13	-1	 Dr. Hagaman was my doctor with my first pregnancy and first birth.  During my pregnancy, he listened and smiled but was never very friendly.  I went into labor and was in labor for 36 hours and pushed for about 2 hours when he finally arrived.  He walked in and I immediately gave up and asked for a c-section.  He said ok and scheduled it for after lunch... but under the protest of my mother they went ahead with the c-section instead of waiting.  My daughter was so far into the birth canal that when they went to pull her out my uterus ripped and had to be repaired. Looking back now, I can't believe he was going to put it off til after lunch (they were have a special Christmas lunch that day at the hospital).  Afterwards for the follow-up baby visits he just seemd more bothered than anything about seeing my baby.  He soon stopped seeing babies altogether and switched to his weight-loss clinic.  Guess his heart wasn't in it anymore.   But I got switched to the best doctor - Dr Lawrence!! 	5	2	1	2	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
13	-1	 Does not act as if he really cares. Spends more time looking at computer and inputting information than with patient.  I think he does not really listen to patient. Right now he really is pushing his weight loss clinic business. I think it is rare now a days to find a doctor that is really good with their patients.  	2	3	1	1	Insurance:MedicarePaid/Co-pay:N/A
13	-1	.   	1	1	1	1	Insurance:Medicaid / Medi-CalPaid/Co-pay:N/A
13	0	 New computer systems installed.  Computer seemed to receive more attention by the nurse and Dr. Hagaman than the patient.  Little eye contact because they are too busy inputting information in the computer.  Not my idea of good service.  	2	4	3	2	Insurance:MedicarePaid/Co-pay:N/A
13	-1	 Pushed pit for baby delivery on teenage patient, my niece. Pain was terrible. I think he thought to &quot;teach her a lesson&quot;. compassion  zero with us.  	4	2	1	1	Insurance:Medicaid / Medi-CalPaid/Co-pay:N/A
13	-1	commentsI went to this so called doctor in 1997, suffering from terrible depression and blood sugar problems. He told me the depression was all in my head and all I needed was to get a job. I wanted to work, and most of all, I wanted my life. He almost caused me to lose mine. A friend helped me through the depression and I regained employment, but it had not been for him I am sure I would not be here today. He is ONLY a doctor if you are well and does not seem to like to deal with anything that actually needs a physician. Do not go to him if you want to get well. 		1	1	1	Insurance:Unknown
13	-1	 This so-called Dr. almost cause me to die in 2000. I had Esophigeal Varacise and 18 ruptured all at one time. I was throwing up massive ammounts of blood. After two days in the Baxter Regional Hospital, he released me saying I had a urinary tract infection and gave me a script for some anti biotics and sent me home. He said I had torn a little of my stomach lining due to dry heaves and had a little bleed ( I was throwing up clots)Two days after his releasing me, I began throwing up even more blood and I ended up in ICU to be told I was dying and nothing could be done. I moved to Oklahoma and found a good Dr. there and within 7 months I had a liver transplant. He made it very obvious that he doesn't care one bit about his patients. My brother was told by him that there was nothing wrong with his heart, after complaining of chest pains for 2 yrs. After which, he had a heart attack and ended up having a Quadruple by-pass done.Whenever you'd complain,&quot;it's all in your head. &quot; 		2	1	1	Insurance:Medicaid / Medi-CalPaid/Co-pay:$5000
13	-1	commentsI felt like I was the only person in the room. I felt like he just wanted me out of there. He did a pelvic exam, & didn't even check my ovaries. He dismissed my concerns, & seemed annoyed that i had a list of questions. He actually peeked at my list twice... to see if i was almost done&#63; I don't know. After I left, I felt like I still need a check up. I do not recommend this guy at all. 		2	2	2	Insurance:Unknown
16	1	 Dr. and staff were great.  I was treated very respectful and felt like they were all looking out for my best interests.  There was a great christian environment and they played christian music in the office.   A place for your entire family! 	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
