dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Had Dr referral appt.  only to wait 3 1/2 hrs in office for an aprox.  10 min visit- EXPLAINED NOTHING really!!! You have 3 ruptured discs, make an appt with another dr. & try  steroid shots in neck & if that does not help call me back or come back in 3 months. When asked which hosp here he preferred, St.Eds for &quot;brain surgery&quot; had better ICU, Sparks for spinal surgery, can get 5 surgeries in there to 2 or 3 at St. Edwards. If shot do not work will remove 3 vertebre in neck and put in material that will fuse and you will go home the next day. Would discuss my Siactic Nerve problem and I have Rheumatoid and Osteo Arthritis and did not even mention anything about them or how my neck got this way. Just 3 ruptured disc - what's a ruptured disc&#63; Nurse gave me slip for Phys therapy, which he told me not to do and she said he marked yes for me to. Then later came out of office looking for me to tell me NO PHYSICAL THERAPY, he marked it wrong. Total of 3 hrs 45 minutes WASTED.  	2	1	2	2 	Insurance:Blue Cross / Blue Shield
1	1	A very good neurosurgeon, he did surgery on me. 3 cervical herniated discs. I have heard nothing but good things about him. 	3	3	5	5 	Insurance:Unknown
1	1	Dr. Johnson was the third doctor I had been to trying to get an issue resolved. He took the time to explain in detail what was going on, why, and what the best course of action would be. He has wonderful 'beside manners', did not rush or indicate he was brushing me off. He was extremely knowledgeable of what was happening. I was having vague symptoms and was afraid he would discount them. He knew the symptoms before I even listed them all. No matter how vague or odd they sounded to me. I would definitely recommend him to anyone. 		5	5	5 	Insurance:Unknown
2	1	All around great dentist, I don't think I will ever find another one like her.  	5	5	5	5 	Insurance:Delta Dental
3	1	Health Net Amber - Medicare Advantage Plan .....  Her office staff is very nice, I got an appointment the next day.  I almost didn't want to leave this feedback because the more people that go to her, the longer I'll have to wait for my next appointment!  LOL  Dr. Jordan really listens to me and explains things to me recognizing me as the intelligent person that I am.  She actually smiles and doesn't seem burnt out like I see so much with doctors.  She told me of a tea to drink that might help me out and I can buy at the store.  That impressed me so much.  She ran all the tests that I felt I needed.  Her nurse, Holly, is great also.  She listens and is knowledgeable, but I just like seeing Dr. Jordan better.  They went out of their way to help me find a specialist and do the referral.  The office is modern, comfortable and very clean... the a/c cranks.  	5	4	5	5 	Insurance:Medicare
4	-1	I had very bad experiences with Dr. Jackson. I don't think she even knows my problem. The medicine she prescribed and the therapy she arranged didn't work at all. When I needed to and asked to talk with her over phone, always nurses, she never answered my phone. Frustrated! 	5	1	1	1 	Insurance:Unknown
4	1	I love Dr. Jackson.  She is extremely gentle and patient.  I always feel like she has time to listen and address my concerns.  She is fabulous.  	4	5	5	5 	Insurance:United Healthcare
4	1	Dr. Jackson was very responsive to my needs and I am very thankful for her experience in diagnosing my problem and determining a plan of action to remedy the signs and symptoms of my condition. I am impressed with how quickly I am recovering.  	5	4	5	5 	Insurance:United Healthcare
4	1	Recently I had to have surgery. Dr. Jackson was very helpful. She knew I was scared and took the time to answer any and all questions I had.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Found and cared for a problem I was having right away when previous doctor in Russellvile did not.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
