dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	-1	.   	1	1	1	1	Insurance:Medicare
2	1	commentsDR. oldenberg is one of the few caring compassionate doctors left and saved my life when no one else cared. I am furious that the Medical board in AR has to justify there existence by going after doctors like her. Check their license actions and you will find every doc with a license action by the medical board has high patient reviews. Amazing all the good docs that do the job we pay them to do are being suspended while the ones that deserve to have their license removed are not touched. Wonder why that is&#63;&#63;&#63; 	5	5	5	5	Insurance:Unknown
2	1	commentsDr. Oldenberg is a loving, compassionate physician. Her desire is to always provide the best care for her patients. I have known her for many years and know her very well.  She is a Christian and a wonderful doctor. 	5	5	5	5	Insurance:Unknown
2	1	 The services that this Doctor and her staff provide to the patiences is excellent. They are very helpful and informed me of what is going on with my body and it's ailments. They have done a wonderful job with their information and concern for the injuries I have and helped me with understanding what I have to do to make myself better.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
2	1	commentsWELL WORTH THE DRIVE AND VISIT BECAUSE OF THE COMPASSION AND HELP GIVEN ME AND MY FAMILY.  EACH VISIT IS VERY INFORMATIVE AND HELPFUL AND FOCUS' ON MY MEDICAL NEED 	5	4	5	5	Insurance:Unknown
2	1	commentsShe is the best Doctor You could ever ask for. I wished People would leave her alone and stop turning her in for things that she is not responsible for all the rumors being said about her. 	5	5	5	5	Insurance:Unknown
15	1	commentsDr. Owens is wonderful! Her staff is sorely lacking in people skills. The ones I have dealt with are rude, uncaring and sometimes down right hateful! They are always in a hurry to get rid of you. The nurse that handles calling in the rx's is the worst of them all. You practically have to beg to get her help with you. If this office got rid of a few bad apples, it could be a stellar practice. 	1	3	5	5	Insurance:Unknown
18	1	 I find him knowledgeable and professional, and he successfully took on a problem--gum erosion--that my last dentist could not resolve because of a lack of knowledge.  	5	5	5	5	Insurance:Delta Dental
18	1	 Dr.Osborne is amazing!He always makes you comfortable &amp; never hurries. Staff is excellent. Very curtious and patient.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
27	-1	commentsShe is very rude and does not listen, you would be better off going to a pharmacy and giving them your symptoms and hoping something over the counter would help you until you found a REAL Dr. 	1	1	1	1	Insurance:Unknown
27	-1	 Seems to be very unwilling to entertain new or emerging ideas. Is very threatened by patients who seem to know anything at all about medicine/disease.  	3	3	2	2	Insurance:Veterans Administration
28	1	commentsDr. Owen is awesome! He is always on time and most of the time early.  He has done braces for two of my kids and will probably have to do the third too. His office is super kid friendly and he makes the kids feel comfortable.  I would never think about going anywhere else! Paid/Co-pay:$1500	5	5	5	5	Insurance:Unknown
29	1	comments 	5	5	5	5	Insurance:Unknown
31	1	 What's with the negative review&#63; I was little hesitant at first due to the older posts, but by a friend said Dr Owings was great so I gave it a try. The visit length was about the right length. I felt like he was very competent and confident in prescribing treatment. My previous doctor was unwilling to try any medication. Dr. Owings got me a plan and I finally feel that my concerns are being addressed. I'm four months out from my last vist and I think I am really improving.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
