dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	One of the best doctors I've ever seen.  She is very knowledgable about current treatment modalities and open to alternative treatment options. She's also a great listener and caring person.  I'm a critical care RN and work at a major medical center.  We're lucky to have such a doctor in our small town.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Potts is very friendly, knowledgeable, and one of the best doctors I have seen in a long time.  I was very pleased with my treatment. 	5	5	5	5 	Insurance:Unknown
2	1	Our autistic son was the very first patient but was seen at 9:45 instead of at 9.  The dr was not in surgery nor was he visiting other patients just prior to coming into the office.  Our son's anxiety level swelled up and the dr was unable to remove the foreign body from the boy's ear.  We now have to take our son in to the OR whish is traumatic for the little guy who does not understand what is going on.  The dr might not have been able to remove the object but making our son wait so long made it impossible.  We tried very hard to get a good appointment time and to prepare our autistic son; we expect things to work out better.  A quick &quot;I'm sorry&quot; would have been nice, btw. 	4	1	2	5 	Insurance:Unknown
3	-1	Terrible doctor, terrible office. They charged me for an appointment and took 7 months to submit it to my insurance, while threatening to send me to collections for a $5 bill that was 30 days over. They don't give shots to kids (told me to go to the local health department.) Very rude nurses, I left in tears after one of them told me how I should be treating my baby. Doctor Phipps didn't seem to care about my health at all.  	1	3	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	This doctor did not listen to a word that I said and I got the impression that my body was no longer mine when I walked in the door but belonged to him.  	3	1	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	This dr is a complete quack who has no concern for his patients. He allowed me to suffer with pneumonia while recovering from surgery and refused to admit me to the hopsital. He kept me returning to his office every week for several months until we finally had to express our opinion that his treatment was not effective. He then dismissed me for daring to question his authority and superiority. Incidently, he allowed me to undergoe surgery without diagnosing me with diabetes, which I had, and then I never recoverd correctly from the operation. DO NOT SEE THIS MONEY GRUBBING MANIAC. He was in it for the money as his ridiculously expensive office proves in a very small town. is house is comperable. I still suffer the ill effects of his care after several years. 	1	1	1	1 	Insurance:Unknown
4	1	I have been using Dr. Pierce for almost a year and am very happy with the care I have received.  He truly listen to you and cares about how you feel.  I feel better than I have felt in many years.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	. Very Thorough 		5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Palczyski did everything for me as needed.  Had me ready for surgery and the surgery went really well.  He was on time. He answered my questions.  Very good person I feel.  	5	4	5	5 	Insurance:Medicare
5	1	I love my physician!! He is wonderful I have never had to wait for an appointment when it was an emergency. I moved from Chicago to Hot Springs &amp; I feel Dr.  Palczynski is better than the physician I had in Chicago 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	stressed out busy college student home for spring break from Pittsburgh, having issues w migraine-type headaches, insomnia, stress related heart palpitations, wanted to have bloodwork done to rule out physical problems, and doc said he didn't have time.  will not recommend this physician to anyone.  i'm very disappointed.  	3	3	1	1 	Insurance:United Healthcare
6	1	Dr. Peyton is a fantastic Dr. and a truly caring person! It is very rare that you find a doctor that is not just concerned about a dollar but is actually concerned with your health and what you go through when you are out of their office. I am very happy that she is my families doctor.     -Jason- 	5	4	5	5 	Insurance:Medicare
7	-1	dr price saw my mother who is suffering from clinical depression and her medicine was becomming ineffective and she was spiraling deeper into hopelessness.  when my mom questioned a particular medicine and the side effects dr price was recommending, he went into a long rant about attorneys and drug companies,commercials on TV.  said my mom would have the symptoms in her head whether real or not then closed his book and said we were setting him up for failure!!!!!! (BECAUSE WE ASKED QUESTIONS) there was no other discussion ... he just walked out.....then told the nurse we were &quot;FREAKS&quot;!!  to go to a doctor for help with depression  and hopelessness, and to be WALKED out on and called freaks certainly didnt help my mom, in fact she is more depressed than ever.  i have never in my professional career ever been treated with such unprofessionalism.  i think it is the old saying - some doctors have  &quot;god&quot; complex and shant be questioned. We were humilated and harmed by this doctor.  	5	1	1	1 	Insurance:Medicare
8	1	Though  very young, Dr. Phillips has demonstrated a sincere interest and concern in those issues directly related to those older women experience. She is willing to go beyond what may be normally expected to try to find answers, preventions, cures that pertain to individual issues.  I have found the kind of compassion that one normally refers to when they wistfully remember how physicians treated you in the &quot;good ole days.&quot;  I have no doubt she will be known in Little Rock as one of their top doctors and not from a financial standpoint, but because she deserves that title.  - MC 	5	5	5	5 	Insurance:Medicare
8	1	Dr Phillips is so personable and her nurse that I've seen is wonderful. She was able to help me during a very difficult time by being open about her personal experiences and giving me the information to make my own decisions about my treatment.  I also feel like she is more involved and spends more time with her patients than other doctors I've seen, yet so far I've only had to wait a few minutes when I've gone. Absolutely no complaints, she is wonderful.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Dr. Amy Philips is wonderful! Very personable, and really listens to you. I had a traumatic post-delivery experience caused by a rare complication. She took care of me, and made me feel at ease in a real time of panic. The wait time in the office can sometimes be longer than &quot;normal. &quot;  But, I think she is well worth that wait! 	5	3	5	5 	Insurance:CIGNA
9	1	A doctor that treats the problem, not just symptoms. Best doctor I ever went to. 	5	5	5	5 	Insurance:Unknown
9	0	no respect for this doctor.  		3	2	3 	Insurance:Blue Cross / Blue Shield
10	1	Probably the best Gyn doctor in Little Rock, Ar  He delivered my son in 1981.  	5	5	5	5 	Insurance:Aetna
10	-1	Dr. Charles Phillips cut my newborn face during the C-section.  He told us that he cut our baby daughter face but never apologies for it.  At this moment (three weeks after delivery), C-section incision has still oozes from an opening, and have the risk of infection because poor stitching skills.  From what I read, I believe he WAS a good doctor but his hand and mind are not sharp anymore.  	4	4	1	3 	Insurance:Blue Cross / Blue Shield
10	1	Dr. Phillips is my favorite doctor by far! Very friendly, knowledgeable, funny, caring and good at what he does.  If you have a complicated pregnancy/ delivery, Dr. Phillips is the doctor you want to have.  Always knows my husband and I by name and asks about our children that he delivered.  Always gives us a hug.  Awesome doctor!!!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	I would recommend this doctor to anyone.  I love this doctor!  Very caring, very knowledgeable, listens to his patients and addresses any and all concerns.  Would drive 100 miles to see him.  He is worth it!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	Absolutely wonderful doctor. Very kind, and listens to any and all concerns. I would highly recommend Dr. Phillips to anyone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	This is the best dentist around! Very friendly and knowledgeable. He also has a great staff to go with it. Sometimes getting in can be hard because of the great dentistry you recieve. Try him you will not be dissapointed. 	5	5	5	5 	Insurance:Unknown
11	1	This dentist is both good and kind.  His is wonderful with children.  He has all the proper equipment so that no procedure need be painful.  He explains everything well and gives options for treatment.  He refers one to very good specialists if needed.  He's just about the best and that makes it a little hard to get a timely appt.  He has been known to make house calls to bed-ridden patients with dental emergencies.  Truly a sweet man. 	5	5	5	5 	Insurance:Unknown
12	1	The Best! My wife and I are both alive today because of his knowledge and skill.  	5	4	5	5 	Insurance:Medicare
12	1	The best in the State of Arkansas Makes you do it right. I owe my life to him.  	5	5	5	5 	Insurance:Medicare
12	1	A decent doctor. But arrogant at times. Not accessible at all. 	3	1	3	4 	Insurance:Unknown
12	1	. very wise and concerned but sometimes overworked and can get lost in the shuffle  best this town has ever seen however 	2	3	4	5 	Insurance:Blue Cross / Blue Shield
12	1	one word....excellent. busy and the wait can be long however. 		3	5	5 	Insurance:Unknown
13	1	doctor Ploetz is very kind,compasionate most intrested in her patient wellbeing. Also she is concerned about the money side also,that they are not being charged for things they dont need.  	5	4	5	5 	Insurance:Medicare
14	1	I found Dr.Dennis Parten to be one of the most thurough doctors I've been to. I'm from the Monette area and live 3 hrs away, but I'm glad to drive 3 hrs for good health care. 	5	5	5	5 	Insurance:Unknown
14	-1	Too busy and too many patients... not enough time with patients, does not follow up with lab results and xrays very promptly if at all, not concerned with any complaints patients has... poor bedside manner and office staff rude at times... would not recommend him to anyone... 	2	1	2	1 	Insurance:Unknown
15	-1	 	3	3	1	1 	Insurance:Unknown
15	1	I've been a patient of Dr. Paden for 21 years and he has been very attentive to my needs and is extremely knowledgeable. He has never let me down.  	5	5	5	5 	Insurance:Medicare
16	1	I have been a patient of Dr Pickett's for about 13 years, and she is the best!  This is a walk in clinic, so you are expected to wait, but, she is well worth it.  She knows her stuff, and everytime I leave, I leave feeling better than when I came, knowing that I can trust her knowledge.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
16	1	no nonsense type of doctor. Have seen her for many years. Trust her. She does it all. scripts, labs, and you definitely leave her feeling it'll be over soon.  	5	5	5	5 	Insurance:Aetna
16	1	she is a wonderful dr she gets to know u and your medical history before she gives u any prescriptions 	4	4	5	4 	Insurance:Unknown
16	1	Been with Dr Picket for over 10 years now..woud wait all day if I had to just to see her.. wonderful bedside manner 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
16	0	I saw Dr. Pickett for the first time just after getting insurance, and while she was kind, she spent about 1 minute with me. I believe she was behind that day and I could understand her need to move on to other patients. But as a new patient it would have been nice to take a little more time with her. She honestly was in and out of the office in a matter of a minute or two, and I didn't have any time to discuss my issues with her. She gave me some prescriptions and that was it. I don't believe I will use her as my permanent PCP.  	5	4	3	3 	Insurance:Blue Cross / Blue Shield
16	1	. very approachable and likable, and considerate -has never failed to help 	5	5	5	5 	Insurance:Medicare
17	1	Dr. Pollock is a great doctor!!   I had a Inguinal hernia repaired yesterday.  His staff and the other nurses to care of my every need and were very sweet!!  Dr. Pollock was very fast and experienced!!  I was really impressed, you could tell that he has been involved in many surgeries and that he is very experienced...    Overall, if I have to have any general surgeries performed, I will always call Dr. Pollock!! 	5	4	5	5 	Insurance:Unknown
