dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	-1	 This doctor is clueless about patients conditions and diagnosis. This doctor does not seem very knowledgeable. This doctor does not do any follow up calls to patient. The worst parts is that this doctor never returns patients' calls.  	2	1	1	1	Insurance:CIGNA
3	1	 She was wonderful. Very personable, helpful and caring.   Best doctor I have ever had! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
10	1	commentsDr. Gabai is a wonderful doctor, he's very understanding and knowledgable. I didn't like chiropractors much at first because of my 1st experience but that all changes after seeing dr. Gabai. I googled him first and found nothing but good reviews, and for the area he's currently in he offers the lowest rates on adjustments and everything else. I've never felt better I go there once a week and remain feeling brandnew, he's really great. 	5	5	5	5	Insurance:Unknown
10	1	 Dr. Gabai is caring and knowledgeable. I was apprehensive about getting back surgery, then my friend recommended Dr. Gabai and I scheduled an appointment with him. He was very patient with me, explaining why I was having so much pain in my back. He explained that my lower back nerves were pinched and that was why I was having numbness in one leg. I have been seeing him regularly for my back for the past four months. He lightly adjusts my back into its “correct anatomical position” and miraculously I have no pain. Before seeing him I used to get pain sitting and walking or standing and now I can do many activities pain free. The best part is when I saw the Orthopedic Surgeon for my back last week, he said, that I no longer needed to get lower back surgery. Thank you Dr. Gabai for all your help and care.  	4	5	5	5	Insurance:Aetna
10	1	commentsHe is the best chiropractic Dr in west area, with very gentle manipulation of my back in few visits he got red of my pain.I recommend him to my neighbor and he was very happy too. Sarah Weiz Paid/Co-pay:$95	5	5	5	4	Insurance:Unknown
12	-1	comments 	2	2	1	1	Insurance:Unknown
25	-1	 Will not respond to patient in a timely matter regarding test results. Patient in extreme pan and will not call back. Tests results in doctors hands and it has been 4 days and no call.  Messages left and none returned.  	3	1	1	1	Insurance:Blue Cross / Blue Shield
25	-1	 Unresponsive to needs, rude front office, long waiting for appointment, unavailability of appointment in reasonable time, no follow up for test results and patient's conditions.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
29	1	commentsDoctor Gabbay MD,Mojan is GREAT, she is amazing, she took time to explain every thing, provinding personalized attentive care, she makes things so comfortable, is very nice, lovely and charming doctor. I will recommend her to all my friends. 	5	5	5	5	Insurance:Unknown
29	1	 I would recommend Dr. Gabbay without reservation.  Excellent bedside manner,extremely knowledgeable, and always available to her patients... I underwent a complete hysterectomy in July of 2012, and as it was a first time experience for me having surgery 1 was very, very nervous.  I put my trust in God and Dr. Gabbay.  Everything went great!! KUDOS to Dr. Gabbay...  	5	5	5	5	Insurance:Blue Cross / Blue Shield
29	-1	 I would have given a lower score on staff but Maria is the BEST! She was my favorite part of my dr. visits. The rest, howerever was quite unenjoyable. Gabbay induced me because I was two days past due and she saw &quot;discrepencies&quot; in the heart rate strip at my appointment, turned out my baby was completely fine the TWO days I was being induced (obviously, my body wasn't ready to deliver). The nurses said that my baby was probably just shifting positions when the dr. noted the decelerations. I'm sure the doctore knew this but had her own agenda to heed to. All the nurses at the hospital were AWEFUL! And when it came time for me to start pushing, the nurse told me to stop because no one knew where Gabbay was. It took her an HOUR to get to my room. My poor baby's head was so worpped from being partially pushed out for an entire hour. Gabbay is not good at communicating and I always felt like I had unanswered questions after my appointments with her.  	4	4	1	2	Insurance:Anthem
29	-1	commentsI came to that office for birth control. The front staff was rude, and unhelpful. Nobody acknowledged me when I came in (with 3 people working) and I stood at the front counter for 20 minutes (times on my stop watch) until I finally asked if someone could help me. After I put my name on the list, I waited another 20 minutes until i was called to the front counter to pay my co-pay. I waited in waiting room for 22 minutes. Dr. Gabbay appeared to be nice and was very friendly, though throughout our communication she appeared to be rushed. I was interested in specific birth control method and I mentioned that I never used it before. Dr. failed to give me the full range of information regarding it and side effects. She just recommended it to me as one of the best available. When I came back home and looked online for info I developed some concerns. I tried to reach Dr. three times through office. She finally returned my call after I told office staff that I might sue for misinformation. Paid/Co-pay:$40	1	1	2	2	Insurance:Unknown
29	-1	 The most horrible experience I have ever had with a doctor!! I was in the middle of a contraction when she decided she wanted to tell me she didn't like my birth plan! She was hours late and didn't even bother to look at me in the eye before she decided to break my bag. Worst doctor ever. Dr. Kossari came to the rescue.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
29	1	 I was referred by my primary doctor to see Dr. Gabbay. The staff was friendly and I didn't have to wait long. I get really nervous when I see a new doctor for the first time. She was really nice and friendly. She explained my system throughly and was easy to talk to. I give her a thumps up in my book.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
29	1	 I am currently 4 months pregnant with my second child and so far I absolutely LOVE Dr. Gabbay and the office staff! I prefer natural birth and was contemplating having a home birth this time but could not afford to without insurance help. I was up front with Dr Gabbay about my reservations about having another hospital birth, due to a nurse at another hospital creating an emergency that did not exist during the birth of my son. She was extremely empathetic and took the time to address my concerns as well as explain her philosophy on birth and her role in it. After my first appointment with her I much more excited about delivering at Holy Cross with her. My husband and son have attended each appointment with me and she NEVER FAILS to address my son as a part of this whole process. She makes a point of making sure he gets to hear or see &quot;his&quot; baby each time.  I cannot say enough good about her at this point in our doctor/patient relationship!!! 	5	4	5	5	Insurance:Anthem
29	1	commentsMade me feel comfortable 	4	4	5	5	Insurance:Unknown
33	-1	 He was very rude and arrogant.  He was not at all concerned about what was important for me and my treatment.  He is a doctor that is about his bottom line, not the well-being of his patients.  It alarms me that he is still practicing.  It is doctors' like him that make you scared to go to the doctor.  	3	1	1	3	Insurance:Blue Cross / Blue Shield
33	-1	commentsDo not go see this Doctor. My wife's doctor is actually Dr. Gabbai's wife Michelle. She is great, but keep in mind that Ramin is on call often. When my wife and I had to call him after hours (10:30 pm), he was rude, dismissive and even told me to shut up. He seemed completely bothered that I had called the on call line! He then prescribed an outdated antibiotic which caused my wife to have to go to the emergency room 2 days later (because her condition got worse) to get the right medicine. We will never go back to Michelle and Ramin's practice again even though we love Michelle. The most unprofessional man I have ever talked to. Unbelievable. 	3	3	1	1	Insurance:Unknown
33	1	 I have gone through about 5 doctors since I moved to Los Angeles and I finally found a doctor that took the time to discuss my condition, listen and follow up.  His staff was very friendly also.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
