dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	She is the worst I've seen. I don't like her. I went as far as putting a complaint about her to member services for Kaiser. I didn't like how she was talking to me. She was giving me one word answers. She was not helpful. I wasted my 15 dollars on nothing. She rushed me out the room like she had something better else to do. Never again would I see her.  	3	3	1	1 	Insurance:Kaiser-Permanente
2	1	Great urologist. Very reassuring.  Knowledgable.  Have to wait a long time because he is very busy but worth every second.   simply the best in the west 	5	4	5	5 	Insurance:Anthem
2	1	I chose Dr. Ilbeigi to treat my prostate Cancer by the da Vinci Robotic prostatectomy @ St Mary Medical center after seeing 4 other robotic surgeons in Southern California (City of hope, UCLA, and Loma Linda.  I felt as though, Dr. Ilbeigi was very honest in his assessment and realistic outcome after surgery.  He is truely knowledgable, an expert in the field and put our anxiety to rest after just one consultation.  I felt great after my surgery and I am cured.  I would recommend him to anyone. John Jerrard, Ontario, California.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	One of the best Urologist I have been to.  It's too bad he doesnt take my insurance anymore.  	5	5	5	5 	Insurance:United Healthcare
2	1	Dr. Ilbeigi removed a cancerous part of my kidney using the Robot and I was home in less than 24 hours.  I had seen two other urologist and they just wanted to remove my kidney, but Dr. Ilbeigi had the knowledge and expertise to perform this advance surgery.  He was very reassuring and took his time before during and after surgery to keep our nerves at ease. I owe him my life.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Very knowledgeable, patient and professional. Dr. Ilbeigi has an exceptional bedside manner. Great doctor! 		5	5	5 	Insurance:Unknown
3	1	I saw Dr. Ibarra at Urgent Care, not at her normal practice facility. However, I can tell you I wish her practice was near my home so that I could make her my primary care physician. I was that impressed with her care. She is a very throrough physician, who listens and acquires details before jumping to conclusions about your diagnoses. Then upon her diagnoses she thoroughly explains what, why and how. Her bedside manner, care and attention to detail is second to none. When I saw her I was in incredible pain, they showed me special attention by expediting my wait and entire process. I credit her care to my speedy recovery. If my schedule wasn't so tight with work, I would make the extra long drive to make her my primary physician.. I think she is worth it.  	4	4	5	5 	Insurance:Kaiser-Permanente
3	-1	. If you care about you and your body never see this doctor 	1	3	1	1 	Insurance:Kaiser-Permanente
3	1	Dr. Ibarra is a great doctor. In previous experience with other doctors it seemed all doctors did were listen to what the nurses told them about me, then spend less than five minutes with me, give me a prescription and shove me out the door. Before I met Dr. Ibarra I was preparing myself for the fight I was sure was going to happen. I knew I needed more than a prescription and I was afraid that thats all the doctor was going to try and do. But Dr. Ibarra actually treated me there and relieved much of my pain and had an amazing beside manner. I left stunned by the care and very pleased that she was now my permanent doctor. I no longer think that doctors just take my money and leave me to get better on my own. When I go to Dr. Ibarra I know she will help be get better.  	4	4	5	5 	Insurance:Kaiser-Permanente
4	0	Dr. Ikrammulah has little time to spend with patients.  10-15 mins. is not enough to get medications fine-tuned.  To her credit, she did put in a referral for me to go to the UCLA Anxiety Disorders Clinic at my request, and going there has made all the difference.  I suppose for general and mild psychiatric issues she is okay. 	2	3	3	3 	Insurance:Unknown
5	1	Wonderful and caring Doctor and  staff.    Computerized office so my records were easy for the doctor to see. 	5	5	5	5 	Insurance:Unknown
6	1	wonderful doctor and the staff is very kind and helpful. dr. iravani has been my sons doctor since he was born. she spends alot of time with you, and is very thorough.  I reccomend her !! 	5	4	5	4 	Insurance:Anthem
7	1	Since we were expecting twins, we chose Mary Imig after reading many reviews. She was good from the beginning. Her experience really helps and all my exams were painless and quick.  But, she was kept asking for c-section.  Both babies were head down around 8th month.  She was disappointed that she can't do c-section. She told us right away that she won't do vaginal delivery for twins. We were really disappointed at that point.  There is not even a single fcator to consider c-section. It was my first pregnancy &amp; I am completely healthy, babies are healthy and prefect head down position.    Had we known earlier that she won't do normal twin delivery, we wouldn't have chosen her at all. Then, she referred another doctor in the same complex.    So, if you know u r gonna do c-section, Mary Imig is right choice    If you wanna have normal delivery, go with other doctors.  	4	4	4	5 	Insurance:Blue Cross / Blue Shield
7	1	Absolutely the best at her profession.  Extremely competent, very knowledgeable.  Dr.Imig has helped resolve problems caused by anxiety.  I would highly recommend her as the best Dr.of Obsetrics in California.  	5	5	5	5 	Insurance:Medicare
7	-1	I went in to discuss severe menopausal symptoms.I am unlivable and losing my family due to the erratic mood swings caused by at the very least perimenopause (49 years old).She handed me a prescription for anti-depressants which I had been on for 5 years and just went off due to headaches, and said &quot;yes, I know there is a lot of information about hormones but you haven't missed three periods in a row so take all the pills I gave you for hysteria and be on your way. Let's check you again in 3 months.By then I could have a divorce or throw myself off something. I found her very dismissive and condescending. When I told her I had no sex drive and haven't had sex with my husband in over 18 months she just looked like &quot;aww that's so sad for you&quot; I asked about hormones natural and otherwise and she just glazed right over it.She made me feel like an hysterical female from the 1950's. I have been an ICU nurse for 18 years.I'm not an idiot who needs antianxiety drugs.WASTED TIME.  	5	5	3	1 	Insurance:United Healthcare
7	1	I've been her patient for many years and trust her implictly. She is considerate, personable and keeps current. She always listens. When I call her nurses with questions, answers are returned in a timely manner. Whenever anything serious needs to be discussed ie; test results, biopsy results etc., Dr imig is the one to call, not leaving the hard stuff to her nurses. She is dedicated to the patient.  	4	4	5	5 	Insurance:Aetna
8	-1	At first Dr. Ignacio was pleasant and friendly.  After my second visit her attitude changed and was standoffish.  At my visits she would sit on a chair and read the reports from MRI and physical therapist.  She didn't once physically examine me however noted on her reports that she did so.  She's heavily swayed by the insurance company as she stated to me numerous times that although she wants to treat me a certain way she can't justify it to the insurance company therefore was unwilling to stand up for me, her patient.  Dr. Ignacio puts on a smile in front of her patients but can be heard behind close doors talking about her patients.  She is very unprofessional and doesn't respect people's privacy.  She is always seen dictating out in the open after seeing her patients.  Her dictation can be heard by everyone in the waiting room.  I was very unhappy by the service I received from Dr. Ignacio.  	4	3	1	1 	Insurance:Workers Comp
9	1	He's very patient, listens, follows-up and professional. 	5	5	5	5 	Insurance:Unknown
