dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Jacob worked with me to find the right dose of Armour Thyroid for me.  This was no easy feat, but she was persistent and did not try to talk me into another course of therapy, which after almost 28 years, I had experience with just about all the thyroid medications on the market.  She was pleasant and concerned.  At subsequent appointments she even recalled personal things I had talked to her about.  I wish her the much success.  I will certainly miss her thoughtful care in Burbank, CA.  	5	5	5	5 	Insurance:Anthem
1	-1	This was one of the WORST doctors I have EVER seen!!  RUN don't walk from her!!  I saw her because of my hypothryoid condition and she had the nerve to tell me the reason I felt the way I do (fatigued with easy weight gain) was because I wasn't eating well.  She didn't listen to me and my concerns, neglected to look at my overall TSH number, which was 4.1 (2.75 is considered the average according to the new American Endocrinology Assoc. guidelines).  That number is ABOVE the norm, or hypothyroid, with the meds I was on!!  She said I was within &quot;normal limits&quot;.  This &quot;doctor&quot; proceeded to hand me a DIET BOOK, and advised I eat no more than 900 calories a day, along with exercise to lose weight!!  I left the office depressed and confused as to why I was given such information.   Low and behold, after searching the internet I found out that she was in error and I was not!!  Moral of the story - be an advocate for your health and trust your instincts!  Shame on you, &quot;Dr&quot; Jacob!! 	1	3	1	1 	Insurance:Pacificare
2	1	doesnt  get any better than this doctor. he know his stuff and is very gentle and kind. he also has very good prices and alot of specials. 	4	5	5	5 	Insurance:Unknown
3	1	Dr. Jackson is our Mom's cardiologist, and we LOVE him! Whatever Dr. Jackson says we do - not because we're blind sheep...because he's just that brilliant!!! He's got the rare combination of medical brilliance and excellent bedside manner. I've never had a problem with his staff, but maybe I'm just more tolerant because I know what Dr. Jackson can do! My time is very valuable, but if I've got wait for Dr. Jackson to see my Mom then I consider that invested time - not wasted time! 	4	5	5	5 	Insurance:Unknown
3	0	The doctor is O.K. but good luck in trying to get by his staff. I found it impossible to make an appointment by phone and had to visit the office and interrupt a private conversation between the office staff in order to schedule an appointment.  	1	2	2	3 	Insurance:Medicare
4	-1	Let's just put it this way. He made a mistake during hip replacement surgery and franticly scrambled around while my father lay on the table bleeding out. Almost lifeless he finally got taken to a REAL surgeon who said that Dr. Jaffin should not be practicing medicine. One month later my father is still in a hospital bed. Don't put your life in the hands of Dr. Jaffin, you may not live to regret it. 	4	4	1	1 	Insurance:Unknown
4	1	Dr. Jaffin is one of the most caring and knowledgable doctors I have ever met. I had had 2 surgeries on my ankle and both had been screwed up and he repaired the damage and it has never felt better. He and his staff are very attentative and he is a totally interesting man if you get to know him.God Bless you Dr.  J 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
4	-1	I had seen him 3 times.  Each time he compared my pain with his.  He is not a women.  He did not have two children.  He did not have a horrible epidural.  He always treated me rude and then went into the other room and treated that patient with respect.  Everytime he would do the same exact test by pushing on my back.  Everytime leaving bruises and leaving me in more pain (for weeks after) and inappropriate medicine to treat it.  I was never given an exact plan of action.  I was just suppose to be in pain while he plays the guessing game. I am sure he works for some people, but deffinately not me. 	5	4	1	3 	Insurance:Unknown
4	1	He is great.  Most Ortho's I've seen or worked with were very hard to deal with.  Their ego's filled the room.  This guy is down to earth. Very personable and realisitc.  He does what is best for you not what will put more money in his pockets.  He fixed a  botched surgery from another ortho and I am very happy with the results.  He is a pretty busy guy so at times his office is just packed.  Yet if he is running late the apologies are genuine and the gift cards are handed out!  he's great and I'd reccommend him to anyone not just cause all around he is a kind hearted man but he knows his stuff and is in the game to get you up and running in good contition.  	4	2	5	5 	Insurance:Aetna
4	1	 	4	2	5	5 	Insurance:Unknown
