dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
11	1	 I was referred to Dr.John Qian by my surgeon after my third major back surgery.My injuries are severe,and I was in so much pain that I spent my day's in bed.I had no quality of life and was constantly thinking about suicide.Other Doctor's were apathetic,and content to let me suffer in an undermedicated state.Doctor Qian took my suffering seriously.He is willing to do whatever it takes to get my intractable pain under control.I have been a patient of his for 12 years now,and I thank providence for sending this man into my life.His compassion and empathy for suffering people is truely exceptional.Some other Doctor's feel that they can treat Medical and Medicare patients poorly if they want to,but not Dr.Qian.  	5	4	5	5	Insurance:Medicaid / Medi-Cal
11	1	 After several experiences with apathetic doctors who let me suffer in agony,I was lucky enough to find Doctor Qian.(pronounced chain)His genuine humility and caring attitude are truely admirable.I have been treated by Dr. Qian for 11 YRS and have been able to get my severe suffering under control.A true godsend.  	4	5	5	5	Insurance:Medicaid / Medi-Cal
14	1	commentsWe have been going to her for almost 15years. She is great. Always takes her time to listen and provide solutions.  Jean is wonderful too.  Whenever I call for something, she or Dr.Qadir calls back in a timely manner. I would highly recommend her. 	5	5	5	5	Insurance:Unknown
14	1	 Dr Qadir has been our family Dr for abut 7 years now. She is really great to talk to and never hesitates to get you the tests or specialists you need when something unusual crops up or just for your own peace of mind. She called me early one morning with test results when she knew I was stressing over it (normal, thank goodness). For routine care she can handle  everything herself, in her office, without having to go anywhere else. I've appreciated this when dealing with annoying, but harmless, skin issues that I have. I've also seen a couple of the other Dr's in this practice and have been happy with them all. They have a Saturday morning walk in clinic that I've taken advantage of a couple times.  	4	4	5	5	Insurance:United Healthcare
14	1	 A friend recommended Dr. Qadir to me after I moved to the East Bay. She is a wonderful, caring, professional physician who really listens to her patients and is really tuned in to their needs. I love going to her! Additionally, Jean (staff) is caring and punctual about getting back to me in a timely fashion. The service I receive from Dr, Qadir and her staff is first rate.  	5	4	5	5	Insurance:Anthem
14	1	commentsI was recommended to Dr. Qadir by a friend in 2003.  I transfered my records from Kaiser to her office.  In one visit she &quot;listened&quot; was caring,proficient in care.  She did what all the numerous doctors at Kaiser didnt she showed compassion.  In this 1st visit with her she changed my medications and a whole new wonderful world came to light.  Since 2003 I return to her and trust her word and suggestions for care.  Although, I have moved to the South Bay and it means a long drive to see her I do so happily. Additionally her assistant Jean is a wonderful as well.  She is very good about following up with me in a very timely manner.  I also appreciate the fact that Dr. Qadir doesnt book numerous patients for the same time slot hence because of this I am not waiting long to see her. She is a valued Medical Professional! 	5	5	5	5	Insurance:Unknown
14	1	 Dr. Qadir has been our family doctor for many years. She has been great dealing with my husbands complicated health issues as well as routine care for me and my kids, who are now both young adults. She is patient, kind, and always has helpful alternative suggestions to avoid unnecessary medications.  Highly recommend! 	4	5	5	5	Insurance:United Healthcare
14	1	.  Very good Doctor, Very concerned and really quite pretty,  I think she's great! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
29	-1	 The WORST excuse for a doctor I have ever encountered. No follow up, Dr.Qazi was to submit a request for an MRI. No referral for the  MRI my 82 yr old mother was ever submitted. Was put on hold twice by his staff, waited 20 minutes each time, no one ever came back to the phone. Waited one hour and ten minutes to see Dr. Qazi. He spent 5 minutes on his lap top, never bothered to make EYE CONTACT WITH MY 82yr old MOTHER. She left feeling like Dr.Qazi dismissed her because of her age.  	1	1	1	1	Insurance:Secure Horizons
29	-1	 I should have read the reviews before going to the Dr.  A know it all that doesn't take actual time with a a patient, no concern or return calls when patient has reaction to his procedure.  Insurance Rip-Off 	2	4	1	1	Insurance:Blue Cross / Blue Shield
29	-1	 This doctor must have gotten his degree from a cracker jack box! How he is in business is beyond understanding!!!He pays no attention during appts and stays either on his lap top the whole time or on the phone RUDE and makes you wait til the point where you just want to leave! He still gets paid from the insurance though.  He should be treating dogs! On second thought he's not worthy of even treating my DOG!!! 	1	1	1	1	Insurance:Medicare
