dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Nirmal Rai is the greates doctor in my opinion. I have been to several doctors, and none of them were as knowledgeable and effective as him in my treatment. Every time I am sick or have a medical issue, he correctly diagnosis me, and aggressively treats the problem. I recover from my illness and health issues practically over night with his help. I would recommend him to everyone, he is very nice as well. He even made my son a balloon out of an exam glove, so now my son looks forward to going to see Dr. Rai. I would nominate him as the worlds best doctor! My wife is his wife's patient and my wife thinks that Dr. Meetinder Rai is the world's greatest doctor. They are an addorable couple! I am going to name my first nephew after Dr. Nirmal Rai and my first niece after Dr. Meetinder Rai. They are the greatest doctors ever, they have saved several of our famil members' lives! Thank You Dr. Meetinder Rain and Dr. Nirmal Rai! You have imp[acted my entire family so greatly! 	5	5	5	5 	Insurance:Unknown
2	1	I am so glad we have the most gentle, and kind dentist right here in Foothill Ranch. You cannot find a better place for your family to go to the dentist. I moved to Dove Canyon last year from Beverly Hills, and I can say this office is the best! 	5	5	5	5 	Insurance:Unknown
2	1	Thank you Portola Dental and Dr. Sasha for making our dental visits painless and comfortable. A. Greene 		5	5	5 	Insurance:Unknown
2	1	I was very pleased with the quality of care and the friendliness of the entire staff at Portola Dental. I know realize the difference between USC trained doctors and others. Go trojans! Thanks Dr.Sasha Jenny Whipple 		5	5	5 	Insurance:Unknown
3	1	I found Dr. Raitt to be very helpful. While he does do typing while we discuss symptoms, I find that he is taking copious notes and is always willing to discuss treatment alternatives and does not hesitate to schedule tests if requested. Rare to find a doctor who will listen to an educated patient and collaborate on strategies to resolve symptoms. been seeing him for 5 years now for back and neck issues as well as general medicine. Always in Sacramento magazine top docs list as rated by peers. My wife sees him as well and is very happy.  	5	4	5	5 	Insurance:CIGNA
3	1	Dr. Raitt takes the time to be very thorough. He really seems to care about my health and the health of my family.  Very happy with him and would highly recommend him to others.  	5	5	5	5 	Insurance:Anthem
3	-1	Dr. Raitt insisted that the pain and symptoms I was experiencing after my hysterectomy were due to &quot;depression&quot; which I did not have.  It turns out it was due to endometriosis which my Sutter Medical Group OB/GYN (Dr. Elizabeth McClure)left inside me instead of removing. (She lied and led me to believe the Endo was gone. She also didn't do a LAVH as consented but did an injurious TAH.)  Dr. Raitt did not tell me that I still had Endo even though he could read that in my electronic medical records. He did help me get some tests and referred me to other Sutter Doctors but no one with Sutter seemed to want to interpret the test results and my pain and symptoms to figure out what was wrong with me post hysterectomy. I suffered with pain and I'm still in pain. I had to go to the Bay Area to get a repair surgery because Sutter doctors didn't or wouldn't help me after my negligent surgery at a Sutter Hospital. Dr. Raitt spends most of the appointment typing at his computer. Depression... Not! 	1	1	1	1 	Insurance:CIGNA
3	-1	Have been with this dr for five years.  Does a lot of typing, very little listening, and has very little bedside manners.  Can be rude and abrupt.  Would not recommend.  	5	4	2	2 	Insurance:United Healthcare
3	-1	At first this doctor helped me and seemed to listen to me. He did tests that came back mostly normal and gave referrals to specialists who also couldn't help me. The root cause of my pain and symptoms could not be diagnosed by these doctors and so they became dismissive and seemed to give up and decide it was all in my head. Dr Raitt insisted I was depressed. I wasn't. He only refers to other Sutter doctors who also don't help to diagnose correctly. No doctor in the medical group took responsibility for figuring out what was actually wrong or prescribe pain relief. I kept trying to explain to Dr. Raitt how and when my pain and symptoms started, but since he seemed to decide it was just in my head, I was scoffed at. The specialists shrugged their shoulders and gave up. I then found a new doctor OUT of this medical group and was then quickly diagnosed! Now I need surgery, but I suffered for years in severe pain. He does try to give patients time, he just didn't truly listen to me. 	2	2	1	2 	Insurance:Unknown
3	-1	I've seen this doctor 3 times with my 80 yr. old mother. Dr. doesn't listen and prescibes LOTS of drugs to her as a cure. Horrible bedside manner. Had to demand petscan for her back (gee, found tiny fractures all over her back!) and to advise him to take her off the Vicodin he prescibed to her. He had numerous elderly patients including my 84 yr. old father. Seems to think that prescribing medicine for all their ailments is the answer. Not interested in alternative therapies. Didn't even had a full record of all the meds my mom was taking! Very disappointed as patients at ANY age should be medically treated with equal care and concern.  	2	2	1	2 	Insurance:Secure Horizons
