dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	the best in the business! He is the expert in Mohs surgery and that technique.  	5	4	5	5 	Insurance:HealthPartners
2	1	Very personable and able to administer immediate relief 		5	5	5 	Insurance:Unknown
3	-1	AVOID. He diagnosed both my mother and I with Hyperthyroidism. Put us on some pill that he was trying to get &quot;approved&quot; by the medical community to show that it would reduce your weight because of this hyperthyroidism. This is what he told me himself about the medication, not my speculation as to his alterior motives. After I became violoently ill every time I took this medication I informed him of my vomiting and diariaha. He told me &quot;it was impossible for me to be sick from this medication.&quot; &quot;You body can not reject the medication.&quot; I became very suspicious of what he was telling both my Mother and I so I had my PCP refer me to another Endocronologist. Dr. Ronald Chochinov. He informed me that neither of us had this disease and to stop taking the medication immediatly. I HIGHLY recommend Dr. Chocinov! After reading the other comment by the other woman who had the same experience I have concluded that this doctor has &quot;an agenda&quot;. 		1	1	1 	Insurance:Unknown
3	-1	Always late and never does much. He just runs bloodwork every three months and ups medication when it comes back. When your results are not what he wants he tries to push his line of supplements on you which he sells at a discount to his patients. The &quot;discount&quot; is almost 3 times whay you would pay at GNC or anywhere else. If you miss two appointments even with notice they tend to drop you as a patient. He actually told me that he would not let my PCP (who referred me to him) treat his dog let alone his wife and that I should consider getting a new dr before it was &quot;too late&quot;. I gave the office staff my insurance information 3 times and each time they apparantely misplaced it. It is unfortunate that a specialist makes you feel like you cant be helped considering that is what they are there for. 		1	2	2 	Insurance:Unknown
3	-1	very bad bed-side manner. Very know it all attitude. Misdiagnosed my son w. hypo-thyroidism. 		3	1	1 	Insurance:Unknown
4	1	I have been with Doctor Zalin from the beginning.  The care and concern is great and her knowledge and treatment is excellent.  The office is neat and clean, the rates are fair.  I could not be happier.  I read and re-read the first person's comments.  If you paid $1000 out of your pocket in a month, and if your co-pay is $10, that's 100 visits in a month.  That is over 3 visits a day!!!  If you doubled the co-pay to $20, that's still 50 visits in a month, which is 1 1/2 visits a day.  Nobody goes in that much.  And if it was so bad, why did he/she go in so many times instead of stopping sooner&#63;  Come on, I suggest you ignore this complainer who is full of falsehoods and generalities.  I suggest you come in and see for yourself firsthand.  You will not be disappointed.  	 9/1/12	5	5	5	Insurance:Blue Cross / Blue Shield
4	1	I don’t usually participate in these kinds of sites.  But I felt I had to after seeing the first posting here, which was ridiculous.  This person must be mistaken or was in the wrong office. Dr. Zalin and Dr. Zalin’s office are nothing like what this person has suggested.  Dr. Zalin is a kind and caring chiropractor.  More than that, she had addressed my specific problems and found me relief and hope.  I have been to other chiropractors who were good, but she really is the one of the best in my opinion. Her office is new and clean.  All you have to do is open your eyes and see for yourself. As for her fees, she is extremely reasonable.  I have been with her for years, with and without insurance, and it has never been a financial burden ever.  	 8/28/12	5	5	5	Insurance:Blue Cross / Blue Shield
4	-1	This so-called 'doctor' charged me nearly $1000 (plus what my insurance chipped in) for a month of sub-par care.  Literally, she billed me $20 each time I stretched my own neck on a contraption SHE NEVER CLEANS OR SANITIZES (sanitation violation...&#63;&#63;).  She did not even see me stretch (false claims mean anything&#63;&#63;) or really show me how to use the device properly... but sure was quick to add $20 to the bill every time she told me to use it. After many times saying my care was up to me, she continually insulted me for not wanting to get X-rays..... maybe upset not to rack up more charges&#63;  To add insult to injury, I had to discontinue care because she told me she was &quot;the last doctor in L.A. who could help me&quot; and smiled like that was some funny joke.  Her adjustments are a joke, her prices are ludicrous, her clinic is not sanitary (did I mention water stains on the ceiling&#63;)... no wonder she has no patients!!  Don't waste your time or money.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Zarembinski is a top flight physician.  He made me feel comfortable and educated me on the whole process.  I appreciate the level of professionalism he showed.  The procedure was quick and painless.  I would refer him to all people having knee and joint problems. 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Malak Shammas is by far the best doctor that I have ever gone to see. When I arrived I was greeted by her receptionist who was eager to answer any questions that I had. I barely had to wait 5 minutes to see Dr. Shammas, and in a city of &quot;hour long waits&quot; that was refreshing. Not only was Dr. Shammas informed and professional, but her bedside manner is unsurpassed. She has such a calming tone and demeanor that you feel like you can tell her anything. She cares, helps, and listens. I cannot recommend her enough. If you are looking for a doctor who is truly the best, then look no further.  	5	5	5	5 	Insurance:Aetna
