dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 I've been a patient of Dr Caldwell for many years.  She is attentive, respectful, and has consistantly provided excellent care.                                  It can be difficult to speak with her nurse and I have gotten very frustrated with rounds of phone/voice mail tag.  	4	5	5	5	Insurance:United Healthcare
1	1	commentsI have been a patient of Dr Caldwell's since 2006. She takes the time to listen, and has a great bedside manner. HOWEVER, I have had a terrible time with getting return calls or questions answered from her nursing staff. 	2	5	5	5	Insurance:Unknown
1	1	 I have seen Dr Caldwell now for several years.  When I first saw her I was impressed that she was able to spot chronic problems that my previous physician had not, specifically low vitamin B levels for my age. I know I have better care now.  Dr Caldwell will listen to me and respect the opinion I have on the functioning of my body.  I am so pleased with her that I sent my son to her.  He is satisfied with her also.  	4	5	5	5	Insurance:United Healthcare
1	1	 Dr. Caldwell has been my primary care physician now for several years.  She has also cared for two of my daughters.  I have found her to be caring and a good listener. Response from her nurse is prompt. I have referred my husband to her as a definite improvement over the care he has rec'd from another physician at Alpharetta Internal Medicine (over the past several years). I am confident that he will be more satisfied. I am very confortable questioning her conclusions and suggestions and she is always receptive. I am very satisfied with Dr. Caldwell as a physician and caring individual. I am a 55 year old woman.  	4	4	5	4	Insurance:Aetna
1	-1	commentsDue to change of insurance I was forced to find a new Internist. I was given Dr. Caldwell's name by another physician I respected. I scheduled an appointment with Dr. Caldwell's office and went over all the new patient questions and was given a date of 3 weeks away. When I arrived for my first appointment I was told my appointment was not until 2 more weeks, a totally different day and time than I was told over the phone. When I expressed that I was sure my appt. was on the day  I was there and I had specifically written it down as it was my first appt. with the Dr. the receptionist just said no it was not. The receptionist never once said it could be a mistake on their part or she was sorry or anything. I am now glad I have another chance to seek another physician, since the first impression you get is with the staff. 	1	5	1	3	Insurance:Unknown
1	0	 Very stern and unnecessarily nasty when she felt I had asked too many questions.  Instead of saying she had used up my alloted time, she told me there were many more people sicker than me out there. I think she was in a very bad mood that day.  I never saw her again.  I left the office crying and feeling much worse than when I went in there.  	3	5	3	3	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$40
13	1	commentsDr Cain is an excellent doctor who explains the procedures that he is to perform and puts you at ease with his explanation of what to expect.  He is a good bladder surgeon. 	5	5	5	5	Insurance:Unknown
13	0	commentsThis doc is a very nice guy but you want someone very aggressive when you have a high PSA and you are younger (40,50,and 60s) otherwise it can spread outside the prostate. (Apparently, younger men can have a very nasty and lethal type). I found another doctor because Dr Cain does not a high number of prostate surgeries and with all that is at stake, you want someone who does this surgery frequently. 	4	4	4	1	Insurance:Unknown
13	1	commentsDr Cain is the friendliest doctor I have ever met. He will spend a lot of time with you and explain every detail with you. I was so impressed with him when I needed surgery because he is very organized and was there for me whenever I needed him. WONDERFUL doctor!! 	5	5	5	5	Insurance:Unknown
27	1	commentsDr. Callahan reminds me of a young &quot;Dr. Welby&quot; (if you are old enough to remember who that is). He took a lot of time to explain things to me-- I don't know how he can do that and keep on time, but he was pretty close (I think I waited 10 minutes or so). Only downside was that he's not in the office very often, I think only one day a week. A coworker recommended him and it took a few weeks to get in to see him. 		5	5	5	Insurance:Unknown
