dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr.Daniel performed a biopsy on multinodules of my thyroid gland.His staff were so nice and explained every step they would make and why. I was extremely nervous about having needles stuck in my throat. Dr. Daniel was prompt, and explained every thing he was doing and would ask in between if I was ok. He is a very down to earth Dr. I have been to countless doctors trying to get a diagnosed truth about a thyroid issue of mine that is complicated. Dr.Daniel did the procedure beautifully and quickly. He talked with me afterward about my options re: possible surgery and or other means of treatment. Biopsy came back negative for cancer. I am still on the fence about surgery . But Dr. Daniel and his staff sure made my visit (and by the way my first visit) so pleasant that I would not hesitate to go back. He is a class act.  	5	5	4	5 	Insurance:Blue Cross / Blue Shield
1	1	I've known (and used as a patient along with my immediate family) Dr. Daniel for 16 years. As a fellow physician I've worked with many surgeons and I can say without qualification that he is among the best. He genuinely cares about his patients and keeps up with the latest standards of care, consistently has great surgical outcomes, and has handled many complex and challenging cases with skill and compassion. Many of the medical and nursing staff at our hospital use him, which speaks volumes.  	 9/29/06		5	5	Insurance:Blue Cross / Blue Shield
2	-1	SEE THIS DOCTOR IF YOU WANT TO CONTINUE TO HURT THE REST OF YOUR LIFE. MAYBE ITS BECAUSE HE DOES NOT HAVE THAT MUCH EXPERIENCE. HAD RUPTURED DISC THAT IS FIXED NOW BY A REAL DOCTOR. I HAVE NEVER HURT SO BAD IN MY LIFE SEEING THIS DOC HE COULD NOT HELP AT ALL.  ITS SAD PEOPLE LIKE THAT HAVE A LICENSE TO HELP PEOPLE.  	1	1	1	1 	Insurance:Aetna
2	1	Great Doctor and great staff. I have always had nothing but great things to say about Dawson and his staff. Would refer him to anyone with back problems. He has given us a chance to be a family again.  Not fast to pass out narcotics for a quick fix but long term solutions!! 	5	4	5	5 	Insurance:Tricare
2	1	I have been seeing Dr. Dawson for a number of years for fibromyalgia pain and Osteoarthritis.  His staff has always been very pleasant and professional.  Dr. Dawson has been wonderful at answering my questions and taking time to talk with me about how I am handling any pain that I have and has been there to help me after I had surgery and a number of dental procedures back to back and went thru an episode of crying.  He knew exactly what was wrong.  Basically, I had been put thru too much within too short a period of time and he knew exactly what to give me and within two days, my crying spells had stopped.  	4	5	5	5 	Insurance:Medicare
2	1	The whole office was good and my appt was taken care of fast. And you can get him to call back if u want more info very prompt.Been with him over 1 yr and still happy with him.  	4	4	5	5 	Insurance:Tricare
2	-1	This Dr. does not listen to his patients complaints in it's entirety. He tease with them and tries to manipulate in a (flirtatious way)  into his own final diagnosis.In the end when he can't do a positive and/or accurate diagnosis he find a way to shove you off and not want to return but u know you have to in order to continue treatment. He is not fair in referels of you to other doctors.  	3	4	2	2 	Insurance:United Healthcare
3	1	Very friendly and caring dentist. Also staff was very helpful with insurance. 		5	5	5 	Insurance:Unknown
4	-1	This facility is a profile of incompetency, disorganization and complete disrespect for the patients time or helath care concerns. Follow-up and follow-through, at least in my expereiences with  Dr. Danforth,  Has been non-existent. Do yourself a favor and go elsewhere.  	1	1	1	1 	Insurance:United Healthcare
4	1	She takes her time with you and asks pertinent questions.  She also explains everything very well.  Dr Danforth is the best physician I have ever been to in Newnan.  I would definitely recommend her to family and friends.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	I cannot say enough great things about her.  She is the only doctor I will use in the area.  She really makes you feel like you are a priority.  I have and would suggest her to anyone I know.  	5	3	5	5 	Insurance:United Healthcare
4	1	Dr. Danforth is very caring and compassionate. She is very aggressive when trying to figure out whats wrong. When I leave her office, I am very satisfied in knowing I have an awesome doctor! 	5	5	5	5 	Insurance:Unknown
5	1	As a balloon guy, on the go, and 49 This doctor is a god send, One of the finest I've ever had. Only sorry I've moved. Calm, great listener, knows his stuff. Just tops, and I'm not one to gush. 	 6/12/09	5	5	5	Insurance:Unknown
6	1	Dr. Danielak was great! She gave us so many details in our test results. She was very helpful ! Her staff was great too! 	5	5	5	5 	Insurance:Unknown
6	1	Mary is an extremely qualified, intelligent psychologist who evaluated my daughter and helped her receive extra time on the college board tests; quite different from the school psychologist.   Mary performs quite thorough evaluations and will delve to find  the underlying problems.  I have been quite impressed with her knowledge and ability to help my daughter. 	5	5	5	5 	Insurance:Unknown
6	1	Mary is an amazing therapist.  She has terrific insight, and a great way of telling you what are ready to process.  I would recomend her to anyone who has a genuine desire to work on their issues or relationships. 	5	5	5	5 	Insurance:Unknown
6	-1	I took my daughter here for ADD evaluation.  Paid $1700 for tests and was not happy with the final evaluation.  I thought Dr. Danielak rushed me through the feedback and I felt like she was not patient with my questions.  She charged me for the full time of the feedback session even though she finished with me 30 minutes early.  I asked her if I could call her to discuss further results on the phone and she was hesitant but agreed. Never used this time but needed her to fill out a insurance form that asked 3 questions about my daughter's diagnosis-.  would take 5 minutes to fill out. She wanted to charge me $70 to fill out any form. Since I had 30 minutes left on my consultation that was worth more than $70, I asked if she could use that for payment.  She refused and told me even if it took only 5 min she would still charge me $70.  I felt this was unethical and WOULD NOT RECOMMEND this doctor if you are looking for someone who isn't about just making money but really wants to help. 	1	1	1	1 	Insurance:Unknown
7	1	Dr.Day has agreat bedside and always takes time to discuss what ever the patients issues are.  Would recommend Dr. Day to anyone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	-1	The Office Staff was VERY polite and efficient, This rating is for the Physcian. The nurse came in took the history, did an exam, &amp; then the Doctor came in the room. I went on this appt. w/father who felt he needed to repeat a few details to the doctor abt. his history when he was abruptly cut off and told to be quiet and let HIM be the Doctor since He was the one who went to Medical School. He simply wanted to tell us that testing procedures were needed and get out ASAP. We left feelng like a number &amp; having some of our questions answered by OFFICE STAFF.  The way my father was treated was just plain RUDE ! 	1	3	1	3 	Insurance:Medicare
9	1	DR. Danaker did a whipple on me in May 1995 while he was at Emory ,with a 10% chance of recovery. In my book there is none any better and he gives God the credit.I have visited him one time sence Emory and have just retired at age 72 as a Fire Chife and EMA Dir. May God continue bless him. 	5	5	5	5 	Insurance:Unknown
