dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Dr.Upshaw didn't ask what kind of symptoms I was having, didn't listen as I tried to explain my symptoms. Dr. Upshaw predicted what it may be, but wasn't 100% sure.  	2	5	1	1 	Insurance:United Healthcare
2	1	I am also confused by the 2009 posting.  Dr. Unterman is a fine skilled cardiologist who performed cardiac surgery on me personally in October 2011.  He is highly respected, caring, friendly and a doctor that I will continue to use. Other members of my family prefer him as their cardiologist as well. 	5	4	5	5 	Insurance:Unknown
2	1	I'm not sure what the other individual rating was about.  No other doctors are in the room when proceedures are done.  Dr. Unterman is one of the best doc in the city and does some of the most complicated cases that others will not touch.  Very skilled. 	5	5	5	5 	Insurance:Unknown
2	-1	would not trust this doctor- has been known to upcharge while doing procedure's by having his partner Lippsitt stand next to him and shoot the bull while Unterman does the procedure 	5	1	1	1 	Insurance:Unknown
3	1	I feel confident with Dr. Ulrich treating my family's vision and my own (I have type 1 diabetes).  	4	4	4	5 	Insurance:Blue Cross / Blue Shield
3	-1	This doctor lack of knowledge and care resulted in a deterioration in the in one of my son's eyes.  I filed complaints about him and think it is better to avoid dealing with him.  Your vision can't be replaced. 	2	2	1	1 	Insurance:Unknown
4	1	Dr Ugwonali was great, smart, friendly, on time. gave me options.  I would use him again if needed. 	5	4	5	5 	Insurance:Unknown
4	1	Diagnosed a previously missed broken wrist, advised a course of treatment that included an excellent physcial therapy referral.  Probably could have made a bunch of $ operating on it, but correctly advised me not to go that route.  	2	4	5	5 	Insurance:Kaiser-Permanente
5	1	Dr. Ullah was great! I did not feel rushed at all. He listened to my concerns and asked lots of questions. 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Utberg changed my opinion of chiropractic medicine. I was an extreme cynic but after two visits with Dr. Utberg, I became a believer. He takes the time to explain the underlying reasons for any procedure. He gives excellent advice on how to avoid the issues in the future. He does not schedule endless re-visits to correct an issue. I highly recommend him. 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Utberg has been my chiropractor for over 15 years and is, by far, the best chiropractor I've ever seen. His hours are very accommodating &amp; he has a friendly, professional &amp; caring demeanor towards his patients. Overall experience for the past 15 years: a 10 on the rating scale! 	5	5	5	5 	Insurance:Unknown
7	1	Caring professional and friendly staff and Doctor. Very kind and listens. Prescriptions sent on time. Everything is done electronically. They call you back on time.  	5	5	5	5 	Insurance:Aetna
8	1	always willing to help and find out what is going on.   Highly reccommend 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
8	-1	 	2	2	2	1 	Insurance:Unknown
9	1	a wonderful doctor that pays attention to details 		4	4	5 	Insurance:Unknown
10	1	Great Doctor...  love that he gets right to business and it on time.  So many doctors let you sit for hours.  In and out and the best personalized service.  Cn ask for anything better.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	-1	To be Honest, I dont know why they let this doctor practice. He no longer has knowledge of what he is talking about. He might have been a good doctor back in his days, but he is only out to get money from patients. He does not care about his patients. I would never be seen by him again. Worst doctor that I have ever met. 	5	1	1	1 	Insurance:Unknown
