dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr Yugueros is one of the best surgeons i have ever been to. She is very sweet and knows her stuff. I had a breast reduction and she has been great. She gives you a phone number where she can be reached 24 hours a day and on a Sunday she called and checked on me. I would recommend ANYONE to her if you need any kind of plastic surgery.  	5	5	5	5 	Insurance:Aetna
1	1	I had a brazilian butt lift and arm, bra fat smart lipo and she has done a great job so far because she is very meticulous with her work and very patient. I'm coming back to her if I need anything else! 	5	5	5	5 	Insurance:Unknown
2	0	Dr. Yoon is a well respected surgeon among his peers. I have no doubt his work is first rate when he does surgery - he did my ACDF. However, I'm concerned about his attitude and willingness to discuss things with curious patients or his willingness to seek a solution to a difficult problem. Of my other spine issues, he said, &quot;It's just pain, live with it.&quot;  I presume this is because the diagnosis wasn't as black and white as my neck, so he didn't want to get his &quot;hands dirty&quot; with a case that didn't have a 99.99% chance of success. A little reading into the professional journals would have been nice - even I could find supporting evidence. In short, he's a jerk. And rushes you out of his office. Go somewhere else if you want help.  	5	2	2	4 	Insurance:United Healthcare
2	1	Had anterior cervical discectomy and 3 vertebrae fused on 1/3/11.  EXTREMELY successful.  Back at work in 1 week.  No problems and little pain.  Dr. Yoon is the best you can get.  Don't take a chance on an ortho surgeon to do this work.  	4	4	5	5 	Insurance:CIGNA
2	1	I saw several different surgeons and chose Dr. Yoon because of his experience and credentials.  He is one of the best surgeons in the world and has taught many of the surgeons who are at the best hospitals in the country.  I had my cervical spine surgery (ACDF) and did great.  Just an overnight stay at a great hosptial and quickly recovered.  Best of all my neck and arm pain is gone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	knows his stuff more then anyone ive met.Will not go to drastic(surgical) measures if not necessary.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	I just have had a discectomy and I am still recovering from it. Dr. Yoon was very comforting talking to him abouth the surgery before and afterwards. The day of surgery after being taken to my room Dr. Yoon visited and checked up on me again before he left that day. His staff continued follwoing up with me until I left. This is my first time meeting and using Dr. Yoon but I am very pleased with him and his staff.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Removed tumor from spine and corrected alignment...very dicey 14+ hour surgery.  Excellent results, no problems: This is the guy you want for extreme work 	3	3	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Performed laminectomy and spinal fusion on me 17 months ago.  I am very satisfied with the medical results.  His manner inspires confidence, and I recommend him without reservation.  He was referred to me by a physician friend of mine who felt that Dr. Yoon was an outstanding surgeon.  	5	5	5	5 	Insurance:Tricare
3	1	Excellent Doctor with lots of experience. Has removed dozens of lesions. Always on time and follows up.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	He is on time, and thorough in his evaluation of your problem.  He answers your questions and when you leave, you understand your treatment plan, follow-up. 	4	5	5	5 	Insurance:Unknown
5	-1	I suffer from a skin disease. The primary doctor I was using to treat it went out on medical leave, so someone suggested Avis Yount. I made an appointment for her and when I arrived the receptionist informed me that Avis was booked and that her husband Peter was available. When I went to see him he wrote a 100+ dollar cream prescription for me to try. The cream made it worst. When I made another appointment to get this corrected, this jerk, Peter, said that he would not sign a disability form for me. &#63;&#63;&#63;&#63;&#63;&#63;&#63;&#63;&#63;&#63;&#63;&#63; What! I never asked for a disability form to be signed. This guy is horrible.  	2	3	1	1 	Insurance:Blue Cross / Blue Shield
6	1	He seems to make the patient pay as much as possible. I stayed an unnecessary night in the hospital and I had a checkup that took over an hour with only five minutes of interaction with him or a nurse. 	5	3	3	5 	Insurance:Unknown
7	-1	 	3	3	1	1 	Insurance:Unknown
7	-1	The treatments are working a little bit. I expected it to take some time. The problem is his attitude. My mouth fell open when he called my son shorter and fatter than his brother. This upset my son very much. I can't believe a grown man and a physician sworn to do no harm would say that to an impressionable 14 year old boy. I would not recommend this MD to anyone that needs to bring a child in.  	5	1	1	3 	Insurance:Anthem
8	1	I recently had a fracture of the right wrist,as well as surgery.  Dr. Yarbrough was wonderful and I would recommend him to anyone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Had hard time w/Workers Comp.  Dr Yarbrough assured me he could help with shoulder problem and did.  Did not have any pain or problems.  He has excellent manners, advice, and followup.  Best experience with a doctor I've ever had........  	5	5	5	5 	Insurance:Workers Comp
8	1	This doc and his staff were the most pleasant and helpful staff of any office I have ever been in.  Very professional as well.  Being an ER nurse myself, you know how stressful the day can be and you would never tell by their attitudes.  The physician was informative, prepared, and definately explained the options you had as well as the best option.  Even though I was a nurse he explained everything as though I wasn't so I fully understood.  He made an unpleasant situation as pleasant as possible.  He has a smile that won't quit and professionalism that won't either.  Strongly recommend him and this group.  I only had one appt. that I had to wait about 30 min.  	5	4	5	5 	Insurance:United Healthcare
8	0	Busy practice, usually running late. 	3	1	3	3 	Insurance:Unknown
9	1	She is very knowledgeable of developmental issues with children.  She really goes above and beyond to assist us. 	5	4	5	5 	Insurance:Unknown
10	-1	.  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
10	0	I don't like the fact that evrtytime I come in the office there's new staff members. It makes me wonder why the change so often.  	2	2	3	3 	Insurance:Blue Cross / Blue Shield
10	0	This doctor while caring seems very scatter-brained and has often written the prescriptions with different meds and dosages from month to month without mentioning any changes.  And she will not call in changes to the pharmacy even though she made the error, requiring another trip to the office to pick up a new prescription if you don't notice the problem while there.  She is almost always running 30 minutes to an hour late.  Her office staff and therapy associates change often.  	1	1	3	3 	Insurance:Medicaid / Medi-Cal
11	-1	Regular office visit.  I have been here many times, each time requesting a change in medications.  This doctor only has one combination he prescribes, and actually accuses the patient of &quot;drug seeking&quot; when requesting a change for side effects.  After 3 years of this, I'm done.  His rudeness went overboard this week, and lack of professionalism was shocking.  As a medical professional myself, I don't think asking for a change if something isn't working, or is causing side effects should be considered a bad thing for a patient to request.  I left the office with the same prescriptions as usual, and determined to find a new physician as soon as possible.  He has been told he's not &quot;approved&quot; in my network, unless he files an appeal, and he refused to deal with the insurance paperwork, or even a quick phone call.  He's upset that his procedures were denied by my insurance, but again, he refuses to appeal his request.   I'm pretty patient with most medical providers, but enough already! 	2	1	1	2 	Insurance:Blue Cross / Blue Shield
11	1	Excellent care. Concern for patients welfare and allow patients to particpate in decision making process. Offers chioces of treatmenst available.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	just the best. able to help more than most doctors 	4	4	5	5 	Insurance:Unknown
13	-1	.  	1	2	1	2 	Insurance:Aetna
13	1	I really like her. She is very knowlegeable. Very she is very aggressive and she is a certified physician for Natural Hormone Replacement in pellets and Traditiional Hormones.  She is Great!! 	5	5	5	5 	Insurance:Coventry
13	1	I have been seeing Dr. Young for three years.  I am pleased with the service I have received including hormone replacement.  I have visited several doctors over the years and no one has given me as much information as Dr. Young has. I believe that knowledge is power. Dr. Young is knowledgeable and she does not mind sharing the information.  	4	4	4	4 	Insurance:Blue Cross / Blue Shield
13	1	I had the opportunity to make an appointment with Dr. Young. I was able to get an appointment with her with in 24 hours of calling her staff was really pleasant and helpful. Dr. youg was surprisingly great considering her reviews. i deffnite that the her reviews are very deceptive. Being in the medical profession myself when I have to comare her with other physician that I have seen in the past I found her be the best. She was very knowlegeable of all subjects that we discussed and she insured that I received information on the things that we had discussed. I am so happy that I did do not allow the reviews on her to deter me freom seeing her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
13	-1	If you're thinking of hormone replacement, do NOT go here! As an OB/GYN she should know all about women's hormones but she doesn't and prescribes potentially harmful hormones and supplements. The lack of communication is a HUGE drawback. She doesn't return phone calls. Extremely unprofessional. Ever seen a dog wandering around a Dr.'s office&#63;&#63;&#63; This doctor brings her dog to work. Staff has an extreme turnover rate, -7 new people in less than a year's time. Contact your nearest compound pharmacist for a list of doctors who prescribe natural hormones. By the way, she wouldn't file with tricare because &quot;It's not worth it, they only give her $50...but I had to pay it!!  If you go to her website you will see she has her fingers in too many things and is not focused on any one thing, hence major mistakes. She's just trying to get rich quick. Her Dr. 's Assistant asked me if I make my husband give me sex every night!!  Very professional! 	1	1	1	1 	Insurance:Tricare
13	-1	Dr. Young is the worse of the worse. Always late, nasty dog roaming the office. I understand why Houston Medical Center revoked her priveleges.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
13	1	I love this doctor...she is very sweet and understanding. She delivered 3 healthy babies. I love seeing a black educated dr. with her own. If you don't like the way she works heres an idea &quot;GET ANOTHER DR OR SIGH UP ON ANOTHER INSURANCE&quot; THANK YOU DOCTOR YOUNG FOR ALL THAT YOU DO HERE IN MIDDLE GEORGIA.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
