dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	she's very kind an friendly. she takes her time and answers questions. has great bed side manners.She delivered my first baby and I was very happy with the experience of having her as my dr.  	 3/12/11	3	4	5	Insurance:CIGNA
1	1	She is a nice, polite, caring doctor.  Her staff isn't great, but I am a returning patient because of Dr. Heidari alone.  	2	4	5	5 	Insurance:Blue Cross / Blue Shield
1	1	she was INCREDIBLY kind and thorough.  VERY thoughtful and just overall GREAT experience!!! 	4	4	5	5 	Insurance:HealthPartners
2	1	I started seeing dr huang in 2005.  Since then I got pregnant three times, 2 beautiful baby girls, and 1 mc.  He seems like he is very rushed bc he talks ridiculously fast, but he is a very compassionate doctor.  I felt that he was very honest, but still optimistic on my chances.  I was given only a five percent chance to conceive my second baby.  After  20 iui and 1 ivf, I am forever grateful to him!  Infertility is very emotional and frustrating!!  Don't give up!! 	4	4	4	4 	Insurance:Unknown
2	1	Dr Huang and the Staff are the best!! Dr Huang is very knowlegable,honest and professional. The staff was very helpful as well. I want to Thank Dr Huang and the staff for everything they did. We have a handsome baby boy and we are forever greatful.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Hats off to Dr. Huang and his staff. They are fun, caring, and go the extra mile. I left my medicine at his office and Kim actually brought it to me after hours. Love them! 	5	4	5	5 	Insurance:Unknown
2	1	Dr. Huang probably saved my life. After seeing a GYN that just didn't care I bled so long I was anemic, I found Dr. Huang's card in my wallet that a friend gave to me. He immediately admitted me to the hospital and I ended up needing 4 units of blood. My husband and I have been trying for 8 years to have a baby and we've done 2 IVF cycles with other doctors. Dr. Huang gives us hope that we still have a chance of conceiving ... his staff has been amazing, very responsive and helpful and they knew me by name by my 2nd visit.  I appreciate little things like that! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	0	Dr.Huang is a great doctor, but his office staff just makes him very unprofessional.  The staff there is extremly rude.  There supervisor on the other hand Kim is unpleasant.  I overheard her and another employee which is an RN talk bad about a patient.  Excellent doctor but the staff that runs the office makes the visits very uncomfortable.  	2	2	2	3 	Insurance:United Healthcare
2	1	I was told by another infertility doctor that I had a 1:10,000 chance of having my own baby, and that I should look into donor eggs.  After seeing Dr. Huang, he gave my husband and I hope, and after retesting me, thought I'd have a good chance at having a baby.  Well he was right, times two!   My boy was conceived with IUI in the first cycle.  My girl came as a surprise naturally 15 months later.  Thank you, Dr. Huang! 	5	5	4	5 	Insurance:Unknown
2	1	Infertility is a very difficult experience.  With a doctor like Dr. Huang it was made a little easier.  He answered all my questions even when they were &quot;after hours&quot;.  His staff was always knowledgeable and kind.     Thanks Dr. Huang! 	5	5	5	5 	Insurance:Unknown
