dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsDr maude is excellent. She knows her stuff and is very professional. She is extremely concered with your welfare and if she can not help you, she will lead you to someone that can be of help. 	4	5	5	5	Insurance:Unknown
5	1	.  he was good knowledgable very helpful and great and on time 	5	5	5	5	Insurance:Medicaid / Medi-Cal
5	-1	comments 	2	1	1	1	Insurance:Unknown
19	0	commentshas no staff. don't know when's doc would answer d phone which has no signal at all. can't leave msg. out of my 12 calls, dr. answered 1. hv 2 email regardng schdule. expect response in a few days. my appt at 9PM, waited almost till 10:30PM!! there'r &gt; patient waitng when I got out after 11PM. He gave me impressn that he went his way that late 2 help me, I brought him food 2 thk him. guess that's his &quot;normal&quot; hr. am sick.couldn't move all limps much hm bound. no social connetn. struggle 2 c him. got out feeling bad. but deperate, emailed reschedule. use abbrevatn as usng hand hurts. he refused his exact words -- &quot;seriously – please type in English – I’m not going to respond to this type of communication.&quot; Now I hurt way &gt; physically so much typng n feel like crap. think Psychiatrist supposed 2 make u feel good n care about u&#63; Paid/Co-pay:$15	1	1	2	4	Insurance:Unknown
20	1	 Fantastic doctor; very patient, very helpful and knowledgeable.  Absolutely recommend 		5	5	5	Insurance:Kaiser-Permanente
20	1	 Dr Pang is very knowledgeable. He tells you of new medicines that are available. He sets up your appointments on a schedule. Any other problems you have he often has a suggestion to solve them.He takes an interest in his patients.  		5	5	5	Insurance:Kaiser-Permanente
27	1	commentsAfter seeing 2 doctors about my ankle tendon Dr. Pascual was the ONLY one that diagnosed the problem correctly-posterior tibia tendon rupture. Wearing the boot and Fector patch and pain free for 5 days straight! The best I've felt in 2 years! Took the MRI and will go back to figure out the next step. The staff very down to earth and treated me well. The wait extra heavy because she was going on vacation so it was packed. Doctors punctual&#63; Really&#63; 	4	3	5	5	Insurance:Unknown
27	-1	commentslook profesional on computer .but when you go ther you wait one hour our more /bogus add thats not her on add//// staff suck;s can;t rememeber anyone or what the patient there for or &#63;  get your act togther or go back to school/think of patient not $$$$$$$$$ 	1	1	1	1	Insurance:Unknown
29	-1	commentsThis doctor seems to have a problem with dads.  Seems to focus on breastfeeding to the exclusion of fathers.  As a dad, when I had questions or tried to express my concerns, she talked over me, told me I needed to be more supportive, told me I needed to put all future concerns, questions in writing and wouldn't allow me in the exam room with my baby.  Auwe.  Looking for another doctor. Paid/Co-pay:$100	3	1	1	1	Insurance:Unknown
29	1	 To agree with the previous comment, Dr.Pager is usually late. But on a good note, Dr. Pager is old school. She's not into all of the medications, &quot;new age&quot; products and such. She's full of information and straight to the point. She also writes EVERYTHING down to you. So if you're no-fuss parents consider her. Just make sure when you schedule an appointment, you know that you may end up waiting a little bit longer then most offices. She's excellent at what she does, you can call her all hours of the night and she will ALWAYS follow up with you (not you to her) if you endup  in the ER. If you want the type of doctor you probly had growin up she's it. Her staff makes up for where she lacks.  	5	2	5	5	Insurance:Blue Cross / Blue Shield
29	1	commentsDr. Pager was my lactation consultant, and one of the best physicians I have ever seen. I would have made her my pediatrician, but I moved. She even called me at home several times, even on weekends and a holiday, to check on me. She also spent at least an hour with me each time I saw her. I have never had such personalized care by a doctor. 	5	4	5	5	Insurance:Unknown
29	-1	commentsAvoid at all costs! Today we had our first pre-natal appointment. After waiting for 30 minutes, she called to inform us that she was late because she had to take her call to the Toyota dealer and that took longer than expected. After waiting for 10 minutes more after that we decided to leave and look for another pediatrician. Obviously she does not respect her patients and is convinced that her time is more important than ours. Having to take your car to the dealear IS NOT A VALID excuse for being more than half hour late. Period! 	2	1	1	1	Insurance:Unknown
37	1	commentsThe best dentist I've had strongly reccomended 	5	5	5	5	Insurance:Unknown
40	1	commentsDr. Patel changed my smile and I thank him so much for it.  I was embarrased with how my teeth looked for so many years and could not find a dentist that I could trust.  I found him and have sent my husband to him as well who had to have a root canal and a crown he compelted in one visit.  You are truly a skilled artist Dr. Patel, your team is great and always makes me feel comfortable without being judged.  Thank you for taking care of my family. Sincerely, Your happy patient 	5	5	5	5	Insurance:Unknown
41	1	commentsI switched to Dr Palalay from another oncologist - He is caring and listens.  There is always a long wait but the care he provides is worth waiting for. 	5	1	5	5	Insurance:Unknown
41	1	 Compassionate and understanding. Keeps up to date with the latest treatments. Listens to his patients and doesn't rush through the appointment. This, along with perhaps some overbooking, causes him to run late most days. But if you can plan for that, he's worth the wait.  	5	3	5	5	Insurance:Medicare
41	1	comments 	5	2	5	5	Insurance:Unknown
42	1	commentsVery good doctor - knowledgeable and caring. Respond to calls or questions. 	5	3	5	5	Insurance:Unknown
44	1	comments 	5	5	5	5	Insurance:Unknown
50	1	commentsEarlier this year, I had to have my thyroid removed and was advised to have it done by Dr. Richard L. Pang.I met with him and scheduled my thyroidectomy. He was very proffessional,explained the procedure ,answered all my qestions,and reassured me everthing would be fine.The procedure went well, and I thank him for all he has done for me. He is a very caring and kind physician, with an excellant bedside manner.He is the (best of the best) in my opinion, and I would recommend him to anyone who needs his services. Mahalo Dr.Pang 	5	5	5	5	Insurance:Unknown
61	1	 Dr Pearce is very helpful and has great service.I would defiantly recommended Dr Pearce.  	5	4	4	4	Insurance:Medicaid / Medi-Cal
61	1	 This doctor is very compassionate, takes time to explain, and helps the caregiver along with the patient.  		4	5	5	Insurance:Medicare
64	1	 Caring, knowledgable,prompt.  I felt so much better! 	5	5	5	5	Insurance:Medicare
64	1	commentsVery Good 		4	5	5	Insurance:Unknown
67	1	commentsI had liposuction on my thighs, calves, and ankles. I am very satisfied with the results. Dr.Pasquale is very easy to talk to and his explanations are easy to understand. His staff are very sweet and always helpful when I have questions. I'd definitely recommend him to anyone thinking of having plastic surgery. 	5	5	5	5	Insurance:Unknown
67	1	commentsExcellent doctor and results. I couldn't be happier with his and his staff's professionalism and care. I would absolutely recommend Dr. Pasquale for any cosmetic work. 	5	5	5	5	Insurance:Unknown
67	1	commentsLast yr was my 10 yr high school reunion,and I felt like doing something very subtle to my face but wasn't sure what I needed exactly.Getting scheduled for a consult was very fast and easy.During the consult I spoke w/ Dr and one of his consultants and had my treatment done same day.Dr. said what would help would be fillers.His nurse took me into one of the treatment rooms and numbed me w/ topical lido and placed an ice pack under my eyes for a few minutes.When Dr came in he looked at my face again and after numerous &quot;crackling sound&quot; injections,he made my dark circles and hollowness under my eyes vanish.He is a man of very few words,but if you don't need a hand holder and able to get past his shell by simply talking to him,you'll be glad to have him as your doctor. Back to my reunion,my classmates said that I looked great and many said I look the same since hs! Now if looking 10 yrs younger in not a compliment,I don't know what is!! 	5	5	5	5	Insurance:Unknown
67	1	commentsExperienced, great eyes, artistic and knowledgable!  Fixed what another cosmetic/Plastics Doctor botched! 	5	5	5	5	Insurance:Unknown
67	1	commentsI am a nurse who went to Dr. Pasquale after consulting 5 other plastic surgeon for a infected breast implant/skin deformity caused by the implant and he was the only one willing to help me without charging me a fortune.  He has removed the implant, done a scar revision and fat injections to rebuild my skin.  We are still in the process of healing but everything looks unbelievable and going in the right direction.  He walked me through ever step of the way, sits down and talks to me before procedures to make sure I'm comfortable and dont have question and I'm satified.  He is very supportive through my whole reconstruction and always  keeps me in the loop.  He is awesome, his staff is very personable.  He has done an amazing job thus far and was there for me every step when no one else would help me. I would recommend him a 100% to anyone I knew.  Aside from being an awesome doctor, his prices are very reasonable! 	5	5	5	5	Insurance:Unknown
67	-1	commentsMy experience with Dr. Pasquale was a nightmare. I originally had surgery for breast implants and an arm lift. Over a three year period, I had to have two sets of implants removed because of infection and my arms were a zigzag mess. Fortunately, I moved to Virginia and found a doctor that was an amazing surgeon and she performed reconstructive surgery on both my arms and breasts. Beware:( 	3	3	1	1	Insurance:Unknown
67	1	commentsI consulted with 6 other plastic surgeons before deciding to go with Dr. Michael Pasquale.  I was very impressed by the 27 page typed folder I was given explaining what to expect before, during and after surgery.  All my bases were covered with all the meds he prescribed.  I am a nurse who previously worked in plastic surgery.  My recovery is definitely less than I expected or the 3 weeks that was written in my folder.  I was sitting on the beach 2 days after my breast augmentation with mastopexy.  My breast look and feel great! I highly recommend Dr. Pasquale! Paid/Co-pay:$8040	5	5	4	4	Insurance:Unknown
