dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I like the doctor and her assistant but the receptionist/scheduler doesn't seem to care about patients. 	3	2	4	4 	Insurance:Unknown
2	1	. Very thourough 		5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	This Dr. would not listen to me, the patient. He wanted to be right at my expense. I gave him a second chance and basically he told me he knows me better than I know myself. Wanted me to be the guinne pig for new drugs. Denied patient is in pain, even after multiple and serious injuries. Has a God complex. I was thoroughly disgusted with him. He gave me his cell # but wouldn't talk. Asked me to come in so he could gat paid. That was his 2nd chance. Very closed minded doctor. I waited over an hour to see him. Queen Emma Clinics cateres to the homeless and people who cannot think for themselves or who don't know any better. 	1	1	1	1 	Insurance:Unknown
4	0	This Dr. performed hip surgery on my ageing mother and leeft our conversation mid sentence after her surgery because he said he was burning his lunch.  He never came back to see us or talk to us.  At the follow up visit he interuppted the nurse by a phone call while she was removing my mom's staples to make sure she was going to pick him up and drive him to the hospital.  So rude and self centered...no patient care or bedside manner....  	5	5	1	5 	Insurance:Kaiser-Permanente
5	1	We have been seeing Vern for many, many years.  All 4 of us have glasses &amp; 3 of us also have contacts.  He is extremely patient, especially at helping find the best correction for each individual.  We have seen many eye docs over the years--ophthamologist and optometrists and Vern is the best at helping fine tune the correction for each eye and balancing both eyese so that the correction matches.  We highly recommend Dr. Shibata to all patients and feel that he and his staff are always cheery and competent, squeezing in emergencies as needed as well.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	We have been seeing Vern now for many years and he has always provided great care to all of us. He and his staff are cheerful and very accommodating, squeezing patients in for urgent visits as needed. They always take the time to take a genuine interest in each patient. Each patient seems to become a personal friend of the entire office. Vern also has been best able to balance my husband's glasses & contacts over ALL the many eye docs he's seen over the past decades. Vern is very patient, especially in getting precisely the best correction for each eye of each patient and will spend the extra time and effort to repeat as necessary. 		5	5	5 	Insurance:Unknown
6	1	I am writing this, so people will know that by choosing Dr. Schlesinger, you are going to get a great Dr. A man who takes great pride in his work and it really shows in the results. I personally chose him because his qualifications and experience spoke for itself. In June, I had an Abdominal plasty (tummy tuck) and Liposuction of back and hips. I am 2 months out and I feel and look great compared to what I was. I could not be happier with the results, so much so that in 2 weeks, i'm having Lipo on my inner and outer thighs, knees, and chin. I can't wait! Definitely would not be going back if I was not completely satisfied. I recommend him all the time. I'm living proof of a happy patient! 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Schlesinger is the best cosmetic surgeon in HI. He did two procedures on me: First, I had rhinoplasty, followed by a liposuction two months later. He took all the time in the world to explain the process involved and answered all the questions and concerns I had. His staff is excellently trained and made me feel very comfortable each and every time I visited the office. The results of the rhinoplasty are fabulous. He evened out a bump on  my nose and used cartilage from my right ear for the tip of the nose. The procedure itself went very smooth and the aftercare was nothing but perfect. Convinced that he's an extremely well trained professional, I decided to go for liposuction, which was performed six weeks ago. The areas I had liposuction in were my arms, love handles, upper and inner thighs, knees and upper calves. He extracted about 6000 ml lipids from my body and I lost about 15 pounds in the process. I've never looked as amazing before and would highly recommend Dr.Schlesinger 	 6/18/12	5	5	5	Insurance:Unknown
6	-1	Seemed like a caring doctor but if you are dissatisfied with your results he will become rude and arrogant. He doesn't remember what he tells you each time he sees you. He doesn't even really remember your case. Wish I had done more research before choosing him. Red flag-any dr that has you sign a gag order is one you don't want to have work on you. Clearly there have been complaints and he wants to stifle this as much as possible. Want to warn people. You may end up with a great result but don't expect sympathy or care from either him or his staff if something goes wrong. 	2	2	2	2 	Insurance:Unknown
6	1	After several consultation with plastic surgeons in the state of Hawaii, I picked Dr. Schlesinger to do my breast augmentation and lip augmentation. Not only is he board certified with american plastic surgery, unlike most of the surgeons in hawaii but his confidence level, experience and information he provided me made me feel most comfortable. Previous to surgery my breast were not even- one side was a lot lower than the other from breast feeding and that same size was also a lot larger. Now, 3 months after surgery, my breast look perfect! They're both the same size and very even and perky, I wouldn't change a thing. His bedside manner and staff made me feel very comfortable and overall it was a very pleasant experience. I highly recommend Dr. Schlesinger. 	5	5	5	5 	Insurance:Unknown
