dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	They are un-organized, dirty and un-professional. He only wants money! Becareful because theres more to this than I wanna say. 	1	1	1	1 	Insurance:Unknown
2	1	Dr. Yamada takes the time to explain and does after hour calls too. 	4	4	5	4 	Insurance:Unknown
3	1	Dr Lori is a great Pediatrician.  Our three children enjoy their visits and the special care that Dr. Lori and staff give to all their patients.  I would recommend Dr Lori to all parents looking for a great physician. 	5	5	5	5 	Insurance:Unknown
4	1	Dr. is very caring and so friendly. My daughter is 14 yrs old and has seen the dr. all her life.  We'll see her until she is an adult.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	dr is knowledgable but she is not smart as to what's going on and she doesn't seem reliable.  	3	1	3	1 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Yim and his staff are very professional. I've had 2 root canals, crown and special cleaning sessions done. I've had a pleasurable time and is treated with utmost care and they are sensitive to my needs. The procedure was explained in detail and much planning was done. The result is excellent! Dr. Yim has gentle hands and I didn't feel any pain. I've recommended then to families and friends who had given good feedbacks and are very thankful in return. Commendable and recommendable! 	 1/20/12	5	5	5	Insurance:Unknown
5	-1	I had the most painful root canal imaginable at Dr. Yim's.  I should have been sent home with a week of antibiotics to clear up the infection rather than having a root canal done on a tooth where the root area was already inflamed.  The novocain does not work if the area is infected - therefore I should have been given antibiotics for a week previous.  This was absolutely the most painful procedure I've ever had and I would never go back to this dentist.  The pain was so bad I had to yell out.  This dentist has tattoos - I guess he is into pain.  What is amazing to me is that a dentist can be so greedy that he is going to do the procedure because it has been scheduled rather than send the patient home with antibiotics, and reschedule.   I've had two other root canals, but they were painless compared to this one.  The practice looks like what I might have seen on the mainland 50 years ago...overall, doesn't appear very modern. 	3	5	2	1 	Insurance:Unknown
6	1	We've been seeing Dr. Yamakawa for over 5 years now. He's kind and considerate, and he goes the extra mile in his work.  His staff is excellent. They are always smiling and are very kind.  The only time we've had to wait for our appointments was when we came early, and even then, we were fit in a little earlier than scheduled. They are very prompt.  The most important thing to us is that they are so good with our children. My daughter LOVES going to the dentist! 	5	5	5	5 	Insurance:Unknown
6	1	Highly competent dentist who takes the time to pay attention to each patient. Very good team of people. 		5	5	5 	Insurance:Unknown
7	1	Had lower back pain and now after seeing Dr. Kathleen Yim I feel great.  She cares deeply about my health and she promotes preventive exercises to prevent future body elements. I feel great and now I learned what not to do to hurt my lower back and other body elements. 	5	5	5	5 	Insurance:Unknown
7	1	Kathy is very serious, hard working, and dedicated to her field.   She has helped me a lot with many problems I have with poor nerves in back.  She takes her time and does her best to be thorough. 	5	5	5	5 	Insurance:Unknown
7	1	I had a back pain that felt like an icepick was being stabbed into my back in the area between my shoulder blades every time I lifted my head.  I went to see Dr. Kathleen Yim and she examined my posture and spine.  She determined that the discs were not aligned.  We set up a treatment plan and after a few visits I could feel a major difference.  After a couple of months I felt great.  I could lift my head pain free.  One of the great things I appreciate about Dr. Yim is not only that she helped to realign me, but she also takes a lot of time to explain what she's doing to you and giving suggestions on how to prevent misalignment in the future.  She showed me a lot of different stretching techniques to help with muscles that kept mis-aligning my spine, caused me headaches, or were just painful.  She is very knowledgeable about the human body and how all the parts work together.  She can definitely &quot;fix&quot; problems, but she's also about preventing those problems in the first place. 	5	5	5	5 	Insurance:Unknown
8	1	Reputed to be the best in his surgical field. Very knowledgeable and a skilled surgeon.  	5	4	5	5 	Insurance:Kaiser-Permanente
9	1	I really enjoy the rapport and friendliness of this doctor. He loves his job and shows it in his interaction with his patients and those around him.      If you are sick, there is no one I would rather have treating me than him. He is top rate and it shows in everything he does. 	5	5	5	5 	Insurance:Unknown
