dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	We absolutely LOVE Dr. Naya! She is knowledgable, kind, friendly,funny and patient! Definitly the best pediatrician in Idaho! 	5	5	5	5 	Insurance:Unknown
1	1	My family loves Dr. Naya. She was my son's pediatrician for his first three years and always had time to answer all our questions. Dr. Naya is a knowledgeable, friendly and personable pediatrician. When we moved out of state, we missed leaving Dr. Naya behind the most.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
2	1	My daughters have always had great help from Dr. Ambrosen. He takes the time to answer any questions and doesn't rush to the next patient.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	This Dr. was my Daughters Pediatrician. He was there for us. When we were out of town and she had her Ear enfection he was there for us. She was very comfortable with him. and his Nurse Deb. 	4	3	5	5 	Insurance:Unknown
2	-1	mis-diagnosed my daughter... and a very hard to talk with doctor.  	4	2	1	1 	Insurance:Blue Cross / Blue Shield
2	1	Answers all questions.  Excellent with our kids.  Explains why he's recommending a course of treatment and what outcomes should be.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Ambrosen is such a kind, caring, knowledgeable physican.  He genuinely cares for his patients and he has a wonderful calm demeanor.  There may be other physicians as good, but none better.  	5	5	5	5 	Insurance:United Healthcare
2	1	He is very kind and understanding.  When my daughter was born 4 1/2 weeks early, weighing 4.9lbs and not eating the first week.  He happened to be the oncall pediatrician that night at the hospital.  after working a 12 hour shift that day and having just left for the night when we got there, he came back and stayed with my daughter for another 3 hours running tests and trying to make sure everything was ok with her.  He is awesome both my kids go to him and I wouldn't go to anyone else.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
3	1	Staff is so rude and incompetent, won't make the great Dr. worth it. 	1	4	5	5 	Insurance:Unknown
3	-1	I am very concerned regarding what I have already experienced, and I haven't even met her yet. It seems that her case load is so heavy that she doesn't have the time to properly take care of me. With the scheduling issues, I am deeply concerned that my husband will not be able to attend the only portion of the pregnancy that he has the opportunity to attend. And, the most important portion to us. The ultra sound of determining the sex of the baby. My husband is in the Army soon to deploy a third time. He has a two week period of coming home to be here during this appointment. The scheduling is so booked that it does not appear he will be able to attend. What is more difficult is that the front office staff seems to not care, to even consider listening to why this is so important. He will be here only for this appointment, and the delivery. He will be away for the first 8 months of our child's life. And I can't get an appointment&#63; I can't even speak to my doctor regarding this&#63; 	2	2	1	3 	Insurance:Unknown
3	1	She is the sweetest person I have ever met.  Usually I don't care about doctors because they are arrogant and make you feel they are always in a hurry.  Dr. Anstine is so calm and gentle and of course knows what she's doing.  I used to go to a partner in her practice but I switched to her because I found her to be more understanding and caring.  It is true, I found I had to wait to see her because many times she would be delivering babies, but I always thought that to be understandable and I thought if that was my situation I would like Dr. Anstine to deliver my baby.  Obviously babies don't announce when they will arrive so her hours are kind of unpredictable.  Bottom line, I am glad she is my doctor!!! 	4	3	5	5 	Insurance:Unknown
3	1	Dr. Anstine is an amazing doctor. She is without a doubt the most knowledgeable, caring, patient, giving, loving, and honest doctor I have ever been to. I wish I would have found her years ago. I can see why her practice is now closed to new patience -- everyone wants to see her. Reading the reviews of some of the people who rated her poorly saddens me and makes me wonder if they are happy with ANY doctor, or just like to find faults with everyone and everything in their lives. I do have to wait a while to see her, but once I do, she really listens and cares about me personally, and I know she is doing the same for others, so being patient is only courteous. Again, Dr. Anstine is absolutely an amazing doctor and an amazing person.  	4	4	5	5 	Insurance:CIGNA
3	0	I was referred to Dr Anstine and my husband and I were very disappointed. I was in the hospital for vaginal bleeing at 6 months and she didnt even know, she said &quot;Oops, sorry I didnt read your chart&quot; after she almost left our appointment without saying anything. Then they would call me and tell me I had to come done ASAP because they forgot to give me my shot and one time I drove all the way down there from Eagle and they decided they wanted to wait. But, most importantly, the carelessness of her and her staff could have cost me and my daughter our lives. She prescirbed me a potassium supplement and I filled the prescription and almost took it like it said on the bottle. I second guessed it and called them. They messed up. If i had taken it like it said on the bottle it could have seriously hurt my daughter and I, and possibly even killed us. Dr Anstine said she will reimburse me for the pills but what if I had taken them instead of second guessing it&#63; We changed doctors at 7 months.  	3	2	3	2 	Insurance:Blue Cross / Blue Shield
3	1	THE BEST WORD TO DESCRIBE DR. ANSTINE IS AN ANGEL! IN FACT I WISH I WAS STILL PREGNANT SO I COULD HAVE MY WEEKLY VISIT WITH HER. SHE IS FULL OF COMPASION AND CARE. NOT VERY OFTEN WILL YOU MEET A PERSON THAT IS AS &quot;REAL&quot; AS SHE IS. SHE WAS ABLE TO ANSWER ALL MY QUESTIONS AND CALM MY FEARS ABOUT CHILD BIRTH. IN FACT HER AND I WENT THROUGH BEING PREGNANT TOGETHER. I WAS SO HAPPY THAT SHE WAS ABLE TO DELIVER MY DAUGHTER, A WEEK LATER SHE HAD HER SECOND CHILD. I WOULD RECOMEND DR. ANSTINE 100% TO ANY WOMAN LOOKING FOR AN OBGYN!! I WILL BE BACK TO SEE HER WHEN I DECIDE TO HAVE ANOTHER CHILD. 		4	5	5 	Insurance:Unknown
3	1	I LOVE Dr. Anstine as my OBGYN! She is so sensitive to the issues I have and she is very knowledgeable about the complications I have with each pregnancy. I have OCD and she was so supportive of helping me find medication that I could use during pregnancy. She was also awesome with my deliveries (group B strep infections in the baby and meconium aspiration in the baby). She always takes her time to listen to my concerns and address them in a thorough manner. She was quite often preemptive of any concern that may have come up. In fact, I like her so much, I wish she could be my primary care physician. I hate being pregnant, but I miss going in to see her, I felt like she took such good care of me. She was also great with giving me facts about birth control, and recommended an IUD which I absolutely love! The only times she was late were when she was in a delivery (understandable!) :) It sounds like the previous poster saw an imposter! She is the epitome of tact and caring.  :) 		4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I have never before had a doctor that I loved so much. She takes time with me and answers all of my questions.  I feel so comfortable being treated by her during my pregnancy and beyond! 	 8/17/06		4	5	Insurance:Blue Cross / Blue Shield
3	1	She is one of the best doctors we have ever gone to. She is caring, considerate and very knowledgable. 		5	5	5 	Insurance:Unknown
3	-1	I only saw Dr. Anstine twice. Both times I waited nearly an hour for my appt. Although she seems sweet, I found that she didn't listen to me or take my concerns seriously. I felt like I had to push her to get her to take any action regarding infertility. Also, she was extremely insensitive to my struggle with my weight. She told me to go to weight watchers DURING a ****l exam! That is not when you want to hear comments on your weight! Maybe if you are completely &quot;normal&quot; in terms of your cycle, health, weight, etc. she would be the right Dr. for you, but if you have any struggles I'd suggest finding someone else.  		1	1	3 	Insurance:Blue Cross / Blue Shield
4	1	I have been going to Dr Harper for the past year  I changed Doctors when the one I was seeing becoe so busy with other aspects of her practice that she didn't have the time to spend on a regular exam it was right in and right out no time for Q&A.; I am a nurse and so I know good treatment from bad and have never recieved bad treatment. Dr Harper has always taken the time to listen explain and offer suggestions and alternate treatments that will benefit me and being diabetic and over weight I appreciate the compassion and time he takes with me when I am there. I have always been treated with consideration and empathy, I would reccommend Dr Harper and Dr Adams. Thanks for all you and the PA's do.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	I do not recommend this doctor. I had trauma to my right lung and he told me I had a tumor, cisses, and maybe a puncture! So now I have a ER/trauma bill from both Madison Hospital and EIRMC + the ambulance to transfer me to EIRMC. The radiologist at EIRMC laughed at what he told me. the only thing I really have is ripped tissue in my lung. So now its probably more than double the cost because Dr. Adams didn't treat me properly. I do not recommend him for anyone and especially if your a trauma patient. Also, I have no cancer in my family nor any lung condition. My other lung is very healthy.  	3	2	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Very happy as they haave taken time to learn of my personal problem and how to help with it. 	5	5	5	5 	Insurance:Unknown
4	1	We made Dr. Adams and his partner Dr. Harper our permanent family doctors.  Our daughter and her family and our son and his family have both gone to Dr. Adams and Dr. Harper  They are respectful, Take time to listen and I have never felt &quot;brushed off&quot;.  I am an RN so I feel I have a good sense between a &quot;cha-Ching&quot; doctor and one who really cares about the patients they are treating.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Extremely caring and thorough doctor. Besides being a great doctor he also understood I wasn't made of money, nor was monthly payments for medical debt in my families best interest. I was only ever sent to a specialist when it was actually needed and in those cases I was completely informed as to why I was being referred to someone else. It is also not uncommon for him to first call a potential specialist to make sure the extra co-pay to see another doctor will be used to move ahead and not simply paid out to be told, &quot;wait it out, go ahead see your regular doctor as planned and go from there.&quot; A doctor like him is not only hard to find these days but also irreplacable.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	After being told I need tested with sleep apnea I was sent to Asher.  He said he thought I suffered from depression not sleep apnea and prescribed Cymbalta rather than test me. After three years of misery snd having Asher tell me everything was in my head I told my personal physican I could not stand being so tired all the time and getting headaches and wanted off the Cymbalta. She was upset that I had been put on Cymbalta when she had sent me to get tested for sleep apnea. I was then scheduled for the sleep test showing I suffered from SEVERE sleep apnea.  Asher could care less what was wrong with me, showed total disinterest in my symtoms but hurridly took my money.   He needs to retire!!! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
6	-1	We could never get any answers and just a runaround. He dismissed our concerns and was of no help.  I had to go on my own to seek help from other doctors. We got no andwers at all.  	3	3	1	2 	Insurance:Blue Cross / Blue Shield
6	-1	This man was rude, dismissive and told me not to &quot;borrow trouble&quot; when I asked if my husband's REM disorder precluded Parkinson's disease.  Four years later my husband was diagnosed with Parkinson's after hearing &quot;it's only age&quot; for years and he was only 70, now doing well with another neuro who listens.  And yes, the automated answering service will drive anyone nuts.  Takes 6 hours to get a callback.  	2	1	1	3 	Insurance:United Healthcare
6	1	Dr. Asher is one of those rare doctors who truly hears what you sayand figures things out because it's as important to him as it is to you! I feel like he is my knight in shining armor, as he helped me in 1985, and I'm sure I'm still here today because of him!!! He will always be my hero!! Sincerely, Sue Gassert [Faulkner] 	5	5	5	5 	Insurance:Unknown
6	1	Finally a doctor that really listens. Easily one of my best experiences in a professional office. Thanks. 		4	5	5 	Insurance:Unknown
6	1	One of the best docs I've been to. He takes time to discuss what's going on and listens to the patient. My only beef is with the automated telephone system in his office. I have never been able to reach a live person when I've called and callbacks are not particularly prompt.  		4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Very knowledgeable, very helpful and patient in exploring all options. Wonderful about returning calls when a problem occurs.  		4	5	5 	Insurance:United Healthcare
6	1	Very Nice Wonderful Doctore...Nice Dresser/Very Clean Cut.Very Helpful.  		5	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	He was late rude and didn't even take five minutes of his time to answer questions. 		2	1	2 	Insurance:Unknown
7	-1	This doctor is the ABSOLUTE WORST. The first thing this doctor will do is change your medicine - and I'm not joking - I've talked to many other psychiatrists and they recommend if you get this doctor to SWITCH IMMEDIATELY. Due to this medical change, I had to go to a recovery hospital FOR TWO WEEKS all because I said I was tired from the medicine! This doctor is very vague, never returns calls, and doesn't listen to you when you try to talk. Avoid this doctor at all costs, she only cares about shoving pills down your throat and nothing about you. 	2	2	1	2 	Insurance:Unknown
8	1	She is very prompt, staff is knowledgeable; always call back with test results, knows when to refer to another specialist; VERY personable and understands. Fills prescriptions after a phone call if we have discussed the issue in the office. Office has evening hours and Saturday hours.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	This man is one of the best. He is professional, caring and does excellent with children. 		5	5	5 	Insurance:Unknown
10	1	I know you'd like to think you'll never need to know this, but Anderson gives the best shots in town! I've never felt a single thing he's done! Great. He has helped me with fillings, sealants, and whitening.  Satisfied with all! 		4	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Very knowledgable nurse practitioner who takes the time to get to know you and personalizes your care. Usually can get same day appointments. 	4	5	5	5 	Insurance:Unknown
12	1	 	5	4	5	4 	Insurance:Unknown
13	1	Dr. Adcox is the best doctor I have ever gone to.  He never gave up on me even when it didn't look good for my recovery.  	5	5	5	5 	Insurance:Medicare
13	1	The BEST Dr. I have ever had!!! I have been with him for 17 years. He has work above and beond what I had expected. He cares about me beond my medical problems and that is is hard to find in a Dr. in any field.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
13	1	Best physician I've used. He is knowledgable about all aspects of medicine. He is extremely caring for me as a patient. He is concerned about my overall health, not just my kidneys. 	4	4	5	5 	Insurance:Unknown
13	1	Dr. Adcox is a great doctor. He cared much about my health. He also was great to answer any questions I needed to be answered. I will keep coming to him as my doctor! 	5	5	5	5 	Insurance:Unknown
13	1	Dr. Adcox has been very helpful to me and provides good care even though I don't have insurance.  He is detailed in his questions and keeps track of my many health problems.  He sees me whenever I need it and keeps my prescriptions up to date.  I am very satisfied with him and feel that he is knowledgable in his field. 	5	5	5	5 	Insurance:Unknown
13	-1	Dr. Adcox has provided poor care for my mother. If you are on dyalisis he will not even take you back to the examination room. You must expect to discuss your personal medical history in front of other patients...that is if you get to see him at all.  	1	1	1	1 	Insurance:Medicare
14	1	. very soft spoken ,answered all my questions and explained them in layman terms 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
14	1	VERY KNOWLEDGEABLE ABOUT ALL ASPECTS INCLUDING MEDICINE INTERACTIONS ...  VERY PATIENT ORIENTATED 	5	5	5	5 	Insurance:Medicare
15	1	Right knee replacement. Dec. 2008. Recovery went well as he followed my progress front to back. 	5	5	5	5 	Insurance:Unknown
15	1	Dr. Altenburg did 2 total knee replacements on me. I have multiple immune diseases and medical allergy problems. He researched my particular problems and changed some procedures accordingly. He was also very warm and personal. His knowledge and training was very impressive. I would very highly recommend him and I'm so glad I went to him.  	5	4	5	5 	Insurance:United Healthcare
15	1	This doctor did a total hip replacement on me. I would highly recommend him for this procedure. He also returned a phone call on a Sunday.  	3	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	Dr. Armstrong is wonderful! I am in and out at my appt.'s in less than 45 minutes. He is very knowledgeable, and is more than willing to answer any questions that you might have. I have had a very positive experience and look forward to him delivering the rest of my kin.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	He is nice and seemed knowledgeable, and is very calm and quiet as well.  He delivered my baby and was ready for delivery promptly.  We had some complications that he handled well.  I am pleased with my experience with him and would recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	Great doctor. Helped me when no one else could. Recommend to everyone. Didn't like the practice as well. I went when in Nampa a few years ago. I know he is in a different office now. 		4	5	5 	Insurance:Unknown
17	-1	Dr Anderson First said that I Did not need Surgery for 2 ruptured disk. sent me to have a nerve test She Told me I have Sever nerve Damage in Both Legs So he went ahead and did surgery,, Was great for 2 day then the pain started again... I called the office and was told I would be in pain for as long after surgery as before ... so 2 weeks later I had my doctor order another MRI and when Dr Anderson found out he went and ordered one sooner and found the L5 Disk Ruptured and was draining out less than a month after the first surgery I was back under the knife again and he was 7 hours late getting to the Hospital and very Cold and uncaring.. He is a Jerk and knows nothing about backs all he did was screw mine up worse......  STAY AWAY FROM HIM 	2	2	1	1 	Insurance:Medicare
17	-1	Dr. Anderson did surgery on a family member to remove a brain tumor.  He did not search for a primary tumor before operating and the brain tumor proved to stage 4 lung cancer.  This surgery was unnecessary and the brain lesion would have been better treated with radiation.  Dr. Andersen was difficult to talk with, did not deliver the pathology to the family, didn't monitor post-op recovery adequately and exhibited absolutely no compassion for his patient or the patient's family.  	2	2	1	1 	Insurance:Medicare
17	1	He did an excellent job.  He answered all my questions fully. I had 2 operations.  One to put hardware into my back.  Then after it was healed I had the hardware removed.   I would recommend him to everyone.  	5	5	5	5 	Insurance:United Healthcare
17	1	This doctor is one of the nicest men I have ever met. He always has a smile on his face and a good outlook on the situation. He would always answer any question I had with enthusiasm and great detail without using confusing medical jargon. When I was pregnant Dr. Anderson saved me from having brain surgery and helped me to have my baby and then at a later time he did the brain surgery which probably saved my baby's life as well as my own. He spent over 8 hours doing surgery in a place no bigger then a silver dollar and his only complaint was his hands were getting a little cramped up. Also he was very helpful and nice after the surgery. I would recommend Dr. Anderson to anybody. 		5	5	5 	Insurance:Unknown
18	1	Dr. Archibald is the best OBGYN I have ever used. He's always friendly, helpful and never in a hurry. He takes all my worries seriously. He's great! 	5	5	5	5 	Insurance:Unknown
18	1	Dr. Archibald and his staff are so amazing! They are like family, so warm, welcoming, friendly, funny. I can't say enough nice thigs about him. He has delivered all 3 of my kids and I wouldn't go to anyone else. He does treat you like you are his only patient and he is WONDERFUL!!!! Highly recommended. He has always gone above and beyond to make you feel comfortable and up to speed on what is going on. Great bedside manner also.  	5	5	5	5 	Insurance:CIGNA
18	1	I couldn't agree more withe the other reviewers.  Dr Archibald made childbirth such a wonderful experience.  He really does listen, make you feel at ease and explain things to a tee.  He gives you the sense that you are the only patient in his practice.  I recommend him to everyone.   He couldn't be more respectful, appreciative, knowledgeable or funny!  A wonderful Doctor! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
18	1	dr. archibald is a true gem; he went above and beyong for my total abdominal hysterectomy and i appreciate everything thing he did!  He also has a very hilarious sense of humor which put me at ease! and when the nurses were having trouble catheritizing me, he jumped in and did it in a snap. so many doctors see you as just &quot;another patient&quot; but i feel that dr. archibald really is looking out for me as an indvidual.   thank you doc! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
18	1	Dr. Archibald and his staff set the standard for patient care.  I recc. them to everyone I know and personally i drive 30 min out of my way to see him.  He really is the best OB doctor around by a landslide! 	5	5	5	5 	Insurance:Unknown
18	1	He is a wonderful doctor that makes you feel at ease does everything he can for you & explains things so clearly. 	5	5	5	5 	Insurance:Unknown
19	1	Dr. Allen was extremely knowledgeable and competent!  He was easy to talk with, answered all my questions, and always got back to me in a timely manner before and after surgery.  We expunged all our options before surgery was performed and then the results were phenomenal.  I have since moved to Washington and will return to Dr. Allen should any problems arise in the future.  Thank you Dr. Allen! 	5	5	5	5 	Insurance:Unknown
19	1	very competent Dr. would go back for treatment as necessary. Well qualified & caring.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
19	1	He really cares about his patients!  Spends the time needed to explain procedures and options.  Good follow-up after surgery; he calls patient frequently.  Kind and knowledgeable.  I wouldn't hesitate to see him again.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
20	-1	First of all I had to fax my paperwork repeatedly to them becuase they would lose it or give me the worng fax number,   2nd of all the receptionists r very rude, and treated me like i was dumb and not ill at all, I was 7 minutes late to my appointment and Dr.Ader flat out said, &quot;if you plan on being late again dont bother showing up I am busy and you just waisted my time.&quot; Im having memory problems really bad due to Lupus but he wouldn't hear it or anything I said and i thought my appointment was at 8:30. He never looked through my paper work so when he finally came to look me over he had done no prior research on me and said he couldn't help me and to just up my prednisone by 5mgs. I do that anyway for bad days thank you Eisenstein. They said they could work out payment plans, then at my next visit decided they couldn't and wanted another $100 which i didn't have i have been to sick to go to work. So they turned me away even though im in really bad shape and can barely walk at age 25 	1	1	1	1 	Insurance:Unknown
21	1	I like that Dr. Affleck takes the time to answer questions and doesn't seem rushed.  	 1/27/12	5	4	5	Insurance:Blue Cross / Blue Shield
21	-1	. very poor unknowledgable don't care just pay the money and get out 	2	1	1	1 	Insurance:Aetna
22	1	I would highly recommend Dr. Agee. Very competent and organized. Staff was absolutely fabulous. Thank you for doing a wonderful job on my hernia repair. 	5	5	5	5 	Insurance:Unknown
22	-1	I was always polite and courteous with Dr. Agee in our appointments at all times.  For a surgeon, I wanted someone who was top-notch, kind and understanding.   As I got to know him, he became more pompous and arrogant.  My mistake.  I never should have tolerated his over-confident arrogance.  I should have switched surgeons immediately.  But I didn’t.  And I paid for it.   After the surgery by Dr. Agee, he was a different.  He was 100% insensitive to my excruciating pain.  He prescribed ineffective pain medication.  It had almost no effect on me.  I was in painful anguish.  The drugs he prescribed had powerful, negative side effects.  Worst pain of my life.  After the surgery, Dr. Agee acted curt. As if he could care less.  I thought he was spaced out and detached.  He was callous and insensitive.  Wrong surgeon for me.  My fault.  I made the stupid mistake of choosing him as a surgeon.  He was the worst, most miserable doctor of my life.  Doctors grade: F-.   DO NOT choose this man.  	4	5	1	1 	Insurance:Blue Cross / Blue Shield
23	1	I was lucky to find Dr. Anderson.  He saved my vision.  Other &quot;famous Ophthalmologists in town&quot; misdiagnosed my cornea dystrophy. Dr. Anderson takes lots of time with his patients.  I rather wait 45 min. than have a doctor that sees me for 3 min.  He is the best! 	4	4	5	5 	Insurance:Unknown
23	1	I was very confused about my benefits under my new vision plan, and Dr. Anderson's office staff were very helpful and patiently explained everything I needed to know. Additionally, the staff spent a considerable amount of time assisting me in finding the right frames. I have, and will continue, to recommend Dr. Anderson.  	4	5	5	5 	Insurance:United Healthcare
23	-1	Poor communication skills. Did not seem to be aware of patients needs. 	2	2	1	1 	Insurance:Unknown
24	1	Dr aguilar has been my daughters doctor since she was born. I love how nice he is and the funny things he says...but the more I went to him, the more I realized that he says generic things about her because he doesnt really remember who she is. Also, I rated down the staff because they dont know who we are either. Granted, she has an odd name, its a family Danish name and its spelled weird, but honestly, they have seen her for appts at least 15 times, and EVERY TIME, they either say her name wrong, or they are surprised that she is female...I mean really,,, make a note on the chart for goodness sakes. Its important to me to feel like I am known to them, and that they know her as well, and I dont feel that way.  	2	5	5	5 	Insurance:Medicaid / Medi-Cal
24	1	Dr. Aguilar is the only pediatrician I trust with my kids.  He is well educated, kind and gentle and extrememly thorough. 	5	5	5	5 	Insurance:Unknown
24	1	Dr Aguilar is a wonderful doctor.  He takes a personal interest in our children and family.  He is very caring and thorough in explaining procedures.  He makes sure to provide all the information necessary for us as parents to make informed decisions for our children's care.  	5	5	5	5 	Insurance:United Healthcare
24	1	Dr.  Aguilar is wonderful, and his nurse Cindy is the best! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
24	1	I could not be more pleased in the care we have received from Dr. Aguilar. He went above and beyond the call of duty when our 2 month old daughter was hospitalized for RSV. He is always respectful about the choices we make regarding our children's health. We are so thankful to have him as our Pediatrician.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
25	1	He treated myself and my 21 year old son. I found him completely professional and took his time with us. My son told me he like this doctor the best. My son had multi problems that needed address and Dr Agler address all our concerns and questions. 	3	5	5	5 	Insurance:Unknown
25	-1	by Justin Corr KTVB.COM Posted on October 8, 2010 at 6:27 PM Updated yesterday at 3:24 PM   BOISE -- A Boise doctor had his license to practice medicine restricted after allegations of inappropriate sexual conduct with patients. Dr. David Agler at Saint Alphonsus Medical Group.  	3	1	1	1 	Insurance:Blue Cross / Blue Shield
25	-1	It was easy for him to push me off to another Dr. rather than listen a little bit more and try to help. I found him to be very rude and he got very short with me when another one of Dr.'s ordered a test for me that he should have done in the first place rather than send me for a very expensive CT.  I would not refer him to anyone I know. I was very unhappy with everything he did.  	2	4	2	2 	Insurance:Blue Cross / Blue Shield
25	1	He is very caring and takes time to listen to your needs and puts you at ease with a great bed side manner. I would refer Dr. Agler to anyone. 	5	5	5	5 	Insurance:Unknown
26	1	Haven't yet scheduled an appointment with Dr. Anderson, but spoke with him at length about contacts/dry eyes. Was impressed at the time he spent answering my questions, even though I am not yet a patient. My low rating is due to his glasses &quot;expert&quot;. I went in to have my Silhouettes adjusted and Anderson's optician made a HUGE mess of them. Afterward, I had to go over to Shopko's optical center to have them undo the damage. Any optician worth his/her salt knows to heat these glasses before bending them. Anderson's optician not only did NOT heat them, but was bending them cold with pliers and screwed up one of the hinges!! Lee--the optician at Shopko--heated them, undid most of the damage, and was WAY more knowledgeable and patient with my needs. While I may still go to Dr. Anderson for contacts, I will never again go there to have my glasses adjusted. Shopko's optician did a far superior job and will definitely be my first choice in the future when I need help with these glasses. 	1	3	5	5 	Insurance:Unknown
26	1	Took care of difficult problem in right eye. Healed quickly without pain or problem. 	4	5	5	5 	Insurance:Unknown
27	-1	Me and my family asked many qustions and she told us everything was fine with my daughter.  My daughter ended up being very ill and i found out that everything was not fine. 	3	3	1	1 	Insurance:Unknown
27	1	I love my daughters pediatrician! She is so smart, and even encourages you to ask lots of questions (even if they are dumb ones). Bedside manner is awesome, and will spend as much time with you as you need.  		5	5	5 	Insurance:Blue Cross / Blue Shield
