dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	dr ball was very helpful and made a point of telling me the options to my problem.  The sad thing is there aren't that many options left for me but he does have my situation under control with medication. A compassinate soul, glad he is there for the pulmonary ill people.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	He is a very fun doctor, who is highly intelgent. I like how he took the time to explain to me what my medical conditions were and helped me make the decision as to best option for treatment. the waite time was a little long, but when a doctor spends quality time with their patients instead of herding them like cattle some patients will have to waite. great doctor, will continue to see him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Ball was very helpful and knowledgable.  He was sensitive to our wishes and explained things well. 	4	4	4	4 	Insurance:Unknown
1	-1	not pleased at all asked if he ordered a alot of tests would i be healed 	1	1	1	1 	Insurance:Unknown
2	1	I've been seeing Dr. Bailey for a little over a year now.  Although most of my appointments have been 6 mon. med checks, when I've needed advice or had concerns, he has always been attentive to my concerns.  When I told him I would feel more comfortable doing my gyn. appts. with a female he and his office staff were very good about recommending one and helping me make the appointment.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	He sent wife &amp; I both for MRI's because of back problems. Wife needs a hip replacement, I have 4 pinched nerves in the L-4 area of the spine.  He has the reports on both MRI's, having a hard time getting pain medication from him! Getting referred to a specialist (neurosurgeon) by this office is terrible! 6 months for the wife, 3 1/2 months for me! Seems you have to tell him what you need! In fact, he asked me, &quot;what are we going to do about this&quot;!!! I had to ask him to send me for Physical Therapy! When he has the MRI diagnosis, you still have trouble getting pain relief, that is not a &quot; Caring Physician&quot;, as is his business name! STAY AWAY from this Doctor! 	4	3	1	1 	Insurance:Medicare
3	-1	.  	 1/18/12	1	2	1	Insurance:Medicaid / Medi-Cal
3	-1	Extreme Warning!My experience with this doctor and medical clinic was horrible! The doctor repeats to himself and answers his own questions and does not hear a word you say. This resulted in a terrible misdiagnosis and severe pain. Had to go elsewhere to get treated. The staff tried to cover for the doctor.  Very strange and very dangerous! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
3	1	He is one of the best no nonsense doctors I have ever been to. He doesn't beat around the bush. He's not a doctor that likes to prescribe narcotics frivolously and for no reason. So if you are someone that is just looking for a doctor to prescribe them narcotics then this isn't the doctor for you. Went in with shoulder pain. His diagnosis was right on. An MRI verified His diagnosis. I don't believe in narcotics so he prescribed me a non narcotic pain pill and muscle relaxers. I also saw him for a continuous high grade fever about 101 or so, he gave me a breathing treatment and a prescription for antibiotics and low and behold 3 days later i was better. So if your looking for a no nonsense doctor then this is the one for you. The staff was kind, considerate, and prompt. Although i was a little surprised that the office manager had to take me back because the CMA was busy texting or something on her phone 	 8/10/11	5	5	5	Insurance:Unknown
3	-1	Wow very strange Doctor wont be in business long ( I hope )to stuck on him self.  Mister wonderfull knows all done all and put down all other medical personel I had seen 	5	3	2	2 	Insurance:Blue Cross / Blue Shield
