dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Cher is extremely competent and caring.  I could not ask for more in a doctor.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Helpful and friendly doctor. Makes you feel like if she doesn't know the answer..she won't stop until she finds it. Respects my wishes to look at alternative therapies instead of medication and doesn't treat me like an idiot when I want to research things on the Internet myself. I am sorry other people have had such bad experiences but I would say go see her and judge for yourself.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	-1	This is the worst doctor I have ever gone to. She is unknowledgagle and has an attitude of &quot;I don't care about your problems&quot;. She seemed only concerned about how much money she made. Plus, she has the rudest receptionist you could ever find. Overall, I had a terrible experience when I went to this doctor. I have since changed doctors.  	1	1	1	1 	Insurance:Kaiser-Permanente
1	-1	.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	-1	This doctor is the worst one I have ever gone to in my life. She was unknowledgeable, unfriendly, and rude. Plus, her receptionist is the most rude person you'll ever have the misfortune of meeting.  Avoid this doctor! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	Incredible.  Best doctor my family has ever had.  Dr Jacobsen makes you feel at ease and takes a genuine interest in making sure your health is her top priority.  She is fantastic.  We have referred many other patients to her practice without a moment of hesitation.  I have complete confidence in her medical knowledge and commitment to her patients.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	-1	Doctor's staff was rude. Doctor was only concerned about money and charged me for a follow-up visit that was supposed to be free (I had been told it would be). Doctor did not noice I had a medical condition that an OBGYN immediately recognized. It was far advanced, and he commented that my general practioner should have easily seen it when she did my pap smear. (Makes me wonder). Doctor seemed unfriendly, unconcerned about my medical problems, rushed me, and made me very nervous. The staff did NOT want to zerox copies of my medical tests and made me seem to be a bother when I asked. I quit going to this doctor and found a much friendlier and more knowledgeable one. I'm so glad I did. I regret ever using this doctor. It was a bad experience for me, and I feel I did not get quality care.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	She is really on top of medical issues and concerns; also has great interpersonal skills with patients.  Willing to spend the time needed to answer all questions.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Jacobsen is the best!!  I am a veteran and had multipul problems following my deployment.  After years of fighting with the VA, I started seeing Dr. Jacobsen.  Within two visits she had the proper tests lined up and the right meds for me to take.  I am so sad that I had to move away from the Coeur d' Alene area.  I truly dought I will ever find a doctor like her again.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Cher is brilliant!  She really listens and has excellent skills.  One of the best doctors I have ever met. 	3	5	5	5 	Insurance:Unknown
1	1	I absolutely love Dr Cher.  She is a wonderful doctor and I would highly recommend her.  I, like the previous poster, do not care much for the receptionist who need a lot of people skills.  She is rude and obnoxious.  Her name is Kay.  The rest of the staff is great including Cher's nurse.  	4	5	5	5 	Insurance:Medicare
1	1	I switched from a doctor I had a lot of problems with to Dr. Jacobsen. I love her. She''s funny. She''s sarcastic, but in a good way. She listens, and she''s really understanding. She''s totally approachable. Her nurse is really friendly, AND can give shots and take blood with almost no pain at all. I just love the whole office. 	4	4	5	5 	Insurance:Unknown
1	1	Dr. Jacobsen is very knowledgeable, caring and easy to talk to. Her nurse is just as wonderful. The only downside to her office is the receptionist who could really use some people skills.  	3	4	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Easy to talk to, knowledgeable, compassionate & caring 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Jones has been my doctor and my friend for 20+ years.  Because of a genetic tendency to prostate cancer, I've been getting checked annually.  In August of 2009 I had an elevated PSA; he did a biopsy and confirmed that I was positive.  We discussed the options; I ended up doing the robotic prostatectomy (his partner is the expert, so he did the robot with Dr. Jones assisting).  Dr. Jones has always been friendly, knowledgable, and very professional in our association, and I'd recommend him highly.  	4	3	4	5 	Insurance:Blue Cross / Blue Shield
2	-1	On approximately 11-06-09 Dr. Jones performed a procedure on my penis with an instrument that he put inside my penis.  A few days later I became fevered.  I went back to Dr. Jones for help and he accused me me and tried to say my infection was caused by diverticulosis.  My wife and I rebutted his statement and he backed down right away.  He put me on two antibiotics and I just got worse.  I went to the hospital and the ER doctor said I had a staph infection and said Dr. Jones gave me the wrong antibiotics.  The ER DR. gave me the right antibiotics plus a RX for same and an RX for medication to stop the burning when I urinated.It is my opinion that doctor Dr. Jones dropped the ball in providing me with proper medical care.  	3	2	1	1 	Insurance:Medicare
