dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Got a CO2 laser treatment, and it helped my acne to go away. Thanks! Wonderful staff and an overall great experience. :) 	 1/13/12	5	5	5	Insurance:Unknown
1	1	Dr. Kerr treated me with filler for my really sunken eyes.  I am super happy with the results and my whole experience was really great.  I would recommend Dr. Kerr or his staff to anyone looking to get a cosmetic treatment. 	 1/13/12	5	4	5	Insurance:Unknown
1	-1	 	5	3	3	1 	Insurance:Unknown
2	1	Dr Kronholm's manner put me at ease instantly. I believe this is vital when exposing one's most personal physical issues. Kudos to him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Very busy,but good doc. Willingly to talk about things. 	4	3	5	5 	Insurance:Unknown
2	1	I believe Dr. Kronholm is a very good concienous Dr. who cares about his patients and not just the $ sign. He is very informative so you know everything he is doing. Great bed side manner. I can't remember when I was so impressed with a DR.  	5	4	5	5 	Insurance:Medicare
3	1	Brilliant man.  Gave me more info than what I was in for.  Told me I was vit D deficient, needed osteoporosis test(which me internist had overlooked), etc.  answered all my questions, was quite thorough.  I highly reccomend him.  	5	5	5	5 	Insurance:Aetna
3	-1	I was diagnosed with lupus and RA in 2008, but my stats were low, even tho i was ina lot of pain and i was very sick. he didnt look me in the eyes, came in for 5 minutes told me i was fine and left, 3 years later i am in worse condition then ever and having to scramble to find doctors to help me. Had he started helping me in 2008 instead of thinking i was just a dumb 21 year old i wouldnt be this bad. The staff is rude and short with me and when i called for help in 2011 during a flare up becuase i had no one else to turn to, they promply turned me away and said i quote &quot;he is not even sure he wants to see you anymore&quot; i paid my bill with him and i was on time. He is very rude and so are the staff.  	1	2	1	2 	Insurance:Blue Cross / Blue Shield
3	0	I loved Dr Knibbe and his staff. He was very helpful. I always thought he was a KIND and caring doctor. When I first went to him I had regular group insurance through Blue Cross soon after I became disabled and had medicare. I feel he tolerated my insurance because I was a existing  patient. I changed my insurance to AARP and this Doctor dropped me using the excuse I was now out of his network.  AARP-Secure Horizons is not even a HMO it is PPO. I can choose any doctor I want. Knibbe's office was just afraid I MAY not pay. 	5	3	3	3 	Insurance:Unknown
3	1	Dr. Knibbe is such a wonderful doctor. He is very good to my daughter and is very good with treating my daughter's arthritis. He cares about his patients and their families.  I would recommend him to anybody!! 		4	5	5 	Insurance:Blue Cross / Blue Shield
4	0	I had breast implant replacement a few years ago.  Right after surgery, my breasts were not symmetrical and was told it was normal.  My previous implants were perfectly symmetrical.  I am extremely self-conscious and wish I'd had another doctor perform this surgery that was supposed to impart good self-image and ended up imparting disappointment.  Don't go to this doctor at least for breast surgery. 	4	5	5	1 	Insurance:Unknown
4	1	I wanted to comment on the quality of service and the high level of professionalism among Dr. Kramer and his staff.  He came highly recommended by a friend and I was pleased with his level of attention to my needs.  Dr. Kramer, Dawn &amp; Kimm all went out of their way to make me feel comfortable with the procedure, and made sure I had detailed information on aftercare.  I would give Dr. Kramer and his staff the highest marks for punctuality, helpfulness, and knowledge.  I have high expectations have no reservations on recommending Dr. Kramer. 	 9/15/10	5	5	5	Insurance:Unknown
4	-1	 	1	1	1	3 	Insurance:Unknown
4	-1	Dr. Kramer & staff will promise the world to get your money.  He told me after surgery that he & the surgery team decided that I had a &quot;young appearance&quot; so he did not do extensive procedure as he & I had agreed upon & for which I paid.  His arrogance was unequaled when I voiced my opinion about the unsatisfactory results.  If you are considering facial plastic surgery by Dr. Jonathan D. Kramer, run, don't walk away from his office! 	1	1	1	1 	Insurance:Unknown
5	1	Dr. Klippert is very warm and caring.  He has a great heart and listens to his patients...even if it's not relevant, he still spends the time to listen.  He genuinely cares about people and has never made me feel like an outcast.  I have taken responsiblity for my life and my choices in my lifestyle resulting in a healthier and more positive life!  I couldnt have done it without him....  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Of all the doctors and specialists my family visits (and there are A LOT), Dr. Klomp is my favorite.  He's knowledgeable and friendly. 	5	5	5	5 	Insurance:Unknown
6	1	 	5	5	5	5 	Insurance:Unknown
7	-1	Blew me off after I had my C-section when I had severe pain, he told me it was normal. It was not my first c-section and I knew it was more pain then normal. After a year of pain I finally had exploratory surgery, the new Doctor found that stitches had herniated. I had a year of misery because they said it was normal and at my 6week checkup instead trying to see what the problem was they told me &quot;sorry&quot; they only treat 6 weeks post and I needed to find a new doctor. 	4	2	1	2 	Insurance:Unknown
7	1	. He's amazing!  I trusted him with my baby's and my life! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Actually Maternal Fetal Medicine (high risk pregnancies). Good doctor, once you get to know him. However, he has a brusque and sometimes distant manner. Has a hard time connecting with his patients. 	2	3	3	5 	Insurance:Unknown
8	1	Dr. Kennedy was very kind to me. He was willing to do most of our appointments on the phone, because of my money situation... and he did not charge me. He helped me as best as he could, but he was not willing to move out of his comfort zone. He did not put me on any medications that he thought would help me.  He also waited 4 years before he decided to send me elsewhere when he could not cure my headaches. I think that is a bit excessive.  One of his nurses was extremely difficult to work with. Almost make it unbearable to call his office.  	1	4	3	4 	Insurance:Medicaid / Medi-Cal
9	1	Caring, knowledgeable physician who gives patients his undivided attention during appointments. 	5	5	5	5 	Insurance:Unknown
10	1	excellent doctor, very knowledgable and a nice person to boot! 	5	5	5	5 	Insurance:Unknown
10	-1	I saw this man in the ER becasue on lower right abdominal pain. He told me that I had CHRONES!!!! I had my appendix removed in emergency surgery a week later... never see this man! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
11	-1	I had the same experience as the previous reviewer.  A second Dentist's opinion revealed that I was receiving unnecessary and even harmful treatment. 	3	4	1	1 	Insurance:Unknown
11	-1	This dentist is untruthful in his diagnoses of his patients oral health and repeatedly prescribes very costly, unnecessay treatments. Myself, and several others in the Teton Valley have been subject to his inaccuracies.  		3	1	1 	Insurance:Delta Dental
12	1	Dr. Knudsen was the on-call OB when I gave birth to my first baby. She came in, examined me, then said we'll start the pitocin to speed this along and walked out. That made me very nervous and I ended up having to ask all of my questions to the nurse - luckily she was wonderful. Dr. Knudsen's saving grace though was the actual delivery. She used olive oil to massage my perineum, and she did such a good job that I didn't even tear! Simply amazing, and completely redeemed herself in my eyes. 	4	5	3	5 	Insurance:Unknown
12	1	Dr. Knutson is by far my favorite OB/GYN I've had. I have poly cystic ovaries and shes been nothing but fantastic with me. She is consistently late to see me, but I just decided to make my appts for earlier in the day to avoid that. I've always found her to have great beside manner and a great sense of humor. I initially saw her due to pregnancy. I went in for my appt and found out I had miscarried. She was very caring and kind to me holding my hand while I cried and helping me to get on a plan to get pregnant again. I also LOVE her nurse, Sylvia.  :) 	4	2	5	5 	Insurance:CIGNA
12	-1	Dr. Knutson cancelled and/or rescheduled 8 of my appointments in the last 8 weeks of my pregnancy her typical answer to my concerns about pain was &quot;ya your pregnant&quot;  she didn't explain why  I had to have an immediate induction, she did not try to follow any of the requests on my birth plan.  She got in and out of my appointments as fast as she could she never asked if I had questions or concerns.  After she started my induction at the hospital she never came back to check on me even though she was just across the street she didn't even take the time to talk me through options.  She passed me off to the on call Doctor that night and told her I was getting petocin without ever discussing it with me She was not at all supportive of an all natural birth. 	4	1	1	2 	Insurance:Unknown
13	0	When I saw Korn, I pre-paid a &quot;package&quot; price for an elective surgery. I didn't have the money to pay for it, so had to put it on a credit card. Three months after the surgery, I received a bill for more than $8,000 from St. Luke's. Korn said it had to be a mistake, and he'd get it straightened out. After two or three more discussions about the problem, he told me he'd sold his practice to St. Luke's, and there was nothing he could do about it. I'm now stuck fighting with St. Luke's, which is a whole additional set of problems, even though I've proven to them I didn't have the money to pay it.  	3	2	2	4 	Insurance:Blue Cross / Blue Shield
14	1	I have thoroughly enjoyed Dr. Kesling and his staff. They make you feel right at home and make each visit as pleasant and painless as possible.  	5	3	5	5 	Insurance:Aetna
15	1	Dr. Klemp is the finest optomitrist I have gone too.  He removed a foreign body from my eye and informed me my sight may not be fully restored.  It was 20/20.  Recently, I presented to his office with headaches and partial vision.  He diagnosed a neurological episode and referred me to an neurologist. I was diagnosed with a brain lesion.  I thank him for taking the time for my examination and for his encouragement.  Dr. Klemp and all his office staff give more than the standard of care.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
15	1	Dr. Klemp is the VERY best I've ever seen. You couldn't ask for a nicer, more helpful doctor. He actually CARES about his patients. 		5	5	5 	Insurance:Unknown
15	1	Dr. Klemp is a great optometrist with the patient's best interest in mind. Great Doctor!! 		4	5	4 	Insurance:Unknown
16	-1	I have wasted more money then this person is worth.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
17	1	Excellent caring and compassionate about her work. Totally dedicated to her patients. 	5	5	5	5 	Insurance:Unknown
18	1	. Amazing doctors this wonderful are still around!! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
