dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Condescending attitude.  Tries to help the best way he thinks he can. 	5	5	2	2 	Insurance:Unknown
2	1	Steven Lofgran is kind and he truly listened to you and believes what you are saying.  He doesn't half listen then make his own unrelated assessment.  He has a sense of humor and is a happy person.  He is very professional and if you don't understand something, he takes the time to help you understand.  He is a great diagnostician and he knows his stuff.  if he doesn't know he will do all he can to find out.  Furthermore, he is humble. 	5	5	5	5 	Insurance:Unknown
3	-1	Not very helpful overall. To quick to make diagnosis and decisions before running tests of any kind or recomeding any specialists that could better assist with patient needs. Tended to get argumentative when opions where challanged and insisted with mental disorders, again before any test could be run. Would defiantly not recomend.  	2	3	1	1 	Insurance:Blue Cross / Blue Shield
4	1	Tops in his field, very personable and up-front about entire options and procedure. Highly recommended!!! 	5	5	5	5 	Insurance:Unknown
5	1	We really liked Dr. Lynch A LOT, so did our son.  We were very sad to see her leave our area.  It's not often that you find a doctor you feel that comfortable with and relate so well to on a personal level- I'd highly recommend her, you'd be lucky to have her.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Lair is very proactive with medical issues.  She is the best family doctor I've had in years and I would highly recommend her.  My husband and I feel very fortunate to have found her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	The nurse was not even 30 seconds into getting my vitals and a lady approached the nurse and I. The lady stated, we only scheduled a specific amount of time to see you and there is no time for vitals! The Lady asked if I wanted to reschedule&#63; I asked if my paperwork was. The lady said,&quot;I do not know,I am an internast not a specialist,so I don't know what I can do for you!&quot; The lady was Dr. Lair! I never seen her prior, nor did she know why I was there.The Dr. came in the exam room and began talking to me asked if I had seen a rhuemetoid Dr. I said seeing the Rhuemetoid Dr. wasn't good because she refused to look at my blood test results. The Dr Lair yelled and said she wouldn't stand for me talking about another Dr. I walked out.Anyone representing a business, medical or not, should not tell a patient or customer they don't know if they can help them &#63; and without even knowing why the patient is there.  The Dr asked if I wanted to reschule before I was even seen or had my vitals! 	1	3	1	1 	Insurance:Blue Cross / Blue Shield
6	-1	She did not listen and/or did not care about what I was saying. I got a letter that she was moving out of state. I won't miss her. I deeply resent doctors that blow off patients concerns. 	1	1	1	1 	Insurance:Unknown
6	1	Dr. Lair is the most awesome doctor ever! She spent an hour and a half with my husband and I just gathering our health history and getting to know us. She seemed very interested in us and took the time to look into each and every one of our health concerns. She ordered labs to get a baseline and asked if there were any labs we wanted to get and even ordered labs that I would have never thought to order that corresponded with our concerns. Very easy to talk to and made us very comfortable! 	4	5	5	5 	Insurance:Unknown
6	-1	Several times this &quot;dr&quot; overbill my insurance company saying extended time when she only saw me less than 10 minutes.  Also, read my mammogram and said I had &quot;breast cancer&quot; handled me a booklet and said &quot;I love to talk to you longer but I have an appointment.&quot;  It was 11:55 a.m. so I figured her appointment was with a sandwich.... dropped her! 	1	2	1	1 	Insurance:Pacificare
6	1	She is the best doctor I've ever had.  She really cares about her patients and is well informed about the latest treatments for all conditions and refers patients to outstanding specialists.  	5	5	5	5 	Insurance:Tricare
6	1	Dr Lair asks questions and actually listens to my response.  She also explains things in detail.  I don't see her frequently, because my health is good, but the office is convenient, appointments are extremely efficient, and I've never had to wait more than a couple of minutes past my appointment time to get in, and don't wait more than a couple of minutes in the examining room, or for labwork, or even x-ray.  	5	5	5	5 	Insurance:United Healthcare
6	-1	She sent pharmacy wrong perscription for me, when pharmacy called back to get correct meds, she claimed she did not know who I was, two days later her office called with the correct meds.  I had been a patient for 3 years.  6 months later, same thing, this time she said she knew me, but had not seen me in 2 years.  But 2 hours later her office called in correct meds. 	1	2	1	1 	Insurance:Unknown
6	-1	This doctor said I was not nice enough to her.  She kept telling me to come back for another appointment to have a mole removed, when I did, she said to make another appointment, when I did again, she said I was only scheduled for 15 minutes, I will have to come back again, and again I came back, then she told me I would have to be referred to another specialist, however she would not refer me, and said I complain too much and they just can't keep me happy and asked me to make another appointment. I felt like she just wanted the money, and did not want to treat the person. 	1	2	1	1 	Insurance:Unknown
7	1	I had multiple complicated issues and had to have my foot completely remodeled.  He is meticulous. He listens, he even notice when I was starting to feel blue. I have had health issues since I was a child. I have been to many, many doctors.  This one is exceptional.  I have had to wait; I have also been worked in when something came up, and due to my injury been late. 	5	3	5	5 	Insurance:Unknown
7	-1	Typical wait, 1.5 hours before being seen. When brought to his attention, he claims &quot;foot emergencies&quot;.  I say, everytime&#63;  How many foot emergencies can there be&#63;   Getting a new doctor.  	2	1	1	2 	Insurance:Blue Cross / Blue Shield
8	1	Dr. Leach is indeed a great physician. He is an extremely knowledgeable ophthalmologist. He's very patient - not only am I one of his patients, but my father was his patient. My father had dementia and Dr. Leach treated him well and listened to all of his stories - even though it meant spending more time with him.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Dr. Leach was wonderful in the way he treated our daughter. It was very unsual to have a 7 year old with cataracts and he made our experience as stress free as is could be, under the circumstances. My daughter had complete trust in him and made it through both surgeries beautifuly. My daughter now has sight she had never had before. Dr. Leach is a Godly man with great integrity. There is not anything more important to have in a doctor. 		4	5	5 	Insurance:Unknown
