dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	0	commentsHe never introduced himself during the brief and few contacts with me, the patient. Nor did himself or the nurse inform me of my discharge instructions. 	1	1	1	4	Insurance:Unknown
6	1	.   	5	5	5	5	Insurance:Blue Cross / Blue Shield
10	1	 Dr Obyrne was fabulous.  I found his attentive and caring.  He took more than the average amount of time with me.  He made sure I understood my condition and procedure.  He is prompt.  I would consider him a bit of a perfectionist, which is a great quality for a surgeon.  He takes no risks to shorten surgery time or to cut corners.  He goes above and beyond any Dr I have ever seen before.  	5	5	5	5	Insurance:Anthem
10	-1	commentsAfter Dr. O'Byrne committed errors in my surgery, I spent six months in bed fighting for my life.  I incurred another $125,000 in medical debt and spent four years trying to repair the damage he did to me.  He never apologized for: hitting and subsequently removing my spleen, never diagnosing my pleural effusion, not properly treating the numerous, subsequent abdominal abscesses, the intense pain and suffering he has caused me these past nine years. I lost four years of time with my children, all of my retirement, my marriage, and my health due to his numerous mistakes.  When I saw other physicians in Salt Lake City, they immediately admitted me to the hospital to try to save my life as I was clearly, so near death.  I wrote a 14 page letter of complaint to the Idaho Board of Medicine to try to save any person's life, but after two years of consideration, they chose not to act on my complaint. Paid/Co-pay:$15000	3	4	1	1	Insurance:Unknown
12	1	comments 	5	4	5	5	Insurance:Unknown
14	1	 I feel like we are the most important people in the world when we see Dr Overy.  She always gives great advise and never rushes you out of the room.  I feel like I could ask her anything 	4	5	5	5	Insurance:Pacificare
14	-1	 I went to this doctor several times for the same condition and never got results. The staff really didn't seem to care. I think they are such a large clinic that they can't remember their patients. I definitely would not recommend this clinic.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
15	1	 Had a MCL knee repair and am extremely pleased with the surgery results. Followed directions as required and everthing went smoothly. I had full use of knee within four months.  I will require a brace for downhill skiing but that's minor.  Dr. Olscamp was very knowledgeable and took the time to explain everything in detail. Very personable and pleasant.  The scar is a minimal 2 1/2 inches and he did well to hide it on the inside of the knee cap which is a good thing for a woman.   Great job! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	1	 If you want a skillful orthopod, with a good bedside manner, who communicates the possible outcome of your surgery if you do or don't do what he instructs, Dr Olscamp is your man. He's young, he's athletic, he understands pain and the importance of a good repair for experiencing a quality life down the road. He did some significant athletic repairs to both our boys through their teenage years and into their 20's. He was outstanding in communicating the importance of following his recommendations for a full and complete recovery and painted a very clear and concise picture of what they would be doing to themselves if they chose not to heed his words. He told them what they would experience and when and what they would be inclined to do or believe at each stage. He was so spot on that chose to listen to him and didn't do the macho male...I'm fine..way of being. He is very good at what he does.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
27	1	 Outstanding physician and staff.  Very knowledgeable and personable.  Had seen 3 other Derms in the Valley before him without any relief.   He was the fires to get the diagnosis right and get me on proper treatment 	5	5	5	5	Insurance:Blue Cross / Blue Shield
27	-1	commentsI was told that I could have my entire face treated for sebaceous hyperplasia for $500.00. I was also told it was possible I might need more than 1 treatment, but as I had been treated for the same condition with the same laser previously with perfect results at the same office by another clinician I was not concerned.  The treatment did absolutely nothing. When I called the office for information I was told that I would need a minimum of 3 treatments and possibly up to 6 - at $500.00. Unfortunately $500.00 was already a stretch for me, so I just lost all my money 	1	5	1	2	Insurance:Unknown
45	1	commentsFantastic Dr. and person. Really cares about his pts. 	4	5	5	5	Insurance:Unknown
50	1	 Dr. Obuch is great. He wont shoot you a line of crap. He is very upfront and some people dont appreciate that. I do. His staff is also great. If it werent for the specialty clinic, Dr. Obuch, and his staff, I would NEVER go to the Weiser hospital for anything.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
50	-1	 I would really like to say what I feel here, and what this doctor did to my life. However, I am not familiar with the legal definitions of libel or slander, so I'd better not do it. One thing I can say is that I would NEVER go to this doctor again IF MY LIFE DEPENDED ON IT. I'm really sorry he is still licensed and still practices medicine, and I feel extremely sorry for any patients that see him.  	5	1	1	1	Insurance:Aetna
50	1	 I thought he was tremendous...  he really does know what he's talking about just most people don't want to hear it as he will tell you to take it easy when necessary 	4	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$5000
