dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	 Have had very good experiences with Paris Vision.  They have always been able to get me or a family member in if there is an emergency.  My regular eye exams have been very smooth.  	4	5	5	5	Insurance:Blue Cross / Blue Shield
6	0	commentsNeeds to retire. Not open to very many new ideas 	3	3	3	2	Insurance:Unknown
7	1	commentsHaving shopped for a doctor in Boise and tried quite a few, I have found in Dr. Pellant everything I desire. She is kind, knowlegable, patient, respectful, caring and very thorough. I highly recommend her. 	3	5	5	5	Insurance:Unknown
7	-1	 The visit in which I had with Angela Pellant was the worst experience I have ever endured in a doctor's office.  She was rude, judgemental and extremely unprofessional.  I was vommitting in her office due to pain and she gave me a shot in the rear of nausea medication. She did not even have any care that my heart rate was skyrocketing from the pain.  Due to her negligence I returned to the ER and found out not only did I have a bacteria in my stomach that is extremely painful but I had two cysts on my left ovary.  Very large cysts.  If you want a doctor that will give you care and sincerely care about  their patients...I do not recommend  Angela Pellant. She wasted my time and had no care for my well being.  	5	2	1	1	Insurance:Medicaid / Medi-Cal
7	1	 Great MD, very thorough, very patient, listens, caring.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
7	1	commentsDr. Pellant was very knowledgeable and explained in detail every question that I had.  Have gone to her several times.  Always willing to answer any questions.  Followed up with a phone call with lab results the next day.  Great doctor, disappointed that my insurance has changed and now I have to find a new doctor. 	4	4	5	5	Insurance:Unknown
8	1	commentsWithout a doubt Dr. Peach is the best orthodontist around!  He and his staff are always very professional, yet they make the office a fun and caring environment for their patients.  I have been a patient as well as my daughter.  I like the way the office is a great fit for adults as well as children.  Dr. Peach is great at what he does, and his office is always on time.  His staff is wonderful, and they are skilled at what they do.  I am very pleased with my teeth and can't wait to she my daughters finished smile!   I feel the MOST important thing you should know is Dr. Peach is very honest with no hidden costs!! 	5	5	5	5	Insurance:Unknown
12	-1	commentsMy infant was hospitalized for a mystery fever, our regular pediatrician was out of town and Dr. Papiez was on-call to replace her. My husband and I got extremely frustrated with Dr. Papiez because of miscommunications. We'd been there over 24 hours and nobody had bothered to tell us that our son's blood cultures had come back positive for e-coli. Dr. Papiez was also unaware that another doctor of his practice had ordered more blood work done before he arrived, and when we were upset that he wanted to draw blood again (for the third time)and start antibiotics (didn't know he needed them) we ended up arguing. My husband finally blurted out &quot;what the **** is going on&#63;!&quot; to which Papiez replied &quot;I don't have time to explain this to you&quot; and stormed out of the room. Not only did Papiez neglect to tell us that they knew what was wrong with our baby but he also had no knowledge of all the tests that had been run by his colegues. Helpful bedside manner&#63; Not so much. 	3	3	1	1	Insurance:Unknown
12	1	 I took my time in finding a good pediatrician. Dr. Papiez is the best in the area. He's been my kids doctor since 2001. He takes time to listen and explains things clearly.  I'll be sad when he retires! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
12	-1	 This person who calls himself a doctor needs to retire...NOW! Instead of jumping to conclusions, he should do some testing first. He didn't listen to what I was saying about my child and treated me like a bad parent.  I will never let him see any of my children again! 	2	3	1	1	Insurance:Blue Cross / Blue Shield
12	1	 My son is almost three and has been seeing Dr. Papiez since he was born. Dr. Papiez is the most gentle, kind, and warm Dr. and I am so pleased my son sees him. I hope that he is taking more patients in the future and that my next baby can see him as well.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
12	1	commentsDr. Papiez was the on call doctor when my daughter was really sick. Her regular doctor hadn't been any help, but when Dr. Papiez saw her he diagnosed her right away with a very rare kidney problem. I am grateful to him for caring enough to help us and diagnose her. Since then I have had two more children and they have the same diagnosis as the oldest. The children are thriving now. 		4	4	4	Insurance:Unknown
12	1	commentsDr. Papiez has served our family since 1996. He is extremely knowledgable and helpful. Our children are extremely comfortable with him and he is always friendly. Dr. Papiez goes out of his way to explain what he is doing and why. Our family would definitely recommend him. 		5	5	5	Insurance:Unknown
14	1	 He's very responsive, a good listener and excellent physician.  		5	5	5	Insurance:Blue Cross / Blue Shield
16	1	 I had a complicated case with cancer. Dr. Perez and his staff have been wonderful. I highly recommend him. He is thorough, highly competent, and his staff is great.  	5	4	5	5	Insurance:Coventry
19	1	 Very kind and listens well.   Myself and my children loved him 	5	4	5	5	Insurance:Blue Cross / Blue Shield
19	1	 he is very smart, he listen the kids and the parents when my little girl has a kidney problem he realy cares and call just to know how she was feeling, my two children really like him.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
