dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
5	-1	 In my experience, Dr. Abdullah doesn't seek out &quot;why&quot; a particular symptom is occurring. He gives a diagnosis and then prescribes a treatment. He practices medicine based on a set of rules, rather than patient individuality. He doesn't seem to have any intuition nor ability to see the beyond his specific area of expertise. Also scheduling is horrible.  	2	2	1	3	Insurance:Blue Cross / Blue Shield
15	1	 Dr Aach is a very knowledgeable doctor who is also kind and compassionate.  He has a wonderful bedside manner and is will to spend time with you answering your questions.  I would highly recommend Dr. Aach is you are in need of surgery.  	5	5	5	5	Insurance:CIGNA
15	1	commentsWonderful, compassionate, conscientious and phenomenal care from this surgeon, always. 	5	5	5	5	Insurance:Unknown
15	1	 Excellent doctor- I was scared to go into surgery in the first place, but he did such a great job.   And very kind and nice to deal with! 	5	5	5	5	Insurance:United Healthcare
15	1	 Emergency appendectomy couldn't have went better...all things considered. Most of all, I felt very confident going into surgery.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	1	commentsHe was honest, upfront and very knowledgeable. I have healed much quicker than expected and I feel he did a wonderful job. He was always on-time, his staff (Terri!) was also very helpful. They are part of a great team. 		5	5	5	Insurance:Unknown
17	1	commentsEverything you want in a doctor - kind, knowledgeable, caring and respectful.  He makes you feel like the most important patient he has. 	5	5	5	5	Insurance:Unknown
17	1	commentsVery honest and caring. Wish we had more doctors like him! 	5	4	5	5	Insurance:Unknown
17	1	commentsI was refered to this M. D. many years ago, and he saved my life.  Not only is he an excellent surgeon, but he really cares about his patients. He is probably the best doctor that I know. 	5	5	5	5	Insurance:Unknown
17	1	commentsThe most knowledgeable and helpful physician I have ever met. 	5	5	5	5	Insurance:Unknown
17	1	commentsReferred to him many years ago by my neighbor-internist as the &quot;best rear end doctor in the country. And so have I found him to be and many of my family and friends I have referred. This a patient's doctor, so skilled you never know the procedure even began much less finished. 	5	4	5	5	Insurance:Unknown
17	1	commentsIf you need a colorectal surgeon - or a thoughtful opinion regarding a colorectal problem - and you're in Chicage, this is the doctor for you. I hope he's still practicing because he is thorough, honest and caring. He seems to be much more interested in honest medical diagnosis than in the 'good old boys' club policies. 	3	4	5	5	Insurance:Unknown
26	1	 Dr. Jamil is a very capable doctor.  However, I almost had to choose a different doctor because his staff in Ottawa Illinois was the most incapable group of people I've ever dealt with.  They cancelled and made appointments without my consent, and then called accusing me of being late (This happened 3 times!). They were very rude and unprofessional. Making an appointment should not be this difficult or stressful.  Consider this before choosing Dr.  Jamil 	1	4	5	5	Insurance:Anthem
26	1	 The best ob i have ever had. He really listens and cares. Very thorough.... hes seriously the best.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
26	1	 He was not my primary doctor his brother was.  But he did my follow up the day after I had my son.  He was very good to me and explained everything to where I understood what he talking about.  I recommend him and his brother to everyone I know.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
