dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	-1	commentsVery disappointed with a recent cataract surgery. My eyes were much better before! Completely lacking in compassion &amp; poor &quot;bedside manner.&quot; Aloof. I'm not so sure he has kept up with the latest technology. 	3	3	1	1	Insurance:Unknown
2	1	commentsI read over the comments here before posting, and I tend to agree (as a longstanding patient of the Doctor). Dr. Dado is an EXCELLENT physician. The one individual who commented on him being in the 'right age' was right on: Doctor is old enough to have experience and understanding, but not SO OLD that I'm concerned about his knowledge of new innovations. This is especially relevant to me, as I have macular degeneration, where new developments are happening all the time. For quality of medical care, knowledge, 'bedside manner' he is a 10! (And surgical skills. He saved my Dad's eye a few years back at Christ). Here's the big 'BUT'. Doc is extremely popular in this area of Chicago. Getting an appointment, especially in the summer months or holidays, can be VERY DIFFICULT. I learned this a while back, and I always call well in advance. Also, he can tend to run behind the schedule, but for me (and anyone whose #1 priority is quality of treatment and skill) the tradeoff is wo 		3	5	5	Insurance:Unknown
2	1	commentsOne of the most skilled physicians I have ever been treated by in my experience -- a little difficult to get in to see him, but, as long as you prepare ahead of time (i.e. schedule a month or two in advance) you'll be fine. 		4	5	5	Insurance:Unknown
2	1	commentsDuring my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.  I felt this visit was an amazing success!Overall I would rate this visit : outstanding! 		5	5	5	Insurance:Unknown
3	-1	 This doc runs the show at Alexian Brothers Behavioral Health Hospital.  Based on my experience and reviews by other patients that have been treated by this doc all agree that our society and legal system should remove this doc from practice.  From poor staff and unprofessional attitude presented this doc, it is the worst Psychiatrist I have ever had.   Be aware!!! 	1	1	1	1	Insurance:Aetna
19	1	 Dr. Daddono is always very helpful and knowledgeable in his field of asthma and allergy.  He is by far the best doctor for this field in all of Lake County! 	5	4	5	5	Insurance:Blue Cross / Blue Shield
19	-1	 When unable to make proper diagnosis physician resorts to irrational methods. After he is unable to treat you with one of his ridiculous potions, you are dismissed as a patient with a rude office visit and letter following.  	2	4	1	1	Insurance:Blue Cross / Blue Shield
19	1	 Extremely knowledgeable, genuine, caring and displaying good humor.  Exceptional diagnostician and is extremely knowledgeable in all areas of medicine both  within and ouside of his specialty. Calm, patient with questions and explanations.  One of the best physicians I have encountered.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 I have been going to dr daddano for 25 yrs my father brother and 2 sons also go to him. He is by far the best doctor ever.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 Absolutely the best - cut from cloth unmade these days, Dr Dadano goes WAY above and beyond any other doctor in any specialty I have had in my life.  They simply do not make them like this guy any more.  	5	4	5	5	Insurance:Medicaid / Medi-CalPaid/Co-pay:$2
19	1	 Dr. Daddano is, simply, the best.  He's super nice and easy to work with (as are his staff), he's knowledgeable not only in his specialty, but far beyond (and isn't afraid to give you good advice like some doctors are), he knows how to navigate the complicated healthcare system, and although it's obvious he's very busy, he'll always give you the time you need and answer any questions.  He has even stayed quite late, when necessary.  He's quick, but thorough, a rare quality in docs these days.  	5	5	5	5	Insurance:United Healthcare
19	1	 The smartest man you will ever meet.  He does not play games or bs around. He is right to the point and knows what he is talking about.  he is busy so he does not have time to chit chat but ask him what you want and he will answer.  he once diagnosed what he though was wrong with me over the phone without even seeing the rash, and he was right.  I went to doctors for 4 months prior who could not figure it out.  One visit to Dr. D. and one shot of cortisone and my rash and fever were gone.   By far, THE BEST!!!! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 Has a been a delight and very helpful. He shows that he cares and asnswers all the question we have.  	5	4	5	5	Insurance:Humana
19	1	 Wonderful, Kind, Funny, MD who is extremely intelligent and excellent diagnostician. I recommend to anyone...and I consider him a good Doctor and friend.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 I myself have gone to Dr Daddano for 35 years, 20 years ago my husband (who had reoccurring sinus infections) was evaluated for allergies by Dr. and he was and is treated with great success. 10 years ago I took our 27 year old son to doctor because of reoccurring migraines, and he was diagnosed with allergies to things you could not evade, mold, dust, pollen, trees and some he could, such as foods.  Our son has become a veterinarian and is now also being treated for allergies to dogs and cats, and doing wonderfully.  Dr D has been an excellent doctor for us all these years.  He is caring and has lots of patience as he explains things to each of us.  I have been eager to recommend his practice to any of my friends who need a great allergist.  OBTW I am an RN.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 Great doctor.  Asked a lot of questions and really listened to me.  Didn't talk down to me but related to me and provided sound advice for my situation.  	4	3	5	5	Insurance:Blue Cross / Blue Shield
19	1	commentsI have taken all 3 kids there - starting with my now 19 year old at age 2, who had severe allergies. Dr Daddono was wonderful every time we saw him. He is very knowledgeable, does not rush through an appointment, and offers treatments that work. I have recommended him to several friends and family members. And they love him too! 	5	4	5	5	Insurance:Unknown
19	1	 Fabulous doctor, known him for over 30 years...respect him and his knowledge as I am an RN. I was breaking ribs (believe it or not) when I sneezed prior to becoming his patient.  I have been his patient for 30+ years and with the long term treatment I have been without the problems I once had. Now my husband and son are patients as well.  Their improvement with allergy injections has been fantastic, no more sinusitis or ear infections and able to breath again easily and without those past allergic reactions.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	commentsWarm, caring and experienced doctor with easy going and great understanding of patients' needs.  Straightforward and clear in explaining issues and treatment options.  A great doctor. 	5	5	5	5	Insurance:Unknown
