dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 Charming, compassionate, intelligent, great communicator and collaborator with other doctors, even from other parts of the country as needed. Proactive plans with total respect for patients needs and personal style. Respectful of whole family dynamics and keeping focus on patient first.  	5	5	5	5	Insurance:AetnaPaid/Co-pay:N/A
1	1	 Always on time, lets you ask all questions and never rushes you.  Knowledgable and has a focus on research and cutting edge therapies.  	5	5	5	5	Insurance:HumanaPaid/Co-pay:N/A
1	1	commentsRight away Dr. Nabham sets you at ease. His kind demeanor and extensive knowledge make each visit a good experience. He is very personable and answers all questions. He really cares about his patients. 	5	5	5	5	Insurance:Unknown
15	1	 Dr. Nagar is very personable, easy to talk to, clearly knows her stuff and also clearly is enthusiastic about her profession. Listened to me carefully. Made recommendations that seem to be heading me in the right direction in looking for a diagnosis.  A+ in my book! 	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
15	-1	 She ordered a expensive medical procedure in writing, then refused to provide a referral because it would have to be out of network, as she could not provide an in network doctor who could do it. After, ordering a copy of my medical records from her, the chart included careless mistakes such as writing my age as 20 when I was 32 and saying I was right handed when I am left. If you want a doctor who cares less about you and only her big salary shes the one for you.  	1	1	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
19	-1	 I don't think so I can comment on Doctor's knowledge but can definitely comment on his ability to apply. I took my daughter to him couple of times (unfortunately) and he never diagnoised anything but always supported what someone else said. Ex: My wife said on 6 month appt that she seems to be bending her neck towards left, then he scared us as if we have to go for a surgery and asked to see a therapist. He can just be a messenger nothing more. Don't carry away with the kids friendly lobby, please see another doctor.  	3	1	1	3	Insurance:United HealthcarePaid/Co-pay:N/A
19	1	commentsDr. Nadelman has been very through and right to the point. He does not believe in unnecessary medications or treatment. 	4	2	5	5	Insurance:Unknown
19	-1	 Dr nadelman laughed at my concerns when my son would not respond to his name and seemed to be having seizures. I got a new dr asap my son was diagnosed with ASD soon after and is in therapy. Dr Nadelman ignored my concerns thankfully I did not listen I got help for my child else where.  	1	3	1	1	Insurance:Medicaid / Medi-CalPaid/Co-pay:N/A
21	-1	.   	1	1	1	1	Insurance:United HealthcarePaid/Co-pay:N/A
32	1	comments 	5	5	5	5	Insurance:Unknown
