dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	He is awesome! Staff is great, very caring and very helpful. All around best experience with Dr/Dr office myself and my wife have ever experienced.  	5	3	5	5 	Insurance:Aetna
2	1	 	5	4	5	4 	Insurance:Unknown
3	1	Dr. San Juan has such a great bedside manner. He's compassionate , understanding, very knowledgeable and gives you great advice and direction. Previously I was seeing a obgyn for 10 years. But after having Dr. San Juan care for me.... I never looked back. He took the time to answer my 15 questions and never made me feel rushed. I love his professionalism and I would follow him no matter where he moved. 	5	5	5	5 	Insurance:Unknown
3	1	Dr. San Juan was my gynecologist several years ago, until I had to switch for insurance reasons.  After having a poor experience with a different gyne, (and yet another insurance switch) I went back to him.  I travel nearly 20 miles to do so, but it is worth it to me!  He is compassionate, caring, and a great listener.  He is also motivational and willing to help in any way he can. 	4	3	5	5 	Insurance:Unknown
4	-1	 	1	1	1	1 	Insurance:Unknown
4	-1	.  	 10/21/11	1	1	1	Insurance:Medicare
4	-1	Peter Sadkhin is about to enter Federal Jail for $5 million Medicare Fraud. In addition to being a crook, Sadkhin is also a fraudster &amp; a liar. He earned a 2-week Nutritionist degree from a defunk Southern AK 'college' &amp; calls himself &quot;Dr.&quot;. He was only licenced to do acupuncture. Patients who got any other procedures from Sadkhin, can join in lawsuit to get refunds from the fake. State of Illinois is filing charges for endangering public health for claiming therapy that was billed but never performed. Crook submitted over $5 million of invoices to Medicare &amp; private insurers for fake procedures. Sadkhin got caught &amp; his plea agreement documents the whole scheme in detail. Feds are still looking for stolen money that Sadkhin hid. He owes over $1.1 million restitution + fines. Report Sadkhin &amp; other Medicare crooks at 1-800-633-4227. &quot;Dr. &quot;Peter Sadkhin relocated his 'practice' to jail where he will wash floors &amp; clean toilet bowls for the next 5 years! No parole, no early release! 	 12/18/10	1	1	1	Insurance:Medicare
4	1	Best doctor ever! So caring, he helped me along every step of my therapy, this is the best doctor u could ever get!! 	5	5	5	5 	Insurance:Unknown
4	1	He is the most caring doctor I have ever used. He spends as much time as you need to get your questions answered and he is always friendly and professional. 	5	5	5	5 	Insurance:Unknown
5	1	great doctor 	5	5	5	5 	Insurance:Unknown
6	1	. Very Professional, Awesome, intelligent! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	sincere, cooperative, pleasant, CARING 		5	5	5 	Insurance:Unknown
