dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Daffron is very pleasant, knowledgeable, and customer oriented. I would recommend him to anyone.I even took my daughter to him! 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Brian Daffron is all about the Patient. He is almost always on schedule, his Office Staff always gets up in when you need it most. Dr. always listens to what you have to say, so he can do his best to help you. In fact I will be going to see him this afternoon @ 4 PM.. 	5	5	5	5 	Insurance:Unknown
1	1	He always makes time to work me in. Never forces a series of sessions on anyone 	5	5	5	5 	Insurance:Unknown
2	1	compassionate.  very personable and kind.  Office staff equally as nice 	5	5	5	5 	Insurance:Unknown
2	1	 	5	4	5	5 	Insurance:Unknown
3	1	I've been using Dr. Del Pilar for quite a while, and when I found this site I was quite confused by the low marks the practice has received. There's quite a few new faces working there, and everyone seems friendly and eager to help. The wait times have gone down drastically, with my normal visit taking under an hour. The office can be busy during peak times, but it's nothing like an ER or Med Point visit. The Doctor is very knowledgeable, and I feel that I get accurate advice from him. In the past year I've noticed a bit improvement in overall service from this practice, and I would encourage anyone who had a bad experience to give it another shot. 	 9/7/12	5	5	5	Insurance:Unknown
3	0	I took my daughter to see him on an urgent basis. I explained numerous times how poor her insurance was but he ordered extensive, unnecessary testing that would have cost us thousands of dollars out of pocket. He didn't even tell us what he was ordering, just sent us to the clerk to get testing scheduled. I am a nurse and when I asked what was being ordered, I refused the majority of the testing. He was thorough in his exam but had to do a rectal exam on my 20 year old daughter and he could have been a little less rushed doing it, it was extremely painful for her. The staff at the waiting room are very rude and impatient. My daughter won't be going back there again.  	1	3	2	3 	Insurance:CIGNA
3	-1	It is completely absurd to schedule more patients than the doctor can handle!!!! I can't believe this is how Del Pilar's facility runs!  The waiting time is the worst!  It does't get any better by the time the Doctor gets to you because you are in and out with the blink of an eye.  He doesn't explain anything about your issues and if you dare ask a question he will schedule you for another visit.  I've been to two visits with this Doctor and they will definitely be my last!  He doesn't seem concerned about your problems, he's just worried about dealing with the next patient to only do the same thing to him/her!  Not worth making your primary doctor.  10 thumbs down!!!!  Truly unbelievable!! 	1	1	1	1 	Insurance:Unknown
3	-1	Very poor communication between DR. and staff.  Would never recommend.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	He Sucks, very rude when you don't agree with him or have questions&#63; Never gets down to your problem in the the few min he's in the room with you Runs test that dont matter to your problem at the time wonts you to come back the next day wait another three hrs.  I've changed doc I've got serious med issues and his done nothing but made them wrose! 	1	1	1	1 	Insurance:United Healthcare
3	-1	 	2	2	1	1 	Insurance:Unknown
3	1	I thought I did this once but it is not showing so will do it again.  I think Dr. delpilar is fantastic.  He is kind, gentle and knows in a heartbeat what the problem is.  Many comments say he doesn't take time etc.  He is fast and I am not looking for a babysitter.  I want a good doctor that knows what he is doing.  That is Dr. Delpilar!  Office is super busy so obviously all the people in the office that were waiting with me thought he was worth the wait as well.  Wholeheartedly recommend him to family and friends.  	 2/12/12	5	5	5	Insurance:Blue Cross / Blue Shield
3	-1	 	1	1	1	2 	Insurance:Unknown
3	-1	Doc has always been good to me however, just lately the service is horrible by all. Doc delivered my youngest son who is now 18. I have cervical cancer even though I had a complete hysterectomy in 1999. I just found out in Oct. through a phone call my cancer went from stage 1 to 3 but his CEO would not allow me to be treated with out paying $350.00. Lost job in Sept and insurance and can't afford that kind of money. I explained that to her and she did not care if I was treated all she wanted was the money. What happened to the Oath they take. I have had good treatment from the nurse practioners in the office and unfortunately after 18 years am now looking for a different doctor. As the practice grew the patient care disappeared.  	1	1	1	2 	Insurance:United Healthcare
3	1	. Office does not return calls, wait times can be long, usually exceed 3 hours for total visit time 	1	2	3	4 	Insurance:United Healthcare
3	-1	Agree with others- The wait time is just out of control. Doctor in and out, didn't listen at all. I thought I was dealing with insurance fraud at first with all the charges coming in, but after a lot of phone calls it was Del Pilar billing for anything they could think of, for a preschoolers stomach ache! Staff uncaring, unfriendly. The best though, is from my last visit. The medical assistant (a student getting in her hours) freaked my kids out! She was going to take a flu and strep swab on both of them, she told them how it would hurt and be uncomforable. She said I have to stick this waaay up there (flu swab) for a few seconds and you won't like it. Ditto for the strep test. I was furious! Did she have any experience with kids!!! You should have seen their faces, they were so scared after this. For a simple test. Anyhow, don't even bother with this office. 	1	1	1	2 	Insurance:Unknown
3	-1	One word HORRIBLE. My advise go somewhere, anywhere else! Unless you like having test that you do not need. And never get your problems taken care of. And you will need to remind him of the medicine that you are taking and he will not know what dosage you are taking. Horrible, horrible, horrible.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
3	0	He is is a good doctor but he does not take the time to see his patients. However, his nurse practicioner Tammy Anderson is a wonderer and when i had the swine flu she was the one who found out not the doctor. BTW Yes the blood takers are idiots. and one got in trouble for screwing me up.  hehe they deserved that 	1	1	1	5 	Insurance:Blue Cross / Blue Shield
3	-1	Too busy to listen and does not pay enough attention to detail. IE: giving meds that make the problems worse. Was a good doctor years ago but ended up only caring about the $$. Unfortunately, greed will be the end of this doctor if he does not stop! 	2	1	2	2 	Insurance:Unknown
3	-1	The techs who draw blood are inexperienced and have trouble with the task of locating a vein-time wasted and pain that could have been avoided. They are rude and at the least unprofessional.  The last time I went in was for a problem with my toe, for which the Medical Assistant was told by the doctor (who didn't bother to drop in) to take a sample of my toe nail. She couldn't find the scissors (after an hour!) and I was sent home with no exam, no relevant test, and no treatment. You also have to hassle them for lab results. They won't call you. I've also run into repeated paperwork and endless, repetitive questioning. Does the office even keep a file on me&#63; 	1	1	1	3 	Insurance:Unknown
3	-1	i have no idea on this earth HOW this man is in business.worst medical (or any other business) ive EVER encountered on ALL levels. and i agree with all other comments posted here. they are ALL true, as they have happened to me SEVERAL times. i didnt go back. people all over northern indiana speak badly of him.  	1	1	1	2 	Insurance:Blue Cross / Blue Shield
3	-1	he have no clue  about service mean im still owe him 632dll but i dont know what its my health problem  i been on time all my app but i have to wait for about 8 hours every single time its ridiculous they only want to make money they dont care about your health i been there at list 5 times and he never remember my name or why i was there 	1	1	1	1 	Insurance:Unknown
3	-1	ive waited there for 8 hrs before and stillhad to come back the nest day.he charged me for 2office calls.then spent less than 10 SECONDS with me.this isa regular thing. allhis pts talk aboutit. hes an air head,cant remember anyting,gets meds wron,and ALL he cares aboutis making money.calls for tests by the hundreds,for EVERYONE because they are all in his med center. andit is HIS.all his other help is great. esp lynn and tammy.has a good bedside manner,hes very likable as a person,but not a dr. has ADHD or something.theres also an older lady pediatrician thats awful too. she gets an F on all counts.  had to see her in immediate care (in delpilars building) and ALL ahe talked about was hersocial security amount!!! this place sucks 	1	1	1	3 	Insurance:Blue Cross / Blue Shield
3	-1	I have had two appointments with Dr. (and I use this term loosely)Delpilar and willl NEVER go back. Between the two appointments I have logged 5 hours of my time to have him actually in the exam room about 8 minutes. Not at each visit-TOTAL of the two visits. AND did not address the problem I went in for. I was ignored and treated as if I had no basis for my complaint. He got his billable time I guess thats all that matters to him. My health problems certainly don't! 	1	1	1	1 	Insurance:Unknown
3	1	Dr. Del Pilar is a great doctor.  He is very knowlegable and caring, but his staff is rude, inconsiderate and organization is their biggest weakness. They have lost my blood results and I had them redone &quot;No Cost&quot;.  Well, I received a bill from the lab that did my tests and it is still not resolved.  It has been since January of 2008 when this became an issue.  I am currently looking for a new doctor, not because of the doctor himself, but because of the staff. 	1	1	4	4 	Insurance:Unknown
4	1	I highly recommend Dr. Randolph (Davenport). After her testing of my 8 year old son, she knew things about him and how he thinks that I thought only I knew.  She is professional and unbelievably knowledgeable. I can't can't say how thankful I am to have her evaluation to guide me in helping my son grow up with his condition as unscathed as possible.  I am so pleased! 	5	5	5	5 	Insurance:Humana
5	-1	Mother (age 65) had a physical exam with Doctor Delbello to inquire about a pain in her right side.  He felt it and said “it was Okay”. Also for feeling light headed for a long time, he stated that she “should just suck on some hard candy till it passed”. After seeing a nurse at the health clinic about blood in her stole she made her second appointment with Dr. Delbello needing a referral for a colonoscopy that he denied her knowing our family has a history of colon cancer. With nothing she could do without a referral for the insurance. Five months later she passed out while at lunch with her sister. She took mother to The ER. After a blood test, she had internal bleeding and received 4 pints of bloods to save her life. The ER doctor ordered a colonoscopy before being released from the hospital. She was then sent to see the surgeon. She has since under gone surgery to remove a large portion of her colon. She was diagnosed with stage two colon cancer.  	1	4	1	1 	Insurance:Medicare
5	-1	My mother had hard time breathing, he sent her home.  had my sister not been a nurse and insisted she go to the er she would have not lived through the night. she also was elderly, seems like a pattern. 	2	5	2	2 	Insurance:Unknown
5	-1	He is a unfit to be licensed as a M.D. He ordered an injection for my elderly father and then had the RN switch injections which put my father into a coma. He died within days. My brother witnessed this and will swear before Jeseus Christ that this happened. The midnight RN at Parkview Hospital in Fort Wayne told me Dr. Debello was unfit and despised by the staff at Parkview but, could not get rid of him due the current medical laws in Indiana. The injected drug name was smeared out on my dad's medical chart. He told my family that my dad have lived long enough. Dr. Debello should be put in prison for the rest of his natural life.  	1	1	1	1 	Insurance:CIGNA
5	-1	He put in an unnecessary pic line in my 84 year old father.  He did not know his treatment status.  He did not order appropriate lab work.  He is a monster, especially if you try to ask him any questions.  He told me that my dad may never leave the nursing home and that no one lives forever.  He acks like a petulant child and you have to really wonder about a man who has to constantly tell you how good he is.  He not only talks to himself but he answers himself.  	1	1	1	1 	Insurance:Anthem
5	1	i can't believe the comment about him. he takes care of alot of crazy people and i suspect that nurse or pseudonurse has what we call in the insurance business a pre-existing condition. he tells it like it is and some people cannot deal with it 	5	5	5	5 	Insurance:Unknown
5	1	Very informed and knowledgeable.  Gives best quality of care to his patients.  Highly recommend him to all. 	5	5	5	5 	Insurance:Unknown
5	1	Althow I had to pay an arm and a leg the service I receved was great care. I don't know if I was one of his prefered patient's but I have to say, in comparison with some other doctors I have been sent to, I have receved thourough, and punctual. 	3	5	4	4 	Insurance:Unknown
5	-1	The receptionist continued talking on the phone to order a sandwich instead of greeting or addressing a patient waiting to see the doctor. The doctor's demeanor throughout the visit was curt, abrupt, and rude, extremely unprofessional. I would not recommend him as his bedside manner is exceptionally brutal. 	1	3	1	3 	Insurance:Unknown
5	-1	This man is a monster. I am a nurse who has had the misfortune to have worked a several nursing homes where he was on staff. This man wrote out and signed the &quot;body release&quot; for the mortician on a patient on a Friday night because his son had a soccer or baseball game and he &quot;didn't want to be bothered&quot; over the weekend. She died Sunday night. He is obnoxious to any nurse who questions him, talks down to family and the patients themselves and takes great joy in having nurses cry and get jittery around him. I wouldn't allow him to treat my dog for fleas. I observed his tactics for 6 months and saw a pattern of drugging the elderly with everything their Medicare or private insurance would pay for and basically leaving them to rot in the bed. I have yet to see any of the patients he is assigned to improve their condition or quality of life. The facilities that employ him as their &quot;Staff Dr.&quot; should be shut down. They know EXACTLY who and what he is and as long as the check clears.. 	1	1	1	1 	Insurance:Unknown
5	-1	He said my father would never go home from the hospital, he arranged to have him put in a nursing home, we had him put in rehab instead(even though he said we were wasteing our time) and now he is doing well at home. Dr. DelBello told me my father was failing and I just needed to come to terms with it because he would be gone soon. That was 18 months ago and he is doing of now. (he told me this in front of my father.) 		2	1	2 	Insurance:Unknown
