dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
7	-1	 The procedure I came for was unsuccessful. Dr. Gallagher was not able to do the job. I left the office in pain and very dissapointed. To my surprise a few days later I received a bill for the full amount of the proceedure. WHen I tried to dispute at least the OOP portion of the bill I was not successful, in addition the office added a finance fee for a 30 day delay in payment. To summarise - very unprofessional, do not want to take responsibility for their mistakes, and greedy. I would not recomment the office nor the DR.  	1	1	1	1	Insurance:AnthemPaid/Co-pay:$1200
7	1	 Dr. Gallagher is awesome I have been through multiple miscarriages, one pregnancy &amp; delivery (in labor 24 hrs) &amp; am now dealing with a large cyst on my ovary. The whole staff has been attentive, informative &amp; honest with every hurtle. I have surgery with her this next week to remove the cyst &amp; it is comforting to know she will be the one removing it.  	5	4	5	5	Insurance:United Healthcare
7	1	 Dr.  Gallagher is a GREAT doctor! Always is very informative and spends time explaining things! 	5	5	5	5	Insurance:Anthem
7	1	commentsGreat doctor! Dr. Gallagher was my first gynecologist and for as long as I am able to I plan to stick with her. She's very good at explaining things and making that first appointment so much more comfortable. I also felt that the staff was very thoughtful and helpful when it came to answering questions. HIGHLY HIGHLY recommended! 	5	4	5	5	Insurance:Unknown
7	1	 Dr Gallagher was one of the best doctor that i have senn in my life.you will never feel like you are talking to a doctor .  She is just like your family 	5	5	5	5	Insurance:Blue Cross / Blue Shield
7	1	 Dr. Gallagher monitored my first pregnancy, and my son was delivered by Dr. Lund. Loved the practice! Absolutely nothing bad to say about them. I since had to move out of state and am pregnant with my second one. The Indy practice set a high bar and I wish I could find anything comparable to them here.  I am even considering flying back for appointments:) 	5	5	5	5	Insurance:Blue Cross / Blue Shield
7	1	 I too had a not-so-great experience with Dr. Soper--I learned about my miscarriage during a visit with her and she was cold (following appts proved her to be difficult to talk with, very opnionated). Dr. Gallagher performed my d&c; because Dr. Soper was on vacation and I was so pleased with her warmth and tenderness on such a difficult day. I am seeing Dr. G for this pregnancy and so far she has been wonderful--truly interested in what I have to say, never rushed, and just so easy to talk with.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
7	1	 I have gone to several gynecologists in the past. When I moved to Indianapolis, and mentioned to a friend that I was contemplating getting the Gardasil shots, and was way overdue for my annual and didn't have a doctor here; she recommended Dr. Gallagher, saying she and several of her friends were really happy with the care they received. When I called Dr. Gallagher's office, the staff were very nice and suggested that I ask about the Gardasil at the same time as my annual (which meant that, under my high-deductible plan, I didn't have to pay for a separate office visit just to get a consultation about the Gardasil). Dr. Gallagher was very easy to talk to about my concerns, and I ended up going back for the three Gardasil shots, and the nurse that gave them was very good at administering shots (usually, I pass out from the pain, but not these times). The entire office staff is friendly, professional, and efficient.  If you are looking for a gynecologist, definitely try to get her! 	5	5	5	5	Insurance:Anthem
7	1	 Dr. Gallagher is a great doctor. Her office staff is very friendly and she was the first gyno i visited. She tried to make the experience as comfortable as possible. The only bad thing about her office is that it's in a terrible area; bad traffic all the time, confusing building setup too, so give yourself extra time to get there.  	5	5	5	5	Insurance:United Healthcare
7	1	 Karen has been awesome to my wife and I from regular exams, fertility references, and the birth of our child.  Avoid Dr Sopher though; she is an old know it all who rushed to do c-section to get on with her day.  She was aloof, condescending, made my wife suffer, and unapologetic.   If you go into labor without Karen, Refuse Mary and take the on-call staff at the hospital instead! 	5	3	5	5	Insurance:AnthemPaid/Co-pay:$30
7	1	commentsDuring my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.  I felt this visit was an amazing success!Overall I would rate this visit : outstanding! 		5	5	5	Insurance:Unknown
14	1	commentsDr. Gabovitch sets the standard 	5	5	5	5	Insurance:Unknown
19	1	 Seen Dr Galen for the first time, she was a pleasure to speak to. Also seemed like she knows what she is doing.  	5	5	5	5	Insurance:Anthem
19	1	commentsDr. Galen and all of her staff except the nurse Jennifer are great. Jennifer has a problem, she thinks she is a doctor.  Very easy to catch her in lies. Says Dr. Is not in when she really is.  She is a total B!+€# 	3	5	2	5	Insurance:Unknown
19	1	 Dr. Galen and her office are very prompt and Dr. Galen is very easy to talk to and has been very thorough with her advice.  I am very happy with the practice.  	5	5	5	5	Insurance:Tricare
19	1	 Dr. Galen is a great doctor and a real pleasure. She listens well to my concerns and does appropriate tests to diagnose problems. I am also usually able to get in to see her pretty easily.  I would highly recommend her! 	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$25
