dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	-1	commentsThis doctor is a chiropractor not an MD.  There is no research to her clinical approach.  Save your money and see a real doctor! 	4	4	1	1	Insurance:Unknown
4	1	commentsLoved Her. the first doctor that really took the time and she listened.  She help me get my life back. thanks 	5	5	5	5	Insurance:Unknown
8	1	 DR FAUSTO MAGNO IS VERY CONCERNED ABOUT HIS PATIENTS. HE ALWAYS HAS CONCERNS ABOUT WHAT IS BOTHERING YOU. I LOVE HOW HE ALWAYS WAITS FOR ME WHEN I AM LATE FOR AN APPOINTMENT.  	5	5	5	5	Insurance:HealthPartners
8	1	commentsAwesome doctor - very concerned with his patients.  Takes time and gives personal attention to each patient. Very personable. 	5	5	5	5	Insurance:Unknown
13	-1	 Didn't address the problem I came in with.  More glad hand than diagnosis.  Not going back.  Tried to get me to sign form for added fee. The next doctor got the simple diagnosis and provided the service needed.  Took a bit of extra time on his part but what a difference.  	4	5	1	3	Insurance:Medicare
13	1	 I rate the doc 5's all across the board simply because he and his staff are incredible at what they do.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
13	1	 He is so nice and treats tou like family. He is very caring and not over priced. He truly cares about his patients!! And ussally not a long wait.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	1	 Dr. Maddock is very thorough with his examinations.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
18	1	commentsI went to Dr. McDonald for many years and I just never &quot;clicked&quot; with him.  He's a fairly decent doctor, but we certainly were never in sync with one another. 	5	4	3	4	Insurance:Unknown
18	1	 He is one of the best Dr.'s a person could have ,he never talks down (or over )to you, and really takes the time to listen to you .His staff is cheerful,and they always makes you feel like there glad to see you.I give him a 100 app.  rating !!Vicki Shepherd 	5	5	5	5	Insurance:Blue Cross / Blue Shield
18	1	commentsLutheran Preferred Insurance.  Even if he is busy he never makes his patients feel that they are being rushed when seen. 	5	5	5	5	Insurance:Unknown
19	0	 difficult to work with. reluctant to give out medication.  	5	5	2	4	Insurance:Medicaid / Medi-Cal
19	-1	 Dr. Mabel's bedside manner is cold and uncaring. He does not spend time with you to discuss your questions or concerns. He prescribes only name brand medication (to earn his kick-back $ from the drug makers). His staff is just as cold and uncaring. Dr. Mabel should retire and his staff needs lessons in basic customer service.  	1	4	1	1	Insurance:Blue Cross / Blue Shield
25	1	commentsDr.Madura came very highly recommended and after meeting her it was easy to see why. She has delivered all 4 of our children and never once did we experience so much as a hiccup. The only fears we had during pregnancy was that the baby would come early and Dr.Madura wouldnt be available. With two of our babies this happened and while making her morning rounds, she suited up and performed both Cesareans flawlessly. Even though she is full, insist on her if you want the best. 	5	5	5	5	Insurance:Unknown
25	1	 i love debra. she is so bubbly and happy all the time. she made me feel confident to become a mom and answered all my questions truthfully. if she felt like my idea might be a bad decision, she told me. she told me possible outcomes of early labor and being on time. she is a sweet doctor. i wish i was pregnant all the time just so i can see her. i would recommend her to everyone.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
25	1	 She is the nicest Dr! She always made me feel comfortable at her office! Her staff is always nice too! We moved out of the state and I really wish I could still see her! She made me feel really comfortable with my pregnancy everytime I left her office (it's my first and of course I had a thousand questions/concerns)! She was really helpful with allowing me to reschedule my ultrasound because we were moving. She always seemed generally concerned with any questions I had.  	5	5	5	5	Insurance:United Healthcare
25	1	 Best Doctor around!!! Have been seeing her since I was 15 and has always been GREAT. She is the kindest woman, and is knowledable is her practice.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
25	1	 Really like her-- 4 kids and minor gyn problems.  sweet, funny, lovely smile and chilly hands!  Great group of partners also 	4	5	5	5	Insurance:Anthem
25	1	commentsHands down THE best OB-GYN I ever had. Even though she wasn't taking on new patients, she accepted me when she heard that I was having difficulty in conceiving my 2nd child. She worked with me for over a year, assisted me through a life threatening pregnancy, and went out of her way to arrange infertility treatments with specialists in Indianapolis. If it wasn't for her caring and persistance, I wouldn't have my (2nd) beautiful daughter today. She is the BEST of the best. 	5	5	5	5	Insurance:Unknown
25	1	commentsA wonderful, caring and sweet doctor. She is the best! 		5	5	5	Insurance:Unknown
33	1	 EXCEEDED ANY EXPECTATION,SAVED MY CHILDS LIFE,KEPT ME INFORMED AND CALM DURING ONE OF THE MOST TRYING TIMES A PARENT COULD HAVE.WE NEED MORE PHYSICIANS LIKE HIM.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
33	-1	 this guy did not care to help me. he made me wait for hours while he visited with the other staff members and hid. he sat on his ass and read a paper while i suffered in pain. should have medical board investigate this guy. if I could meet him outside the hospital, I would like to show him how much pain I had.  	1	1	1	2	Insurance:Humana
33	-1	commentsVery bad doctor. 	1	1	1	1	Insurance:Unknown
41	1	commentsgreat pain doctor 	4	4	5	5	Insurance:Unknown
42	1	commentsDr. Magiera diagnosed my minor problem without hesitation and effectively fixed it.  However, he was not very friendly and he made me feel like I was wasting his time.  Hopefully he was just having a bad day, but either way, that was my experience with him. 	4	3	3	5	Insurance:Unknown
43	-1	commentsTraining and knowledge in India must be very poor. Why does the US Medical board recognize poor foreign education 	1	3	1	1	Insurance:Unknown
45	1	 Dr Mackel was detailed, helpful, and was very pleasant.  I would recommend him to anyone! 	5	5	5	5	Insurance:Anthem
45	1	 I went to Dr.Mackel Feb. 2006 after getting cortisone shots in elbow for a year at family doctor. Mackel came HIGHLY recommended by:two family members he did surgeries on, my family doctor, and from other friends I have that happen to work in the medical field that asked their doctor friends about him. (I don't pick a doctor from the yellow pages...I take time to find a doc that comes highly recommended!) He told me what to expect in surgery, recovery time etc... and that's exactly what happened. I am very happy with results! He also told me AFTER surgery that because of my skin type (&#63;&#63;) he went ahead and gave me &quot;plastic surgery type&quot; stitches because of how he thought I would scar. I never mentioned that I DO scar so easily! My scar is 3&quot; long and you can barely see it! A nice bonus personally. My only complaint:he breezes in office and is rather short and too the point, he'll be gone in a flash unless YOU ask him exactly what you want to know. Then he's happy to explain.  Good doc! 		3	4	5	Insurance:Blue Cross / Blue Shield
49	1	 dr maasey was a pleasent surprise when my old dr have to move.  i find her to be very knowageable professional and truly concerned about my well being.   thamk you dr jill 	4	4	4	4	Insurance:Medicare
50	1	commentsDr. Magnetti is wonderful. My mom has been seeing him for more than 40 years and I have since I was a child. He is also great with people who are afraid of the dentist - I referred a scared friend and after she saw him, she didn't mind the dentist anymore.  His staff is terrific as well. 	5	5	5	5	Insurance:Unknown
59	1	 Dr. Mader and his staff were professional, kind and extremely warm. My fear of dentistry was diminished after one visit.  They go to great lengths to make you as comfortable as possible.  Carleen was so sweet and very knowledgeable.  She took great care of me.  She printed out some recipes for me as well.  Thanks Dr. Mader, Carleen and staff for making it a very easy experience.  	5	5	5	5	Insurance:Delta Dental
61	0	comments 	3	3	3	3	Insurance:Unknown
70	1	 Great pediatric neurologist. Have taken my daughter to Dr. Magno for MANY years.  	5	4	5	5	Insurance:Humana
