dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Treated me like a child and acted like I was completely incompetent. Told me the Hydrocodone 5/500 and Soma I am on for pain is way too strong,(I'm 45 with two herniated discs that didn‘t respond to epidural steroid injections and I’m still in pain even with taking those meds or I wouldn‘t be there) and she put me on Ultram and Flexeril which are both even weaker than the medicine I am on. I suffered physically and emotionally from being poorly treated by her and basically called an addict; I wasted my time and money and had to go to the ER for relief. My PCP told me that Hydrocodone and Soma are mild compared to other pain medications and muscle relaxants and Dr. Perrin was out of line in prescribing something even less potent and telling me what I take is too strong. She under-prescribes, if she does at all, and judges you as if she knows you better than you do. She shouldn’t treat patients like they are incompetent or junkies that don’t need medications. Worst physician I’ve seen.  	1	1	1	1 	Insurance:CIGNA
2	-1	very unprofessional.  its not high school anymore! 	1	3	1	1 	Insurance:Unknown
2	1	I have been seeing Dr Park for many years for my neck pain.  She is very knowledgeable and always takes time to explain what is going on with me.  I feel she has my best interests in mind when planning my care.  She has given me epidural injections which have been very helpful.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Took time with me. I didn't feel rushed and she fixed a problem with one shot that three other doctors told me I needed a surgery to fix. Thank you Dr Park! 	5	5	5	5 	Insurance:Unknown
3	1	She is wonderful, very helpful.  She is the BEST 	2	5	5	5 	Insurance:United Healthcare
3	1	Doctor Pappas recently moved to a new office. The staff is wonderful there and I like all the doctors who share on call.  		3	5	5 	Insurance:Anthem
4	1	We moved about 3 yrs. ago and i still have a hard time liking my kids doctor after having Dr. Perry.   He always went above and beyond the call of duty for my kids and he is one reason i so want to move back to Indiana we miss him so much 	5	4	5	5 	Insurance:Medicare
4	1	Dr. Perry is a great pediatric doctor. Both of my boys have been to him since they were born. I've never once had a problem with him. Never makes us feel rushed, and takes great care of my kids. 	5	5	5	5 	Insurance:Unknown
4	1	 	5	4	5	5 	Insurance:Unknown
5	-1	I saw Dr. Pamintuan years ago for extreme pain and heavy bleeding.  Told it was nothing and just have labs drawn.  Two years later I almost died from having fibroids and needing four blood transfusions.  He never diagnosed me. 	2	2	2	1 	Insurance:Unknown
6	1	Dr. Parr and the whole staff have been great for both my kids!  Understanding, easy to work with, accessible, answers every question, empathetic...  Those are just some of the ways I would describe Dr. Parr.  	5	5	5	5 	Insurance:Anthem
7	1	Very caring doctor. Found my cancer way befor it got out of hand.  	 9/15/11	5	5	5	Insurance:United Healthcare
7	1	Dr. Perkins is THE BEST. I have seen him for 15+ years, through 4 pregnancies and a miscarriage. I would, and have, recommended him to everyone. He is tender hearted, VERY KNOWLEDGABLE, and extremely competent. My sister sees him as well and due to his quick actions, he saved my nephew by performing an emergency C-section as the cord was wrapped around the baby's neck. I do not question his judgement and feel totally at ease with his recommendations. I trust him with not only my life but my children's lives as well. He always gives me facts (I do my homework) and, if possible, he offers choices to make sure that I am comfortable. My husband has the utmost faith in him as well and that is saying a lot. His office staff and nursing assistants have always treated me with respect and I looked forward to my visits. They actually spoiled me!! Ultimately, it is up to each individual but I would highly recommend him.  Good luck and may God bless each of you and your situation! 	5	5	5	5 	Insurance:Anthem
7	1	I have been seeing Dr. Perkins for approx 16 years.  He is wonderful, compassionate and a great physician.  	4	5	5	5 	Insurance:Anthem
7	1	I recently had a hysterectomy that was completed by Dr. Perkins. He was very helpful, kind and knowledgeable. This is the second surgery that I have had with Dr. Perkin's. When I was in the operating room I was upset and he held my hand and offered comforting comments. I would highly recommend him to any of my family and friends.  	4	4	5	5 	Insurance:CIGNA
7	-1	After the birth of my first child, which Dr. Perkins attended, he repaired my third degree perineal tear. I developed a painful hematoma. He refused to prescribe pain medication, stating that I should have my husband help me. I was unable to sit (it was too painful) or stand from a sitting position for a week. No bedside manner or compassion. 	2	2	1	1 	Insurance:Unknown
7	-1	Dr. Bryan Perkins was suppose to perform a 30 minute surgery on me to remove a cyst off an ovary. He lasered 4 holes through my bladder, which required another surgeon to come in and remove it, finding the holes, cutting down my bladder and reinserting it, during which Dr. Perkins ripped my abdomen muscles causing a massive Herniation, and removed my healthy ovary for unknown reasons.. perhaps by &quot;panic&quot;. What should have been a 1 week recovery, turned into 2 weeks hospitalization in very poor shape, and the rest of my life dealing with the problems caused by Dr. Bryan Perkins. After this 5 hour surgery, he approached my husband with the other physican, and omitted telling my husband all the facts. I had to find out later from the 2nd physician, and a surgical nurse what had exactly happened. Her response was that &quot;this surgery was ANYTHING BUT TYPICAL&quot;.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
7	1	Very, very great, wonderful, awesome doctor! 	5	5	5	5 	Insurance:Unknown
8	1	Wonderful.  He did 2 procedures on me (gall bladder & colonoscopy) and having a 3rd done today.  Feel totally confident in him.  	5	5	5	5 	Insurance:HIP
9	-1	Dr. Pai was AWFUL. She was LATE &amp; when she came in, she was in such a hurry. She wasn't concerned with my health. She was extremely rough when she did my pap &amp; she had nurse in the room while she did it. DO NOT GO TO VALERIE.  	3	2	1	1 	Insurance:Blue Cross / Blue Shield
9	-1	Refuses to treat pain, which is a basic human right. I had to switch to her due to moving away from an excellent dr in the same Community Health Network who had me on daily opioids for years. She just said no. Wouldn't provide a partial refill so I could work &amp; pay bills prior to seeing the second neurologist she referred me to (the first didn't take Medicaid patients--she should've known that--so it's her fault I'm out of medicine for over a week). I am firing her. Do not hire her.  	2	3	1	1 	Insurance:Medicaid / Medi-Cal
9	-1	I came in to have a blood test done, but I had to get a physical since I haven't been back for a few years. Because I'm young, she kept pushing me about the HPV vaccine and if I wanted to do a PAP smear. Honestly, I don't need that to be done. Her Rx order for the lab test was missing important info I needed, luckily I caught it. About the office people, they're very insincere and cold about your questions since I don't remember what the procedure there was. They looked at me as if I was dumb and just rolled their eyes. If I wasn't a dependent on my parents at the moment, I'd find a better doctor.  	2	3	1	2 	Insurance:CIGNA
9	-1	Dr. Pai is very insensitive to patients needs.  When I was concerned about an issue concerning my daughter she was rude and didn't answer my questions.  She seemed as if it was &quot;no big deal.&quot;  She is not very good with children.  As far as myself, she fail to answer my question and at every appointment she finds it necessary to tell me that I am obese because I am not a size 2. Just for the record I am a size ten and last time i checked that wasn't obese.  I will be leaving her practice ASAP and advise anyone not to become her patient unless you enjoy being mis-treated and not having your questions answered. 	4	1	1	1 	Insurance:Unknown
9	-1	don't like it when weight loss surgery is one of the first things out of a doctors mouth.   very insensitive and unhelpful 	2	3	1	2 	Insurance:Anthem
9	-1	Just didn't like the quality of service from the doctor.  Very little time spent with the actual doctor and more time with the practitioner and nurse.  Didn't seem to address concerns and ordered tests that ended up costing me thousands that were not necessary.  	 3/4/09	1	2	1	Insurance:Anthem
9	1	dr pai is a great doctor, the office staff however can be somewhat insensitive but i just went and things seem to be getting better.  dr pai is young and is truly concerned for your health and well being.  	2	4	4	4 	Insurance:United Healthcare
10	1	Dr. Paul certainly has the knowledge &amp; ability to provide EXCELLENT care. She is the FIRST physician who actually cares enough about my health/well-being &amp; spends MUCH time with me. She ensures I understand EVERY aspect of my diagnoses &amp; treatments and will bend over backwards to help. I spent YEARS trying to find a physician who not only has the knowledge about my conditions, but will also TREAT my conditions. There has not been one time in which I could not be frank, up-front, &amp; approach Dr. Paul. To say Dr. Paul is an excellent physician is an understatement - she is a PERFECT physician who will never give up to help her patients. I understand she practices in a very complex medical setting &amp; despite that, the fact she is willing to spend 2 hours discussing things says it all. Dr. Paul has a 10/10 in my book!! Furthermore, her nurse Lori is EQUALLY knowledgeable, friendly, &amp; will also go &quot;above &amp; beyond&quot; to ensure I am taken care of.  GREAT TEAMWORK!! :):) 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
11	1	I have been a patient of Dr. Peeler for over ten years.  His staff is wonderful and very attentive. He is very patient and very pain free! He always makes sure that I am totally numb before he begins a procedure.  I can not handle pain and have had to have lots of work on my mouth due to bad dentistry when I was a child. Dr. Peeler and his staff have always been wonderful and always take care of me right away. Also, their prices are very reasonable as I have checked around quite a bit. Three of my friends also go to Dr Peeler because of his gentleness, his wonderful staff and his great prices.  	5	5	5	5 	Insurance:Humana
