dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	 Dr Waggy just reminds me of one of those people that look great on the outside to others, but really is struggling with his confidence and the reason im saying this is because he not only did he try to make me feel like a total idoit, but completley doesnt listen to what you saying because he is just a KNOW IT ALL doctor! Just a small town, closed minded and most of all arrogant doctor whom I hope to whomever is reading this will never go to him.  	4	3	1	1	Insurance:AnthemPaid/Co-pay:N/A
1	1	commentsDr. Waggy was very caring and took time out of his busy day to sit and talk about what was currently happening in my life. He was very knowledgeable and I felt he treated me appropriately. 		5	5	5	Insurance:Unknown
7	1	 Dr. Wagler diagnosed me with inflammation of the cornea. He prescribed me Prednisolone eye drops via the E script system. He was concerned the E script might not have transmitted to the pharmacy. Dr. Wagler gave me an after hours phone number in case the pharmacy or myself needed to contact him to obtain the script. I am truly greatfuly for his kindness and concern for my care. Dr. Wagler went above and beyond to help me get the care I needed to treat my eye condition. I would recommend him to everyone.  	5	5	5	5	Insurance:AnthemPaid/Co-pay:N/A
8	1	.  He is the best!! He don't jerk your around like most in this area 	5	5	5	5	Insurance:United HealthcarePaid/Co-pay:N/A
8	1	comments 	5	5	5	5	Insurance:Unknown
11	1	 Dr. Walker has delivered 2 of my 3 children,and has also preformed a d&c; that I unfourtantly had to have. He is hands down the best OB/GYN in Indiana. I would recommend him to anyone.He is caring, easy to talk to, and always shows how much he cares for you and your little bun in the oven!I always had scheduled c-sections, but always went in to labor much earlier. He always made it a point to be the one to take care of me and that was so refreshing.He's also great with helping you find the right birth control after a birth that works for your lifestyle.  Many of my friends go to him and have wonderful experiences! 	5	5	5	5	Insurance:AetnaPaid/Co-pay:N/A
11	1	 I am so pleased with Dr.Walker as my OBGYN. He is friendly, his staff is great, the wait is always very short, I think he prides himself on that. After my regular exams he always comes back in and answers any and all of my questions, no matter how small or insignificant it is. He is very knowledgable. He takes time to make sure his patients are happy and asks about our family. I always recommend him to friends that are unhappy with their OBGYN.  	5	5	5	5	Insurance:AnthemPaid/Co-pay:N/A
12	-1	 Is this woman really a doctor or just an actor who plays one in an office&#63; She acted as if everything I told her was a lie. She never did any follow up with me and a monthlater I was in the hospital with thyroid problems. Never went back to her and I suggest no one else does either.  	1	1	1	1	Insurance:AnthemPaid/Co-pay:N/A
12	-1	commentsDr. Wahl does NOT stay current in her medical knowledge. She does not even follow the  American Endocrine Assoc. guidelines for Thyroid Cancer treatment and follow-up. She had me on a medicine the AEA specifically warns against. She specifically told me NOT to follow a Low Iodine Diet prior to my radiation treatment and the 1 (and only in 9 years) scan to check for cancer spreading, which made my treatment and scans INVALID. DO NOT go to Dr. Wahle. NO WAY. 	1	1	1	1	Insurance:Unknown
17	1	.  She is wonderful!  Her husband is an OB/GYN and the both rock!  She is wonderful with the kids! 	5	5	5	5	Insurance:United HealthcarePaid/Co-pay:N/A
18	1	 loved Dr. Wagner. i didn't know how i was going to feel with a male OBGYN but he was so at ease and there was no awkwardness whatsoever. he listened to everything i had to say and was incredibly helpful and to-the-point.  	5	5	5	5	Insurance:AnthemPaid/Co-pay:$20
18	1	.  Awesome doctor!!  He is very quiet, but is very nice! 	5	5	5	5	Insurance:United HealthcarePaid/Co-pay:N/A
35	1	 I have seen other chronic pain doctors and Dr. Waling makes them look like fools.  He has a very caring personality and extremely knowledgable in his ability to assist me.  	5	4	5	5	Insurance:TricarePaid/Co-pay:N/A
35	-1	comments 	1	3	1	1	Insurance:Unknown
35	1	 Dr Waling is Awesome.. he is so caring and considerate. His nurses are great with the exception of one. all the staff in the procedure room were caring and very nice. His nurses do not control him by any means.. he is the one in charge. he has helped me greatly control and manage my pain, if you suffer from pain constantly you cant expect to be totally pain free, but it can be greatly managed so that you can function productivly. He is a great doctor. so glad i was sent to him.  	5	4	5	5	Insurance:AnthemPaid/Co-pay:N/A
35	-1	 Doctor seems knowledgable and spent a fair amount of time with me. Medications he provided were not helpful though and very powerful drugs. In addition, his nursing staff is extremely rude and unprofessional. They talked negatively about patients including myself right outside my door. I left crying.It is very difficult to actually speak with someone on the phone and they are bad at returning phone calls.  	1	4	2	2	Insurance:AnthemPaid/Co-pay:N/A
35	-1	commentsI agree with the previous posts.  Dr. Waling does appear to know his anatomy and related terms.  He fails to provide true pain management and does indeed allow his nurse to control him and his office. He use to spend a great deal of time with his patients but that is no longer true.  Your family dr. can provide as much if not more needed help. 	1	3	1	2	Insurance:Unknown
35	1	 Dr Waling has been a Godsend to my husband who had been in pain for a long time.  He is a kind, gentle and compasionate Physician, and you do not find that very often. I also work with many doctors at a clinic, and I have never seen a better bedside manner.   He seems to be very knowledgeable and is also very thorough.   He is Awsome!!!! 	5	4	5	5	Insurance:MedicarePaid/Co-pay:N/A
35	1	 Dr. Waling is extremely knowledgeable in physical anatomy, joint, tendon, muscle and nerve physiology and injury.  Unlike most specialists, his bedside manner is impecable.  He cares as much for the comfort of his patients as their favorable treatment and beneficial and long-lasting result of treatment.  He is an outstanding physician.  	5	4	5	5	Insurance:AetnaPaid/Co-pay:N/A
35	-1	 I had to wait for the doctor almost an hour and all he did was write prescriptions.  I was concerned about area where I was experiencing pain and kept asking him what it was or causing it and he just ignored me repeatedly.  Waste of my time and money.  Will never go back.  	3	1	1	1	Insurance:HumanaPaid/Co-pay:N/A
