dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	General Check up.  Was friendly, seemed knowledgable, and made me and my family member comfortable in the waiting room.  	5	5	5	4 	Insurance:Anthem
1	1	She dx'd me with a rare breast cancer that a Hospital Breast Center did not identify when it didn't have a lump, didn't show on a mammo or an ultrasound.  		4	5	5 	Insurance:Aetna
2	-1	Dr. William Young is unperson able and down right rude in his after care after surgery. His help after surgery down right sucks. The funny thing is that was more than willing to explain what ever was needed to get you on a table and under a knife but his post op relations suck. I will never have and any more contact with him once im released from his care. 	2	2	1	3 	Insurance:Unknown
3	1	 	5	4	5	5 	Insurance:Unknown
4	-1	He was always late and when he did get there we would have to wait. He wasn't very nice to his staff and if he didn't get his way he would through a fit in front on the patients 	2	1	1	1 	Insurance:Unknown
4	-1	Doctor Yu would be an two hours late. They would have people waiting in exam rooms for hours. When Doctor got there he would be on the phone for a while while making people wialt when they could here him talking on the phone. The people in the waiting room could her Doctor Yu talking in the exam room all about the person he was seeing and their hole medical case and what drugs they prescibed. 		1	1	3 	Insurance:Unknown
5	-1	Impossible to get a hold of!  Left messages for a week before being contacted for an appt.  Cancelled appt. without contacting patient!  My father in law has stint (or something) in his neck which needs to be removed because he does not need dialysis... or does he&#63;  Don't know because we have been trying to get Dr.  Yao to see him for over 3 weeks!!!  Couldn't be more disappointed and disheartened by a doctor! 	1	1	1	3 	Insurance:Medicare
5	-1	The only positive about this visit was he was on time. Its probably because he has no patients because. He smiles a lot but doesn't know medicine.  	1	5	1	1 	Insurance:Medicare
5	-1	Must be a good doctor, BUT YOU CANNOT UNDERSTAND HIS ENGLISH. HE WILL NEED A TRANSLATOR. 		3	1	1 	Insurance:Unknown
6	-1	Poor bedside manners, lack of cultural sensitivity, unable or uncooperative to answer patient's concerns and questions. Displayed an uncaring and arrogant demeanor.  	1	1	1	1 	Insurance:Medicare
6	-1	Dr. Yun misdiagnosed my Daughter which led to her death.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
7	1	dr.yoder is GREAT like a family member she takes care of my 3 grandsons my daughter and son-in-law, myself and my husband. has never made a mistake or forgotten anything. and i think most importantly...she LISTENS to you. never makes you feel like you don't count,or that you are less intelligent then she is. and she can be very firm which also is a plus. try her, you will like her. we have been her patients for years,and we all like her really well 	5	4	5	5 	Insurance:Medicare
7	1	Dr. Yoder is by far the best family doctor I've seen.  She sat down with me about a medical issue I was having and went through every detail, symptoms, treatments, side effects and tests until she made sure I understood them.  She was with me for 40 minutes! I've never been to a doctor that cares as much as she does about her patients and has the outstanding &quot;bed-side&quot; manner that she does.  Not to mention the fact that when she says she will call you with information, it's actually her that is calling, not a nurse.  Dr.  Yoder is truly gifted in her practice, I consider myself lucky to have her as my family doctor! 	4	4	5	5 	Insurance:Anthem
7	1	Very thoughtful and understanding. A very kind person. Willing to talk to people so that they can understand what is going on, and what to expect.  	5	4	5	5 	Insurance:MAMSI
7	1	I found Dr. Yoder to be nice and, though a bit formal, to have a pleasant manner. She is very traditional in her approach to medicine and is a good resource when dealing with things that are usual and expected. Except in one instance (out of four) I did not find her (or her staff) to be as helpful when assisting patients with a referral when moving beyond her practice for advanced care; patients are told to initiate contact with the doctors to which they are being referred without assistance to ensure that referral appointments occur in a timely manner. Patients may find this to be particularly difficult in instances where the ailment is difficult to manage or hinders daily functioning.  		4	4	3 	Insurance:Anthem
7	1	Kind,careing,gentle, understanding of patients emotional as well as physical problems. Refers aptients if expertise is beyond her experience. Excellent and efficient staff. This a real &quot;family-orientd&quot; doctor and practice. Highly satisfied in every way.  		4	5	5 	Insurance:Blue Cross / Blue Shield
8	1	He knows his stuff. The only doctor so far with a high success rate of accurate diagnosis. And with good explanations. 	5	5	5	5 	Insurance:Unknown
8	1	He asks you a few questions and gets to work.  He's good at what he does.  I'd go to him again.  	5	4	5	5 	Insurance:Anthem
8	1	He saved my life after other doctors nearly killed me. Very, very smart and caring.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
8	1	Guy has &quot;dancing eyes&quot; that pour &quot;smartness.&quot;  Not much bedside manner, but do you want a chatter upper incompetent, or do you want this guy who is a great ENT surgeon&#63;  He has a lot of patients and does not waste time.  Smiley face all the way for his competency.  Would go to him again in a heartbeat.  	5	4	4	5 	Insurance:Medicare
8	-1	 	5	4	2	2 	Insurance:Unknown
9	1	Usually get in same day appt. Nice staff and very accomadating. Would definately recommend this office.  Nice clean environment as well 	5	3	5	5 	Insurance:CIGNA
9	1	Dr. Young listens very well. There are times when he's describing a condition, I feel like if I had the right book I could read every word he is saying.  Not a doctor to go to if you need some heavy duty pains killers.  	5	2	5	5 	Insurance:United Healthcare
9	1	Dr Young has always got me in when I need to see him even when he is booked and stays over.  This means a lot to a patient.  	5	5	5	5 	Insurance:Anthem
9	1	Dr. You is very understanding and listens well. I would reccommend him to every family! 	5	5	5	5 	Insurance:Unknown
9	1	Dr Young has a great personality. Very easy to talk to.  Highly recommended 	5	4	5	5 	Insurance:Anthem
10	0	Avoid dealing with stupid billing. Expect double billing if you are divorced parent. Both parents will be billed for the same service or co-pay.  	1	1	2	3 	Insurance:Blue Cross / Blue Shield
11	1	Doctor was kind and informative. I find it hard to believe that he would be considered anything but professional. I have never waited longer that 5 minutes in the waiting room and a nurse is prompt to get your info once you get in the room. He is very informative and gave me all my options by explaining what was exactly wrong with my back and possable side effects of having a surgury and doing nothing. This is a fine Doctor and a good person. I would recommend him to anyone.  	5	5	5	5 	Insurance:United Healthcare
11	-1	Dr Yount's general attitude was smarmy and uninterested. He listened to talk &amp; disregarded feedback when trying to describe my pain. I sensed he equated looking good with feeling good &amp; made the assumption that if I was not stooped over &amp; unable to walk, that the pain must not be that bad. He was dismissive &amp; irritated that I continued to ask questions about a possible remedy or other treatments. &quot;We all get back pain when we get old...and sometimmes we just have to live with it,&quot; was a remark he made. He also did not understand or more likely feigned not to understand the term &quot;mechanics,&quot; as it relates to fixing the mechanics of the problem to eliminate the pain vs. perscribing pain meds, physical therapy, pain management etc. It's my opinion that Dr. Yount assessed my phyiscal condition based upon outward appearances &amp; disregarded my feedback &amp; other diagnosis. I left feeling Dr. Yount did not go out of his way to get to the bottom of the problem &amp; was generally mentally lazy.  	5	4	1	2 	Insurance:Blue Cross / Blue Shield
11	1	Dr Yount is a no nonsense guy who is my personnel hero. He changed my life taking my pain away. Takes all the tme you need and very precise in his exams. 	5	5	5	5 	Insurance:Unknown
11	1	Dr. Yount is very professional, went out of his way and spent time with us to explain what was happening and what to expect. His bedside manner is a reflection of what kind of doctor he is. Dr. Yount is upfront/honest and respectful.  We would recommend him to our family and friends.  	4	4	5	5 	Insurance:Medicare
11	-1	Dr.Yount was very rude, fast, stuck up, did not want to answer questions. I would not send an animal to him.  He treated me with such direspect as a person. I waited over 1 hr. to see him with no discount, yet they charge us for being 15 min late&#63; They forget we hired them to work for us.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
11	0	Very sarcastic and does not like to be questioned about getting other opinions concerning your health.Also does not like anyone questioning his decisions.I would have respect for him if at least he could say that he did not have the knowledge to help me, but find someone who could. I found that someone myself and I'm well today 		4	2	3 	Insurance:Anthem
12	0	I saw this physician in the ER at Carmel St. Vincent and he had a poor bedside manor. He was rude to me and that was very upsetting particularly in an ER situation. 	3	3	3	3 	Insurance:Unknown
12	1	 	5	5	5	5 	Insurance:Unknown
13	1	Very good doctor tries very hard to find an explanation for symptoms and explains everything in terms you can understand. Very thorough.  	5	5	5	5 	Insurance:Tricare
14	-1	Bad. Misdiagnoses, doesn't listen. Didn't refer child to first steps.  	5	2	2	2 	Insurance:United Healthcare
14	-1	 	 3/30/11	2	1	1	Insurance:Unknown
14	-1	She is the most impersonal doctor I have ever met. I was with her for a year and then switched to Dr. Lahr. I would come in with a handful of health concerns at each appt and she would always only address one. That really frustrated me since I live 30 minutes away and so I drove an hour total just for 1/5 of my questions to be addressed each time. She belittled my health concerns and doesn't value my thoughts or opinions. Literally the worse doctor I have ever had. (And I have had quite a few doctors. ) 	4	4	1	2 	Insurance:Tricare
14	-1	Doctor failed to maintain clinical detachment-inappropriate sense of humor etc.-throughout the office visit. 	1	1	1	1 	Insurance:Unknown
14	-1	I used to see her, and unfortunately my mom still sees her. I quit her after and I got into an arguement over treatment that she missed that I had to go to the ER for. She has put my mom on a LOT of medicines that don't go together and she won't treat my mom for a lot of her different medical conditions. She gave me a lot of grief when I was pregnant because I had high blood pressure and wouldn't see me and said I had to go to someone else.  I personally don't have use for a doctor with a superiority complex that doesn't know how to properly treat patients in any way that statement can be took! 	2	2	1	1 	Insurance:Medicare
14	1	i have seen her for many years i have had both of my children with her as my doctor.   she was a great ob.  there are times that i belive she could be better and there are times that she was GREAT very helpful and did exactly as she should have.   i belive she is only human and will make mastikes as we all do but there are things that she could do better and there are things she does good.  we are not going to find a doctor that can please everyone.  	4	2	4	4 	Insurance:Medicaid / Medi-Cal
14	-1	First of all I have Hypothyroidism. My second visit I told her I thought my thyroid was off. I told her all my symptoms and she straight up told me I was old. At 43, mind you she is older than me. She also said she didnt think it was my thyroid. So I went and had blood test done. They accidently went to my endo doc, and not her office, and the endo called me with the results which they said I was over medicated. Dr. Yegerlehner office call with old blood test and said I was fine and everything looked good.  She never got the new test. I will find me a good doctor. I do not recommend this doctor to no one.  	2	2	1	1 	Insurance:Anthem
14	-1	My vet gives dogs a better physical than I got today. Scheduled a complete physical & on the check-in form I noted that I had been experiencing a change in the amount I sweat during the day. This became the main focus of my visit but she had no answers. Within the first 3 minutes of being in the room, she recommended that I take daily antidepresants; she didn't even wait until she had listened to me first. Next, she wrote me a prescription for an anti-persperant that was the same drug and quantity as what is available over the counter, at which point she remarked,&quot;I'm afraid I haven't been very helpful.&quot; I then reminded her that I was there for a COMPLETE physical. So, I undressed, and she came back for the &quot;physical&quot; -listened to my heart, looked in my ears, breast exam, felt my abdomen. DONE. I had better physicals in high school for sports clearance. So, she was not very thorough, had poor listening and communication skills, and couldn't assistn in my problem.  AVOID! 	3	2	1	1 	Insurance:CIGNA
14	-1	Does not spend much time with patients, is in a hurry to leave the room as fast as she can, prescribed medicines I'm allergic to and seems to be only interested in pushing her diet information onto people....Very unsatisfied.. 	2	1	1	1 	Insurance:Unknown
14	-1	I saw Dr. Beth as an OB/GYN due to an uncomplicated first pregnancy with her.  Second time around was much worse.  I had an ectopic pregnancy, which she consistantly kept telling me was just a miscarriage.  Ectopic's are usually found by 6-7 weeks, mine lasted 9 weeks before it was diagnosed.  I could have died because she was unwilling to listen to my concerns and dismissed me without checking into it.  She also made unprofessional comments regarding my pregnancies as I was rather young (17 with my first).  I discourage anyone from seeing her as she does not take enough time to listen to concerns with patients. 	2	2	1	2 	Insurance:Unknown
14	1	Doctor Beth has been my doc for 12 years and she is also my childrens doctor as well. She always looks so nice and is very professional. I couldn't ask for a better doctor. 		5	5	5 	Insurance:Unknown
14	1	She answered all my questions & concerns. She was great at diagnosing my problem that required going off sugar. She spent time with me & gave me a handout & other material. This doctor is easy to talk to.  		4	5	5 	Insurance:Anthem
14	-1	Not pro-breastfeeding! Called me a &quot;human pacifire&quot; for nursing my daughter (who had just turned twelve months). Not thorough with infant well checks. Mis-diagnosed my Diverticulitis as flu. To sum it up, all I can say is &quot;Quack!!!&quot;.  		5	1	1 	Insurance:Aetna
14	-1	Took 6month old to see her..asked if sleeping through night and I said no..said just let him scream all night..said tough love..what an idiot! Wrote for a cough medication that's been off the market for years..said oh..I've seen this all day..so apparently she prescribed that medication all day long..had to have pharmacy call to have it changed to a medicine in the real world. Also..very snooty.. thinks she's GOD 		1	1	1 	Insurance:Anthem
15	1	Made the right diagnosis, removed my kidney and saved my life. Professional, caring and efficient. Good personality.  Would recommend to my friends without a doubt 	5	4	5	5 	Insurance:Anthem
15	-1	This doctor is to be avoided at any price. He performed a byopsy on me two years ago, The surgeon who operated on me later on could not believe the amount of scare tissue that resulted from the biopsy. It was in short a ****y.  	2	2	2	1 	Insurance:Blue Cross / Blue Shield
15	1	Great doctor.  Cared, made an accurate diagnosis, performed surgery, went well, and would recommend 	5	4	5	5 	Insurance:Anthem
15	-1	He told us one thing in his office, and something completely different on the day of surgery.  Two other doctors did the exact same surgery on me that he did, but after he did the surgery, I had severe complications that I never had with the other doctors.  He charged almost twice as much as the other doctors did for the EXACT SAME SURGERY!  On top of all of that, he got rude and arrogant on the phone one time.  Seems to care more about money than his patients.  Seems friendly at first, but don't let that fool you.  I had a TERRIBLE experience with this doctor.  AVOID AT ALL COSTS.  	3	2	1	1 	Insurance:Medicaid / Medi-Cal
15	1	 	4	4	4	4 	Insurance:Unknown
16	-1	i Have always ...waited past  apointment time.to see  Dr.  	3	1	1	3 	Insurance:Blue Cross / Blue Shield
17	1	Dr Mike is a wonderful Doctor whom you feel very comfortable and confident in.  He takes excellent care of my mother who is currently rehabbing in a facility and we are so grateful!!Thank you Dr Mike!! 	4	4	5	5 	Insurance:Medicare
17	1	Had an Achilles tendon rupture and Dr. Yergler not only came into the Hospital on his DAY OFF to perform my surgery, he was NOT on call, and it was LABOR DAY!! He got me walking within 4 weeks. What a skilled surgeon who really cares about his patients!! highly recommend him!! 	5	5	5	5 	Insurance:Unknown
17	1	Dr. Yergler's the best.  I had chronic pain to the point that I couldn't even sleep at night along with limited movement to my right arm.  Dr. Yergler did a total right shoulder replacement and  the pain is now gone, and I'm able to move my arm without a problem.  Thank you Dr. Michael Yergler! 	5	5	5	5 	Insurance:Unknown
17	1	Outstanding Doctor. Immediate and accurate diagnosis. Formulated and carried out precise medical plan. Recommended without question. Major Jim FORNEY USMC ret.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
17	1	Thanks Dr. Yergler and staff for your continued care and compassion for me. You got me back to work quickly as well as Dr. Zucker. I am grateful. I still have my leg.  	5	4	5	5 	Insurance:Anthem
