dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
11	1	 Dr. Feltz just performed a total hysterectomy, rectocele and cystocele, including removing my tubes and ovaries. I am 48 years old, and this was my very first time under general anesthesia. I was scared to death and very worried beforehand. Dr. Feltz was kind, caring, had an amazing bedside manner, and answered all my questions. The surgery took a long time, but he did a beautiful job and there was really minimal pain. I would recommend him to anyone - he is extremely knowledgeable and took extra time with me, since I had so many questions and concerns about HRT, taking ovaries or not (and he left that totally up to me). I wouldn't hesitate to recommend him to anyone! I feel very blessed that I chose him to do this major surgery on me. You are in excellent hands with Dr. Feltz.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
11	1	 BEST DR. EVER! He listens and he cares... Dr. feltz has done 3 lap. surgeries for my severe endometriosis. The 1st one he did with in a few days after seeing me ON HIS DAY OFF!! (He has done 2 of my surgeries on his day off) He knew I was in so much pain that he wasted no time helping me. He even called me that night (pretty sure from home cause I could hear his kids in the back ground) just to check on me.. What Dr. does that&#63; Gotta love this guy. I have seen Dr. Feltz every 3 months for the past 3 years. The last surgery he did on me was a robotic Laperoscopy, so far the most effective surgery so far. Plus he never gives up on me when I feel like throwing in the towel cause I have had no success getting pregnant.  He is bound and determined to help me fulfill my dream of being a mother!!! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
11	1	 Had to switch Dr.'s and luckily followed a referral from a friend to Dr. Feltz.  I had a problem and my prior dr. was not addressing it. Dr. Feltz found it at my first visit.  he changed my life.  I continue to see him after 10 years and he is always ready to listen and answer questions. I beleive he personally is concerned about my well being. They are extremely busy at his clinic but I do not feel like &quot;a number&quot;.  	5	4	5	5	Insurance:Coventry
11	1	 I adore Dr. Feltz! He has been the best OB I have ever seen and I was so happy he was on call to deliver our first daughter! I can only hope that he will be able to deliver the next! His bedside manner is excellent- I actually feel like I can ask questions and he takes time to explain things.  He is very personable and professional! Best OB in the DSM area! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
11	-1	 No pain medications because he sent me home in labor.   Too busy&#63; 	1	1	1	1	Insurance:Blue Cross / Blue Shield
11	-1	 the rudest obgyn. Treats you like a number. His office never calls with test results and you have to follow up on everything. He changes the subject everytime you have a question and walks out the door mid sentence. He is terrible and doesn't care about his patients.  	3	2	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$1200
11	1	 I was having nausea, heart burn, weightloss, and other digestive problems for almost a year before coming to see Dr. Feltz.  He changed the birth control I was using and found that I had a very large ovarian tumor (never found by any other of my years exam doctors).  It was surgically removed, saving my ovary.  He called me himself at home the next day.  I did have a complication and began bleeding that evening into my abdomen.  After speaking with the nurses, even if only on the phone, he would talk to be personally.   I am a nurse and while I was in the hospital the nurses all told me how kind he was to them.  I will never see another OB/GYN again, I very much trust his knowledge and ability.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
11	1	commentsdelivered my daughter 10 years ago and was an exceptional doctor back then.  did a hysterectomy on my mother this year and again did a fabulous job.  I thought he was very caring 10 years ago and my mom said the same thing about her surgery.  He is extremely knowledgeable and helpful  good doctor 	5	5	5	5	Insurance:Unknown
11	1	 Overly aggressive in treatment. Not very caring bedside manner. Did a total hysterectomy and it probably wasn't necessary.  	5	4	4	4	Insurance:Blue Cross / Blue Shield
11	0	commentsAlmost had the baby in the car because of him. Terrible care. 		1	2	3	Insurance:Unknown
