dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	-1	commentsI genuinely feel that she does not care about her patients' well-being.  She'll have no problem leaving you with nothing and ending up having to come back again and again. 	3	3	1	2	Insurance:Unknown
2	0	 A 45 min. wait for a 5 min. appointment that takes two weeks to get, isn't unusual. Left me feeling like I had just been conned. Rest of staff is virtually incompetent and over extended.  	2	1	1	5	Insurance:United Healthcare
2	1	commentsVery patient and attentive... Great Doctor. 	5	5	5	5	Insurance:Unknown
3	-1	 I was not satisfied at all. He started out very nice, but as my labor went on, he became more short tempered with my situation. I ended with a c-section and the drugs he gave me forced my operation to be hurried and ended up not numbing me completely, so I felt much of the pain during the procedure. He did not acknowledge my complaint and did not respond to my letter questioning his actions.  	1	5	1	3	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$900
3	1	 Very patient and thorough. Took lots of time to answer my questions. I've never had anesthesia before and was very scared. I felt very comfortable in Dr. Lane's care.  		5	5	5	Insurance:Blue Cross / Blue Shield
5	1	 Dr Laird is considerate, polite, listens and answers questions well.  	5	5	5	5	Insurance:Medicare
8	1	 Really takes his time with each patient,caring & kind and very knowledgable of the medical profession.  	5	5	5	5	Insurance:Medicare
14	1	 Took the time to help me understand what issues my body had and how to properly treat those issues.  	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$10
24	1	comments 	5	5	5	5	Insurance:Unknown
27	-1	 Do not trust the office staff! They lied to me about types of insurance coverage they accept to keep us coming back and racking up a larger bill, then told us they don't accept it when they knew full well that they never did. The office staff is more concerned about gossip and discussing their personal lives amongst themselves than providing accurate information about billing, etc. They will keep you waiting long past your appointment. They do not do a thorough enough exam and do not keep you informed of potential problems with your treatment. The worst experience I have ever had with an orthodontist! I can not in good conscience recommend this provider.  	1	1	1	1	Insurance:Delta Dental
27	-1	commentsI have never in my life experienced someone in the health care profession so uncaring, rude, and spiteful. The staff was incredibly self-centered. They wasted my time talking about who was or was not pregnant at the time. The office is also very inflexible with their open hours. I Disliked every single thing about this doctor. 	1	1	1	1	Insurance:Unknown
28	1	commentsThis doctor is the best doctor I have ever had. He doesn't rush you, he listens and helps you with your needs.  He is kind, and thoughtful when one is needing understanding of their illness.  He really is great. 	5	5	5	5	Insurance:Unknown
28	0	commentsNot very warm doctor, but refers patients in a reasonable time. If you want a doctor that act reasonable with reasonable knowledge, he is okay. 	3	2	3	3	Insurance:Unknown
29	1	 knee and broken arm.  Great job - straight forward and honest.  Very helpful.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
29	1	 knee surgeny excellent. very smart upfrontabout things.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
48	1	commentsGreat physician and has great partners. He knows his stuff and has a great sense of humor. I just had surgery and I am amazed at how wonderful my recovery is going. Paid/Co-pay:$1		5	5	5	Insurance:Unknown
54	1	commentsVery helpful and compassionate.  Unlike most cardiologists, Dr. Langager actually has a personality and sense of humor.  Staff needs work. 	1	4	5	5	Insurance:Unknown
64	1	commentsDr. Laros is one of the most caring and easy to talk to doctors I've met. She wasn't just in and out of the office, like a lot of doctors do, but actually sat down and listened to what I had to say about my feelings at the time and concerns. I truly felt that she cared about me. 	5	5	5	5	Insurance:Unknown
65	1	 Good.doctor.    if she doesn't know something she will research it 	5	5	5	4	Insurance:United HealthcarePaid/Co-pay:$84
72	1	commentsWent for a shoulder injury.  Described the problem very well and prescribed just some therapy.  Everything is back to normal.  Thumbs up. 	5	5	5	5	Insurance:Unknown
72	1	 I called and, of course, wanted an appointment right away.  He made room on his schedule to see me at the end of one of his long days.  Although it would be easy at that point to blow me in and out of his office in record time, he patiently took the time to assist and explain what I was experiencing. Good, honest, compassionate, down to earth type of guy.  Highly recommended.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
72	1	comments 	4	4	5	5	Insurance:Unknown
76	1	.  Very helpful for my whole family with a caring touch 	5	5	5	5	Insurance:CoventryPaid/Co-pay:$20
