dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Excellent care!  Tells you what you need to do, very honest. Very professional! Very concerned.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Excellent! Very caring individual. Always listens to your problems.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I had been told by three doctors that I would never get pregnant.  Dr. O'Donnell assured me that there was no reason why I could not get pregnant and six months later I was pregnant.  This March, I gave birth to a beautiful baby girl and I credit Dr. O'Donnell positive reassurance with my miracle baby. 	5	5	5	5 	Insurance:Unknown
2	-1	HAD A COLONOSCOPY WITH NO SEDATION TALK A BOUT PAIN ON MY LEFT SIDE I THOUGHT I WAS GONNA DIE I THINK HE MISSED MY ULCERS BECAUSE I CONTINUED HAVING ISSUES ON THAT SIDE and another doctor did another colonoscopy had to go back and find it GO IN TO FAST AND BACK OUT YOU MISS STUFF SLOW DOWN ITS OUR LIVES!!!!!!!!!! 	3	2	2	2 	Insurance:Unknown
2	-1	I explained my symptoms to the doctor and after the explanation, he asked me what I wanted him to do for me.  After that he mentioned that it would be tough to narrow down what the problem was but he would &quot;try some things out.&quot; I should mention that this whole conversation took five minutes, but he never showed up to the appointment until 45 minutes after he was supposed to be there. After &quot;trying&quot; an upper endoscopy I never heard a thing back from him.  A month passed and I followed up three times but never got a response back.  I was consistently told by the nurse that answered that they had the results but the doctor would give me a call.  Ultimately, I ended up getting a letter in the mail that said they couldnt find anything.  The doctor never followed up with me again with regards to what the next step would be and needless to say, I am still not any better.  This doctor is a prime example of why so may people call going to the doctor a waste of time.  	2	1	1	2 	Insurance:Blue Cross / Blue Shield
3	1	. He's great! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Great with babies, not good with 3 year olds as a ped, he should be understanding that kids will be kids, and kids do get scared at the doctors office. doesnt give him the right to hold a child down during a PHYSICAL! he should first talk to the child telling them what he is going to do, not just hold them down and do it. 	5	5	3	4 	Insurance:Unknown
4	1	Dr. Owens is a very helpful and friendly pediatrician. Our daughter was premature and he was very good about keeping an eye on the various problems that can arise from being so. He also answers phone questions, either himself or via his nurse, helping a new mom not have to load up her daughter in the middle of a winter storm. We plan on using him with our next baby, also.  	5	5	5	5 	Insurance:United Healthcare
5	1	Dr. Oppelt is an amazing doctor. In a few short visits he helped manage my low back pain and headaches. 	5	5	5	5 	Insurance:Unknown
5	1	Knowledgable, kind, great chiro....the first Doctor I've ever been to who truely seems to care.  Only Doctor who has given me any relief.   An excellent Doctor and an all round great guy! 	4	5	5	5 	Insurance:Medicare
5	1	Friendly, explains everything well and most importantly I am now pain free! 	5	5	5	5 	Insurance:Unknown
5	1	Extremely helpful,patient and caring. In my opinion the best D.C. in the area. 	5	5	5	5 	Insurance:Unknown
6	1	She truly cares about her patients and forms relationships well. She understood our desire for a drug free delivery and made every attempt to honor our birth plan. She was my MD for all 3 pregnancies/ deliveries. I highly recommend Dr. Olson.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	After giving birth to my son with no incident she then turned to me and PULLED on the umbilical cord and pulled my placenta out without allowing me to delivery it naturally and normal.  I hemmoridged BAD in the hospital and at home.  Thank God i wasnt holding my baby when i passed out at home because i wouldnt stop bleeding massivly!  I had to get shots to stop the bleeding and take pills.  I believe her reasoning for doing this is because i demanded i be induced now because i had been 4 to 5 cm dialated and contracting for 2 weeks! I demanded something done NOW! So she got there in a timly manor with a****TY attitude and butched my uterous.  I will unfortunitly always remember the ungodly PAIN of having the placenta PULLED from the lining of my uterus.   Barbarrick ****! 	1	4	1	1 	Insurance:Medicaid / Medi-Cal
6	1	. The best in the business!!! You will love her! She is very caring and good to her patients! I recommend her highly!!!! 		5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Dr. O'Donnell's skills extend well beyond those of the average urologist. He not only stays up to date, he uses innovative approaches, and freely shares information on his unique protocols with other doctors. I travel 900 miles from a major southern city to Iowa City, IA to be treated by him. 	5	5	5	5 	Insurance:Unknown
8	-1	Dr. Olson was my doctor for my first pregnancy and miscarraige.  When I miscarried, I got more information from the nurse than Dr. Olson.  When I finally saw Dr. Olson a month after the miscarriage, I was told &quot;it happens.&quot; I felt the appt. was pretty impersonal and not very informative at all.  I was never given any treatment options for complications.  After 3 months of suffering, I saw another doctor who had several treatment options for me.  Options I should have been given at the time of the miscarriage or at least when I called back to say I still had these complications.  I will not be going back to her again. 	4	4	1	2 	Insurance:Unknown
8	-1	Was late to deliver a baby and was very pushy with family memebers. 	2	1	2	2 	Insurance:Unknown
8	0	.  		2	2	4 	Insurance:Blue Cross / Blue Shield
9	1	Dr. Ordona has helped me overcome many obsticales in life. I owe it to him for my success in life. 	5	5	5	5 	Insurance:Unknown
10	1	Dr. O'Brien was very knowledgeable and informative. I feel comfortable with this woman guarding my child's health. 	5	5	5	5 	Insurance:Unknown
11	1	Due to more than a few med conditions I see quite a few doctors on a regular basis. Dr. Oelke is by far the most pleasant &amp; helpful one. Office staff is just as good quality.  I highly recommend her &amp; her associates for any podiatric needs 1 may have 	4	3	5	4 	Insurance:Humana
12	1	Went to Dr. Olin for my braces 10 years ago. He did a fantastic job. It took a few years, but my teeth still look great today. 	4	4	5	5 	Insurance:Unknown
13	1	Dr. Ortega doesn't pull any punches. He is honest and gives REAL tools for long term success.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
13	1	Knowledgeable, professional, and trustworthy.  I would not hesitate to vist Dr. Ortega again. 	5	5	5	5 	Insurance:Unknown
14	1	Dr Oberdorfer is a true gem.  He took his time with me and was very thorough.  I highly recommend him. 	5	5	5	5 	Insurance:Unknown
15	-1	Completely dismissive to the symptoms I described for my son's condition, which later he was diagnosed by our PCP to be Colic &amp; Acid Reflux. Dr. Ogaard told me &quot;he cries because you keep taking his bottle away.&quot; Really&#63; Because he'd cry when I'd give it back too.  	2	3	1	2 	Insurance:Medicare
16	1	 	5	4	5	5 	Insurance:Unknown
17	-1	He is remarkably rude; he won't answer questions and acts affronted that you even asked them. He had me on medication that was not recommended for people in my age group, and it was not effective for me and had side effects. He didn't seem interested in figuring out the problem, and didn't seem to care about my health. Thank goodness I finally made a switch and found a thorough, caring physician.  	3	3	2	2 	Insurance:Medicare
17	1	Don't trust many doctors, but love Dr. Otteman.  He will always give his opinion on any health question we have asked him.  Always returns phone calls. Very compassionate and caring towards our entire family.  Thank God for doctors like him. 	5	5	5	5 	Insurance:Unknown
17	-1	He is treating my brother inlaw with a serious condition.  Not only does it sound like he has no bed side manner, he also has the God complex.  It's a shame he has to be that way since he appears to be knowledgable. 	3	2	1	3 	Insurance:Unknown
