dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. shaw has always been concerned with my overall wellness, and has answered questions and concerns with considerable knowledge.  I have never felt rushed during my visits, and have complete confidence in her skills and follow-up suggestions.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Very caring and wonderful doctor. She kept me very calm before surgery. She kept her hand on my shoulder and kept telling me everything would be ok. Would highly recommend her to anyone! 	5	5	5	5 	Insurance:Unknown
1	1	She is not only a wonderful doctor but she is wonderful person also.At the time of my c-section she is the one who helped me to cope up with that situation......Thank u soooo much Dr. Shaw........  	5	5	5	5 	Insurance:Anthem
1	1	Dr Shaw is a wonderful doctor, very knowledgeable and extremely skilled. She puts me at ease in her clinics and was so great with my delivery and C-section. I would freely recommend her to anyone I know 	5	5	5	5 	Insurance:Unknown
1	0	Dr Shaw is knowledgeable about what she does.  She is ok as your OB if you don't have a traumatic situation where she is required to have a caring bedside manner.  In that area, she failed miserably. She had me broke down in tears with the way she talked to me when I had my baby who was in the special care unit.  Just a horrible bedside manner.  The other doctors in the practice were always wonderful with me.  She just needs to learn how to be more caring.  She left such a bad taste in my mouth it would be hard for me to go back to the doctors that I enjoyed in that practice for fear of her being that one that would deliver my baby.  	5	3	1	4 	Insurance:Medicaid / Medi-Cal
2	1	Dr. Scheetz takes the time to actually listen to you.  She is wonderful. 	4	5	5	5 	Insurance:Unknown
3	1	very excellent doctor, she's very good with kids as she's a mother and has kids of her own. 	4	4	5	5 	Insurance:Unknown
3	1	We've only been to see her twice. Dr. Shockley seemed like an acceptable pediatric doctor, but I thought the nurses (mainly the older ones) were not at all meant for being a nurses for children. They seemd rushed and were very cold and rough with my sick daughter.  	2	3	4	4 	Insurance:Blue Cross / Blue Shield
4	1	Great fast service and  caring staff. I can  call and get in to doctor same day.  	5	5	5	5 	Insurance:Coventry
4	1	 	5	5	5	5 	Insurance:Unknown
5	1	 	5	5	5	5 	Insurance:Unknown
6	1	 	5	5	5	5 	Insurance:Unknown
7	1	Pleasant, very attentive, gave very good eye exam, did not feel rushed.  Great smile! Would highly recommend her! 	5	5	5	5 	Insurance:MSP
8	1	I have two boys ages 8 and 5 and they are very active. They have seen Dr. Sheppard since birth and I would never change that. My boys are very active. Whenever I would freak out and make an appointment to see the dr. about something that they managed to hurt themselves on now, he would simply look at it and say &quot;that's nothin'&quot; No matter what it was. He has the ability to relax the patient and take care of them at the same time. If you did not get help from Dr. Sheppard then you just werent listening.  	5	5	5	5 	Insurance:United Healthcare
8	-1	When i was in the hospital, after an attempted suicide, he came into the CCU and laughed at me and said, &quot;You cant Overdose on todays psych meds!&quot; He called my psychiatrist a chickenshit doctor for telling me to talk to Dr.Sheppard about my medications. I can see why everyone at the clinic is moving into seperate practices. He cant get along with any  other MD's except Dr.  Sadr! 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
