dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I WAS LUCKY TO HAVE DR. VOIGTS TAKE CARE OF ME FOR 10 YEARS FOLLOWING THE REMOVAL OF ONE CANCEROUS KIDNEY.  I'M STILL HERE. I WILL MISS HER AS SHE SLIDES INTO RETIREMENT THIS MONTH.  THANKS FOR EVERYTHING DR.V. , MARK 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	0	This woman was very patronizing and dismissive of me and my condition. Because I had done some research on my condition before going to see her, it was apparent to me that some information she provided was actually outdated and inaccurate. I'm canceling my follow-up appointment and will find another nephrologist. If you don't mind being patted on the head and told the everything is &quot;fine,&quot; she may work for you. If you want to participate actively in your own medical care, find another doctor.  	4	4	2	4 	Insurance:Medicare
1	1	Very knowledgeable, Great doctor, highly recommend her. Every once in awhile I can get her to giggle and laugh, but it's tough! =) 		4	5	5 	Insurance:Unknown
2	1	I have used Dr. Veit for over 30 years. I have raised my family with this Dr. If he has any doubts with what he sees, he will willingly send you to a specialist. I have been an EMT for many years and my wife is an LPN rated nurse. We BOTH have the highest praise for Dr.Veit. My wife is well respected in the community for her medical knowledge and her ralationship in helping sick people.If anyone would have doubts, it would be her. She has helped patients taking cancer treatments to helping people stay at home to die like they request to their kids.If I was to listen to anybody, it would be her because of her level headed common sense that she has in the medical field. So to the people who had a different experince, I'm sorry, but I give Dr. Veit my highest regards and trust him with my life. 	5	4	5	5 	Insurance:Unknown
2	-1	Recommend people see a younger doctor that is more up-to-date on family practice. 	5	1	1	1 	Insurance:Unknown
2	1	I am very pleased with the Dr's bedside manner.  He is very caring.  When he isn't sure of something he has no problem in sending you on to a specialist in that particular field. I would reccommend him highly.  I don't care for the hopital he uses though.  I prefer to use a different one. 	4	4	5	4 	Insurance:Unknown
2	-1	Doctor was more concerned with pushing patients through than offering any treatment advice. Had to see another doctor to correct his lack of patient care 		1	1	1 	Insurance:Unknown
3	0	Staff: Nurse is caring.  Holly Voelker runs the office and is, in my opinion, rude, offensive, and arrogant.  In regards to helpfulness, Dr. Voelker is somewhat helpful medically, but declines to do testing (or as he says he doesn't do testing because he doesn't have testing equipment).  	3	5	3	3 	Insurance:Medicare
4	1	i have known this dr. for years and would never think about seeing any other one. he is very throu and hsd great patience. he is a fantastic person. thou very busy dr. he is always detailed in what i am in to see him about, i have never had a bad experience with staff or dr v.  	5	4	5	5 	Insurance:Medicare
4	-1	He made me feel like I did not know what was going on with my own ankle. Waited 45 minutes to see him and he spent 5 minutes at most with me. He made me feel like I was crazy and imagining the pain in my ankle. He was very rude, and short, poor bed side manner. He spoke to me like I was a child and completely incompendent to what he was saying. He came off like he is only in it for the money, could care less of the patients. I would never recommend him to my worst enemy as he did nothing to help me.  	5	3	1	3 	Insurance:Workers Comp
5	1	He saved my life after five years of suffering with endometriosis and being told it was all in my head. I am only 27 and within a week after my 2nd apt. I was having a total hysterectomy and now I am almost pain free. He still helps me with some skin problems and I feel more comfortable with him then I have with women GYN's and even so that I will have him do my physicals.  	5	5	5	5 	Insurance:CIGNA
5	0	This doctor was my primary and he was so &quot;uninterested&quot; in me and my concerns.  After another doctor delivered he came in and made me feel like a failure as a parent and woman b/c &quot;I got antsy and ended up with a C/S&quot;. This doctor does A LOT of C/S--beware.  	2	2	2	3 	Insurance:Blue Cross / Blue Shield
6	-1	Forgetful and scary, doesnt remember me from the day before 	2	1	2	2 	Insurance:Unknown
7	1	Very thourough and competent.  My wife and kids love her. 	5	1	5	5 	Insurance:Unknown
8	1	I THANK GOD EVERYDAY FOR BRINGING DR. VELHO INTO MY LIFE! SHE IS A GREAT DR. AND A REALLY TRUE FRIEND! SHE GENUINELY CARES ABOUT HER PATIENTS! SHE NOT ONLY TAKES CARE OF ME BUT SHE ALSO TOOK CARE OF MY DADDY BEFORE HE DIED AND WAS SO GREAT TO HIM TOO.HE THOUGHT THE WORLD OF HER TOO!SHE IS EXTREMELY SMART AND SUCH A WONDERFUL, CARING DR. BURLINGTON IS SO BLESSED TO HAVE HER!!! 	5	5	5	5 	Insurance:Unknown
9	-1	i would stay far away from this doctor,,, BAD NEWS,,,VERY BAD!! 	1	3	1	1 	Insurance:Unknown
10	1	He is the best - the only shrink around here who would take enough time to REALLY help - others just heard about 5 minutes of my condition and then just prescribed meds.  Dr. V is the only doc who ran enough labs on me to figure out what was really going on - saved my life! 	4	3	5	5 	Insurance:Unknown
10	-1	 	2	3	2	1 	Insurance:Unknown
10	-1	Dr. Varner treated me incorrectly for a couple of years.  He overprescribes medication and has had his license placed on suspension.  Be wary.  	1	1	1	1 	Insurance:CIGNA
10	1	Dr. Varner is an excellent treatment provider. If a patient has an idea or suggestion regarding his/her treatment, he will actually consider this input, and not take the pompous &quot;I am the doctor, do not dare attempt to participate in your care&quot; attitude so often encountered with other practitioners in the Iowa City area. Additionally he carefully considers any neurological factors which may play into a patient's symptoms. Attention to these factors may lead to discovery of possible treatment options which may never have been considered by doctors who attempted to treat a patient before he did. He regards patients as intellectuals. To a certain extent, and of course only when appropriate, he welcomes participation in decision-making and brainstorming re: diagnosis and treatment. Overall I trust Dr. Varner wholly and am comfortable entrusting him with my care. Sometimes there is delay in the waiting room, but I believe treatment with Dr. Varner is fully worth waiting a little while! 		4	5	5 	Insurance:Unknown
10	-1	He almost killed me! Due to overmedicating and not watching my medications as closely as he should have. I had alleric reactions to some of my medications and I became toxic to others that he prescribed. 		1	1	2 	Insurance:Unknown
10	1	Doctor Varner is one of those rare doctors who actually listens to what you are saying and has excellent suggestions on daily living. He has helped me with family issues as well as job challenges. I appreciate knowing I can rely on this doctor to be honest with me in a kind and gentle manner. Highest recommendations.  	 2/20/07		5	5	Insurance:Blue Cross / Blue Shield
11	1	Dr. VandenBosch is very laid back and at times, I wish he'd be more assertive.  He's always willing to make a referral to specialist if needed.  Is very prompt in returning phone calls with test results.  	3	5	5	4 	Insurance:Blue Cross / Blue Shield
11	1	Doctor Vanden Bosch and his staff has been our family physcian for years now and he has delivered both of my childeren.  We are happy with the service, especially at the new location.  He is not quick to prescribe medication when it isn't needed which works well for us.  He is very personable and a little bit laid back.  I love the convenience of the Westside Family practice and Urgent Care center.   We live in Marion now, but still drive all the way across town to see him and his staff 	4	4	4	5 	Insurance:Blue Cross / Blue Shield
12	1	Amazing physician... would recommend to everyone I know.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
13	-1	Dr Misdiagnosed my wife's back pain. Passed it off as Fibramylgia only to find her visiting an emergency room and was in surgery a week later having a vertebrae repaired and disk removed. He questioned my daughter's medicine which was prescibed by a previous dr. She was on the meds for many years..it was a vitamin shot b12. he said what she was taking was toxic...pharmacy disagreed saying any excess would be eliminated. She printed out a report by a specialist and gave it to him and he was insulted. He has provided no relief to my aunt and just keeps my uncle medicated as he is 93. I caution you if you choose to go to this doctor... he should retire 	4	3	2	2 	Insurance:Blue Cross / Blue Shield
14	1	As the old saying goes, the apple doesn't fall far from the tree. I waa a patient of his father for 30-plus years. Ryan, like his father, is exceedingly pleasant, helpful, patient. His staff is also top notch. l 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
14	1	Dr Veatch and his staff are absolutely amazing, they are very thorough and helpful, very competent.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
15	1	Thorough in examination.  Careful explanation of manipulations.  	5	5	5	5 	Insurance:Medicare
15	1	Had a lot of knowledge on the subject matter and made me feel very comfortable with the way he explained it and communicated.   Oh, and I no longer have any pain!!!! :) 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
16	-1	He's been my family doctor for years, but all he has really done is prescribe antibiotics (a lot, way more than my system should have had) and give wishy washy comments on what to do with my most recent problem. He isn't attentive, and doesn't pay attention to the patient's immediate needs. If he does, he focuses on one aspect of the problem and sends you home.  	5	5	2	2 	Insurance:Blue Cross / Blue Shield
16	0	He is ok as a doctor, but seemed more interested in what we 'thought' was wrong, instead of giving us his own diagnosis. 	3	3	3	3 	Insurance:Unknown
17	-1	 	 6/10/08	3	3	1	Insurance:Unknown
17	-1	He left me horrible scars due to his lack of knowledge...and then had the nerve to ask for more money to fix his mistake!!!! Even if he offered it for FREE, I would not let him touch me again. 	3	3	1	2 	Insurance:Unknown
17	1	Very professional - price depends on procedure. I would recommend him to anyone. 		5	5	5 	Insurance:Unknown
18	1	Dr. Vandivier is the best doctor I have ever had.  Several people in my family now go to Dr. Vandivier as their primary care physician.  He is knowledgeable and caring.  Any concerns I have ever had, he has never hesitated to sit down and explain things to me or my husband. I have asked other doctors to help me with my weight issues and have been turned down. Dr. Vandivier sat down, explained to me what he thought were the best options and encouraged me.  It took me less than a year to lose 100 pounds through diet and exercise.  I still have a lot to lose but I know Dr.  Vandivier is always there for me no matter what!! 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
18	1	The nicest primary care doctor I've ever had and I'm 42 years old.  I won't see an ob/gyn for yearly exams anymore, he was more thorough and actually listened to my PMD problems.  He got me on medication that fixed it and I couldn't be happier.  He's been great for ear infections, strep throat, physicals, you name it.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
18	1	Excellent listener. Takes time to actually communicate with patients. Returns phone calls promptly. Has very nice nurse working for him.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
18	1	I was very impressed with his personability-not pretentious or pompous at all.  Spent time with me, had new knowledge of my condition that other physicians had not given me and recommended physical therapy over more radical methods.  very thorough.  He will be my new family doc.  	4	2	5	5 	Insurance:United Healthcare
18	1	Good doctor, takes time with patients and he does back/hip adjustments too! AND, most importantly, he solved a lady problem which has been bugging me for a YEAR on his first try (after 5+ failed visits to my regular gynecologist, who then sent me to the UofI specialty clinic, which I visited in Iowa City 3 times and i am planning to cancel my 4th visit becuase Dr. V solved it!)!!! 	3	2	5	5 	Insurance:Unknown
19	1	Intelligent, Caring, all around impressive doctor.  Offered me some good advice.  9.8/10 	5	5	5	5 	Insurance:Unknown
20	1	Will not return to Dr. Vander Zee because his office manager is unnecessarily nasty. This woman is rude,  curt and adept at extinguishing the doctor/patient relationship. And I pay my bills in full.  	1	3	3	4 	Insurance:Blue Cross / Blue Shield
21	1	Very easy to talk to and very respectful and patient in explaining diagnosis.  He uses a sheet where you write your symptoms and then gives you a report of the visit with any follow up instructions.   I really think highly of him 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
21	1	Dr Vazquez is a fantastic doctor! Very nice and courteous to his patients and very well informed.. Highly recomend him to anyone! 	5	5	5	5 	Insurance:Medicare
21	1	Ernie is an excellent Doctor. Knowledgeable, yet speaks plainly.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
21	1	Wonderful Dr. with wonderful bedside manor. You do not feel rushed or like he is in a hurry. He is on top of things with a computer in each room to pull up everything on you intead of trying to look through a bunch of papers. Would recommend him to everyone!! Fault....staff is not quick to return calls or emails.  	5	5	5	5 	Insurance:CIGNA
22	1	Very concerned physician who will refer to past visit and inquire about present condition.   Develops personal understanding of patient and uses that knowledge to do assessment of an individual along with the patients stated assessment 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
22	1	He's a very good doctor and his staff is respectful and he's always on time.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
22	1	Very personable physician and staff.  Knowledgable.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
22	-1	Dr. Van Oort has shown several examples of a dangerous lack of basic medical (yet life threatening) knowledge and complete lack of concern.  His staff is rude and careless.  	2	2	1	1 	Insurance:United Healthcare
23	-1	I know patient. He went every 6 weeks.He was vomiting every 3-4 days and was weak. he had liver tests. All came back normal EXCEPT ONE AREA. Later found out that one area DEFINATELY pointed to Pancreas.This is in print. He was told he had Liver Disease, nothing could be done. Six months later, general surgeon operated and found Pancreatic Cancer.  WOULD YOU WANT THIS DOCTOR&#63; 	3	3	1	1 	Insurance:Blue Cross / Blue Shield
23	-1	They did not explain the diferance between a medical &amp; routine colonoscopy. I did not make a medical appointment, they swithed it to a medical now I'm stuck paying the $1000.00 deductable. The staff is very unhelpful &amp; very, very rude. Beware of this misleading practice. You will find forself on the table with no way out but to pay your full deductable. The way they want to interpret the test.  	1	3	1	1 	Insurance:Veterans Administration
24	1	Takes the time to listen, compassionate and does not hesitate to refer if need be.... great Doctor & human being! 		5	5	5 	Insurance:Blue Cross / Blue Shield
