dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	She is a wonderful caring doctor. Takes time and is on the ball with everything.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	. DID NOT LISTEN TO MY COMPLAINTS JUST DID ROUTINE STUFF 	1	3	1	1 	Insurance:Blue Cross / Blue Shield
3	1	By far Dr Zhang is the beat and most knowledgeable Dr. I have ever seen. She was able to get me pregnant after seeing 4 other specialists who did not have a clue.  After 4 years of trying, Dr Zhang helped me get pregnant w/in 3 months. She is at the top of her game and I would not see anyone else. Also a very nice person.  	5	5	5	5 	Insurance:United Healthcare
3	-1	. Poor sense of service, not caring, poor attitude, overall a bad doctor 	2	2	2	2 	Insurance:Blue Cross / Blue Shield
4	1	Dr Zachary is always very busy, yes, however don't let the fact that he is a busy doctor put you off.  He is extremely knowledgeable, thorough, and dedicated to his patients.  I am a high risk patient, and he not only saw me in the hospital after my heart issues, he delivered my last baby and will be delivering this one as well as any future children.  He is attentive to my underlying chronic medical disorders and takes everything into account while still maintaining a gentle and caring bedside manor.  Best doctor I have had in Des Moines area and I have had many from general practice to Neurology and Cardiology specialists.  Patients must understand that doctors, especially OB/GYN have emergencies often arise with other patients, therefore, sometimes making them late for you.  You will be happy when he is there for your emergency or needs.  Keep up the good work Dr.  Zachary! 	3	2	5	5 	Insurance:Medicare
4	1	He has been my doctor for years and he delivered my 2 daughters and saw me through the whole pregnancy and I am high risk due to previous losses.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	He is vary nice. But he is so busy with patients it seems like he wont answer your questions. Told him at the beginning of my prenancy of my cervix freezing 2 yrs prior and I also ended up preeclamptic and he ignored my signs until labor...also was almost late because he didnt feel that I was going to deliever that fast(he forgot about my cervix freezing) which when my baby was coming she was coming fast. I would not recommend him if you have a high risk pregnancy.  	1	3	2	1 	Insurance:Blue Cross / Blue Shield
4	0	Nice guy, but I just don't like his style.  It's a little too relaxed and he is ALWAYS running late. 	3	3	3	3 	Insurance:Unknown
5	1	A friend recommended Dr. Zingula to me a couple of years ago.  She is polite, friendly and very knowledgeable.  She explains things in a way that are very easy to understand and does not make the patient feeling foolish for asking questions.  She will be my eye doctor as long as she's around! 	5	5	5	5 	Insurance:Unknown
5	1	I saw this site after coming online to look up Dr.Zingula's phone number to recommend her to yet another person. Whoever gave that negative review has absolutely no idea what they are talking about. My sister recommended this office to me and my family and since then, I have referred at least 3 other families to them....all of which couldn't be happier with the service and care received. The staff are wonderful, knowledgeable and the service can't be beat.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
