dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 This Dr. saved my life and has been my Dr. for over 25 yrs.  So if you what man OUTSTANDING Dr. this is him and the Hosiptal that he is with is  an OUTSTANDING PLACE you are treated like a human and not someone that isn't good enough for.  I will tell everyone that ask me this question and I will be honest with everyone.                                Thank You, David G.  Engledow 	5	5	5	5	Insurance:Medicaid / Medi-Cal
6	1	 Dr Edalati is the PERFECT doctor.  He is extremely knowledgeable about all aspects of medical care and so patient and kind.  He is always able to come up with the exact right diagnosis and care directive.  I have a complete trust in him and can honestly say I do not feel that for all doctors I have seen. I would highly recommend him to anyone.  	5	5	5	5	Insurance:United Healthcare
6	1	.  very smart and caring takes time to answer ALL of your questions 	5	5	5	5	Insurance:AARP
6	1	 Best Doctor ever, it is like he was born to be a doctor.  	5	5	5	5	Insurance:United Healthcare
21	1	 ER DOCTOR-COMPASSIONATE, CARING,CARING AND THOROUGH, EXPLAINED EVERYTHING. OUTSTANDING BEDSIDE MANNER. MADE A SCARY EXPERIENCE INTO ONE WHERE I FELT HAPPY AND CARED FOR AFTERWARDS. I'D HAVE ANOTHER EMERGENCY WITH HER AS MY DOCTOR.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
23	0	 His hygenists are top noch.  His receptionist was a bully when I called to reschedule for a my son a second time because of conflicts. Big sighs, &quot;well, we really need to see ___&quot;.  I thought I was doing good to call in advance!  I mean, I could have been having cancer treatments or something.  Dr. Edgington was a far cry better than my last dentist who wrote me a 2 page letter telling me how I was causing my 5 yr old anxiety issues because I asked if maybe his bottom baby tooth shouldn't be pulled because his adult one came in behind, and that I should love him as much as I do my new baby etc...needless to say i fired him and when we went to Edgington his tooth was actually curved up under his gum and had to be surgically removed.  It's my BFF that had trouble with her little one.  He would not let her go back to calm her, and then charged her $25 for behavior assistance report so that he could get paid beyond what ins allowed.   FIRED! 	5	5	3	3	Insurance:Delta Dental
23	-1	commentsHe was rude and lectured me.  Not everyone has insurance or a lot of money to get their teeth taken care of.  Don't you think it's my worry&#63;  I'd rather not have all my teeth fall out.  What an egotistical jerk.  Offer free care, otherwise, don't make your patients feel bad for not being able to afford dental care. 	4	5	1	3	Insurance:Unknown
23	1	 Excellent dentist & staff!  Dr. Edgington has done several root canals and crowns on me.  I've been very happy with him and his staff.  	5	5	5	5	Insurance:CIGNA
23	1	commentsDr. Edgington Rocks!!! His Dental assistant Marla is wonderfull. Go see them! They are the most caring denistry around. If you want the best in Wichita Dr. Edgington is it. 		5	5	5	Insurance:Unknown
23	0	 He is somewhat forgetful and tends to miss problems seen in x-rays taken during previous visits. He rushed me through a few times and told me he would call if they saw anything, to which he did not. At my next appointment I find out problems were on the slide and he never called. He does seem to be quite knowledgable and fast with his work.  		4	2	3	Insurance:Blue Cross / Blue Shield
25	1	 Knowledgeable and extremely perceptive. He cut through various white-wash statements and got to the heart of the matter quickly &amp; effectively. Then, he provided the needed advice &amp; direction for real improvement. He has a very soft-spoken manner. Still, he knows when to be direct and forceful. After visiting other wishy-washy counselors, Dr. Edwards came through and proved the usefulness of therapy.  	4	5	5	5	Insurance:United Healthcare
