dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
9	1	.  great doctor very knowledgable 	5	5	5	5	Insurance:Blue Cross / Blue Shield
13	1	commentsThe eye implant surgery was easy and seems to have gone very well thusfar. 	5	5	5	5	Insurance:Unknown
14	1	 Dr. Gall is both friendly and knowledgable. Sets the record straight on all risks during a procedure. His personality is not &quot;robotic&quot; and makes you feel at ease talking to him. I have had Dr. Gall for two procedures and each time the results have been fantastic. I have recommended him to friends who also have used his services.  Superb surgeon! 	5	5	5	5	Insurance:Aetna
14	0	 Went to him because I picked him out as a neurosurgeon in my network. He explained what my MRI meant, answered two of my questions, gave me 4 options to choose from and acted like he was done visiting with me. Very monotone, his description of my MRI sounded like it was a recording, not a doctor that CARES about his prospective patient. Really didn't seem very interested in having me as a patient. Felt uncomfortable about having him as someone who is going to work on my back and I'm suppose to feel good about it with that kind of bedside (or should I say - &quot;in the office as a consult&quot;)manner. Left that appointment with my mind already made up that I was definetly NOT going to have him do my surgery and I was going to get a second opinion. Not that I didn't believe what he said was the problem but it's that he didn't care about it. Felt like he was thinking &quot;Move 'em in Move 'em out&quot; like I was a #, not a person who has feelings.  I wouldn't send my dog to him! 	5	5	2	4	Insurance:United Healthcare
14	1	 Dr Gall walks on water!!! He took out a large brain tumor in my Cerebellum and two cysts. We were told the surgery probaly wouldn't work but it was the only option to save my life. He successfully took out the tumor and cysts and has followed up on me for 18 years. He knows his stuff and talks when the situation warrants. His bed side manner was better than the other surgeons who came in the hospital.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
14	1	 I am a disabled veteran. I have brachial nueritis, with a extruded disk at c4/c5 and c6/c7. Dr. Gall was plain in explaining the condition, and surgical procedure.  His bedside manner is above par! I had instant relief, as to when I immediately awoke from surgery, I had less pain after being operated on, than in the last year!!!! I would reccomend to ANYONE needing his services, as to being one of the best in his field!! 	5	5	5	5	Insurance:Veterans Administration
14	-1	 No bedside manner. Does not listen. I wanted a conservative approach and instead he performed a radical and experimental procedure that has left me crippled and in severe pain. I would not want anyone to endure what I have. I have had 3 surgeons tell me that Dr. Gall ruined my spine and that my only option may be to paralyze me from the waist down. He ruined my life.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
14	1	 I found Dr. Gall to be very professional. I felt that he responded to the severity of my pain in a very swift and concise manner. I would reccomend him for even my children. He explained the surgery in a very professional demeanor and was procise. My pain is no longer.  	5	5	5	5	Insurance:CIGNA
14	1	commentsMy view of Dr Gall is he is a very serious professional with years of experience and only wants the best for his patients. His demeanor is focused with a humanistic approach to each individual. My experience with Dr Gall was more than I expected and his focus on solutions made me comfortable. Dr Gall provided alternatives to help my back pain and contacted me concerning my hip. The receptionist was extremely accommodating not only to me but I was fortunate to witness a couple who were trying to make a decision concerning a date to have surgery. The receptionist gave the couple names of other surgeons they might contact to get another opinion. In conclusion, I had an extremely favorable experience with Dr Gall and his staff and can only think the individuals who had a bad experience were expecting something totally different and out of the range of good service from a seasoned professional. My first draft had over 3000 characters so bottom-line, Dr Gall and his staff are a great choice! 	5	5	5	5	Insurance:Unknown
14	-1	 I would steer clear of this so called doctor. His very full of himself. Only if I got a second opion. My surgery was two years ago and I am in more pain than before the surgery. Its hard to find a Dr. that will look at me now. No one wants to look at someone elses botched surgeries. This Dr. even cut my spinal fluid cord and didn't even know it. I sure found out after I was home for a few days and I got the spinal headache and he wanted me to go to bed for two weeks to see if it would heal on its own, which after four weeks my husband and I went to the hospital and stayed there until the test proved that he did cut it and left a piece a bone in there and I wasn't going to leave the place until he agreed to repair it. So after all that He did do the second surgery and I have been in pain ever since and have been to the pain clinic for injections and now I don't know what I'm going to do next. Thanks to Dr. Gall. Don't go to him.  	3	2	1	1	Insurance:Blue Cross / Blue Shield
14	1	 Absolutely great Doctor.  Had C6-C7 disk herniation.  He went through the normal routine checking strentgh, numbness, etc. and told me what he thought it was.  We then looked at MRI and confirmed what he thought.  He was my 2nd opinion + I'm an engineer, and had reserached my condition and options extensively. He was bang on before looking at MRI.  I also liked non-fusion (ACD) vs. fusion (ACDF).  Liberty Hospital was perfect.  Small.  I got excellent attention from his visit, to pre-registration, to check-in, etc.  Every hand-off was timely...no time waiting, etc.  Staff was great to me and my family.  Woke up and my arm that had hurt and been tingling for 10 weeks was back to normal just like he said it would be.  Highly recommend this guy.  	4	5	5	5	Insurance:United Healthcare
14	-1	 Spouse went to this physician for neurosurgery consult after traffic accident.  Did not recognize, the severe Ataxia symptoms. Spouse went to the ER and was admitted to the hospital. The Neurologist was appalled. Would not recommend this physcian.  	1	2	1	1	Insurance:CIGNA
14	-1	 not personable spends very little time with patients and does a poor job of explaining condition/limitations. Did not do a thorough exam when I was admitted through the ER or when he came to my room. Follow up visit was a joke-he spent less than 5 minutes with me and acted upset when I asked questions.  	3	3	1	1	Insurance:Aetna
14	1	commentsDr. Gall got me in promptly and diagnosed the problem.  My surgery went very well and he stopped by to see me every day while I was in the hospital.  He answered all of my questions honestly.  He doesn't talk much which some people might interpret as bad bedside care. I didn't get that feeling though.  It is nice to find a surgeon that doesn't feel a need to throw around all of his knowledge to impress you.  He is concerned with getting you well as quickly as possible, not chatting with you and being your new best friend.  I would recommend him to my friends and family. 	5	5	4	5	Insurance:Unknown
14	-1	 No help at all.  Rude, insensitive.  Gave very short non-informative answeres to questions. He didn't check to make sure what test I had.  Was very short, quick, and uninterested in my problem. Avoid this so called doctor at all cost.  Should not be allowed to practice.  	3	2	1	1	Insurance:United Healthcare
14	1	 VERY satisfied with info and options given prior to surgery.  got in quickly with appointments and actual surgery.  honest, affordable and VERY professional.  surgery a resounding success.  Gall is a  man of few words (after he gives you his info speech on your options and the benefits/risks of surgery), so be sure to have a list of prepared questions for him.  he is in the minority of spine surgeons in my area as he does not &quot;fuse&quot; vertrebra after surgery via bone grafts and hardware.  he supports a non-fusion option with less risk, better recovery, much lower cost, and no loss of permanent mobility.  very happy we found him before getting the second opinion from the &quot;fusing&quot; type surgeons who seemed to be in it more for the money.  HIGHLY recommend.  	5	5	4	5	Insurance:United Healthcare
14	0	commentsDr. Gall has no bedside manner and doesn't explain the procedure/surgery at all. The minute the surgery is finished, he acts like his job is done and gets irritated if bothered with questions or comments. I will find someone else for my next back surgery!!! 		2	1	4	Insurance:Unknown
18	1	comments 	4	4	4	3	Insurance:Unknown
20	-1	 This dr had no clue what he was doing and his office staff was very unprofessional.  Waiting room and patient rooms very dingy and dirty making return visits because of the filth that made my kids sick! Switched drs and my kids have been healthier than ever! 	1	2	1	1	Insurance:Blue Cross / Blue Shield
25	1	 PA's who work for him are great to work with. He and his staff are very knowledgeable when it comes to working with the patients.  They answer all your questions very well.  	5	5	5	5	Insurance:Medicare
27	-1	commentsThe worst doctor I have ever had!! Very des respectful to say the least! I would never recommend this doctor. 	1	1	1	1	Insurance:Unknown
27	-1	 This doctor thinks you should use creams on everything and tries to give you advice on things unconcerning him. When called regarding a question about otc meds, dr began asking me my complete medical history, then tried to tell me my dr, who I see at the same clinic, shouldn't be treating me the way I've been treated. I explained my dr is well aware of my condition and the treatment provided is working, and I'm only calling about otc questions. Dr kept talking about creams! I explained with rsd I cannot rub anything onto the area as that's EXTREMELY PAINFUL. I hope I never have to see this doctor.  	3	2	1	1	Insurance:AetnaPaid/Co-pay:$60
27	-1	 This Dr is VERY disrespectful! He may be a knowledgeable about his field but you'll never find that out because he doesn't listen to you or care about your opinion on your healthcare options. It's his way or the highway!  He verbally attacked me in the recovery room after my surgery so much so multiple nurses stepped in and when he FINALLY left me alone his partner came to offer to see me for my follow up appointment before I decide to leave the practice. The nurses &amp; office staff are very nice &amp; easy to deal with! Dr. Garcia is just a blemish on an otherwise great practice.  	1	2	1	3	Insurance:Medicaid / Medi-Cal
27	-1	commentsStaff is rude. Pressured me into a procedure which I later had to have undone. 	1	1	1	1	Insurance:Unknown
27	0	comments 	2	1	2	4	Insurance:Unknown
