dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr.Hett saved my brother's life while still in residency in the ER. Has delivered 4 of my siblings and 3 of my own children. I have never felt as confident in a doctor as I do him. If he is ever unsure of himself he never hesitates to ask a partner's opinion or send us to a specialist. I have never heard a bad word about him from any other doctor or nurse, which in my opinion speaks volumes for his character and knowledge. 		4	5	5 	Insurance:Unknown
1	0	He is an OK DR he is kind and a little quiet. The office uses hospitalists to go to the hospital, and does not go himself.  I would prefer to see my own DR 		4	3	3 	Insurance:Coventry
2	1	I HAVE BEEN A PATIENT OF DR HILL'S FOR ABOUT 15YEARS NOW AND I WOULDN'T CHANGE DR'S FOR NOTHING IN THIS WORLD DR HILL IS CARING PRO ACTIVE HE WANTS YOU INVOLVED IN THE CARE OF YOUR HEALTH HE LISTENS, RESEARCH, AND WHEN ITS OUT OF HIS LEAGUE HE WILL REFER YOU HE NEVER SAYS NO I LOVE MY DR HILL AND I THANK GOD FOR HIM AND HIS PRACTICE TAKE CARE AND GOD BLESS DR HILL AND HIS CARE TEAM I LOVE YOU ALL!!! 	5	5	5	5 	Insurance:Unknown
2	1	Dr. Hill is a great Doctor.  He listens to you and never rushes you out.  He has helped me live a normal life with Astma.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I LOVE DR HEIT!!!!!  he has been my ob/gyn since 2006, through the birth of 2 babies and one miscarriage.  i feel like he has great bedside manner--he's professional, calm, caring, friendly... i just love him.  he has seen me through a lot of emotional issues related to my ob/gyn stuff and i wouldn't trade him for anyone.  he has always gone above and beyond for me.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Heit was not my ob-gyn but he delivered my son.  He was wonderful. He was very calm and friendly, also encouraging during delivery.  I've seen other doctors in that practice (Including Dr. Arroyo- who I LOVE!!!  and is my usual OB -delivered my 1st child).  Dr. Heit came in on Sunday to check on me and make sure everything was going well.  He took time to answer any questions I had. I thought his bedside manner was great.  I would definitely recommend him.  He seems quiet and reserved- so if you're looking for someone outgoing....search dr. errick arroyo.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Heit is a wonderful doctor.  He is very conservative.  He listens to your concerns and takes them seriously.  He is the kind of doctor who would rather take the time to rule out an issue than leave you worrying about it.  I have been seeing him my entire pregnancy.  I am a high-risk pregnant woman due to a previous loss.  He has made me feel more comfortable than I ever thought I would during this pregnancy.   I highly recommend him! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Not sure where the negative comments come from. I have to wonder if there was some name confusion involved. I have known Dr. Heit for 20+ years and drive an hour out of my way to see him once a year. I have never seen him any way but extremely gracious, caring and down to earth. He makes time to spend with his patients even if he may be a bit behind, so I never mind waiting either. In the 15 or so years that I have been his patient, I have only had to wait once for him when an emergency delivery bumped my appointment time. He is, after all, a DOCTOR emergencies are bound to happen. I have the greatest confidence in his abilities and plan to be a patient of his until I no longer require the services of a GYN.  	4	4	5	5 	Insurance:Aetna
3	1	Dr. Heit is great! My husband and I have been trying to get pregnant and he has been very helpful and compassionate in the entire process. The fertility nurse (Marsha) is also very knowledgeable. Unfortunately, we are still not pregnant but Dr. Heit has referred us to a specialist.  	4	4	5	5 	Insurance:CIGNA
3	-1	Dr. Heit, not my regular ob/gyn saw me post-hysterectomy @ hospital in '98.  What a total JERK!!  I would never see him individually, nor will I ever forget his arrogant, uncaring behavior.  	2	2	1	2 	Insurance:Coventry
3	1	The staff is very unfriendly and unhelpful although the nurses vary depending on who you speak to.  Went in for my appointment a few times only to be asked to reschedule b/c Dr. Heit was in surgery (they could have called me).  	1	3	5	5 	Insurance:Blue Cross / Blue Shield
3	0	I always have to wait way over my appointment time.  Doctor seems rushed and burned out. Adequate performance w/ the surgery but just adequate.  Not pleased with office staff or front desk. 	3	2	3	3 	Insurance:Unknown
3	-1	Does not have the best bedside manner. Acted like it was a privilege to be in his presence. He also could have been nicer to the staff when he came into my daughter's delivery room. 	5	5	2	2 	Insurance:Unknown
3	1	 	4	4	4	5 	Insurance:Unknown
3	1	Dr. Heit is an excellent OB/GYN & surgeon. He took care of my ovarian cystadenoma and called in Dr. John C. Weed (also excellent reputation) for the surgery. Thank goodness it turned out benign.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr Heit delivered by son via c-section and I would never consider going elsewhere for delivery of my future children.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Heit was absolutely wonderful! He really took the time to listen to my concerns and answer all my questions. I didn't feel like he was rushed or in a hurry to get to the next patient - which is rare these days! He had an excellent demeanor - very laid back and also serious and very knowledgeable. I HIGHLY recommend this physician to others. Excellent experience. 		5	5	5 	Insurance:Unknown
4	-1	.  	1	1	1	1 	Insurance:Aetna
4	-1	I cannot recommend this doctor, his lack  lack of compassion to my condition or willingness to try anything to help was surprising.  	5	2	1	1 	Insurance:Blue Cross / Blue Shield
5	-1	Dr. Heady was very arrogant and rude. He is not personable and doesn't seem to know what he is talking about.  	1	1	1	1 	Insurance:Coventry
5	1	Had surgery to repair ligaments in right ankle and remove bone chip from rolling ankle multiple times. Dr. Heady and staff were punctual, professional, and courteous every visit. Only negative is that they charged an extra $20 to complete and/or update my standard leave of absence forms each time . . . and they wouldn't bill this 'admin service' to my insurance so I have to file the claims myself . . . standard office services like this should be included.  	5	4	4	5 	Insurance:CIGNA
5	-1	I had to wait over an hour to see him.  I first saw his nurse and then Pa all in a short time. Had an xray.  Waited 15 min to meet him.  He asked me if I had been in an accident, I said no, he explained I had pulled my achilles heel and needed to wear a boot other alternative was cutting the achilles heel in half and reattaching and I to try physical therapy and he left.  Nurse came in with boot, put it on me and I was dismissed.  I was not treated poorly but I am 61 yrs old and have worked in the medical field and I was not comfortable with him or his staff.  I had questions but was not given the chance to ask.  I had such misgivings about him that I am seeking out another doctor.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
