dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Ira Neufeld in olathe is the WORST dentist to go to. very rude and unprofessional. Yells at his patients and treats them very very poorly. he has messed me up twice now and had caused damage to my face and mouth and still after two visits for a root canal the job is still not finished. Im not sure I can trust another person to work on my teeth very again. very unclean as well. says rude things about you and infront of you the nurses play with there cell phones while working on you. they dont talk to you or treat you well. the office is very messy and dirty. At one point while working on me he got mad at me and threw a tool on my chest. wiped his eye with a glove on and went back to working on my mouth and then put both hands on his head and rub his hair and went back to working on me. I have filed a complaint with the Kansas Dental Board and Association on him.  	1	1	1	1 	Insurance:Delta Dental
1	1	Best Denetist in KC  He does my whole family.  Great with Kids. Did some beutiful crowns on my front teeth. Did a great root canal on my husband.  	5	5	5	5 	Insurance:Kaiser-Permanente
1	-1	.  	5	3	1	1 	Insurance:United Healthcare
1	-1	I'm normally not a complainer but Dr Neufield is such a rude obnoxious person I can't help myself. I would suggest you read the other reviews on this page before using him as a dentist. I was disappointed in both his service and attitude. 	1	1	1	1 	Insurance:Unknown
1	1	Fantastic Dentist we love hot he treats our family.   Great with the kids 	 5/17/10	5	5	5	Insurance:Blue Cross / Blue Shield
1	-1	Do not take your children to this dentist. He is horrible with kids. My child did great during the cleaning but when Nuefeld came in he was extremely rough and scared the heck out of my kid. I also heard him say very inappropriate things to his staff. The staff however was very nice, I feel bad for them.  	4	2	1	1 	Insurance:Blue Cross / Blue Shield
1	-1	 	5	1	1	1 	Insurance:Unknown
1	-1	One of the worst dentists in the K.C. metro area. Do not go to him.  For a dentist, he has awful teeth, he smells, argues with you, and your dentist work will have to be redone later at another dentist.  I still can't believe that I went to him for about a year... 	1	2	2	2 	Insurance:Unknown
1	1	Dr Neufeld is the best.  I've only had a few uncomfortable experiences in 25 years and & have always received excellent dental work & care.  My only complaint is the front office at times has scheduled too many people in a time slot.  	5	5	5	5 	Insurance:Aetna
1	0	I thought it would be a good experience. Moved here, had no recommendations for dentists. Walked in, sign in was easy, everyone was pleasant and nurse cleaning my teeth was very personable. However, it took her over 1.5 hours to clean my teeth. It wasn't very thorough and the dentist was awful. He tried to tell me I've had braces and when I told him I did not (we were discussing an overlapped tooth) He said, &quot;no, this only happens with braces so you did have them&quot; I strongly said NO I DIDN'T a second time and he growled at me! He growled about 5 times and told me I have two cavities.  He saw me for ten min and criticized me for about 8 of them! I took my x-rays and have since gone to another dentist (also canceled husband's appt- no use putting him through this) 	5	5	4	2 	Insurance:Delta Dental
1	1	Office is new and waiting room is nicer than my living room. Staff handled my insurance for us.  My new crown is gorgeous.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I am deathly afraid of dentists....but Dr. Newfield is the best.  I would never go to anyone else.  I found him pleasant, easy to speak to and most of all efficient!  I go every quarter and I never, ever have felt like I was taken advantage of.  I recommend him hight.  Cristina Meharry 	5	5	5	5 	Insurance:Unknown
1	1	Office is newly remodeled and looks great.  So was my new crown 	5	5	5	5 	Insurance:Delta Dental
1	-1	His office was dirty and it took several shots of novacaine to deaden the side of my mouth. When I complained I was in pain he became gruff, gave me another shot and then told the nurse to write this..and told her what to write.I had so much novacaine that the right side of my face drooped for over 24 hours..my friends thought I had a stroke!To make matters worse, the bruise on the side of my face was awful and all night I could taste blood..it was so upsetting. I went to another dentist to fix it..wound up needing a crown but went to another dentist.  	1	2	1	1 	Insurance:Delta Dental
